"Growth Rates of the Provincial Value of Production in Agriculture and Fisheries"

"Type of Valuation","Province","Subsector","2018-2019","2019-2020","2020-2021","2021-2022"
"Current Prices","Abra","Crops",7.0,2.9,10.1,-9.3
"Current Prices","Abra","Livestock",-13.0,-8.7,50.8,3.3
"Current Prices","Abra","Poultry",10.3,-6.9,40.3,18.7
"Current Prices","Abra","Fisheries",0.1,13.7,-0.2,17.9
"Current Prices","Abra","Agriculture and Fisheries",0.8,-0.3,20.9,-3.5
"Current Prices","Apayao","Crops",-4.4,17.7,-9.2,-5.6
"Current Prices","Apayao","Livestock",-2.0,6.7,39.1,-32.6
"Current Prices","Apayao","Poultry",19.0,46.4,2.6,10.3
"Current Prices","Apayao","Fisheries",34.3,-20.4,-57.6,20.5
"Current Prices","Apayao","Agriculture and Fisheries",-2.6,16.6,-1.0,-10.7
"Current Prices","Benguet","Crops",-11.0,-3.9,20.5,6.4
"Current Prices","Benguet","Livestock",-2.0,8.9,38.9,3.1
"Current Prices","Benguet","Poultry",9.7,21.3,24.7,21.1
"Current Prices","Benguet","Fisheries",-12.2,-25.6,-39.6,192.5
"Current Prices","Benguet","Agriculture and Fisheries",-10.1,-2.5,21.8,6.8
"Current Prices","Ifugao","Crops",-14.9,-9.2,-10.4,-12.4
"Current Prices","Ifugao","Livestock",2.9,25.7,25.6,-16.2
"Current Prices","Ifugao","Poultry",1.0,-5.0,-0.7,20.8
"Current Prices","Ifugao","Fisheries",-9.9,-10.6,27.8,-17.9
"Current Prices","Ifugao","Agriculture and Fisheries",-9.5,-2.8,0.6,-8.0
"Current Prices","Kalinga","Crops",-11.2,-23.6,24.7,0.1
"Current Prices","Kalinga","Livestock",-2.7,-14.3,-27.4,57.6
"Current Prices","Kalinga","Poultry",24.3,10.0,-0.1,4.2
"Current Prices","Kalinga","Fisheries",14.3,10.9,-13.5,10.0
"Current Prices","Kalinga","Agriculture and Fisheries",-8.7,-20.4,12.9,7.5
"Current Prices","Mt. Province","Crops",-19.3,3.6,19.7,-0.7
"Current Prices","Mt. Province","Livestock",4.2,-5.2,50.0,-2.4
"Current Prices","Mt. Province","Poultry",3.2,11.0,11.1,34.5
"Current Prices","Mt. Province","Fisheries",23.2,36.2,39.8,37.1
"Current Prices","Mt. Province","Agriculture and Fisheries",-13.6,2.0,25.8,0.7
"Current Prices","Ilocos Norte","Crops",-6.8,9.1,3.2,4.2
"Current Prices","Ilocos Norte","Livestock",3.3,22.6,37.0,-18.8
"Current Prices","Ilocos Norte","Poultry",5.9,15.0,6.1,6.6
"Current Prices","Ilocos Norte","Fisheries",4.8,33.5,-4.6,-22.1
"Current Prices","Ilocos Norte","Agriculture and Fisheries",-3.7,13.0,9.6,-2.2
"Current Prices","Ilocos Sur","Crops",0.4,7.0,3.9,6.2
"Current Prices","Ilocos Sur","Livestock",0.8,7.1,22.7,13.5
"Current Prices","Ilocos Sur","Poultry",-18.2,7.5,11.2,43.5
"Current Prices","Ilocos Sur","Fisheries",24.0,16.0,-0.6,9.6
"Current Prices","Ilocos Sur","Agriculture and Fisheries",0.4,7.5,7.0,9.4
"Current Prices","La Union","Crops",-6.7,7.2,-5.1,7.4
"Current Prices","La Union","Livestock",-5.7,-2.0,-36.9,38.7
"Current Prices","La Union","Poultry",4.7,-2.5,23.2,51.3
"Current Prices","La Union","Fisheries",15.9,20.6,25.7,22.7
"Current Prices","La Union","Agriculture and Fisheries",-2.5,5.2,-3.3,22.6
"Current Prices","Pangasinan","Crops",-13.3,4.6,8.2,6.0
"Current Prices","Pangasinan","Livestock",-4.4,-4.2,-17.6,20.4
"Current Prices","Pangasinan","Poultry",-7.1,1.2,5.7,24.1
"Current Prices","Pangasinan","Fisheries",13.9,3.4,17.9,0.6
"Current Prices","Pangasinan","Agriculture and Fisheries",-6.1,2.9,7.2,7.6
"Current Prices","Batanes","Crops",-1.0,-12.4,6.5,11.7
"Current Prices","Batanes","Livestock",23.5,-40.5,57.4,18.7
"Current Prices","Batanes","Poultry",0.8,6.9,2.9,-22.9
"Current Prices","Batanes","Fisheries",4.5,12.8,0.5,57.1
"Current Prices","Batanes","Agriculture and Fisheries",7.2,-9.6,12.8,31.7
"Current Prices","Cagayan","Crops",-5.5,4.6,18.7,8.9
"Current Prices","Cagayan","Livestock",-7.8,4.2,22.0,-14.2
"Current Prices","Cagayan","Poultry",-11.8,-0.4,6.0,1.0
"Current Prices","Cagayan","Fisheries",-1.0,2.7,4.9,22.6
"Current Prices","Cagayan","Agriculture and Fisheries",-5.6,4.1,17.2,6.8
"Current Prices","Isabela","Crops",-3.7,1.1,5.7,9.3
"Current Prices","Isabela","Livestock",-0.7,-12.1,-26.8,18.3
"Current Prices","Isabela","Poultry",1.1,-1.5,24.3,-0.1
"Current Prices","Isabela","Fisheries",-1.4,2.2,2.5,8.1
"Current Prices","Isabela","Agriculture and Fisheries",-3.0,-0.3,4.9,8.8
"Current Prices","Nueva Viscaya","Crops",-13.2,1.0,22.0,3.9
"Current Prices","Nueva Viscaya","Livestock",-1.6,6.7,22.9,3.7
"Current Prices","Nueva Viscaya","Poultry",-7.9,-1.0,29.0,-20.4
"Current Prices","Nueva Viscaya","Fisheries",3.9,9.7,-1.2,4.4
"Current Prices","Nueva Viscaya","Agriculture and Fisheries",-11.4,1.7,22.2,2.1
"Current Prices","Quirino","Crops",-6.6,7.0,1.5,14.7
"Current Prices","Quirino","Livestock",-4.8,8.1,5.1,-34.6
"Current Prices","Quirino","Poultry",0.5,18.7,7.8,1.0
"Current Prices","Quirino","Fisheries",1.9,-3.7,1.9,8.3
"Current Prices","Quirino","Agriculture and Fisheries",-5.8,7.8,2.4,7.7
"Current Prices","Aurora","Crops",-18.3,-1.4,21.8,-0.4
"Current Prices","Aurora","Livestock",2.1,-7.8,-6.6,-5.4
"Current Prices","Aurora","Poultry",-14.4,7.8,15.5,14.8
"Current Prices","Aurora","Fisheries",4.8,-15.2,1.7,29.5
"Current Prices","Aurora","Agriculture and Fisheries",-13.0,-3.7,14.6,0.9
"Current Prices","Bataan","Crops",-28.2,13.8,1.4,4.2
"Current Prices","Bataan","Livestock",-7.5,-37.3,-40.1,41.1
"Current Prices","Bataan","Poultry",-12.0,-13.6,11.7,-3.4
"Current Prices","Bataan","Fisheries",44.7,-9.7,-10.2,-18.0
"Current Prices","Bataan","Agriculture and Fisheries",-1.4,-10.8,-4.0,-3.6
"Current Prices","Bulacan","Crops",-19.9,2.1,9.2,7.2
"Current Prices","Bulacan","Livestock",-29.1,-9.4,-75.6,7.7
"Current Prices","Bulacan","Poultry",9.3,-14.6,17.0,28.2
"Current Prices","Bulacan","Fisheries",-4.1,3.5,0.2,45.9
"Current Prices","Bulacan","Agriculture and Fisheries",-15.2,-8.9,-23.9,22.0
"Current Prices","Nueva Ecija","Crops",-21.5,7.2,11.7,14.6
"Current Prices","Nueva Ecija","Livestock",-12.4,-5.6,41.0,-15.8
"Current Prices","Nueva Ecija","Poultry",-3.0,-1.9,14.5,14.9
"Current Prices","Nueva Ecija","Fisheries",-8.7,16.5,18.8,-38.5
"Current Prices","Nueva Ecija","Agriculture and Fisheries",-17.8,4.6,14.1,11.7
"Current Prices","Pampanga","Crops",-18.5,0.2,18.8,5.2
"Current Prices","Pampanga","Livestock",-21.9,8.6,38.1,11.7
"Current Prices","Pampanga","Poultry",6.4,-0.8,6.8,14.9
"Current Prices","Pampanga","Fisheries",7.7,12.3,16.9,-7.6
"Current Prices","Pampanga","Agriculture and Fisheries",-0.8,5.8,15.9,2.9
"Current Prices","Tarlac","Crops",-20.8,6.2,13.3,6.5
"Current Prices","Tarlac","Livestock",-10.4,24.7,-56.2,18.6
"Current Prices","Tarlac","Poultry",-4.0,-5.2,19.7,75.0
"Current Prices","Tarlac","Fisheries",-18.2,9.3,-46.2,-34.0
"Current Prices","Tarlac","Agriculture and Fisheries",-13.1,9.6,-13.7,31.0
"Current Prices","Zambales","Crops",-13.4,22.9,7.8,-4.8
"Current Prices","Zambales","Livestock",-8.8,47.6,-61.3,-1.1
"Current Prices","Zambales","Poultry",-15.8,-13.3,41.0,5.4
"Current Prices","Zambales","Fisheries",4.6,8.6,14.9,2.0
"Current Prices","Zambales","Agriculture and Fisheries",-6.5,16.0,-1.5,0.2
"Current Prices","Batangas","Crops",-14.0,-8.5,14.7,4.8
"Current Prices","Batangas","Livestock",-4.8,6.4,8.3,15.6
"Current Prices","Batangas","Poultry",24.1,8.2,1.6,13.3
"Current Prices","Batangas","Fisheries",8.8,-24.1,5.6,-8.6
"Current Prices","Batangas","Agriculture and Fisheries",5.6,1.0,5.8,10.9
"Current Prices","Cavite","Crops",-17.2,-14.7,9.2,-0.5
"Current Prices","Cavite","Livestock",-11.8,15.3,-5.1,-26.5
"Current Prices","Cavite","Poultry",8.4,-9.0,6.2,32.1
"Current Prices","Cavite","Fisheries",7.2,8.1,32.5,12.4
"Current Prices","Cavite","Agriculture and Fisheries",-7.1,-0.8,7.3,1.0
"Current Prices","Laguna","Crops",-8.4,2.5,-1.3,4.6
"Current Prices","Laguna","Livestock",-15.8,42.2,-58.0,15.2
"Current Prices","Laguna","Poultry",19.4,-26.3,23.3,16.3
"Current Prices","Laguna","Fisheries",3.9,-5.9,-13.9,-32.9
"Current Prices","Laguna","Agriculture and Fisheries",-1.4,2.5,-18.3,8.4
"Current Prices","Quezon","Crops",-23.4,27.3,5.9,2.0
"Current Prices","Quezon","Livestock",-5.0,20.6,18.3,-5.4
"Current Prices","Quezon","Poultry",10.3,-5.5,4.5,21.5
"Current Prices","Quezon","Fisheries",10.7,-10.6,19.2,-1.7
"Current Prices","Quezon","Agriculture and Fisheries",-6.9,9.6,10.9,2.9
"Current Prices","Rizal","Crops",-27.1,-8.2,35.0,1.9
"Current Prices","Rizal","Livestock",-12.4,-7.9,-81.4,48.9
"Current Prices","Rizal","Poultry",3.5,-12.3,2.7,17.1
"Current Prices","Rizal","Fisheries",8.5,-27.9,27.8,-31.5
"Current Prices","Rizal","Agriculture and Fisheries",-5.4,-11.5,-36.0,13.5
"Current Prices","Marinduque","Crops",-20.2,5.8,7.5,13.1
"Current Prices","Marinduque","Livestock",-4.1,3.2,33.9,-20.3
"Current Prices","Marinduque","Poultry",-5.0,7.4,30.7,51.3
"Current Prices","Marinduque","Fisheries",0.2,18.6,19.2,-30.0
"Current Prices","Marinduque","Agriculture and Fisheries",-9.5,7.4,21.7,-10.2
"Current Prices","Occidental Mindoro","Crops",-16.5,-3.3,27.4,7.3
"Current Prices","Occidental Mindoro","Livestock",-17.0,-4.8,53.3,-2.9
"Current Prices","Occidental Mindoro","Poultry",5.5,6.0,-1.5,27.9
"Current Prices","Occidental Mindoro","Fisheries",5.1,0.1,52.3,4.3
"Current Prices","Occidental Mindoro","Agriculture and Fisheries",-14.4,-2.9,32.0,6.0
"Current Prices","Oriental Mindoro","Crops",-7.5,-14.2,8.6,0.8
"Current Prices","Oriental Mindoro","Livestock",-22.5,-2.9,119.8,27.0
"Current Prices","Oriental Mindoro","Poultry",12.8,1.9,55.1,6.5
"Current Prices","Oriental Mindoro","Fisheries",-5.4,22.1,5.0,-18.5
"Current Prices","Oriental Mindoro","Agriculture and Fisheries",-9.1,-9.9,25.8,6.2
"Current Prices","Palawan","Crops",-7.0,2.1,15.9,-4.4
"Current Prices","Palawan","Livestock",-4.1,11.7,39.8,12.1
"Current Prices","Palawan","Poultry",15.1,8.0,-1.9,30.6
"Current Prices","Palawan","Fisheries",-5.0,-16.4,-12.5,31.2
"Current Prices","Palawan","Agriculture and Fisheries",-5.2,-3.7,9.4,10.0
"Current Prices","Romblon","Crops",-15.8,-3.0,17.3,12.3
"Current Prices","Romblon","Livestock",-7.2,-10.8,78.2,3.8
"Current Prices","Romblon","Poultry",9.4,14.3,11.9,41.5
"Current Prices","Romblon","Fisheries",-2.1,3.9,4.3,21.6
"Current Prices","Romblon","Agriculture and Fisheries",-10.4,-2.1,26.2,13.8
"Current Prices","Albay","Crops",-14.8,6.8,12.4,16.7
"Current Prices","Albay","Livestock",-7.4,-9.7,-20.4,9.7
"Current Prices","Albay","Poultry",11.7,9.0,35.9,20.7
"Current Prices","Albay","Fisheries",4.0,1.3,23.2,-4.2
"Current Prices","Albay","Agriculture and Fisheries",-8.9,2.0,8.3,12.9
"Current Prices","Camarines Norte","Crops",-15.0,10.5,21.4,15.1
"Current Prices","Camarines Norte","Livestock",-9.2,5.2,52.3,5.0
"Current Prices","Camarines Norte","Poultry",-13.2,-2.2,21.2,5.8
"Current Prices","Camarines Norte","Fisheries",14.4,-34.0,-16.1,-38.2
"Current Prices","Camarines Norte","Agriculture and Fisheries",-6.3,-4.6,20.4,4.1
"Current Prices","Camarines Sur","Crops",-23.5,9.0,9.1,10.7
"Current Prices","Camarines Sur","Livestock",-10.1,-16.4,41.5,3.7
"Current Prices","Camarines Sur","Poultry",18.0,-12.2,24.1,21.9
"Current Prices","Camarines Sur","Fisheries",-11.3,-4.8,-7.3,96.1
"Current Prices","Camarines Sur","Agriculture and Fisheries",-15.5,-0.4,14.1,19.0
"Current Prices","Catanduanes","Crops",-10.8,0.9,-36.8,32.5
"Current Prices","Catanduanes","Livestock",-11.5,8.2,-55.2,-10.4
"Current Prices","Catanduanes","Poultry",16.4,10.5,29.6,1.2
"Current Prices","Catanduanes","Fisheries",4.0,-16.1,-26.6,1.7
"Current Prices","Catanduanes","Agriculture and Fisheries",-8.6,0.1,-37.8,20.1
"Current Prices","Masbate","Crops",-22.1,14.5,24.1,8.1
"Current Prices","Masbate","Livestock",-2.6,-3.9,40.6,14.8
"Current Prices","Masbate","Poultry",-0.3,8.8,-31.1,-3.6
"Current Prices","Masbate","Fisheries",-2.6,-20.7,3.2,-19.1
"Current Prices","Masbate","Agriculture and Fisheries",-10.2,-3.7,20.4,2.7
"Current Prices","Sorsogon","Crops",-27.4,10.7,11.4,4.1
"Current Prices","Sorsogon","Livestock",-15.4,-0.1,44.7,17.4
"Current Prices","Sorsogon","Poultry",-9.5,-22.3,0.9,-8.9
"Current Prices","Sorsogon","Fisheries",-22.2,58.1,-32.8,36.5
"Current Prices","Sorsogon","Agriculture and Fisheries",-21.8,17.5,1.3,14.9
"Current Prices","Aklan","Crops",-13.2,10.1,1.3,19.3
"Current Prices","Aklan","Livestock",-14.6,-8.8,16.4,21.5
