"Palay:  Estimated Inorganic Fertilizer Use by Geolocation, Grade and Year by Region, Area Harvested and Year by PHILIPPINES, FERTILIZER and Year"

"PHILIPPINES","FERTILIZER","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Area Applied",64086.29,75510.00,78230.00,87032.00,91887.00,121561.00,85245.00,87071.22,76220.50,120100.00,96310.88,95614.65,91840.61,96236.00,98815.00,97720.89,89474.49,79776.54,86341.79
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","All Grades",4.56,4.56,4.73,4.68,4.32,3.67,4.69,5.20,4.99,4.87,5.14,5.83,5.49,4.95,5.21,5.59,5.45,5.60,5.87
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Urea",2.57,2.49,2.56,2.77,2.51,2.40,3.11,3.41,3.15,2.78,3.00,3.36,2.58,2.61,2.71,2.99,3.12,2.99,3.19
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammosul",0.28,0.32,0.36,0.41,0.36,0.17,0.10,0.24,0.06,0.15,0.21,0.23,0.39,0.23,0.26,0.19,0.16,0.18,0.18
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammophos",0.49,0.51,0.51,0.63,0.50,0.29,0.24,0.25,0.43,0.39,0.38,0.52,0.82,0.48,0.40,0.30,0.23,0.36,0.27
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Complete",1.12,1.19,1.25,0.82,0.89,0.78,1.24,1.30,1.36,1.54,1.56,1.72,1.70,1.63,1.84,2.11,1.93,2.07,2.23
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Others",0.10,0.05,0.05,0.05,0.05,0.03,..,..,..,0.01,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION I (ILOCOS REGION)","Area Applied",352232.00,361618.56,359553.00,375854.00,373574.00,386565.00,386048.00,393371.00,366676.12,403238.03,399829.76,412183.00,407787.20,412316.00,408104.00,404880.00,405369.03,406086.51,409013.00
"..REGION I (ILOCOS REGION)","All Grades",5.84,6.15,6.04,6.52,6.76,5.55,6.15,5.94,6.21,6.62,6.23,6.49,6.85,6.90,7.63,7.84,6.20,7.77,6.09
"..REGION I (ILOCOS REGION)","Urea",2.84,3.04,3.02,2.89,3.34,3.03,3.48,3.17,3.06,3.06,2.95,3.05,3.28,3.33,3.84,3.77,3.05,3.42,2.95
"..REGION I (ILOCOS REGION)","Ammosul",0.39,0.60,0.33,0.55,0.66,0.47,0.41,0.47,0.65,0.86,0.64,0.62,0.70,0.47,0.32,0.47,0.65,0.95,0.61
"..REGION I (ILOCOS REGION)","Ammophos",0.33,0.30,0.34,0.33,0.29,0.26,0.24,0.33,0.61,0.27,0.37,0.25,0.27,0.33,0.26,0.19,0.31,0.41,0.16
"..REGION I (ILOCOS REGION)","Complete",2.21,2.19,2.22,2.70,2.39,1.77,2.02,1.97,1.89,2.42,2.28,2.57,2.59,2.77,3.21,3.40,2.20,3.00,2.37
"..REGION I (ILOCOS REGION)","Others",0.08,0.02,0.13,0.05,0.09,0.02,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION II (CAGAYAN VALLEY)","Area Applied",441565.03,480350.46,464062.62,496748.00,498787.00,534792.00,532618.00,515943.12,550513.00,598870.21,575485.00,624357.41,583655.18,555589.00,590327.83,557730.73,581633.00,589379.00,612913.00
"..REGION II (CAGAYAN VALLEY)","All Grades",4.76,5.07,5.45,5.24,5.49,5.25,5.46,5.32,5.99,5.49,5.85,5.66,6.09,6.46,6.10,6.38,6.48,6.40,7.06
"..REGION II (CAGAYAN VALLEY)","Urea",2.53,2.37,2.49,2.45,2.58,2.63,2.91,2.77,3.20,2.57,2.73,3.00,3.27,3.37,3.03,3.06,3.17,3.19,3.38
"..REGION II (CAGAYAN VALLEY)","Ammosul",0.18,0.18,0.29,0.31,0.36,0.40,0.40,0.48,0.45,0.46,0.67,0.50,0.47,0.37,0.44,0.45,0.32,0.23,0.32
"..REGION II (CAGAYAN VALLEY)","Ammophos",0.82,1.04,0.98,1.32,1.44,0.92,0.75,0.72,1.06,1.00,0.95,0.79,0.76,0.83,0.87,0.97,1.11,1.09,0.93
"..REGION II (CAGAYAN VALLEY)","Complete",1.21,1.41,1.44,1.06,1.04,1.19,1.40,1.34,1.28,1.46,1.49,1.36,1.60,1.89,1.77,1.89,1.88,1.88,2.44
"..REGION II (CAGAYAN VALLEY)","Others",0.03,0.06,0.26,0.09,0.07,0.12,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION III (CENTRAL LUZON)","Area Applied",566149.00,564507.07,564137.00,592240.00,640913.00,649324.00,663295.00,678888.00,609875.00,675237.00,697425.78,720849.02,803348.78,785000.44,791933.66,720300.69,711923.61,707051.26,724200.98
"..REGION III (CENTRAL LUZON)","All Grades",6.11,6.50,5.80,6.12,5.41,5.42,6.11,6.31,6.07,6.37,5.75,6.97,6.41,6.81,6.74,6.89,6.81,7.30,7.64
"..REGION III (CENTRAL LUZON)","Urea",2.47,2.31,2.31,2.28,1.98,2.01,2.35,2.46,2.29,2.43,2.39,2.71,2.67,2.74,2.80,2.86,2.88,3.11,3.12
"..REGION III (CENTRAL LUZON)","Ammosul",0.35,0.38,0.32,0.41,0.56,0.69,0.51,0.53,0.36,0.40,0.34,0.49,0.27,0.46,0.27,0.21,0.36,0.25,0.78
"..REGION III (CENTRAL LUZON)","Ammophos",0.87,1.04,0.92,1.00,0.69,0.72,0.98,1.00,0.94,0.96,0.71,0.81,0.70,0.89,1.00,0.84,0.71,0.57,0.56
"..REGION III (CENTRAL LUZON)","Complete",2.33,2.67,2.14,2.33,2.05,1.98,2.27,2.32,2.48,2.57,2.30,2.96,2.78,2.72,2.66,2.98,2.86,3.37,3.18
"..REGION III (CENTRAL LUZON)","Others",0.09,0.10,0.11,0.11,0.12,0.02,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION IV-A (CALABARZON)","Area Applied",114245.00,101792.00,92293.00,90668.00,87073.00,98724.00,91376.00,91490.00,96940.00,108744.39,109607.00,108319.60,111741.00,116100.00,114232.11,101206.14,99468.19,102208.62,100097.08
"..REGION IV-A (CALABARZON)","All Grades",3.70,4.26,3.96,4.01,4.52,4.27,3.65,3.74,3.94,3.69,3.90,3.96,3.84,4.03,4.19,5.12,4.85,5.67,5.28
"..REGION IV-A (CALABARZON)","Urea",2.24,2.44,2.48,2.29,2.19,2.11,2.44,2.49,2.32,2.34,2.46,2.52,2.50,2.45,2.60,3.33,3.03,3.18,3.02
"..REGION IV-A (CALABARZON)","Ammosul",0.29,0.30,0.31,0.83,0.62,0.86,0.10,0.13,0.11,0.14,0.16,0.11,0.13,0.16,0.11,0.12,0.16,0.17,0.20
"..REGION IV-A (CALABARZON)","Ammophos",0.27,0.45,0.47,0.07,0.13,0.17,0.13,0.17,0.19,0.19,0.13,0.17,0.10,0.21,0.11,0.20,0.05,0.08,0.10
"..REGION IV-A (CALABARZON)","Complete",0.88,0.83,0.70,0.77,1.58,1.13,0.97,0.95,1.32,1.02,1.15,1.15,1.11,1.20,1.36,1.46,1.61,2.24,1.96
"..REGION IV-A (CALABARZON)","Others",0.02,0.23,..,0.05,0.01,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..MIMAROPA REGION","Area Applied",230516.00,205500.48,203271.76,232626.00,231433.00,225841.00,260421.00,231526.00,256581.00,277794.00,278890.00,268143.00,273859.26,284326.00,296272.00,312218.82,274010.30,283609.00,260722.51
"..MIMAROPA REGION","All Grades",3.52,3.79,3.97,5.23,5.07,3.88,4.96,4.17,4.88,5.08,5.00,5.22,5.10,5.76,5.64,5.68,6.44,6.72,6.46
"..MIMAROPA REGION","Urea",1.77,1.81,1.78,1.96,2.06,1.63,2.37,2.05,2.43,2.51,2.26,2.33,2.62,2.62,2.59,2.39,2.79,2.91,2.76
"..MIMAROPA REGION","Ammosul",0.27,0.39,0.39,0.40,0.44,0.42,0.49,0.35,0.35,0.38,0.40,0.38,0.37,0.36,0.40,0.43,0.47,0.49,0.45
"..MIMAROPA REGION","Ammophos",0.23,0.30,0.32,0.85,0.67,0.22,0.44,0.36,0.40,0.33,0.50,0.54,0.45,0.66,0.51,0.47,0.52,0.64,0.34
"..MIMAROPA REGION","Complete",1.23,1.27,1.45,1.96,1.75,1.60,1.66,1.41,1.70,1.86,1.84,1.97,1.66,2.11,2.14,2.39,2.66,2.69,2.91
"..MIMAROPA REGION","Others",0.02,0.02,0.03,0.06,0.14,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION V (BICOL REGION)","Area Applied",223739.00,242208.89,247781.21,243614.00,238009.00,270417.00,281663.00,284830.00,309117.00,333550.00,303102.69,317899.38,332326.00,353326.44,356401.44,352529.00,321803.60,322873.93,332990.33
"..REGION V (BICOL REGION)","All Grades",3.62,3.68,3.60,3.01,3.38,3.08,3.46,3.17,2.99,3.45,3.44,3.55,3.51,3.84,4.05,4.26,4.54,4.74,4.19
"..REGION V (BICOL REGION)","Urea",1.88,1.97,1.89,1.59,1.81,1.70,1.88,1.74,1.58,1.69,1.67,1.70,1.70,1.81,1.90,2.09,2.14,2.29,2.08
"..REGION V (BICOL REGION)","Ammosul",0.10,0.09,0.15,0.10,0.16,0.13,0.04,0.08,0.05,0.10,0.01,0.01,0.05,0.10,0.06,0.10,0.02,0.00,0.13
"..REGION V (BICOL REGION)","Ammophos",0.21,0.27,0.37,0.15,0.15,0.22,0.31,0.23,0.27,0.27,0.29,0.32,0.31,0.44,0.49,0.38,0.51,0.37,0.20
"..REGION V (BICOL REGION)","Complete",1.30,1.28,1.07,1.13,1.21,1.02,1.23,1.12,1.08,1.39,1.47,1.53,1.45,1.49,1.59,1.69,1.87,2.07,1.78
"..REGION V (BICOL REGION)","Others",0.14,0.06,0.11,0.04,0.05,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION VI (WESTERN VISAYAS)","Area Applied",567884.00,589686.08,571012.63,590138.79,587209.00,549672.00,651435.00,536933.00,646254.00,632124.00,606930.05,616654.00,552345.06,571761.48,624585.95,652993.50,616480.90,647534.98,674143.91
"..REGION VI (WESTERN VISAYAS)","All Grades",4.45,4.54,4.39,4.39,4.40,3.71,4.14,4.01,4.31,4.30,4.69,4.73,4.51,4.52,4.87,4.93,5.05,4.94,4.97
"..REGION VI (WESTERN VISAYAS)","Urea",1.64,1.70,1.69,1.65,1.54,1.38,1.80,1.65,1.72,1.69,1.89,1.77,1.98,2.04,2.10,2.11,2.01,2.09,1.72
"..REGION VI (WESTERN VISAYAS)","Ammosul",0.64,0.59,0.61,0.55,0.59,0.70,0.55,0.57,0.70,0.52,0.80,1.00,0.48,0.49,0.52,0.52,0.74,0.48,1.02
"..REGION VI (WESTERN VISAYAS)","Ammophos",0.86,0.93,0.87,1.01,1.00,0.61,0.87,0.63,0.55,0.57,0.54,0.60,0.68,0.66,0.68,0.66,0.64,0.58,0.55
"..REGION VI (WESTERN VISAYAS)","Complete",1.14,1.17,1.08,1.10,1.18,0.94,0.92,1.16,1.34,1.52,1.47,1.36,1.37,1.33,1.57,1.63,1.66,1.79,1.68
"..REGION VI (WESTERN VISAYAS)","Others",0.16,0.15,0.14,0.08,0.09,0.08,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION VII (CENTRAL VISAYAS)","Area Applied",74799.00,83230.15,74422.17,94240.00,80278.00,100713.00,95372.00,93862.00,99580.00,104850.00,104293.00,102948.00,101456.00,81829.00,96880.00,94199.00,71286.00,86720.00,91766.00
"..REGION VII (CENTRAL VISAYAS)","All Grades",4.12,2.67,3.73,3.35,3.84,3.72,3.67,3.63,4.05,3.92,4.13,5.00,5.11,4.89,5.96,5.63,5.35,5.61,6.13
"..REGION VII (CENTRAL VISAYAS)","Urea",1.19,1.08,1.11,1.00,1.17,1.08,1.39,1.19,1.39,1.34,1.33,1.62,1.67,1.77,1.93,1.83,1.68,1.93,2.22
"..REGION VII (CENTRAL VISAYAS)","Ammosul",0.11,0.08,0.10,0.02,0.01,0.06,0.06,0.09,0.14,0.19,0.13,0.18,0.15,0.13,0.20,0.12,0.13,0.14,0.41
"..REGION VII (CENTRAL VISAYAS)","Ammophos",0.36,0.24,0.20,0.32,0.36,0.15,0.33,0.31,0.25,0.21,0.20,0.27,0.23,0.27,0.46,0.53,0.40,0.32,0.53
"..REGION VII (CENTRAL VISAYAS)","Complete",2.36,1.24,2.30,1.94,2.30,2.28,1.89,2.04,2.28,2.18,2.47,2.93,3.05,2.72,3.38,3.15,3.14,3.22,2.97
"..REGION VII (CENTRAL VISAYAS)","Others",0.11,0.03,0.02,0.08,0.00,0.16,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION VIII (EASTERN VISAYAS)","Area Applied",146760.00,162968.69,125743.51,166833.00,195783.00,266777.00,218740.00,190655.00,232780.00,229927.80,211862.94,187840.36,198375.20,196382.14,211776.00,221190.54,218433.15,229382.33,204425.60
"..REGION VIII (EASTERN VISAYAS)","All Grades",2.61,2.94,3.27,2.95,3.12,2.16,1.94,2.54,2.18,2.94,2.63,2.28,2.55,2.72,2.75,2.93,2.76,2.77,3.10
"..REGION VIII (EASTERN VISAYAS)","Urea",1.23,1.48,1.44,1.56,1.68,1.13,0.94,1.20,0.97,1.36,1.25,1.10,1.20,1.27,1.28,1.31,1.25,1.18,1.34
