"Commercial Crops: Supply Utilization Accounts"

"Commodity","Year","SU Production","SU Imports","SU Gross Supply","UT Exports","UT Net Disposable Supply","UT Seeds","UT Feeds and Waste","UT Processing Food Use","UT Processing Non-food Use","UT Processing","UT Total Net Food Disposable","UT Per Capita (kg/yr)"
"Cacao","1990",9848.00,11000.00,20848.00,8000.00,12848.00,0.00,0.00,0.00,0.00,128.48,12719.52,0.21
"Cacao","1991",9584.00,12056.00,21640.00,4819.00,16821.00,0.00,0.00,0.00,0.00,168.21,16652.79,0.18
"Cacao","1992",7537.00,9072.00,16609.00,5861.00,10748.00,0.00,0.00,0.00,0.00,107.48,10640.52,0.17
"Cacao","1993",7707.00,11894.00,19601.00,6714.00,12887.00,0.00,0.00,0.00,0.00,128.87,12758.13,0.19
"Cacao","1994",7945.00,14100.00,22045.00,7450.00,14595.00,0.00,0.00,0.00,0.00,145.95,14449.05,0.21
"Cacao","1995",7927.00,17610.00,25537.00,7260.00,18277.00,0.00,0.00,0.00,0.00,182.77,18094.23,0.26
"Cacao","1996",7895.00,10780.00,18675.00,8070.00,10605.00,0.00,0.00,0.00,0.00,106.05,10498.95,0.15
"Cacao","1997",7844.00,7870.00,15714.00,120.00,15594.00,0.00,0.00,0.00,0.00,155.94,15438.06,0.22
"Cacao","1998",7387.00,6734.00,14121.00,1408.00,12713.00,0.00,0.00,0.00,0.00,127.13,12585.87,0.17
"Cacao","1999",7667.00,5056.00,12723.00,121.00,12602.00,0.00,0.00,0.00,0.00,126.02,12475.98,0.17
"Cacao","2000",6628.00,6281.00,12909.00,1.00,12908.00,0.00,0.00,0.00,0.00,129.08,12778.92,0.17
"Cacao","2001",6531.00,8822.00,15353.00,0.00,15353.00,0.00,0.00,0.00,0.00,153.53,15199.47,0.19
"Cacao","2002",5803.00,6979.00,12782.00,6.00,12776.00,0.00,0.00,0.00,0.00,127.76,12648.24,0.16
"Cacao","2003",5693.00,4890.00,10583.00,b/,10583.00,0.00,0.00,0.00,0.00,105.83,10477.17,0.13
"Cacao","2004",5648.00,1295.00,6943.00,95.00,6848.00,0.00,0.00,0.00,0.00,68.48,6779.52,0.08
"Cacao","2005",5679.00,106.00,5785.00,52.00,5733.00,0.00,0.00,0.00,0.00,57.33,5675.67,0.07
"Cacao","2006",5415.00,118.00,5533.00,126.00,5407.00,0.00,0.00,0.00,0.00,54.07,5352.93,0.06
"Cacao","2007",5237.00,77.00,5314.00,75.00,5239.00,0.00,0.00,0.00,0.00,52.39,5186.61,0.06
"Cacao","2008",5149.00,141.00,5290.00,103.00,5187.00,0.00,0.00,0.00,0.00,51.87,5135.13,0.06
