Commodity,Year,SU Production,SU Imports,SU Gross Supply,UT Exports,UT Feeds and Waste,UT Processing,UT Total Net Food Disposable,UT Per Capita kg/yr,UT Per Capita gm/day
Milkfish,1990,213757.00,0.00,213757.00,805.00,6412.71,68402.24,138137.05,2.25,6.16
Milkfish,1991,237122.00,0.00,237122.00,357.00,7113.66,75879.04,153772.30,1.66,4.54
Milkfish,1992,174529.00,0.00,174529.00,582.00,5235.87,55849.28,112861.85,1.76,4.81
Milkfish,1993,152212.00,0.00,152212.00,648.00,4566.36,48707.84,98289.80,1.50,4.12
Milkfish,1994,166153.00,0.00,166153.00,217.00,4984.59,53168.96,107782.45,1.57,4.30
Milkfish,1995,158357.00,0.00,158357.00,114.00,4750.71,50674.24,102818.05,1.50,4.12
Milkfish,1996,153822.00,0.00,153822.00,122.00,4614.66,49223.04,99862.30,1.43,3.91
Milkfish,1997,161823.00,0.00,161823.00,110.00,4854.69,51783.36,105074.95,1.47,4.02
Milkfish,1998,165458.00,0.00,165458.00,162.00,4963.74,52946.56,107385.70,1.47,4.02
Milkfish,1999,180854.00,282.00,181136.00,87.00,5425.62,57873.28,117750.10,1.58,4.32
Milkfish,2000,210157.00,,210157.00,9.00,6304.71,67250.24,136593.05,1.79,4.89
Milkfish,2001,225538.00,23.00,225561.00,373.00,6766.14,72172.16,146249.70,1.86,5.10
Milkfish,2002,232491.00,33.00,232524.00,275.00,6974.73,74397.12,150877.15,1.88,5.15
Milkfish,2003,247619.00,,247619.00,267.00,7428.57,79238.08,160685.35,1.96,5.38
Milkfish,2004,274151.00,25.00,274176.00,523.00,8224.53,87728.32,177700.15,2.13,5.83
Milkfish,2005,289789.00,12.00,289801.00,611.00,8693.67,92732.48,187763.85,2.20,6.03
Milkfish,2006,318664.00,63.00,318727.00,1189.00,9559.92,101972.48,206005.60,2.37,6.49
Milkfish,2007,352002.00,33.00,352035.00,1531.00,10560.06,112640.64,227303.30,2.57,7.03
Milkfish,2008,354551.00,7.00,354558.00,1678.00,10636.53,113456.32,228787.15,2.53,6.93
Milkfish,2009,356935.00,26.00,356961.00,2909.00,10708.05,114219.20,229124.75,2.52,6.90
Milkfish,2010,357919.00,42.00,357961.00,2984.00,10737.57,114534.08,229705.35,2.47,6.76
Milkfish,2011,378298.95,160.00,378458.95,3465.00,11348.97,121055.66,242589.32,2.56,7.01
Milkfish,2012,391330.05,741.00,392071.05,2297.00,11739.90,125225.62,252808.53,2.62,7.18
Milkfish,2013,405783.00,458.00,406241.00,4121.00,12173.49,129850.56,260095.95,2.65,7.26
Milkfish,2014,401979.00,112.00,402091.00,3419.00,12059.37,128633.28,257979.35,2.58,7.08
Milkfish,2015,392738.14,105.00,392843.14,3219.00,11782.14,125676.21,252165.79,2.48,6.80
Milkfish,2016,402655.07,6.00,402661.07,3306.00,12079.65,128849.62,258425.80,2.50,6.86
Milkfish,2017,416363.17,449.78,416812.95,3040.17,12490.90,133236.21,268045.67,2.57,7.05
Milkfish,2018,400118.78,0.00,400118.78,3878.73,12003.56,128038.01,256198.48,2.42,6.64
Milkfish,2019,414944.25,318.66,415262.91,5870.31,12448.33,132782.16,264162.11,2.46,6.75
Milkfish,2020,420960.47,538.80,421499.27,5927.08,12628.81,134707.35,268236.02,2.47,6.76
Milkfish,2021,446382.19,627.21,447009.40,6870.07,13391.47,142842.30,283905.56,2.58,7.06
Milkfish,2022,390098.30,311.20,390409.50,4312.74,11702.95,124831.46,249562.36,2.24,6.13
Roundscad,1990,249300.00,0.00,249300.00,0.00,7479.00,79776.00,162045.00,2.64,7.22
Roundscad,1991,277330.00,0.00,277330.00,2228.00,8319.90,88745.60,178036.50,1.92,5.25
Roundscad,1992,296979.00,0.00,296979.00,1525.00,8909.37,95033.28,191511.35,2.98,8.17
Roundscad,1993,272049.00,0.00,272049.00,886.00,8161.47,87055.68,175945.85,2.69,7.37
Roundscad,1994,233177.00,0.00,233177.00,984.00,6995.31,74616.64,150581.05,2.19,6.01
Roundscad,1995,259768.00,0.00,259768.00,1032.00,7793.04,83125.76,167817.20,2.46,6.73
Roundscad,1996,223924.00,0.00,223924.00,1689.00,6717.72,71655.68,143861.60,2.06,5.63
Roundscad,1997,228878.00,0.00,228878.00,1943.00,6866.34,73240.96,146827.70,2.05,5.62
Roundscad,1998,245143.00,0.00,245143.00,1431.00,7354.29,78445.76,157911.95,2.16,5.91
Roundscad,1999,248462.00,0.00,248462.00,1249.00,7453.86,79507.84,160251.30,2.14,5.87
Roundscad,2000,255976.00,0.00,255976.00,4546.00,7679.28,81912.32,161838.40,2.12,5.80
Roundscad,2001,286204.00,98.00,286302.00,3712.00,8586.12,91585.28,182418.60,2.32,6.36
Roundscad,2002,277503.00,800.00,278303.00,2471.00,8325.09,88800.96,178705.95,2.23,6.10
Roundscad,2003,310639.00,1564.00,312203.00,2552.00,9319.17,99404.48,200927.35,2.45,6.72
Roundscad,2004,293876.00,1453.48,295329.48,787.45,8816.28,94040.32,191685.43,2.29,6.28
Roundscad,2005,280776.00,77.00,280853.00,269.00,8423.28,89848.32,182312.40,2.14,5.86
Roundscad,2006,260058.00,191.00,260249.00,283.00,7801.74,83218.56,168945.70,1.94,5.32
Roundscad,2007,320215.00,0.00,320215.00,819.00,9606.45,102468.80,207320.75,2.34,6.41
Roundscad,2008,294137.00,633.00,294770.00,845.00,8824.11,94123.84,190977.05,2.11,5.78
Roundscad,2009,243665.00,527.00,244192.00,787.00,7309.95,77972.80,158122.25,1.74,4.76
Roundscad,2010,268227.19,246.00,268473.19,909.00,8046.82,85832.70,173684.67,1.86,5.11
Roundscad,2011,239570.95,55.00,239625.95,635.00,7187.13,76662.70,155141.12,1.64,4.48
Roundscad,2012,233481.00,24.00,233505.00,357.00,7004.43,74713.92,151429.65,1.57,4.30
Roundscad,2013,270809.00,183.00,270992.00,170.00,8124.27,86658.88,176038.85,1.79,4.91
Roundscad,2014,260598.00,191.00,260789.00,169.00,7817.94,83391.36,169410.70,1.70,4.65
Roundscad,2015,225101.69,346.00,225447.69,198.00,6753.05,72032.54,146464.10,1.44,3.95
Roundscad,2016,211776.50,835.00,212611.50,79.00,6353.30,67768.48,138410.73,1.34,3.67
Roundscad,2017,183077.67,2751.30,185828.97,102.66,5492.33,58584.85,121649.13,1.17,3.20
Roundscad,2018,171306.41,5454.69,176761.10,53.34,5139.19,54818.05,116750.52,1.10,3.02
Roundscad,2019,189003.22,53071.72,242074.94,58.72,5670.10,60481.03,175865.09,1.64,4.49
Roundscad,2020,202003.85,24045.29,226049.14,1.57,6060.12,64641.23,155346.22,1.43,3.91
Roundscad,2021,181516.46,61588.30,243104.76,708.25,5445.49,58085.27,178865.74,1.62,4.45
Roundscad,2022,174710.58,53480.76,228191.34,43.88,5241.32,55907.39,166998.76,1.50,4.10
Tilapia,1990,97424.00,0.00,97424.00,0.00,2922.72,0.00,94501.28,1.54,4.21
Tilapia,1991,96330.00,0.00,96330.00,0.00,2889.90,0.00,93440.10,1.01,2.76
Tilapia,1992,110631.00,0.00,110631.00,0.00,3318.93,0.00,107312.07,1.67,4.58
Tilapia,1993,120297.00,0.00,120297.00,0.00,3608.91,0.00,116688.09,1.78,4.89
Tilapia,1994,107990.00,0.00,107990.00,0.00,3239.70,0.00,104750.30,1.53,4.18
Tilapia,1995,102427.00,0.00,102427.00,0.00,3072.81,0.00,99354.19,1.45,3.98
Tilapia,1996,97172.00,0.00,97172.00,0.00,2915.16,0.00,94256.84,1.35,3.69
Tilapia,1997,112766.00,0.00,112766.00,0.00,3382.98,0.00,109383.02,1.53,4.19
Tilapia,1998,95500.00,0.00,95500.00,0.00,2865.00,0.00,92635.00,1.27,3.47
Tilapia,1999,109110.00,0.00,109110.00,0.00,3273.30,0.00,105836.70,1.42,3.88
Tilapia,2000,121453.00,0.00,121453.00,0.00,3643.59,0.00,117809.41,1.54,4.22
Tilapia,2001,135627.00,0.00,135627.00,0.00,4068.81,0.00,131558.19,1.67,4.59
Tilapia,2002,152985.00,0.00,152985.00,0.00,4589.55,0.00,148395.45,1.85,5.07
Tilapia,2003,168132.00,0.00,168132.00,0.00,5043.96,0.00,163088.04,1.99,5.46
Tilapia,2004,177790.32,0.00,177790.32,0.00,5333.71,0.00,172456.61,2.06,5.65
Tilapia,2005,195504.08,0.00,195504.08,0.00,5865.12,0.00,189638.96,2.22,6.09
Tilapia,2006,241774.83,0.00,241774.83,0.00,7253.24,0.00,234521.59,2.70,7.39
Tilapia,2007,278831.27,20.00,278851.27,52.44,8364.94,0.00,270433.89,3.05,8.37
Tilapia,2008,299813.31,20.00,299833.31,300.00,8994.40,0.00,290538.91,3.21,8.80
Tilapia,2009,304374.00,4.00,304378.00,6.00,9131.22,0.00,295240.78,3.24,8.89
Tilapia,2010,303735.00,0.00,303735.00,0.00,9112.05,0.00,294622.95,3.16,8.67
Tilapia,2011,303170.00,277.00,303447.00,0.00,9095.10,0.00,294351.90,3.10,8.50
Tilapia,2012,307975.00,0.00,307975.00,293.00,9239.25,0.00,298442.75,3.09,8.47
Tilapia,2013,317757.00,24.00,317781.00,5319.00,9532.71,0.00,302929.29,3.08,8.45
Tilapia,2014,313378.00,0.00,313378.00,1957.00,9401.34,0.00,302019.66,3.02,8.28
Tilapia,2015,311684.17,43.00,311727.17,167.00,9350.53,0.00,302209.64,2.98,8.15
Tilapia,2016,300722.50,37.00,300759.50,60.00,9021.67,0.00,291677.82,2.83,7.74
Tilapia,2017,310974.80,234.95,311209.75,5.31,9329.24,0.00,301875.20,2.90,7.94
