Commodity,Year,SU Production,SU Imports,SU Gross Supply,UT Exports,UT Seeds,UT Feeds and Waste,UT Processing,UT Total Net Food Disposable,UT Per Capita (kg/yr),UT Per Capita (gm/day)
Cassava,1990,1853385,0,1853385,8653,0,111203,1549575,183954,3,8
Cassava,1991,1814880,0,1814880,33734,0,108893,1496163,176091,2,5
Cassava,1992,1783733,0,1783733,427,0,107024,1497977,178305,3,8
Cassava,1993,1843055,0,1843055,418,0,110583,1547815,184239,3,8
Cassava,1994,1890509,0,1890509,454,0,113431,1587646,188978,3,8
Cassava,1995,1905903,0,1905903,267,0,114354,1600734,190548,3,8
Cassava,1996,1910775,0,1910775,424,0,114647,1604695,191010,3,7
Cassava,1997,1958004,0,1958004,328,0,117480,1644448,195748,3,7
Cassava,1998,1733821,0,1733821,473,0,104029,1456012,173306,2,6
Cassava,1999,1890315,0,1890315,644,0,113419,1587324,188928,3,7
Cassava,2000,1765712,0,1765712,418,0,105943,1482847,176504,2,6
Cassava,2001,1652036,0,1652036,263,0,99122,1387489,165162,2,6
Cassava,2002,1625739,0,1625739,818,0,97544,1364934,162443,2,6
Cassava,2003,1622242,6200,1628442,850,0,97335,1367177,163080,2,5
Cassava,2004,1640520,12214,1652734,620,0,98431,1387776,165907,2,5
Cassava,2005,1677564,0,1677564,488,0,100654,1408744,167678,2,5
Cassava,2006,1756856,3150,1760006,591,0,105411,1477909,176095,2,6
Cassava,2007,1871138,0,1871138,881,0,112268,1571016,186973,2,6
Cassava,2008,1941575,0,1941575,848,0,116495,1630211,194022,2,6
Cassava,2009,2043719,0,2043719,982,0,122623,1715899,204215,2,6
Cassava,2010,2101454,24500,2125954,1011,0,126087,1784952,213904,2,6
Cassava,2011,2209684,5845,2215529,1098,0,132581,1860122,221728,2,6
Cassava,2012,2223182,78,2223260,583,0,133391,1867049,222237,2,6
Cassava,2013,2361561,15877,2377438,1031,0,141694,1996182,238531,2,7
Cassava,2014,2540254,10439,2550693,1744,0,152415,2141117,255417,3,7
