Type of Valuation,Geolocation,Subsector,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Current Prices,BARMM,CROPS,21301.0,15602.0,18171,18668,25708,29151,30521,32166.0,36541,36097,45182,45351,47208,51998,53920,48033,52429,61748,63106,65542,69044,71558,80469
Current Prices,BARMM,..Palay,2874.0,3717.0,3761,3228,4988,5518,5775,6903.0,8951,7629,9550,7661,8158,9028,9903,8105,9380,9616,11343,11163,11472,13578,14858
Current Prices,BARMM,..Corn,4231.0,4291.0,4063,4202,5611,5254,5727,7912.0,8487,8870,8789,8891,9217,7521,8945,7832,6776,9706,12180,14101,11924,15983,20500
Current Prices,BARMM,..Banana,1004.0,979.0,982,1254,2308,2910,2671,2717.0,2163,2981,3505,2259,4954,7071,7682,8858,9834,11190,12532,10904,10944,10052,11179
Current Prices,BARMM,..Coconut,3623.0,2390.0,3006,3565,4566,6581,6228,5064.0,7471,5874,10832,10350,7543,8721,11338,10970,12979,14207,11277,9942,11374,11886,13800
Current Prices,BARMM,..Cassava,7090.0,1834.0,4192,4316,5494,4982,6691,6161.0,6553,8038,7728,11918,12717,15019,12549,8801,9680,11926,10847,14047,18219,14229,13973
Current Prices,BARMM,..Rubber,164.0,215.0,240,403,688,761,992,1083.0,1237,972,2007,2821,2170,1963,1397,1215,1317,1906,1599,1793,1500,1909,2117
Current Prices,BARMM,..Coffee,267.0,203.0,215,267,266,292,283,297.0,365,350,375,341,363,377,379,394,416,479,488,518,526,480,534
Current Prices,BARMM,..Mango,173.0,188.0,169,148,107,105,121,128.0,88,124,104,66,95,92,165,133,212,389,286,309,317,445,394
Current Prices,BARMM,..Durian,378.0,396.0,486,397,505,984,522,533.0,396,288,568,12,474,250,175,318,368,319,329,401,427,523,534
Current Prices,BARMM,..Abaca,53.0,51.0,38,51,68,98,118,137.0,193,168,149,197,216,176,204,214,248,295,305,303,304,297,301
Current Prices,BARMM,..Sugarcane,0.0,12.0,32,60,67,34,37,78.0,74,54,90,103,161,156,135,225,76,174,207,170,217,279,411
Current Prices,BARMM,..Mongo,72.0,73.0,72,75,61,63,91,81.0,91,93,120,161,131,128,138,142,155,152,149,171,156,189,167
Current Prices,BARMM,..Sweet Potato,31.0,45.0,40,36,45,57,55,60.0,52,54,64,80,99,121,118,118,137,144,147,153,141,118,143
Current Prices,BARMM,..Oil Palm (fresh fruit bunch),,,14,1,2,1,0,1.0,1,1,3,102,278,452,226,88,86,89,89,65,84,88,95
Current Prices,BARMM,"..Jackfruit, ripe",54.0,52.0,47,56,47,62,56,62.0,64,59,51,37,36,43,45,44,78,53,80,70,44,51,52
Current Prices,BARMM,..Lanzones,956.0,795.0,464,302,352,912,665,620.0,6,195,795,8,178,427,60,77,94,78,74,64,70,152,152
Current Prices,BARMM,..Black Pepper,26.0,24.0,12,12,43,35,21,,32,38,38,22,29,44,48,52,55,71,73,80,82,86,45
Current Prices,BARMM,..Papaya,35.0,25.0,26,25,27,30,26,26.0,27,30,28,25,25,23,25,27,45,52,51,46,31,32,32
Current Prices,BARMM,..Calamansi,14.0,12.0,10,15,24,20,21,23.0,21,22,19,17,21,25,27,29,35,44,45,45,50,45,45
Current Prices,BARMM,..Mangosteen,53.0,41.0,53,44,187,170,179,37.0,1,7,80,0,62,69,21,27,36,43,42,29,31,66,71
Current Prices,BARMM,..Ginger,7.0,9.0,12,17,19,16,14,11.0,21,23,23,30,21,27,51,63,34,35,37,40,57,32,44
Current Prices,BARMM,..Peanut,11.0,9.0,9,10,10,13,10,10.0,11,12,12,13,15,15,18,22,22,24,22,22,22,21,18
Current Prices,BARMM,..Other Crops,185.0,242.0,225,185,226,251,217,222.0,234,214,250,236,247,249,271,279,368,755,905,1105,1050,1016,1003
Current Prices,BARMM,LIVESTOCK,1028.0,1238.0,1326,1376,1815,1844,1981,2472.0,2828,3520,4195,4075,3495,3180,3170,3009,3100,3555,4076,4407,4356,4874,6604
Current Prices,BARMM,..Hog,270.0,313.0,319,275,400,442,490,629.0,725,1063,1127,1301,1050,961,997,880,822,919,1072,1146,1193,1348,2494
Current Prices,BARMM,..Cattle,509.0,575.0,561,625,763,758,793,935.0,1034,1253,1701,1510,1123,1145,1096,1083,1191,1295,1415,1529,1544,1479,1746
Current Prices,BARMM,..Carabao,135.0,188.0,304,277,414,325,373,457.0,624,658,749,653,827,567,581,566,571,674,772,828,741,989,1214
Current Prices,BARMM,..Goat,114.0,162.0,143,199,239,318,325,452.0,446,547,618,610,495,507,496,480,516,667,817,904,878,1057,1150
Current Prices,BARMM,POULTRY,738.0,867.0,919,1098,1232,1115,1095,1291.0,1293,1240,1267,1134,1154,1159,1074,1086,1008,1510,1657,1403,1703,2114,2114
Current Prices,BARMM,..Chicken,467.0,565.0,590,713,797,703,660,768.0,734,645,743,715,625,629,584,587,557,573,645,714,803,1004,1140
Current Prices,BARMM,..Duck,68.0,69.0,71,104,103,106,106,108.0,122,122,122,105,106,87,86,81,87,94,113,167,246,420,280
Current Prices,BARMM,..Chicken Eggs,108.0,125.0,142,147,194,184,246,285.0,293,324,284,218,270,291,296,321,270,754,812,429,563,608,585
Current Prices,BARMM,..Duck Eggs,95.0,108.0,117,134,137,122,83,130.0,143,150,117,97,153,152,108,98,93,89,87,93,91,82,109
Current Prices,BARMM,FISHERIES,4157.0,5154.0,5549,6876,8181,8898,9496,9906.0,12823,12645,14329,14579,14065,15142,16037,15680,13771,14964,16455,17580,19018,24931,31924
Current Prices,BARMM,..Seaweed,,,1313,1609,2307,2541,2540,2589.0,4415,3344,4458,4325,3545,3564,4057,3102,2753,3279,3804,4024,4654,4936,8766
Current Prices,BARMM,..Tilapia,,,258,199,332,365,425,481.0,590,759,812,766,819,1066,1113,1407,1211,1259,1640,1754,1842,3338,3457
Current Prices,BARMM,..Yellowfin tuna (Tambakol/Bariles),,,120,286,315,514,500,559.0,600,716,669,733,829,1002,1002,1039,1027,1077,1084,1224,1194,1272,1091
Current Prices,BARMM,..Frigate tuna (Tulingan),,,350,522,517,612,633,711.0,808,932,1014,1058,1058,1058,1112,1092,936,1005,997,1000,1012,1051,1102
Current Prices,BARMM,..Milkfish (Bangus),,,151,138,151,158,247,290.0,348,453,497,533,560,594,605,698,729,871,955,947,1258,955,576
Current Prices,BARMM,..Big-eyed scad (Matangbaka),,,296,488,467,489,548,551.0,694,789,812,850,851,908,927,974,792,820,836,863,908,927,1168
Current Prices,BARMM,..Roundscad (Galunggong),,,399,365,379,401,417,450.0,527,568,588,648,674,709,730,752,668,676,760,817,810,837,938
Current Prices,BARMM,..Eastern little tuna (Bonito),,,226,271,299,393,409,404.0,463,466,492,497,510,520,517,548,531,530,553,573,624,625,633
Current Prices,BARMM,..Indian mackerel (Alumahan),,,175,238,264,272,320,313.0,400,459,461,462,458,490,498,480,406,427,465,540,524,537,381
Current Prices,BARMM,..Skipjack (Gulyasan),,,162,226,220,260,322,398.0,446,467,456,483,481,547,563,520,448,469,453,472,522,536,443
Current Prices,BARMM,..Bali sardinella (Tamban),,,154,184,223,214,226,178.0,209,304,320,336,333,341,362,388,383,389,381,406,408,433,341
Current Prices,BARMM,..Carp (Carpa),,,32,49,92,82,58,106.0,150,171,194,203,303,327,365,319,237,303,380,449,430,539,532
Current Prices,BARMM,..Mudfish (Dalag),,,208,199,224,251,175,211.0,253,260,249,248,272,311,356,445,180,232,273,274,299,2395,2255
Current Prices,BARMM,..Grouper (Lapu-lapu),,,92,90,101,117,105,116.0,143,143,151,162,165,243,252,261,245,268,265,299,317,345,362
Current Prices,BARMM,..Cavalla (Talakitok),,,49,61,61,69,80,97.0,119,124,136,157,162,176,192,236,254,280,258,275,274,304,462
Current Prices,BARMM,..Snapper (Maya-maya),,,33,41,38,34,44,48.0,68,48,51,52,59,61,60,162,198,203,229,232,152,163,113
Current Prices,BARMM,..Bigeye tuna (Tambakol/Bariles),,,33,78,87,141,225,246.0,219,51,102,106,108,117,120,141,148,165,200,312,433,458,442
Current Prices,BARMM,..Squid (Pusit),,,40,72,69,82,99,110.0,128,127,131,131,141,132,137,158,169,183,184,210,214,242,535
Current Prices,BARMM,..Spanish mackerel (Tanigue),,,26,29,29,50,65,66.0,79,68,74,79,86,121,132,130,128,131,173,155,175,186,229
Current Prices,BARMM,..Anchovies (Dilis),,,47,84,108,70,81,117.0,144,147,156,171,154,200,187,171,148,157,168,168,133,139,312
Current Prices,BARMM,..Other Fisheries,,,1386,1646,1899,1784,1976,1862.0,2020,2250,2506,2581,2500,2655,2749,2659,2182,2242,2395,2584,2837,4714,7786
Current Prices,BARMM,AGRICULTURE,27225.0,22861.0,25966,28017,36935,41008,43093,45835.0,53484,53502,64972,65140,65922,71479,74201,67808,70307,81777,85294,88933,94120,103477,121111
Constant 2018 Prices,BARMM,CROPS,48966.0,50221.0,48488,48621,50460,51197,52351,56866.0,55391,56001,56922,54233,55168,56910,56408,55858,55281,60071,63106,66791,68462,70859,70727
Constant 2018 Prices,BARMM,..Palay,6175.0,7899.0,7508,7089,8722,9687,9848,10941.0,11223,10300,11075,10249,9643,10875,9899,8674,9674,10269,11343,11989,12883,15012,14674
Constant 2018 Prices,BARMM,..Corn,9414.0,9694.0,8587,9089,8879,8514,9376,12078.0,11561,12826,11547,10751,10321,9002,9441,9083,7970,11358,12180,15046,15369,15348,15415
Constant 2018 Prices,BARMM,..Banana,7411.0,7545.0,7925,7951,8040,7921,7858,7872.0,7889,8064,8376,8807,9299,9709,10427,11218,11273,12035,12532,12667,12574,12590,12674
Constant 2018 Prices,BARMM,..Coconut,9467.0,9291.0,9386,9467,9725,9859,9946,10469.0,10530,10538,10570,10692,11046,11181,11424,11736,11596,11154,11277,11219,11355,11477,11564
Constant 2018 Prices,BARMM,..Cassava,11301.0,10394.0,9897,9591,9597,9699,9849,9975.0,10237,10327,10291,10277,10394,10559,10662,10447,10281,10583,10847,10841,11094,11168,11137
Constant 2018 Prices,BARMM,..Rubber,440.0,577.0,591,582,603,613,634,677.0,714,735,759,808,926,1061,1225,1345,1345,1479,1599,1691,1759,1772,1776
Constant 2018 Prices,BARMM,..Coffee,550.0,524.0,503,510,490,510,512,505.0,509,500,503,507,495,489,482,490,482,475,488,498,492,489,488
Constant 2018 Prices,BARMM,..Mango,233.0,233.0,243,268,269,287,286,295.0,240,293,241,163,148,152,216,228,236,242,286,296,302,311,314
Constant 2018 Prices,BARMM,..Durian,799.0,773.0,778,825,809,810,787,822.0,475,296,721,14,472,620,364,407,362,304,329,345,348,342,341
Constant 2018 Prices,BARMM,..Abaca,314.0,393.0,254,251,311,285,292,295.0,304,304,303,311,311,316,311,312,309,300,305,307,309,311,311
Constant 2018 Prices,BARMM,..Sugarcane,0.0,24.0,57,111,135,61,48,107.0,105,81,88,101,168,167,138,205,65,199,207,165,229,275,256
Constant 2018 Prices,BARMM,..Mongo,224.0,226.0,221,208,188,175,174,163.0,164,153,151,149,143,144,144,145,144,144,149,154,156,157,158
Constant 2018 Prices,BARMM,..Sweet Potato,99.0,100.0,97,100,141,140,141,139.0,145,140,139,137,140,141,143,145,143,145,147,146,149,150,150
Constant 2018 Prices,BARMM,..Oil Palm (fresh fruit bunch),,,4,2,2,2,0,0.0,1,1,2,67,216,380,175,81,82,84,89,92,95,96,97
Constant 2018 Prices,BARMM,"..Jackfruit, ripe",148.0,129.0,132,133,123,108,104,104.0,106,99,95,87,89,87,86,84,82,80,80,80,80,80,80
