Commodity,Geolocation,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Palay,PHILIPPINES,8539852.00,8971030.00,9458772.00,9319276.00,9673262.00,9128940.00,9434208.00,10538054.00,10540649.00,11283568.00,11268963.00,8554824.00,11786625.00,12389412.00,12954870.00,13270653.00,13499884.00,14496784.00,14603005.00,15326706.00,16240194.00,16815548.00,16266416.50,15772319.00,16684062.00,18032525.47,18439419.73,18967826.17,18149837.78,17627244.82,19276346.63,19066093.94,18814827.29,19294855.51,19960170.20,19756392.28,20059561.96
Palay,..CORDILLERA ADMINISTRATIVE REGION (CAR),162466.00,186443.00,163249.00,165585.00,152559.00,156472.00,166961.00,191208.00,193221.00,209480.00,218523.00,169968.00,221370.00,255820.00,314295.00,304355.00,300776.00,355877.00,354429.00,397340.00,436311.00,445156.00,431656.00,400415.00,428949.00,453461.00,460170.00,452609.00,400911.00,382848.00,445006.00,391104.60,418320.58,376473.48,377133.35,338067.44,331469.66
Palay,....Abra,23085.00,31157.00,27509.00,25637.00,24109.00,20483.00,23871.00,24340.00,29309.00,34810.00,35039.00,31231.00,44167.00,43881.00,44647.00,43481.00,46756.00,48339.00,50605.00,52989.00,73001.00,75528.00,76302.00,77611.00,80428.00,82333.00,79444.00,75500.00,66716.00,65159.00,69477.00,62120.00,82429.69,83667.10,90434.39,76921.00,74414.98
Palay,....Apayao,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28592.00,27974.00,28374.00,29790.00,22057.00,26841.00,48937.00,59973.00,59843.00,60744.00,86027.00,86119.00,95017.00,104701.00,101632.00,100379.00,96689.00,98489.00,105891.00,106741.00,101158.00,96453.00,86430.00,103335.00,76345.86,86818.58,96869.76,82468.92,74379.84,75730.27
Palay,....Benguet,5303.00,5999.00,6562.00,5964.00,5224.00,7555.00,9214.00,9926.00,8560.00,9255.00,9259.00,7753.00,9491.00,11039.00,11932.00,13860.00,12069.00,13859.00,14664.00,15767.00,16802.00,17142.00,16221.00,15780.00,15790.00,16696.00,17491.00,17355.00,18144.00,18145.00,20276.00,19917.68,20447.93,21707.29,23667.00,23410.77,21524.15
Palay,....Ifugao,27376.00,27468.00,27344.00,24190.00,19244.00,27794.00,34222.00,32044.00,35809.00,39954.00,41502.00,31243.00,45215.00,49139.00,46325.00,44286.00,45284.00,48240.00,49921.00,54653.00,61047.00,63546.00,64036.00,60350.00,61903.00,62465.00,63379.00,63076.00,63362.00,60866.00,62387.00,60076.60,53939.82,49412.61,41902.46,32934.09,34201.71
Palay,....Kalinga,88449.00,102670.00,84324.00,92523.00,84205.00,81908.00,84673.00,82041.00,76116.00,80974.00,85986.00,61821.00,79408.00,85191.00,133197.00,123941.00,117272.00,138724.00,132303.00,156947.00,159115.00,168117.00,156187.00,134266.00,155895.00,168854.00,174012.00,176529.00,141094.00,137784.00,173292.00,156268.60,158284.81,108884.81,122959.34,114804.76,112839.99
Palay,....Mountain Province,18253.00,19149.00,17510.00,17271.00,19777.00,18732.00,14981.00,14265.00,15453.00,16113.00,16947.00,15863.00,16248.00,17633.00,18221.00,18944.00,18651.00,20688.00,20817.00,21967.00,21645.00,19191.00,18531.00,15719.00,16444.00,17222.00,19103.00,18991.00,15142.00,14464.00,16239.00,16375.86,16399.75,15931.91,15701.24,15616.98,12758.56
Palay,..REGION I (ILOCOS REGION),682581.00,841311.00,785823.00,847691.00,898584.00,826121.00,838253.00,917470.00,886517.00,992606.00,1076753.00,854117.00,1081888.00,1207890.00,1227227.00,1222292.00,1304374.00,1317574.00,1382877.00,1597168.00,1642301.00,1691629.00,1351715.00,1558373.00,1602814.00,1737695.00,1750057.00,1796229.00,1777121.00,1805126.00,1872052.00,1720043.52,1851265.37,1902661.85,1902342.60,1965372.37,1990286.68
Palay,....Ilocos Norte,65293.00,110214.00,91064.00,95741.00,113949.00,93324.00,98452.00,122309.00,129964.00,150536.00,171397.00,161167.00,185339.00,223488.00,216700.00,226098.00,236794.00,235487.00,252977.00,282794.00,282832.00,299984.00,256582.00,301934.00,306726.00,315712.00,318444.00,308317.00,313089.00,309488.00,329744.00,281562.00,329693.00,341994.85,337191.60,330749.00,338681.32
Palay,....Ilocos Sur,51629.00,80033.00,68452.00,82395.00,73386.00,60633.00,85308.00,119530.00,114144.00,125190.00,120710.00,111988.00,130089.00,152112.00,148335.00,142440.00,156934.00,155662.00,172456.00,196068.00,197494.00,202647.00,168028.00,183182.00,191152.00,208380.00,209302.00,205302.00,210875.00,209719.00,230228.00,201992.00,248126.37,249171.00,244634.00,244413.83,246075.76
Palay,....La Union,60697.00,79780.00,78427.00,84438.00,74062.00,66019.00,85286.00,95712.00,86976.00,81953.00,98078.00,98111.00,100660.00,112169.00,120036.00,114934.00,110208.00,117185.00,121570.00,142108.00,150860.00,161709.00,124997.00,132557.00,146666.00,156023.00,157275.00,168885.00,172000.00,175354.00,187015.00,159450.52,169054.00,176117.00,157881.00,171276.53,173891.55
Palay,....Pangasinan,504962.00,571284.00,547880.00,585117.00,637187.00,606145.00,569207.00,579919.00,555433.00,634927.00,686568.00,482851.00,665800.00,720121.00,742156.00,738820.00,800438.00,809240.00,835874.00,976198.00,1011115.00,1027289.00,802108.00,940700.00,958270.00,1057580.00,1065036.00,1113725.00,1081157.00,1110565.00,1125065.00,1077039.00,1104392.00,1135379.00,1162636.00,1218933.00,1231638.05
Palay,..REGION II (CAGAYAN VALLEY),996606.00,1091307.00,1094869.00,1164758.00,1033615.00,1088680.00,891678.00,1237259.00,1349258.00,1441343.00,1544728.00,1109372.00,1708809.00,1785137.00,1810196.00,1707575.00,1666484.00,1892311.00,1848849.00,1953755.00,2025245.00,2080240.00,2077036.00,1745722.00,2144766.00,2425536.47,2423200.33,2514934.17,2489647.28,2332654.04,2656978.51,2379771.42,2644702.34,2645776.78,2909950.48,2928165.70,3026087.62
Palay,....Batanes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,103.47,13.33,86.17,73.28,13.04,73.51,70.42,74.57,84.00,20.31,61.42,80.27
Palay,....Cagayan,233405.00,280153.00,250624.00,218658.00,186157.00,173842.00,152725.00,344681.00,349003.00,375455.00,439562.00,346233.00,457337.00,513600.00,513991.00,507036.00,482884.00,571200.00,491806.00,688919.00,702561.00,707172.00,681313.00,616321.00,784622.00,875721.00,829737.00,895580.00,884334.00,764303.00,1006120.00,832941.00,905593.87,921763.00,1051621.00,1068498.28,1127141.50
Palay,....Isabela,620278.00,655323.00,678737.00,781685.00,694814.00,760218.00,583336.00,701927.00,799787.00,870549.00,907465.00,583640.00,1019290.00,1034297.00,1048458.00,954585.00,938405.00,1061979.00,1089381.00,987760.00,1036917.00,1063875.00,1084811.00,865839.00,1068275.00,1216535.00,1249873.00,1277623.00,1256390.00,1212725.00,1285685.00,1188584.00,1369049.51,1359555.64,1425907.17,1457750.20,1479190.06
Palay,....Nueva Vizcaya,101230.00,117637.00,117058.00,113513.00,106326.00,112865.00,114858.00,142074.00,155140.00,146648.00,151411.00,144083.00,172508.00,182726.00,191516.00,192501.00,198891.00,201397.00,207357.00,221401.00,228122.00,232946.00,231284.00,200572.00,218446.00,241956.00,253755.00,252896.00,269120.00,269824.00,273517.00,270070.00,270000.50,253855.78,308177.40,284877.13,298646.77
Palay,....Quirino,41693.00,38194.00,48450.00,50902.00,46318.00,41755.00,40759.00,48577.00,45328.00,48691.00,46290.00,35416.00,59674.00,54514.00,56231.00,53453.00,46304.00,57735.00,60305.00,55675.00,57645.00,76247.00,79628.00,62990.00,73423.00,91221.00,89822.00,88749.00,79730.00,85789.00,91583.00,88106.00,99983.89,110518.36,124224.60,116978.67,121029.02
Palay,..REGION III (CENTRAL LUZON),1569191.00,1308126.00,1718402.00,1963919.00,1796659.00,1788259.00,1660423.00,1941049.00,1822089.00,1951153.00,2073590.00,1370260.00,1912735.00,1960232.00,2173837.00,2240379.00,2395461.00,2466441.00,2545853.00,2677633.00,2942113.00,3014347.00,2805467.00,2958415.00,2616083.00,3220607.00,3409468.00,3765150.00,3304310.00,3342883.12,3634807.00,3615115.12,3730180.33,3635147.59,3741210.53,3616712.39,3638431.28
Palay,....Aurora,28956.00,37291.00,33452.00,52989.00,48168.00,52323.00,56081.00,54297.00,64664.00,63069.00,64713.00,61101.00,70081.00,71818.00,72944.00,73417.00,77730.00,77655.00,81384.00,80754.00,88317.00,89709.00,89988.00,84994.00,85433.00,90791.00,87900.00,94785.00,86971.00,77040.00,100179.00,104687.00,103402.01,90429.00,115368.00,106210.00,100302.12
Palay,....Bataan,67550.00,57368.00,59605.00,63070.00,54320.00,64724.00,64756.00,74801.00,78832.00,110017.00,104850.00,90495.00,93689.00,80070.00,103540.00,102502.00,113856.00,114139.00,124774.00,129346.00,131843.00,136258.00,125880.00,131610.00,123511.00,134960.00,140067.00,155056.00,151610.00,122393.00,136269.00,130490.24,116963.88,125143.00,117143.05,115402.46,109195.30
Palay,....Bulacan,308107.00,283253.00,342483.00,325935.00,311183.00,304063.00,250614.00,268205.00,227722.00,251295.00,278404.00,119274.00,259794.00,239301.00,280098.00,308941.00,274433.00,292610.00,306354.00,308502.00,304849.00,353101.00,300277.00,298376.00,227607.00,351307.00,366927.00,372110.00,351437.00,360237.00,378088.00,365689.00,368658.15,361253.82,387699.04,402415.52,374652.32
