# Volume of Rice and Corn Quarterly, in metric tons, read this using read_csv_to_df

Commodity,Geolocation,1987 Q1,1987 Q2,1987 Q3,1987 Q4,1988 Q1,1988 Q2,1988 Q3,1988 Q4,1989 Q1,1989 Q2,1989 Q3,1989 Q4,1990 Q1,1990 Q2,1990 Q3,1990 Q4,1991 Q1,1991 Q2,1991 Q3,1991 Q4,1992 Q1,1992 Q2,1992 Q3,1992 Q4,1993 Q1,1993 Q2,1993 Q3,1993 Q4,1994 Q1,1994 Q2,1994 Q3,1994 Q4,1995 Q1,1995 Q2,1995 Q3,1995 Q4,1996 Q1,1996 Q2,1996 Q3,1996 Q4,1997 Q1,1997 Q2,1997 Q3,1997 Q4,1998 Q1,1998 Q2,1998 Q3,1998 Q4,1999 Q1,1999 Q2,1999 Q3,1999 Q4,2000 Q1,2000 Q2,2000 Q3,2000 Q4,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4
Palay,PHILIPPINES,2168648.00,1367237.00,690926.00,4313041.00,2325418.00,1358501.00,1236198.00,4050913.00,2402351.00,1553953.00,1373107.00,4129361.00,2145991.00,1336802.00,1260444.00,4576039.00,2532503.00,1515010.00,1184818.00,4440931.00,2364765.00,1141219.00,841340.00,4781616.00,2315246.00,1574903.00,929670.00,4614389.00,2288317.00,2090216.00,1876635.00,4282886.00,2272045.00,2045286.00,1785510.00,4437808.00,2523794.00,2427116.00,2116498.00,4216160.00,2563757.00,2282704.00,1788141.00,4634361.00,2220968.00,1338008.00,1284443.00,3711405.00,2996188.00,2275865.00,2248702.00,4265870.00,2856356.00,2586140.00,2412610.00,4534306.00,2813930.00,2753901.00,2405187.00,4981852.00,3058094.00,2614275.00,2020796.00,5577488.00,3035561.00,2345717.00,2434696.00,5683910.00,3434383.00,2604199.00,2871678.00,5586524.00,3381885.00,2651140.00,2669137.00,5900843.00,3615607.00,2923824.00,3006200.00,5781075.00,3676704.00,3051176.00,3146959.00,6365355.00,3748852.00,3371867.00,3467460.00,6227369.00,3941177.00,3435019.00,3519417.00,5370803.50,3491640.00,3129151.00,2646110.00,6505418.00,4037331.00,3539878.00,3168478.00,5938375.00,3992198.00,3899738.17,3596801.08,6543788.22,4169943.00,3827689.01,3362655.72,7079132.00,4306890.95,4073011.00,3027058.87,7560865.35,4367715.40,3955836.55,2551545.83,7274740.00,3932292.40,3714589.18,2968770.00,7011593.24,4419267.00,4149917.48,3389508.95,7317653.20,4622978.84,4090237.42,3196416.68,7156461.00,4416850.21,3852526.47,3051471.17,7493979.44,4261442.70,4125233.41,3516346.20,7391833.21,4626919.49,4172939.91,3752734.24,7407576.55,4541255.27,4202415.04,3789600.41,7223121.56,4778787.84,4247396.64,3797857.26,7235520.22
Palay,..CORDILLERA ADMINISTRATIVE REGION (CAR),9684.00,55376.00,14699.00,82707.00,26747.00,60267.00,21291.00,78138.00,15958.00,51990.00,12162.00,83139.00,12344.00,44528.00,11519.00,97194.00,11798.00,48468.00,14035.00,78258.00,16512.00,45049.00,13466.00,81445.00,19232.00,42385.00,11063.00,94281.00,20853.00,62920.00,18237.00,89198.00,20617.00,56427.00,22207.00,93970.00,19452.00,72281.00,23193.00,94554.00,21198.00,76535.00,25640.00,95150.00,20868.00,48851.00,23887.00,76362.00,26085.00,69879.00,33020.00,92386.00,45350.00,60090.00,32619.00,117761.00,43222.00,93234.00,33234.00,144605.00,34012.00,92444.00,27943.00,149956.00,28552.00,97531.00,29329.00,145364.00,32040.00,124291.00,38435.00,161111.00,42713.00,112662.00,40047.00,159007.00,48250.00,129594.00,43420.00,176076.00,56834.00,127403.00,44869.00,207205.00,56333.00,134575.00,57634.00,196614.00,55029.00,135764.00,60547.00,180316.00,50411.00,109025.00,71171.00,169808.00,54736.00,130348.00,69751.00,174114.00,56655.00,130518.00,74396.00,191892.00,56269.00,136818.00,71136.00,195947.00,58842.00,139185.00,66482.00,188100.00,58934.00,139200.00,64111.00,138666.00,54002.00,137295.00,59577.00,131974.00,59840.00,152099.00,58958.00,174109.00,59419.00,144121.00,54192.68,133371.92,57743.00,129869.14,63033.94,167674.50,30896.33,112766.04,95155.26,137655.85,35114.42,112914.91,67439.65,161664.37,28860.12,109106.01,58272.38,141828.93,28684.02,112794.60,48304.25,141686.79
Palay,....Abra,325.00,6595.00,131.00,16034.00,1379.00,5630.00,1178.00,22970.00,2416.00,5738.00,1199.00,18156.00,1711.00,5935.00,1134.00,16857.00,1044.00,6365.00,861.00,15839.00,1563.00,5776.00,942.00,12202.00,1460.00,5212.00,1255.00,15944.00,1243.00,4158.00,1787.00,17152.00,1266.00,5576.00,927.00,21540.00,1039.00,5424.00,981.00,27366.00,1100.00,7212.00,1048.00,25679.00,1055.00,5437.00,1029.00,23710.00,1091.00,7684.00,1192.00,34200.00,1484.00,8584.00,1173.00,32640.00,1484.00,8197.00,1227.00,33739.00,1519.00,8680.00,1529.00,31753.00,1455.00,9193.00,1458.00,34650.00,1504.00,9777.00,1509.00,35549.00,2170.00,10125.00,1748.00,36562.00,2220.00,10758.00,1845.00,38166.00,2268.00,11239.00,2006.00,57488.00,2376.00,11606.00,2030.00,59516.00,5790.00,12202.00,2189.00,56121.00,5805.00,12206.00,2318.00,57282.00,6101.00,12763.00,2470.00,59094.00,6209.00,13316.00,2505.00,60303.00,6311.00,13345.00,2623.00,57165.00,6464.00,13202.00,2682.00,53152.00,6331.00,13304.00,2574.00,44507.00,6278.00,10745.00,2621.00,45515.00,6278.00,12416.00,2624.00,48159.00,6408.00,10492.00,2483.00,42737.00,6452.00,11255.00,2634.69,62088.00,7502.00,11311.00,38228.10,26626.00,8023.00,12046.00,10336.39,60029.00,8289.00,11722.00,10249.00,46661.00,8292.00,11657.00,8214.14,46251.84
Palay,....Apayao,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2934.00,9235.00,1922.00,14501.00,2385.00,7452.00,1099.00,17038.00,1382.00,10588.00,1311.00,15093.00,1701.00,11001.00,1427.00,15661.00,2191.00,6461.00,1183.00,12222.00,2343.00,10038.00,2668.00,11792.00,5521.00,8345.00,3714.00,31357.00,5024.00,20326.00,2421.00,32202.00,1254.00,23061.00,401.00,35127.00,960.00,28084.00,1461.00,30239.00,5320.00,40886.00,2804.00,37017.00,5098.00,42711.00,3372.00,34938.00,3421.00,45927.00,3560.00,42109.00,5450.00,41176.00,3450.00,54625.00,5336.00,38355.00,18416.00,39525.00,3606.00,41065.00,17808.00,37900.00,6265.00,34376.00,17356.00,38692.00,6206.00,37625.00,19532.00,35126.00,6335.00,38613.00,20878.00,40065.00,6756.00,38902.00,18264.00,42819.00,6927.00,39914.00,13540.00,40777.00,7143.00,40366.00,12106.00,36838.00,7129.00,41510.00,8958.00,28833.00,6954.00,44948.00,8963.00,42470.00,6673.00,42640.00,3007.00,24025.86,6080.00,31527.00,11924.58,37287.00,1223.14,49071.62,13226.00,33349.00,2634.92,37104.00,10301.00,32429.00,2824.08,34750.85,9500.97,27303.95,2525.33,40350.02,6921.74,25933.19
Palay,....Benguet,105.00,1385.00,2051.00,1762.00,170.00,1730.00,2013.00,2086.00,138.00,2318.00,2014.00,2092.00,220.00,2629.00,1453.00,1662.00,90.00,1923.00,1243.00,1968.00,100.00,3811.00,1252.00,2392.00,105.00,5208.00,1262.00,2639.00,148.00,4287.00,1955.00,3536.00,2530.00,771.00,2796.00,2463.00,2592.00,1064.00,2560.00,3039.00,2382.00,1088.00,2847.00,2942.00,2119.00,734.00,2302.00,2598.00,2654.00,974.00,2899.00,2964.00,3218.00,872.00,3202.00,3747.00,3247.00,938.00,3460.00,4287.00,3549.00,1320.00,4088.00,4903.00,2753.00,1212.00,3715.00,4389.00,3300.00,1478.00,3960.00,5121.00,3660.00,1673.00,4107.00,5224.00,3822.00,1767.00,4878.00,5300.00,4028.00,1768.00,4961.00,6045.00,3709.00,2412.00,2208.00,8813.00,3736.00,2697.00,2208.00,7580.00,3471.00,2289.00,3877.00,6143.00,3404.00,2354.00,4045.00,5987.00,3530.00,2585.00,3519.00,7062.00,3561.00,2583.00,3745.00,7602.00,3878.00,2600.00,4584.00,6293.00,3941.00,2950.00,4538.00,6715.00,3948.00,2691.00,4523.00,6983.00,4790.00,3354.00,4730.00,7402.00,5029.00,3396.00,4788.68,6704.00,4939.00,3372.33,4733.60,7403.00,5005.00,3553.00,5203.29,7946.00,5576.00,3440.00,6598.00,8053.00,6017.99,3506.78,6237.00,7649.00,6029.00,3352.15,4994.00,7149.00
Palay,....Ifugao,3593.00,12222.00,2287.00,9274.00,9220.00,7050.00,2728.00,8470.00,5412.00,9472.00,445.00,12015.00,1754.00,10321.00,381.00,11734.00,3351.00,10073.00,1962.00,3858.00,7799.00,8081.00,847.00,11067.00,9133.00,6641.00,456.00,17992.00,3300.00,8063.00,1074.00,19607.00,3315.00,13134.00,5134.00,14226.00,6842.00,13828.00,5078.00,14206.00,6750.00,14774.00,5526.00,14452.00,5882.00,10477.00,6438.00,8446.00,9284.00,12666.00,8347.00,14918.00,13284.00,10287.00,8973.00,16595.00,12726.00,5462.00,12211.00,15926.00,13973.00,5437.00,8854.00,16022.00,13044.00,6508.00,8692.00,17040.00,11886.00,6530.00,10867.00,18957.00,12950.00,6306.00,10867.00,19798.00,14629.00,6440.00,13388.00,20196.00,19630.00,6732.00,13654.00,21031.00,16177.00,11893.00,14880.00,20596.00,18750.00,10146.00,14570.00,20570.00,16537.00,7394.00,17785.00,18634.00,16000.00,9838.00,17125.00,18940.00,15560.00,7746.00,19737.00,19422.00,15910.00,11096.00,16787.00,19586.00,16012.00,11166.00,16789.00,19109.00,16012.00,11333.00,16789.00,19228.00,15229.00,10811.00,16527.00,18299.00,15470.00,11094.00,16697.00,19126.00,16395.00,10594.00,15335.00,17752.60,16469.00,9891.00,13165.52,14414.30,13756.90,6687.42,9068.97,19899.32,13949.00,9338.10,8690.36,9925.00,6851.59,7347.29,8299.42,10435.79,6959.88,7480.75,8895.43,10865.65
Palay,....Kalinga,5115.00,29625.00,5127.00,48582.00,13310.00,41137.00,9473.00,38750.00,4918.00,32646.00,1700.00,45060.00,6266.00,23845.00,1648.00,60764.00,4005.00,26484.00,2982.00,50734.00,4325.00,24548.00,3197.00,49838.00,6344.00,22598.00,2010.00,53721.00,10553.00,35257.00,4544.00,31687.00,8520.00,28252.00,3106.00,36238.00,4973.00,40140.00,3466.00,32395.00,6233.00,41634.00,4402.00,33717.00,7352.00,24494.00,3316.00,26659.00,8067.00,37094.00,8233.00,26014.00,19446.00,30530.00,5553.00,29662.00,17581.00,56701.00,3789.00,55126.00,10774.00,52584.00,2346.00,58237.00,7555.00,51146.00,3204.00,55367.00,6877.00,64080.00,7643.00,60124.00,15558.00,49920.00,8683.00,58142.00,20984.00,63029.00,7014.00,65920.00,22275.00,64958.00,7760.00,64122.00,27212.00,67285.00,9586.00,64034.00,21711.00,67631.00,12250.00,54595.00,17608.00,51168.00,18505.00,46985.00,22397.00,65782.00,15279.00,52437.00,24385.00,66148.00,16513.00,61808.00,23349.00,68663.00,16900.00,65100.00,25370.00,70317.00,15956.00,64886.00,25308.00,69086.00,18366.00,28334.00,21236.00,69402.00,17279.00,29867.00,26185.00,77905.00,16290.00,52912.00,24752.00,74565.00,18485.00,38466.60,23640.00,71728.81,20496.00,42420.00,3065.49,40128.00,19719.60,45971.72,4585.00,48759.75,21779.90,47834.69,4554.26,49559.00,14263.00,46428.50,4556.06,47811.00,12438.00,48034.93
Palay,....Mountain Province,546.00,5549.00,5103.00,7055.00,2668.00,4720.00,5899.00,5862.00,3074.00,1816.00,6804.00,5816.00,2393.00,1798.00,6903.00,6177.00,3308.00,3623.00,6987.00,5859.00,2725.00,2833.00,7228.00,5946.00,2190.00,2726.00,6080.00,3985.00,2675.00,1920.00,6955.00,2715.00,2601.00,1242.00,9145.00,2465.00,2624.00,1237.00,9797.00,2455.00,3032.00,826.00,10390.00,2699.00,2269.00,1248.00,9619.00,2727.00,2646.00,1423.00,9681.00,2498.00,2397.00,1472.00,10004.00,3760.00,3160.00,1610.00,10126.00,3325.00,2943.00,1362.00,10725.00,3914.00,2785.00,1388.00,10799.00,3679.00,3153.00,1540.00,11652.00,4343.00,3277.00,1927.00,11270.00,4343.00,3174.00,1673.00,12735.00,4385.00,3183.00,1530.00,13038.00,3894.00,1523.00,3024.00,10514.00,4130.00,1436.00,2023.00,11522.00,3550.00,725.00,1592.00,11330.00,2072.00,628.00,1986.00,11300.00,2530.00,636.00,2110.00,11244.00,3232.00,382.00,2229.00,12817.00,3675.00,191.00,1986.00,12931.00,3883.00,199.00,2161.00,9738.00,3044.00,182.00,2136.00,9669.00,2477.00,163.00,2382.00,9654.00,4040.00,162.00,2434.00,10094.00,3685.86,163.00,2095.00,10079.55,4062.20,343.80,2015.00,9709.30,3863.81,346.50,2227.06,9734.00,3393.68,323.20,2220.09,9723.00,3350.69,321.75,2143.68,6840.94,3452.19
Palay,..REGION I (ILOCOS REGION),94167.00,48363.00,7336.00,532715.00,98989.00,42489.00,17410.00,682423.00,101427.00,39740.00,22159.00,622497.00,102498.00,37445.00,25893.00,681855.00,119713.00,27957.00,8507.00,742407.00,89318.00,34591.00,7070.00,695142.00,86487.00,40659.00,5900.00,705207.00,108541.00,47834.00,27113.00,733982.00,92529.00,51984.00,37492.00,704512.00,135880.00,56614.00,56132.00,743980.00,172301.00,45152.00,67257.00,792043.00,136898.00,29351.00,57137.00,630731.00,216268.00,44511.00,100305.00,720804.00,185934.00,68461.00,91532.00,861963.00,198163.00,72749.00,97903.00,858412.00,185352.00,53718.00,73823.00,909399.00,191396.00,48138.00,88611.00,976229.00,214413.00,56075.00,93042.00,954044.00,203341.00,63132.00,107798.00,1008606.00,215462.00,68815.00,114943.00,1197948.00,194273.00,91209.00,101645.00,1255174.00,214865.00,96234.00,116995.00,1263535.00,238339.00,113446.00,137343.00,862587.00,263338.00,100542.00,122003.00,1072490.00,280553.00,112919.00,110407.00,1098935.00,313643.00,125673.00,144000.00,1154379.00,306495.00,124165.00,127469.00,1191928.00,316250.00,142898.00,127391.00,1209690.00,327805.00,140993.00,98963.00,1209360.00,317496.00,140174.00,152133.00,1195323.00,332789.00,159542.00,169825.00,1209896.00,329229.00,160879.00,152465.00,1077470.52,330050.00,158805.00,186265.00,1176145.37,331420.85,163467.00,189016.00,1218758.00,322359.00,186987.60,177163.00,1215833.00,326411.00,182757.27,192201.60,1264002.50,323001.00,180496.89,187607.80,1299180.99
Palay,....Ilocos Norte,12740.00,8565.00,1430.00,42558.00,10653.00,14540.00,2891.00,82130.00,11553.00,12799.00,1998.00,64714.00,10432.00,13196.00,2163.00,69950.00,18017.00,8347.00,465.00,87120.00,13268.00,11814.00,933.00,67309.00,7353.00,5836.00,1180.00,84083.00,15278.00,3330.00,10177.00,93524.00,12702.00,3690.00,11509.00,102063.00,15273.00,3301.00,15774.00,116188.00,22982.00,3172.00,21676.00,123567.00,19913.00,4422.00,25055.00,111777.00,40110.00,6220.00,35753.00,103256.00,38085.00,6560.00,31649.00,147194.00,37406.00,7455.00,30593.00,141246.00,40258.00,4055.00,34498.00,147287.00,42107.00,2178.00,35087.00,157422.00,48160.00,2981.00,32611.00,151735.00,39098.00,4380.00,33356.00,176143.00,43067.00,4532.00,33248.00,201947.00,43156.00,3666.00,38144.00,197866.00,45589.00,4677.00,38843.00,210875.00,45262.00,9896.00,41214.00,160210.00,49578.00,8822.00,40554.00,202980.00,52595.00,8545.00,42214.00,203372.00,51026.00,10892.00,42970.00,210824.00,55055.00,10459.00,43700.00,209230.00,54849.00,11953.00,36620.00,204895.00,53050.00,14171.00,36797.00,209071.00,44306.00,22845.00,36899.00,205438.00,48524.00,21912.00,35307.00,224001.00,47296.00,25827.00,30542.00,177897.00,47805.00,26130.00,48266.00,207492.00,48966.85,26610.00,50302.00,216116.00,38075.00,36935.60,46902.00,215279.00,40320.00,34675.50,51989.50,203764.00,44316.00,36323.00,43194.32,214848.00
