# Self-Sufficiency Ratio (SSR) of Selected Agricultural Commodities
Commodity,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Rice,97.1,96.9,91.0,100.2,100.6,96.8,100.0,96.3,89.5,91.1,72.1,90.2,92.7,91.3,87.9,90.9,90.5,84.0,85.4,85.5,81.9,85.8,81.3,93.9,91.9,96.8,92.0,88.9,95.0,93.4,86.2,79.8,85.0,81.5,77.0
Corn,99.4,96.3,93.4,100.4,100.0,100.0,100.0,95.2,91.1,93.4,89.2,96.8,91.0,96.3,94.0,97.9,99.6,98.7,95.2,97.8,99.7,95.9,98.6,99.1,98.2,95.6,93.1,91.3,90.0,94.3,88.4,94.6,91.4,94.8,89.9
Coffee,122.4,116.4,107.7,104.2,101.3,100.8,104.0,102.3,100.4,98.1,90.1,95.7,89.6,93.7,81.9,81.1,84.2,67.8,84.9,55.2,60.1,52.5,54.7,54.9,45.2,46.8,71.9,33.0,31.9,44.3,42.2,46.1,39.6,44.4,38.1
Banana,139.4,136.4,128.4,135.3,128.3,143.4,141.8,140.1,142.1,135.0,138.9,140.6,148.0,146.3,146.9,151.7,146.4,147.4,151.6,141.6,133.8,122.6,,,,,,,124.2,145.3,150.2,192.6,172.6,137.4,133.8
Pineapple,150.3,110.3,110.6,114.2,111.1,110.9,111.1,111.0,109.8,109.8,108.1,108.9,109.5,110.5,112.2,112.9,113.1,113.4,116.7,115.9,115.2,110.3,,,,,,,129.8,122.7,116.8,129.8,128.2,123.9,125.0
Mango,103.9,104.2,102.8,104.9,105.5,105.9,104.9,106.7,105.4,104.8,105.5,104.2,104.8,104.4,103.9,103.7,103.6,103.3,102.9,102.6,102.4,102.7,,,,,,,101.8,102.2,101.9,102.0,101.5,101.4,101.5
Calamansi,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.1,100.1,100.1,100.1,100.0,100.0
Papaya,100.1,100.4,100.9,102.5,101.4,102.2,103.4,102.2,101.2,100.4,103.2,101.1,102.1,103.4,103.5,101.1,102.6,102.0,102.4,102.5,101.6,101.3,100.9,101.9,101.9,103.7,103.0,101.1,101.0,101.4,102.2,103.5,104.1,103.9,105.6
Pomelo,100.0,100.0,100.0,100.5,100.0,99.7,100.0,99.9,100.0,100.0,100.0,100.0,99.9,100.0,100.0,99.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.1,100.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Tomato,100.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,100.0,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Garlic,100.1,100.0,98.9,97.7,97.8,96.3,100.0,100.0,93.0,78.8,56.2,32.5,72.8,66.9,56.0,51.9,47.5,39.6,25.6,18.2,17.1,22.1,28.3,28.7,48.2,71.9,23.3,13.0,11.0,10.1,8.7,7.9,7.1,5.9,5.5
Onion,108.4,112.7,114.3,113.1,112.6,113.2,107.8,113.6,107.7,105.0,93.4,85.7,93.0,87.0,111.0,129.4,132.1,90.1,61.3,106.4,68.5,97.4,97.9,107.7,90.6,96.4,96.1,84.5,47.6,84.6,61.5,90.5,72.4,68.2,90.3
Cabbage,100.0,100.0,100.0,100.0,100.0,100.0,100.1,100.0,100.0,100.0,100.0,99.7,100.0,100.0,99.9,99.9,100.0,100.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,100.0
Eggplant,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Ampalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
