"Palay and Corn: Area Harvested in Hectares by Ecosystem/Croptype, by Quarter, by Semester, by Region and by Province, 1987-2024"

"Commodity","Geolocation","2010 Q1","2010 Q2","2010 Q3","2010 Q4","2010 Annual","2011 Q1","2011 Q2","2011 Q3","2011 Q4","2011 Annual","2012 Q1","2012 Q2","2012 Q3","2012 Q4","2012 Annual","2013 Q1","2013 Q2","2013 Q3","2013 Q4","2013 Annual","2014 Q1","2014 Q2","2014 Q3","2014 Q4","2014 Annual","2015 Q1","2015 Q2","2015 Q3","2015 Q4","2015 Annual","2016 Q1","2016 Q2","2016 Q3","2016 Q4","2016 Annual","2017 Q1","2017 Q2","2017 Q3","2017 Q4","2017 Annual","2018 Q1","2018 Q2","2018 Q3","2018 Q4","2018 Annual","2019 Q1","2019 Q2","2019 Q3","2019 Q4","2019 Annual","2020 Q1","2020 Q2","2020 Q3","2020 Q4","2020 Annual","2021 Q1","2021 Q2","2021 Q3","2021 Q4","2021 Annual","2022 Q1","2022 Q2","2022 Q3","2022 Q4","2022 Annual","2023 Q1","2023 Q2","2023 Q3","2023 Q4","2023 Annual"
"Irrigated Palay","PHILIPPINES",705748.00,667579.00,463141.00,1171857.00,3008325.00,770029.00,706184.00,525015.00,1071409.00,3072637.00,732251.00,758180.43,593666.00,1079087.27,3163184.70,805573.00,720485.43,552745.00,1157534.00,3236337.43,787507.00,747551.43,532406.40,1185614.98,3253079.81,804505.00,728945.25,447599.00,1252137.00,3233186.25,762977.00,708427.45,492326.00,1217372.00,3181102.45,795525.00,755745.82,550199.00,1193616.00,3295085.82,824304.00,739046.00,530707.95,1192094.97,3286152.92,810756.41,737248.47,514520.30,1199960.56,3262485.74,756478.02,748812.55,569792.40,1178371.39,3253454.35,788378.93,756699.60,609401.48,1179742.08,3334222.08,793182.08,757643.34,620739.93,1169345.05,3340910.40,825052.82,764853.72,634665.42,1160765.00,3385336.97
"Irrigated Palay","..CORDILLERA ADMINISTRATIVE REGION (CAR)",12878.00,27717.00,16360.00,34310.00,91265.00,12974.00,29532.00,16322.00,34215.00,93043.00,13299.00,28466.00,17285.00,35018.00,94068.00,13219.00,29647.00,15714.00,35772.00,94352.00,13132.00,29765.00,15476.40,34928.00,93301.40,13159.00,29741.00,14561.00,29060.00,86521.00,12702.00,29785.00,14378.00,31141.00,88006.00,13618.00,30955.00,14055.00,33577.00,92205.00,13608.00,30729.00,14868.00,31215.00,90420.00,13187.00,31155.00,15726.00,30244.00,90312.00,8259.18,24944.36,23108.61,24620.25,80932.39,9010.00,27367.81,15407.60,28762.00,80547.41,7129.62,27324.81,14452.90,30576.50,79483.83,7156.38,27324.21,13702.40,30520.98,78703.96
"Irrigated Palay","....Abra",1695.00,3224.00,676.00,9168.00,14763.00,1690.00,3265.00,681.00,9168.00,14804.00,1701.00,3365.00,681.00,9168.00,14915.00,1701.00,3370.00,681.00,9168.00,14920.00,1701.00,3390.00,686.00,9173.00,14950.00,1711.00,3390.00,676.00,9150.00,14927.00,1706.00,3383.00,681.00,9149.00,14919.00,1706.00,3383.00,681.00,9164.00,14934.00,1746.00,2904.00,680.00,9150.00,14480.00,1746.00,2904.00,681.00,9218.00,14549.00,1746.00,2904.00,8985.87,913.00,14548.87,1851.00,2799.27,2152.00,7747.00,14549.27,1850.90,2799.00,2152.00,7747.00,14548.90,1851.00,2799.00,2151.63,7747.00,14548.63
"Irrigated Palay","....Apayao",1368.00,7648.00,1876.00,6248.00,17140.00,1309.00,7818.00,2139.00,6053.00,17319.00,1309.00,7820.00,2190.00,6053.00,17372.00,1352.00,7777.00,1578.00,6651.00,17358.00,1314.00,7891.00,1134.40,5928.00,16267.40,1344.00,7869.00,1134.00,5923.00,16270.00,1344.00,7869.00,974.00,5781.00,15968.00,1290.00,8370.00,974.00,6243.00,16877.00,1291.00,8370.00,665.00,5607.00,15933.00,1211.00,8450.00,1618.00,6243.00,17522.00,214.46,9447.00,2241.00,5903.00,17805.46,521.00,9140.00,1618.00,5858.00,17137.00,510.72,9150.00,927.31,6522.00,17110.03,552.38,9149.95,835.00,6521.98,17059.31
"Irrigated Palay","....Benguet",1262.00,864.00,1478.00,1584.00,5188.00,1278.00,816.00,1466.00,1521.00,5081.00,1319.00,861.00,1248.00,1772.00,5200.00,1319.00,861.00,1248.00,1772.00,5200.00,1319.00,861.00,1528.00,1492.00,5200.00,1319.00,861.00,1528.00,1492.00,5200.00,1316.00,879.00,1528.00,1553.00,5276.00,1538.00,1101.00,1556.00,1560.00,5755.00,1621.00,1101.00,1595.00,1560.00,5877.00,1621.00,1101.00,1621.00,1560.00,5903.00,1621.00,1101.00,1621.00,1560.00,5903.00,1621.00,1101.00,1621.00,1560.00,5903.00,1621.00,1101.32,1621.00,1560.00,5903.32,1621.00,1101.00,1615.18,1560.00,5897.18
"Irrigated Palay","....Ifugao",3882.00,2877.00,4600.00,4773.00,16132.00,3890.00,3125.00,4586.00,4735.00,16336.00,3890.00,2195.00,5516.00,4735.00,16336.00,3890.00,3125.00,4586.00,4773.00,16374.00,3915.00,3125.00,4586.00,4773.00,16399.00,3915.00,3125.00,4586.00,4773.00,16399.00,3915.00,3125.00,4586.00,4767.00,16393.00,3910.00,3125.00,4586.00,4767.00,16388.00,3910.00,3125.00,4586.00,4761.00,16382.00,3910.00,3242.00,4469.00,3961.00,15582.00,3909.72,2560.36,3127.74,5302.00,14899.82,3910.00,2802.73,2883.60,2640.00,12236.33,2040.00,2749.00,3732.60,2725.05,11246.65,2040.00,2749.26,3832.61,2725.00,11346.87
"Irrigated Palay","....Kalinga",4347.00,12476.00,3549.00,12352.00,32724.00,4505.00,13877.00,3270.00,12379.00,34031.00,4780.00,13602.00,3549.00,12808.00,34739.00,4780.00,13877.00,3530.00,12836.00,35023.00,4796.00,13861.00,3451.00,12990.00,35098.00,4783.00,13861.00,3606.00,7235.00,29485.00,4342.00,13866.00,3606.00,9430.00,31244.00,5097.00,14288.00,3280.00,11346.00,34011.00,4970.00,14515.00,4393.00,9637.00,33515.00,4629.00,14822.00,4393.00,8812.00,32656.00,648.00,8296.00,4184.00,10442.00,23570.00,987.00,10849.81,4184.00,10457.00,26477.81,987.00,10850.49,3072.00,11545.00,26454.49,972.00,10850.00,3072.00,11490.00,26384.00
"Irrigated Palay","....Mountain Province",324.00,628.00,4181.00,185.00,5318.00,302.00,631.00,4180.00,359.00,5472.00,300.00,623.00,4101.00,482.00,5506.00,177.00,637.00,4091.00,572.00,5477.00,87.00,637.00,4091.00,572.00,5387.00,87.00,635.00,3031.00,487.00,4240.00,79.00,663.00,3003.00,461.00,4206.00,77.00,688.00,2978.00,497.00,4240.00,70.00,714.00,2949.00,500.00,4233.00,70.00,636.00,2944.00,450.00,4100.00,120.00,636.00,2949.00,500.25,4205.25,120.00,675.00,2949.00,500.00,4244.00,120.00,675.00,2947.99,477.46,4220.44,120.00,675.00,2195.98,477.00,3467.98
"Irrigated Palay","..REGION I (ILOCOS REGION)",63777.00,25199.00,24434.00,147347.00,260757.00,61858.00,28601.00,22689.00,150485.00,263633.00,67426.00,28650.00,24672.00,152623.00,273371.00,68450.00,28753.00,23142.00,159404.00,279749.00,68697.00,32844.00,24884.00,159398.00,285823.00,70341.00,32059.00,19594.00,163946.00,285940.00,68156.00,31890.00,26668.00,158958.00,285672.00,68599.00,34273.00,29737.00,152954.00,285563.00,67149.00,33696.00,31999.00,148667.39,281511.39,68597.00,33227.68,31937.00,149182.00,282943.68,67586.00,34062.00,32401.00,149567.00,283616.00,66220.00,38644.00,30301.00,149318.00,284483.00,66582.24,36860.35,32105.00,148111.76,283659.35,65278.40,36755.00,32470.67,151545.68,286049.75
"Irrigated Palay","....Ilocos Norte",11000.00,2213.00,8174.00,33456.00,54843.00,10903.00,2069.00,8367.00,33343.00,54682.00,10704.00,2274.00,8434.00,33670.00,55082.00,11323.00,2230.00,8466.00,33340.00,55359.00,11019.00,2550.00,7441.00,33879.00,54889.00,10743.00,3067.00,7439.00,33536.00,54785.00,8862.00,4749.00,7138.00,33585.00,54334.00,9471.00,4406.00,6814.00,34110.00,54801.00,9003.00,5062.00,8039.00,32475.00,54579.00,9094.00,5080.00,8723.00,31697.00,54594.00,9154.00,5108.00,8814.00,31777.00,54853.00,7092.00,7172.00,8673.00,31679.00,54616.00,7425.00,6619.00,9387.00,30884.00,54315.00,7670.51,6882.00,8855.00,31447.00,54854.51
"Irrigated Palay","....Ilocos Sur",4576.00,227.00,3150.00,17148.00,25101.00,4244.00,300.00,2710.00,18140.00,25394.00,4510.00,172.00,3394.00,18435.00,26511.00,4565.00,451.00,2594.00,20315.00,27925.00,4687.00,510.00,2853.00,20211.00,28261.00,4866.00,668.00,2463.00,20167.00,28164.00,5175.00,431.00,3935.00,18431.00,27972.00,4790.00,840.00,3839.00,20047.00,29516.00,5075.00,1139.00,4279.00,19869.00,30362.00,5896.00,1287.68,4742.00,19587.00,31512.68,5254.00,1741.00,5430.00,19951.00,32376.00,5084.00,2450.00,4758.00,19863.00,32155.00,4553.00,1827.35,5531.00,19320.00,31231.35,4300.00,2009.00,5193.00,19612.00,31114.00
"Irrigated Palay","....La Union",3243.00,1865.00,3796.00,10946.00,19850.00,5427.00,1374.00,3079.00,11573.00,21453.00,6016.00,1194.00,2960.00,12089.00,22259.00,3793.00,1281.00,2163.00,14333.00,21570.00,4123.00,2877.00,1040.00,14531.00,22571.00,5493.00,2385.00,1912.00,14203.00,23993.00,5010.00,2220.00,2410.00,14348.00,23988.00,5564.00,2321.00,2046.00,14531.00,24462.00,5694.00,1783.00,3052.00,13100.39,23629.39,5187.00,2396.00,2117.00,14379.00,24079.00,6006.00,2167.00,2437.00,14003.00,24613.00,5629.00,2115.00,2535.00,13940.00,24219.00,5697.24,2226.00,2852.00,13503.76,24279.00,5799.89,2146.00,2688.67,13654.68,24289.25
"Irrigated Palay","....Pangasinan",44958.00,20894.00,9314.00,85797.00,160963.00,41284.00,24858.00,8533.00,87429.00,162104.00,46196.00,25010.00,9884.00,88429.00,169519.00,48769.00,24791.00,9919.00,91416.00,174895.00,48868.00,26907.00,13550.00,90777.00,180102.00,49239.00,25939.00,7780.00,96040.00,178998.00,49109.00,24490.00,13185.00,92594.00,179378.00,48774.00,26706.00,17038.00,84266.00,176784.00,47377.00,25712.00,16629.00,83223.00,172941.00,48420.00,24464.00,16355.00,83519.00,172758.00,47172.00,25046.00,15720.00,83836.00,171774.00,48415.00,26907.00,14335.00,83836.00,173493.00,48907.00,26188.00,14335.00,84404.00,173834.00,47508.00,25718.00,15734.00,86832.00,175792.00
"Irrigated Palay","..REGION II (CAGAYAN VALLEY)",81447.00,140066.00,51732.00,168338.00,441583.00,120983.00,124257.00,65349.00,168447.00,479036.00,83442.00,165251.43,111085.00,135722.27,495500.70,144350.00,115882.43,76682.00,173424.00,510338.43,119796.00,140869.43,75297.00,175910.98,511873.41,119906.00,145760.25,43558.00,201972.00,511196.25,107416.00,159953.45,56328.00,172834.00,496531.45,109645.00,158203.00,63535.00,182218.00,513601.00,130958.00,134585.00,40955.73,184384.00,490882.73,118017.00,146732.00,67602.00,188629.00,520980.00,110896.00,157416.00,69828.00,188265.00,526405.00,112302.00,163894.00,80304.00,187977.00,544477.00,110076.00,170926.00,87489.69,181440.75,549932.44,116106.01,162591.40,96912.00,178076.00,553685.41
"Irrigated Palay","....Batanes",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.43,0.00,1.27,2.70,0.00,1.43,0.00,0.00,1.43,1.00,0.43,1.00,0.98,3.41,1.00,0.25,0.00,0.00,1.25,0.00,0.45,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Irrigated Palay","....Cagayan",25573.00,53191.00,20878.00,42043.00,141685.00,28895.00,56045.00,26369.00,48263.00,159572.00,19072.00,66174.00,35400.00,46578.00,167224.00,40454.00,53953.00,30448.00,51372.00,176227.00,35179.00,58580.00,5765.00,77408.00,176932.00,31745.00,62592.00,10148.00,69760.00,174245.00,25525.00,68869.00,12551.00,51622.00,158567.00,25753.00,69303.00,17982.00,63020.00,176058.00,30335.00,65138.00,9561.00,47547.00,152581.00,25532.00,67770.00,19921.00,59860.00,173083.00,27461.00,66629.00,27651.00,58082.00,179823.00,29495.00,66571.00,24280.00,67116.00,187462.00,37780.00,63424.00,27645.00,63800.00,192649.00,37055.00,61148.00,33097.00,63625.00,194925.00
"Irrigated Palay","....Isabela",40704.00,70759.00,16879.00,104096.00,232438.00,76404.00,48509.00,24929.00,98578.00,248420.00,49863.00,78066.00,60585.00,66764.00,255278.00,83884.00,44657.00,30154.00,100085.00,258780.00,64896.00,65986.00,57208.00,74276.00,262366.00,71747.00,61233.00,19627.00,107928.00,260535.00,63424.00,70348.00,28551.00,97121.00,259444.00,63745.00,69616.00,30322.00,94626.00,258309.00,81115.00,52198.00,17065.00,108531.00,258909.00,74873.00,58940.00,34172.00,99115.00,267100.00,62950.00,72823.00,28804.00,105383.00,269960.00,60704.00,75076.00,43721.00,91169.00,270670.00,55847.00,80420.00,48445.00,86789.00,271501.00,64617.02,71570.00,51047.00,83790.00,271024.02
