Commodity,Item,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Milkfish,CASH COSTS,16598,17772,19454,18779,21062,21109,19623,23377,25148,25424,25562,27729,28552,29686,30762,30226,30757,33766,34738,35089,37600
Milkfish,..Stocking materials paid in cash,5082,5019,5855,3346,4183,4699,4709,6727,8744,9416,8794,10088,10717,11345,12012,11401,11744,13576,13475,13435,14421
Milkfish,..Feeds paid in cash,3463,4424,4633,5150,5724,5393,3784,3991,4172,3641,3801,3922,4039,4204,4263,4319,4442,4673,4789,4912,5132
Milkfish,..Fertilizer paid in cash,1133,1147,1433,1940,2412,1825,2141,3503,2663,2527,2837,3011,2748,2602,2505,2316,2216,2427,2646,2456,3107
Milkfish,..Pesticides and other material inputs,366,372,373,375,380,278,267,277,262,288,261,426,421,447,444,446,436,419,484,451,495
Milkfish,..Hired labor,3164,3153,3223,3361,3557,2737,2451,2482,2718,2831,2958,3154,3326,3553,3817,3933,4001,4371,4725,4987,5279
Milkfish,..Land tax,276,276,276,279,282,369,373,377,381,385,389,393,397,401,405,409,413,417,421,426,430
Milkfish,..Rentals,1650,1886,2122,2564,2590,3162,3168,3171,3191,3197,3208,3225,3239,3258,3280,3290,3295,3326,3355,3377,3401
Milkfish,..Salaries of permanent employees,0,0,0,0,0,1755,1811,1833,2008,2059,2152,2294,2419,2584,2776,2860,2905,3174,3431,3621,3833
Milkfish,..Wage of stay-in laborer paid in cash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milkfish,..Fuel and oil,143,143,157,178,211,237,245,287,265,300,338,360,366,377,344,330,348,372,375,364,383
Milkfish,..Transportation cost of inputs,70,71,73,82,97,125,126,139,132,139,151,154,155,156,156,154,162,172,174,180,197
Milkfish,..Irrigation fee,10,10,10,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milkfish,..License/permits,30,35,40,50,50,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Milkfish,..Electricity,90,92,95,100,117,136,140,140,136,151,165,176,180,184,168,161,170,182,183,178,187
Milkfish,..Interest payment on loans,37,41,45,50,55,25,28,31,34,37,41,45,50,55,61,67,74,81,89,98,108
Milkfish,..Food expense for laborers,114,116,119,126,134,139,144,164,174,179,186,190,195,209,214,218,225,239,244,250,264
Milkfish,..Repairs,779,790,796,856,921,188,194,210,222,226,231,240,248,257,262,267,270,277,285,291,297
Milkfish,..Other expenses,191,197,204,311,338,35,36,39,40,42,44,45,46,48,49,50,51,54,55,56,59
Milkfish,NON-CASH COSTS,275,263,261,341,362,429,432,531,574,554,593,610,645,682,693,695,736,813,847,865,998
Milkfish,..Stocking materials paid in kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milkfish,..Feeds paid in kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milkfish,..Fertilizer paid in kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milkfish,..Hired labor paid in kind,14,15,16,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milkfish,..Landowner's share,23,23,23,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milkfish,..Harvester's share,136,124,123,187,203,151,149,181,197,188,203,223,240,250,254,256,273,305,320,326,386
Milkfish,..Caretaker's share,0,0,0,0,0,108,107,130,141,134,145,131,141,147,149,150,160,179,188,191,226
Milkfish,..Wage of stay-in laborer paid in kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milkfish,..Other laborer's share,33,33,32,36,37,48,50,60,64,61,66,70,71,73,73,69,74,83,87,88,104
Milkfish,..Administrator's share,0,0,0,0,0,28,28,34,37,35,38,42,45,47,48,48,52,58,60,62,73
Milkfish,..Lease fishpond rentals,69,68,67,75,77,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7
Milkfish,..Rice allowance for overseer,0,0,0,0,0,89,93,120,129,130,135,138,142,159,163,166,171,182,186,191,201
Milkfish,IMPUTED COSTS,3731,3446,3765,3948,4332,6385,5649,6711,7207,6939,7176,7518,7819,8112,8324,8223,8571,9860,10392,10650,11511
Milkfish,..Stocking materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milkfish,..Feeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milkfish,..Fertilizer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milkfish,..Operator labor,0,0,0,0,0,112,120,122,133,139,145,155,163,174,187,193,196,214,232,245,259
Milkfish,..Family labor,0,0,0,0,0,72,84,85,93,97,104,108,114,122,131,135,137,150,162,171,181
Milkfish,..Operator/family labor,205,218,231,241,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milkfish,..Exchange labor,13,14,15,16,17,3,3,3,4,4,4,4,4,4,4,4,6,6,7,7,7
Milkfish,..Depreciation,943,1037,1141,1255,1381,674,741,815,897,987,1086,1195,1315,1447,1592,1751,1926,2119,2331,2564,2820
Milkfish,..Interest on operating capital,1638,1256,1471,1427,1650,2417,1283,1612,1725,1566,1353,1271,1339,1344,1416,1400,1423,1726,2058,2078,2247
Milkfish,..Rental value of owned fishpond,932,921,907,1009,1029,3107,3418,4074,4355,4146,4484,4785,4884,5021,4994,4740,4883,5644,5602,5585,5996
Milkfish,ALL COSTS,20604,21481,23480,23068,25756,27923,25704,30619,32929,32917,33331,35857,37016,38480,39779,39144,40064,44440,45977,46604,50108
Milkfish,GROSS RETURNS,42199,38516,38362,58438,63515,52694,52133,63403,68963,65722,71082,77920,83919,87265,88594,89256,95319,106397,111640,113730,134553
Milkfish,RETURNS ABOVE CASH COSTS,25601,20744,18908,39659,42453,31585,32510,40026,43815,40298,45520,50191,55367,57579,57832,59030,64562,72631,76901,78641,96953
Milkfish,RETURNS ABOVE CASH AND NON-CASH COSTS,25326,20481,18647,39318,42091,31156,32078,39495,43241,39744,44927,49581,54722,56897,57139,58335,63826,71818,76054,77776,95955
Milkfish,NET RETURNS,21595,17035,14882,35370,37759,24771,26429,32784,36034,32805,37751,42063,46903,48785,48815,50112,55255,61958,65662,67126,84444
