"Fruits: Average Production Costs and Returns by Commodity, Item and Year by Commodity, Item and Year"

"Commodity","Item","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Calamansi","CASH COSTS",..,17616,20561,21583,22055,22692,23248,24850,27078,29145,30507,31691,35423,33924,34182,36184,38365,39820,41370,43379,44423,44893,48549,52074,54011,58109
"Calamansi","..Seeds/Planting materials",..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calamansi","..Fertilizer",..,2160,2530,2268,2441,2907,2867,3583,4848,6030,5990,6356,7914,5546,4981,5763,6143,6046,5467,5223,5185,5016,5286,5547,5222,6488
"Calamansi","..Pesticides",..,896,856,956,985,1025,1039,1042,1045,1043,995,947,913,930,1025,927,930,920,921,915,919,899,864,998,930,1020
"Calamansi","..Other material inputs",..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calamansi","..Hired labor",..,12132,14585,15669,15818,15824,16340,17158,17893,18934,19731,20508,22366,23094,23681,24749,26385,27822,29726,31931,32952,33471,36564,39527,41720,44161
"Calamansi","..Wages for overseer",..,313,339,364,367,367,379,393,410,434,452,470,476,492,504,527,562,593,634,681,702,713,779,842,888,940
"Calamansi","..Land tax",..,362,366,370,374,378,382,386,390,394,398,402,406,410,414,418,422,426,430,434,438,443,447,452,456,461
"Calamansi","..Rentals",..,55,63,61,65,55,71,61,72,79,87,76,81,106,90,118,110,105,121,115,122,121,156,160,161,179
"Calamansi","..Water/electric bills",..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calamansi","..Fuel and oil",..,182,181,197,230,253,253,278,315,370,403,416,487,450,510,575,612,622,636,580,556,586,627,632,613,646
"Calamansi","..Transport of inputs",..,184,214,228,262,292,295,305,344,407,459,461,510,486,513,558,571,574,579,579,571,600,639,646,667,731
"Calamansi","..Irrigation fee",..,6,7,6,7,5,8,6,8,9,10,8,9,14,10,15,13,12,15,13,14,14,20,20,19,22
"Calamansi","..Interest payment on crop loan",..,9,10,11,12,13,14,15,17,19,21,23,25,28,31,34,37,41,45,50,55,61,67,73,81,89
"Calamansi","..Food expense",..,573,620,648,658,689,703,719,764,814,859,887,1007,1067,1100,1145,1171,1204,1289,1323,1346,1389,1480,1507,1548,1633
"Calamansi","..Repairs",..,744,790,805,836,884,897,904,972,1046,1102,1137,1229,1301,1323,1355,1409,1455,1507,1535,1563,1583,1620,1671,1704,1739
"Calamansi","..Landlord's share",..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calamansi","..Electric bill",..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calamansi","..Others",..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calamansi","NON-CASH COSTS",..,599,719,688,742,599,817,677,823,946,1049,894,965,1271,1054,1415,1289,1185,1377,1279,1245,1226,1607,1693,1627,1829
"Calamansi","..Seeds paid in kind",..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calamansi","..Hired labor paid in kind",..,40,48,52,52,52,54,56,58,61,64,67,68,70,72,75,80,84,90,97,100,102,111,120,127,134
"Calamansi","..Wages for overseer paid in kind",..,168,182,196,198,198,204,211,220,233,243,253,256,236,267,279,297,313,336,361,372,378,413,446,471,498
"Calamansi","..Rentals paid in kind",..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calamansi","..Landlord's share paid in kind",..,44,53,48,60,43,69,51,68,77,89,68,77,118,88,133,115,102,124,106,115,111,164,162,158,181
"Calamansi","..Harvester's share",..,202,262,236,258,182,290,212,280,352,396,308,339,502,368,536,459,386,463,403,320,307,439,487,407,482
"Calamansi","..Lease rental",..,145,174,156,174,124,200,147,197,223,257,198,225,345,259,392,338,300,364,312,338,328,481,478,465,534
"Calamansi","IMPUTED COSTS",..,7910,9840,9920,9426,8861,9869,10769,12304,13481,14526,13814,15051,15637,13969,16879,15985,15868,17721,17531,18596,18818,23182,24737,25457,28009
"Calamansi","..Operator and family labor",..,2153,3019,3243,3274,3275,3382,3552,3704,3919,4084,4245,4298,4780,4902,5267,5461,5759,6153,6609,6821,6928,7568,8181,8635,9141
"Calamansi","..Exchange labor",..,6,6,7,7,7,7,7,7,8,8,9,9,10,10,11,11,12,12,13,14,14,15,17,17,18
"Calamansi","..Depreciation",..,480,528,581,639,703,773,850,935,1029,1132,1245,1370,1507,1658,1824,2006,2207,2428,2671,2938,3232,3555,3911,4302,4732
"Calamansi","..Interest on operating capital",..,2430,2875,3023,2090,2450,1802,3485,3806,4161,4275,4450,4991,2614,2356,2146,1922,2038,2032,2162,2242,2258,2670,3325,3456,3728
"Calamansi","..Rental value of owned land",..,2841,3412,3066,3416,2426,3905,2875,3852,4364,5027,3865,4383,6726,5043,7631,6585,5852,7096,6076,6581,6386,9373,9304,9046,10390
"Calamansi","ALL COSTS",..,26125,31120,32191,32223,32152,33934,36296,40205,43572,46082,46399,51439,50832,49205,54478,55639,56873,60468,62189,64263,64937,73337,78505,81094,87947
"Calamansi","GROSS RETURNS",..,56155,97682,88069,96359,67914,108245,79000,104388,131367,147838,114922,126545,187292,137123,199572,170892,143578,172237,149802,118942,114084,163057,181023,151312,179038
"Calamansi","RETURNS ABOVE CASH COSTS",..,38539,77121,66486,74304,45222,84997,54150,77310,102222,117331,83231,91122,153368,102941,163388,132527,103758,130867,106423,74519,69191,114508,128949,97301,120929
"Calamansi","RETURNS ABOVE CASH & NON-CASH COSTS",..,37940,76402,65798,73562,44623,84180,53473,76487,101276,116282,82337,90157,152097,101887,161973,131238,102573,129490,105144,73274,67965,112901,127256,95674,119100
"Calamansi","NET RETURNS",..,30030,66562,55878,64136,35762,74311,42704,64183,87795,101756,68523,75106,136460,87918,145094,115253,86705,111769,87613,54679,49147,89720,102518,70218,91091
"Calamansi","NET PROFIT- COST RATIO",..,1.15,2.14,1.74,2.00,1.00,2.00,1.18,1.60,2.01,2.21,1.48,1.46,2.68,1.79,2.66,2.07,1.52,1.85,1.41,0.85,0.76,1.22,1.31,0.87,1.04
"Calamansi","Cost per kilogram (pesos)",..,3.95,3.29,3.40,3.46,3.48,3.71,4.00,4.49,4.38,4.75,4.73,5.40,5.53,5.48,6.31,6.50,7.02,7.55,7.64,10.77,11.01,12.77,12.23,14.69,15.46
"Calamansi","Yield per hectare (kg)",..,6622,9447,9480,9310,9240,9150,9070,8945,9937,9707,9814,9529,9190,8974,8632,8566,8098,8011,8137,5965,5896,5741,6422,5520,5687
"Calamansi","Farmgate price (pesos/kg)",..,8.48,10.34,9.29,10.35,7.35,11.83,8.71,11.67,13.22,15.23,11.71,13.28,20.38,15.28,23.12,19.95,17.73,21.50,18.41,19.94,19.35,28.40,28.19,27.41,31.48
"Durian","CASH COSTS",8427,10292,10923,10606,11631,12237,12423,13921,16453,18942,19253,20023,26337,21675,20570,22706,23571,23626,23241,23485,23295,23206,24485,25848,25163,29044
"Durian","..Seeds/Planting materials",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Durian","..Fertilizer",3952,4474,4650,4167,4485,5342,5269,6584,8909,11081,11008,11682,17271,12499,11189,12904,13547,13229,12430,12095,11459,11023,11638,12304,11231,14271
"Durian","..Pesticides",487,467,514,574,591,615,624,625,627,626,597,568,588,556,613,554,556,592,550,546,549,537,516,596,555,609
"Durian","..Other material inputs",6,6,6,5,5,6,6,7,9,11,11,12,19,14,13,15,16,16,14,14,13,13,14,14,13,17
"Durian","..Hired labor",1361,2507,2716,2918,2945,2947,3043,3195,3332,3526,3674,3819,4165,4300,4410,4609,4913,5181,5535,5946,6136,6233,6809,7360,7769,8223
"Durian","..Wages for overseer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Durian","..Land tax",959,969,979,989,999,1009,1019,1029,1039,1049,1059,1070,1081,1092,1103,1114,1125,1136,1147,1160,1171,1183,1195,1207,1219,1231
"Durian","..Rentals",439,575,639,477,1028,621,741,724,619,513,591,510,611,573,510,635,453,449,446,564,788,941,879,860,779,890
"Durian","..Water/electric bills",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Durian","..Fuel and oil",4,4,4,4,5,5,5,6,7,8,9,9,11,10,11,12,13,13,13,14,13,14,15,15,15,16
"Durian","..Transport of inputs",342,381,444,474,544,607,613,634,714,845,952,957,1059,1009,1064,1157,1183,1190,1201,1202,1186,1245,1327,1341,1384,1518
"Durian","..Irrigation fee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Durian","..Interest payment on crop loan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Durian","..Food expense",272,281,304,318,323,338,345,353,375,399,421,435,494,523,539,561,574,590,631,649,660,681,726,739,759,801
"Durian","..Repairs",605,628,667,680,706,747,758,764,822,884,931,961,1038,1099,1118,1145,1191,1230,1274,1296,1320,1336,1368,1411,1438,1468
