Commodity,Item,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Mongo,CASH COSTS,3609,3675,3869,3906,3960,4080,4145,4374,4679,4891,5006,5224,5366,5947,6105,6237,6540,6861,7180,7284,7461,7934,8427,8687,9224
Mongo,..Seeds/Planting materials,399,405,395,364,349,371,357,364,434,511,519,554,606,887,905,815,857,935,984,933,978,1035,1027,1024,1095
Mongo,..Fertilizers,26,30,27,28,34,34,42,57,71,71,75,111,74,69,84,57,53,48,46,43,49,54,58,54,72
Mongo,..Pesticides,608,639,695,702,709,727,705,747,750,712,677,652,665,732,662,665,708,657,653,656,641,616,712,664,728
Mongo,..Hired labor,1352,1294,1390,1403,1404,1449,1501,1565,1656,1726,1794,1816,1846,1966,2055,2191,2310,2468,2651,2732,2775,3031,3277,3458,3661
Mongo,..Land tax,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,147,148,150,151,153
Mongo,..Rentals,272,295,316,319,319,329,341,355,376,393,408,414,422,454,474,503,531,567,609,626,636,695,749,790,836
Mongo,..Fuel and oil,59,59,64,75,82,82,90,102,120,131,135,158,146,165,186,198,198,204,186,178,188,201,203,197,207
Mongo,..Irrigation fee,21,21,20,20,19,20,19,19,23,27,27,29,32,47,48,43,45,49,52,49,52,55,54,54,58
Mongo,..Interest payment on crop loan,76,84,92,101,111,122,134,147,162,178,196,216,238,262,288,317,349,384,422,464,511,562,618,680,748
Mongo,..Transport of inputs,17,19,20,23,27,27,28,32,38,43,43,48,46,49,53,54,54,55,55,54,57,61,61,63,69
Mongo,..Food expense,153,167,176,179,186,189,193,205,218,230,238,270,286,295,307,314,323,346,355,361,373,397,404,416,438
Mongo,..Repairs,499,535,546,563,590,599,603,648,697,734,758,819,867,882,903,939,970,1005,1023,1042,1055,1080,1114,1136,1159
Mongo,NON-CASH COSTS,1183,1215,1176,1122,1115,1184,1128,1151,1378,1601,1646,1752,1880,2660,2812,2543,2697,2948,3229,3092,3275,3551,3503,3533,3701
