"Seasonally Adjusted Gross Value Added in Agriculture, Forestry, and Fishing, at Constant 2018 Prices"

"Industry","2000 Q1","2000 Q2","2000 Q3","2000 Q4","2001 Q1","2001 Q2","2001 Q3","2001 Q4","2002 Q1","2002 Q2","2002 Q3","2002 Q4","2003 Q1","2003 Q2","2003 Q3","2003 Q4","2004 Q1","2004 Q2","2004 Q3","2004 Q4","2005 Q1","2005 Q2","2005 Q3","2005 Q4","2006 Q1","2006 Q2","2006 Q3","2006 Q4","2007 Q1","2007 Q2","2007 Q3","2007 Q4","2008 Q1","2008 Q2","2008 Q3","2008 Q4","2009 Q1","2009 Q2","2009 Q3","2009 Q4","2010 Q1","2010 Q2","2010 Q3","2010 Q4","2011 Q1","2011 Q2","2011 Q3","2011 Q4","2012 Q1","2012 Q2","2012 Q3","2012 Q4","2013 Q1","2013 Q2","2013 Q3","2013 Q4","2014 Q1","2014 Q2","2014 Q3","2014 Q4","2015 Q1","2015 Q2","2015 Q3","2015 Q4","2016 Q1","2016 Q2","2016 Q3","2016 Q4","2017 Q1","2017 Q2","2017 Q3","2017 Q4","2018 Q1","2018 Q2","2018 Q3","2018 Q4","2019 Q1","2019 Q2","2019 Q3","2019 Q4","2020 Q1","2020 Q2","2020 Q3","2020 Q4","2021 Q1","2021 Q2","2021 Q3","2021 Q4","2022 Q1","2022 Q2","2022 Q3","2022 Q4","2023 Q1","2023 Q2","2023 Q3","2023 Q4"
"..Palay",72191,73036,74944,64271,70211,76545,74512,71103,73115,74724,66994,81349,72802,70715,73992,80902,80095,78000,82766,79115,78940,79293,78380,87013,84927,84546,83450,79561,84038,83891,83889,88003,84094,85666,88561,85012,87871,88928,90015,72296,80182,81882,74873,93380,90483,88889,87079,81953,89097,95138,97953,91420,93113,92957,96471,99284,96148,96425,91525,104506,96900,93456,82851,97770,87417,88660,91018,91833,94789,96721,97714,97203,98474,95840,93163,93348,90559,88018,86083,93729,88638,93608,93645,93845,95627,94700,96029,95778,93625,95048,95837,93778,97234,96748,95642,94738
"..Corn",13037,14780,13971,14151,13458,14072,14545,14227,12921,14362,14042,13049,15664,14017,11874,16271,17473,16056,16795,16518,14031,15229,19053,16496,17704,19673,19152,19049,19332,19117,22953,21662,23029,22037,20506,20769,22310,22401,21692,21569,18807,16185,22587,23400,22313,23599,20822,22124,22540,25003,23959,22830,24285,21608,26118,21920,24018,24376,23579,25813,25110,22570,22408,24111,19691,21140,25258,24316,24932,26081,24117,23584,26153,25332,19575,26051,25371,23883,26392,24430,24224,25576,28536,24195,26226,25664,23403,29260,26069,27031,25211,26988,26901,26808,27082,26408
"..Coconut including copra",17619,14863,15636,21346,17317,18346,17808,19250,19707,18607,20130,20481,20609,20253,20128,19701,20089,20080,20199,20476,20461,21021,21100,21086,21636,21401,21177,20844,19989,20566,21488,21544,20685,22457,22342,22057,20007,24136,23024,23087,25774,20480,21033,21261,22836,20642,21296,22234,23070,22194,22402,22450,22277,22266,21866,21178,20907,20723,20548,20667,20860,20814,20807,20513,19877,19659,19293,19310,19419,19724,20055,20019,20782,21033,20977,20506,21323,20867,21044,20855,20459,20460,20507,20453,20285,20708,20893,21041,20811,20857,21206,21382,21409,21249,21073,21108
"..Sugarcane including muscovado sugar-making in the farm",5911,6323,7282,6364,5970,6068,8282,6297,6130,5739,5910,6647,7297,6517,5732,6695,7014,8207,5461,6683,6729,6226,4850,6793,7035,6337,7127,7907,7341,4451,5579,6342,7158,7775,7426,6423,6755,3913,8047,8116,6616,1806,1560,5736,8123,12073,4988,7019,7442,7806,7608,8060,7298,6430,8842,7473,7445,7048,11302,7328,7053,5831,6979,7000,7113,6344,4168,5932,7334,13070,7870,6936,6369,8028,11642,7247,7451,4669,4786,6485,7899,8199,4509,7057,7298,11879,7294,6372,6713,6496,9970,6547,5858,6384,7056,6796
"..Banana",22295,21828,21478,20828,21781,21735,21960,21521,21557,22079,23332,22042,22382,22140,22136,22585,22762,22471,23268,23816,23356,24578,26597,27490,26890,27324,27846,27787,27993,28581,28728,32982,33889,33783,34344,35364,35330,35971,34012,36614,34960,35288,34874,34471,35109,35162,35071,34768,35466,36113,35515,33333,32910,32645,32811,32801,33319,33543,33814,33567,34547,33943,34530,33859,33153,33007,33529,33829,33690,33673,34032,34230,34505,34745,34561,34254,34219,33489,33960,33570,33201,33010,33432,33827,33837,33535,33510,33816,33172,33648,33574,33505,33381,33752,33627,33464
"..Mango",9685,9332,9632,10102,9967,9857,9966,9921,10872,10677,10574,10682,11112,11500,10792,10566,11183,10679,10355,12136,10825,11186,10771,11098,10237,10327,10669,10226,11089,11884,10992,9587,9728,10226,9799,7741,9165,8541,9764,6063,9586,9672,9607,4642,9176,9495,9261,3567,7136,7459,7715,17738,8045,8176,8595,14611,9261,9566,9032,12065,9802,10093,10047,11203,8718,9433,9160,9434,8648,8492,8395,8259,8202,8171,8510,8370,8331,8618,8531,8791,8361,8629,8658,8711,8714,8590,8645,8667,8397,8263,8214,8211,9003,9189,9356,8902
"..Pineapple",4129,4362,4212,4580,4323,4543,4472,4510,4533,4453,4522,4400,4607,4646,4531,4546,4719,4679,4714,4710,4607,4744,4792,4811,4774,4831,4951,4850,4963,5343,5260,5407,5399,5548,5802,6048,5648,5494,5573,5780,5672,5537,5647,5486,5487,5929,5860,5727,5835,6130,6258,6282,6151,6222,6297,6443,6456,6344,6287,6507,6518,6557,6616,6595,6569,6615,6677,6668,6786,6700,6730,6844,6924,6856,6885,6908,6973,6883,6919,6975,6876,7206,6492,7099,7303,7434,7219,7144,7421,7277,7444,7539,7209,7522,7645,7560
"..Coffee",3204,3380,3237,3409,2947,2917,2791,2783,2795,2746,2795,2720,2791,2783,2675,2637,2648,2581,2586,2595,2569,2663,2712,2705,2650,2671,2717,2488,2402,2622,2590,2324,2161,2597,2916,2391,2048,2838,3241,2222,2959,1663,1908,2402,2420,1821,2041,2290,2481,1860,2197,2185,2106,1904,1932,1897,1993,1938,1802,1791,1767,1879,1849,1774,1751,1684,1676,1664,1591,1537,1507,1486,1476,1511,1509,1475,1385,1461,1504,1523,1384,1466,1516,1555,1545,1504,1456,1463,1472,1428,1437,1493,1490,1483,1510,1472
"..Cassava",3261,3280,3126,3316,3042,3084,3037,3059,3059,2977,3040,2965,3052,3040,2958,2974,3057,2995,3036,3069,3014,3046,3153,3236,3259,3134,3352,3339,3480,3341,3508,3606,3679,3122,3733,3941,4061,3059,3843,4066,3682,4237,4055,3785,4027,4289,4187,4104,4075,4375,4178,4179,4193,4488,4631,4602,4677,4889,4881,4875,5059,5230,5208,5216,5390,5157,5263,5285,5499,5399,5350,5238,5189,5392,5172,5077,4988,5076,5054,5010,5053,4959,5013,4952,4750,4812,4980,5073,4678,4874,5002,5056,4949,4940,4881,4916
"..Rubber",1478,1560,1641,1729,1777,1887,1936,1959,1928,1823,1865,1766,1791,1823,1824,1840,1972,1991,2025,2027,1906,1972,1999,2019,2076,2121,2230,2230,2351,2479,2396,2484,2554,2390,2401,2458,2729,2119,2230,2031,1839,2450,2334,2299,2210,2408,2461,2572,2470,2547,2542,2493,2543,2447,2477,2633,2589,2529,2498,2652,2338,2471,2252,2018,2076,2051,2051,2056,2218,2308,2308,2304,2317,2317,2480,2340,2371,2392,2463,2473,2451,2491,2448,2632,2518,2527,2492,2583,2472,2511,2502,2376,2380,2242,2203,2177
