"Type of Valuation","Subsector","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018","2018-2019","2019-2020","2020-2021","2021-2022"
"Current Prices","CROPS",-1.1,-1.5,11.8,27.7,5.7,0.1,25.7,24.8,-14.5,11.9,10.2,-3.9,2.8,26.3,-14.6,9.4,8.2,-4.4,-12.9,20.4,1.3,4.5
"Current Prices","..Palay",3.4,3.8,9.5,8.2,18.3,8.9,23.4,14.6,1.7,-3.5,4.9,17.7,28.7,21.0,-23.2,-3.5,5.9,15.4,-28.5,14.1,-11.0,12.1
"Current Prices","..Corn",-11.9,17.1,8.6,59.6,-7.0,-3.5,57.7,-10.3,-10.4,3.4,-7.0,13.7,21.4,18.1,-7.6,14.9,-18.0,32.4,-6.3,6.8,3.1,-2.7
"Current Prices","..Coconut",-37.5,117.9,17.7,46.3,3.5,-14.1,33.8,46.7,-31.0,31.9,21.1,-22.2,-18.2,46.0,-22.1,25.6,18.9,-40.5,-33.9,32.5,55.0,2.0
"Current Prices","..Banana",-0.6,4.3,10.2,18.2,-2.6,2.2,12.1,26.3,3.5,10.0,4.2,14.8,21.3,39.2,11.1,8.8,1.3,-1.6,26.3,41.3,-25.9,-12.7
"Current Prices","..Sweet Potato",-3.4,-0.1,3.1,8.9,27.9,-15.5,19.0,25.7,-8.7,-16.9,-24.1,17.9,3.9,13.2,-2.4,22.9,25.5,5.9,13.6,17.9,3.2,29.2
"Current Prices","..Mango",10.5,-15.6,9.7,18.2,7.6,8.0,3.6,20.8,-22.5,15.5,-9.1,10.8,23.8,30.2,-14.2,10.9,30.0,-5.6,11.6,5.7,4.9,10.5
"Current Prices","..Oil Palm (fresh fruit bunch)",..,..,28.9,66.0,-19.9,2.7,52.7,39.0,-30.4,38.7,27.7,-34.8,-59.4,15.6,-9.6,20.7,-5.5,-7.8,-15.5,23.8,51.6,39.8
"Current Prices","..Abaca",-54.1,-10.0,34.5,45.2,71.4,8.7,5.5,19.9,-19.4,-4.4,2.5,25.7,-6.3,6.2,31.9,42.4,6.2,4.7,2.9,6.8,-3.8,-11.8
"Current Prices","..Rubber",19.3,37.9,51.7,44.0,6.5,15.8,5.0,14.3,-31.6,98.2,30.1,-21.7,-53.5,-31.7,-6.3,9.5,50.9,-2.9,7.7,-10.1,30.6,-3.8
"Current Prices","..Cassava",5.6,4.4,6.0,9.3,4.6,2.9,16.6,33.0,10.6,-18.2,-39.5,-2.2,5.8,9.4,0.5,24.6,-13.9,9.5,10.3,6.0,20.3,7.6
"Current Prices","..Eggplant",-9.7,12.4,18.1,1.6,52.8,91.5,-18.1,43.8,12.0,-27.9,39.5,-10.3,0.1,21.5,2.6,27.4,55.4,-4.6,35.5,-2.6,62.3,15.8
"Current Prices","..Gabi",36.5,4.5,15.9,16.0,110.2,-7.5,3.1,3.1,-1.7,5.6,-18.9,12.5,20.8,19.7,22.5,11.4,4.6,-23.6,7.5,17.6,8.2,0.4
"Current Prices","..Durian",38.6,-24.4,-11.1,56.5,-50.0,46.2,53.5,-4.2,15.7,-4.9,23.4,54.0,-31.8,60.5,13.4,16.5,2.1,-11.0,-3.3,-1.2,4.3,-9.5
"Current Prices","..Calamansi",9.8,-32.8,3.3,10.2,29.0,20.9,-24.6,27.6,39.8,-21.0,54.7,-10.3,-13.0,8.6,-1.9,29.2,-13.1,22.0,25.6,-5.3,53.4,25.9
"Current Prices","..Coffee",-24.6,0.4,32.9,-1.7,12.9,-15.1,25.5,33.4,-30.6,-16.7,-0.4,-8.6,-25.5,2.0,33.5,35.2,-7.1,-13.6,3.6,-23.9,3.1,-6.5
"Current Prices","..Squash",-1.7,-8.8,314.8,-7.4,4.2,31.5,10.5,7.6,-25.2,-37.7,-1.2,4.1,-7.9,53.6,-1.9,9.9,95.1,-12.3,20.4,5.4,69.7,7.6
"Current Prices","..Ampalaya",1.4,3.5,99.3,15.3,75.7,8.6,22.0,24.9,-5.1,0.7,-9.3,11.7,17.1,-11.8,16.4,28.4,52.2,2.7,20.0,0.6,29.5,3.8
"Current Prices","..Pineapple",2.0,-28.7,72.5,6.4,24.6,-8.9,15.0,19.3,1.3,11.4,-23.6,3.6,-17.1,-17.0,-5.4,20.2,55.7,0.6,-0.1,31.8,8.5,4.8
"Current Prices","..Stringbeans",-16.4,28.7,280.7,13.9,6.5,2.9,-7.2,12.8,-27.2,4.1,-18.0,0.3,5.5,20.0,10.8,6.6,44.0,12.6,11.3,-14.1,53.5,15.9
