"Type of Valuation","Subsector","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018","2018-2019","2019-2020","2020-2021","2021-2022"
"Current Prices","CROPS",.,.,16.4,27.0,14.1,8.4,21.0,16.9,5.6,10.1,18.2,-9.0,-7.0,16.8,1.3,6.4,3.9,-0.7,9.3,22.4,-21.8,-2.4
"Current Prices","..Palay",.,.,8.8,12.6,1.3,5.2,-2.5,20.9,10.6,-6.5,12.0,13.3,-4.0,26.4,-6.4,-2.6,9.6,17.5,-23.1,1.9,-1.6,4.1
"Current Prices","..Corn",.,.,14.4,48.5,3.0,36.6,5.4,-3.1,-18.1,-18.5,21.0,-4.4,13.3,29.3,-24.0,-9.6,25.5,19.3,-22.3,15.6,8.2,19.4
"Current Prices","..Banana, Cavendish",.,.,18.6,27.9,26.9,13.4,28.1,20.5,16.6,12.4,7.6,-3.0,-7.0,13.6,8.9,2.9,0.3,5.9,23.7,26.0,-35.9,-3.7
"Current Prices","..Banana, Others*",.,.,23.4,14.9,12.2,1.9,25.4,11.4,24.3,7.1,4.9,6.3,11.7,-4.1,2.4,8.0,-0.4,7.3,31.4,23.8,-30.0,-11.0
"Current Prices","..Coconut",.,.,23.4,46.8,11.0,-7.8,24.8,25.5,-17.7,24.1,60.9,-34.1,-20.5,40.6,-14.7,20.1,8.0,-37.1,-27.4,34.8,47.0,-8.0
"Current Prices","..Durian",.,.,58.3,-3.8,2.3,15.9,65.5,-11.0,6.7,0.3,32.9,-7.9,5.6,-12.2,32.9,11.8,19.8,-7.9,-5.2,0.8,3.1,4.9
"Current Prices","..Mango",.,.,13.2,11.4,-5.2,9.4,18.0,11.9,-11.4,-4.3,-14.7,16.3,1.5,86.8,11.0,36.6,14.8,-16.4,-6.8,16.6,-6.9,0.4
"Current Prices","..Coffee",.,.,28.7,-5.0,15.6,-0.4,2.9,11.3,-13.0,0.2,8.5,-3.4,-33.7,2.4,6.1,-1.4,7.5,-4.2,-7.0,4.7,-3.3,35.6
"Current Prices","..Sugarcane",.,.,-7.5,2.5,-31.2,88.3,17.9,-9.7,-13.8,-25.1,107.4,-20.0,-5.4,-19.9,-30.4,37.7,11.8,11.3,-33.1,-0.7,17.2,31.0
"Current Prices","..Cacao",.,.,38.7,-10.7,5.9,-4.1,-6.4,4.4,-8.3,29.4,30.6,-14.1,-12.0,54.3,20.6,15.7,-8.5,9.4,18.7,5.1,0.7,5.0
"Current Prices","..Abaca",.,.,25.2,87.4,6.1,-2.9,9.3,31.3,-2.3,2.4,-19.6,1.9,-25.7,20.6,23.4,23.4,19.3,-0.1,1.0,4.8,4.5,-0.5
"Current Prices","..Potato",.,.,1.2,26.0,4.2,32.0,13.9,17.5,2.4,9.1,12.2,-14.6,-3.7,5.4,-6.6,43.9,-13.7,4.8,2.5,2.5,3.1,12.5
"Current Prices","..Pomelo",.,.,1.4,-3.1,22.0,18.9,-6.3,1.8,7.8,-6.0,18.7,9.2,6.0,-5.7,11.8,17.6,-16.7,4.9,12.0,15.7,-1.3,9.5
"Current Prices","..Pineapple",.,.,51.3,26.7,12.0,-50.2,31.5,2.0,5.4,-2.9,40.2,27.1,-2.6,11.0,-1.3,8.3,40.4,12.1,-0.7,30.8,1.9,-10.0
"Current Prices","..Sweet Potato",.,.,27.3,1.7,0.0,-4.4,2.2,22.7,8.2,14.4,1.7,0.4,11.4,-4.4,25.7,24.0,-2.1,10.6,4.9,14.4,-10.4,17.4
"Current Prices","..Rubber",.,.,98.8,35.4,11.0,32.0,11.8,4.7,-24.2,85.1,33.5,-33.0,-61.2,-9.1,-21.8,-1.5,53.5,-16.6,7.1,-12.0,27.6,-3.4
"Current Prices","..Stringbeans",.,.,297.4,19.4,-6.0,15.3,11.2,-1.5,-10.7,15.0,-4.0,-7.3,0.7,12.9,20.6,-0.4,11.1,5.7,8.7,-5.5,23.2,-0.9
"Current Prices","..Eggplant",.,.,-2.6,20.1,-12.4,29.6,-8.2,6.7,-2.9,-2.1,43.6,-21.4,10.7,9.4,3.9,12.7,19.3,-3.3,28.7,-12.2,48.4,10.6
"Current Prices","..Cassava",.,.,14.5,4.7,15.8,19.8,-2.3,10.5,1.0,11.1,0.8,8.4,8.4,11.9,6.0,46.8,-9.0,11.6,-3.9,46.3,-20.4,3.4
"Current Prices","..Calamansi",.,.,-24.9,12.9,20.2,46.5,-19.0,29.6,15.0,-13.3,24.6,-7.5,-9.7,-13.5,1.9,14.8,15.8,14.9,7.2,-0.8,30.8,13.4
"Current Prices","..Papaya",.,.,14.0,62.1,-6.0,-19.8,43.7,4.2,-23.6,19.7,-11.0,-5.1,9.4,3.3,2.1,12.1,-10.0,-12.2,33.6,14.5,5.2,-7.4
"Current Prices","..Mangosteen",.,.,-25.5,109.1,89.3,-50.7,-51.5,61.2,25.6,100.9,-46.2,2.4,-21.2,4.1,55.3,-1.1,-20.2,83.0,-15.3,20.8,-2.8,10.0
"Current Prices","..Other Crops",.,.,-32.3,41.2,6.8,2.8,12.9,2.0,1.1,5.5,1.5,-6.5,-3.2,6.6,4.0,7.1,-1.8,9.9,9.2,10.1,7.1,4.4
"Current Prices","LIVESTOCK",.,.,3.7,30.1,3.2,-2.1,4.7,11.1,8.0,12.7,5.2,-3.3,7.5,7.9,5.0,2.3,12.6,8.7,-3.6,1.7,30.0,17.7
"Current Prices","..Hog",.,.,4.7,33.1,3.3,-2.4,4.7,11.2,8.4,11.2,5.7,-4.2,7.8,8.2,4.2,2.1,12.8,8.2,-6.7,2.5,34.4,17.3
"Current Prices","..Cattle",.,.,-2.7,8.2,7.7,8.2,-3.8,9.0,9.9,25.9,4.0,-1.5,7.5,6.5,6.0,4.1,14.4,12.9,10.8,-2.4,16.0,2.5
"Current Prices","..Carabao",.,.,-0.2,13.0,1.5,-1.2,18.4,10.5,3.4,26.6,-1.8,11.3,13.3,6.7,14.3,3.9,10.2,11.9,10.9,-14.9,-0.3,57.1
"Current Prices","..Goat",.,.,2.0,28.6,-2.1,-9.5,5.5,13.8,2.9,9.7,5.0,-4.8,-4.3,5.1,7.7,0.3,6.9,6.3,12.6,19.4,18.1,12.8
"Current Prices","POULTRY",.,.,3.8,11.8,3.7,2.5,-27.6,13.1,13.8,-1.0,7.6,3.9,4.3,10.2,4.2,2.7,0.0,9.0,8.8,0.4,5.5,17.2
"Current Prices","..Chicken",.,.,2.6,10.7,2.4,1.1,-38.4,21.4,17.4,-1.8,6.1,3.0,6.4,10.2,4.1,1.7,1.4,10.9,0.5,-5.1,16.9,19.7
"Current Prices","..Duck",.,.,10.6,-20.0,14.0,-7.8,-24.8,6.1,-16.1,3.4,-12.9,-2.6,-8.3,-3.3,10.6,7.9,10.6,10.3,6.6,8.5,33.1,-15.9
"Current Prices","..Chicken Eggs",.,.,9.2,23.3,5.0,13.4,10.8,-2.9,9.7,0.3,12.4,7.0,0.9,11.5,3.1,5.2,-4.2,4.0,32.2,11.2,-16.3,12.7
"Current Prices","..Duck Eggs",.,.,0.0,15.3,24.5,-23.9,-21.0,8.2,-20.0,7.6,12.2,-4.1,-17.4,-2.3,25.6,4.0,1.4,11.3,4.0,10.4,8.9,18.7
"Current Prices","FISHERIES",.,.,10.1,17.6,3.4,6.5,26.5,16.1,-3.1,11.6,-2.9,16.2,5.4,-24.9,7.1,-2.7,11.6,-2.6,3.0,-6.2,25.1,89.6
"Current Prices","..Milkfish (Bangus)",.,.,-0.9,56.1,-28.1,8.6,68.7,40.0,28.7,5.3,-7.2,24.3,3.4,-31.5,15.8,-16.0,-11.3,17.7,-5.1,12.3,44.1,38.1
"Current Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,107.1,-7.5,30.3,-13.0,28.9,-4.0,-44.3,67.5,-1.8,-8.2,58.1,-36.2,-10.5,17.5,52.4,-16.2,16.4,-55.3,6.2,245.6
"Current Prices","..Big-eyed scad (Matangbaka)",.,.,7.5,12.4,-32.0,-9.0,40.7,-8.6,-19.6,55.7,4.8,37.2,-26.8,-33.6,2.3,13.4,60.6,-5.0,-23.3,-1.4,17.6,211.3
"Current Prices","..Frigate tuna (Tulingan)",.,.,-8.9,23.4,15.7,-17.0,67.4,-2.6,-12.1,-10.8,4.8,72.3,18.5,-39.7,30.4,15.5,27.9,4.5,-20.1,-18.9,21.4,58.3
"Current Prices","..Skipjack (Gulyasan)",.,.,-8.8,27.7,54.3,-25.6,146.9,-7.5,-30.5,1.6,20.9,11.8,-31.4,-3.9,63.5,-11.3,42.4,9.7,-8.4,-37.7,21.3,518.9
"Current Prices","..Tilapia",.,.,4.0,17.1,41.8,13.1,23.0,11.7,-0.1,72.3,39.8,70.2,2.9,-6.8,6.2,-26.3,9.0,-4.9,24.8,22.6,31.8,-64.7
"Current Prices","..Roundscad (Galunggong)",.,.,9.5,4.0,-16.8,20.9,-1.4,59.3,-29.2,-15.8,7.9,26.2,7.3,-33.3,-15.0,-9.0,66.2,-40.0,-26.8,32.1,11.1,62.4
"Current Prices","..Squid (Pusit)",.,.,2.2,28.0,62.1,25.2,36.5,-3.1,-3.0,28.3,-14.0,26.4,-43.8,-9.1,5.9,21.1,49.4,-27.2,60.6,-45.5,85.2,247.0
"Current Prices","..P. vannamei",.,.,..,..,..,..,..,..,..,..,-40.9,50.8,39.1,117.2,-42.8,46.2,10.3,11.3,52.2,103.2,43.3,-25.1
"Current Prices","..Catfish (Hito/Kanduli)",.,.,2.7,-6.5,17.1,33.7,55.0,32.0,42.2,38.4,-17.8,5.1,-12.5,19.2,-1.1,16.6,16.6,50.7,-1.2,33.8,29.8,-33.6
"Current Prices","..Eastern little tuna (Bonito)",.,.,-86.0,62.0,393.6,7.8,77.0,46.3,-38.7,23.4,-30.3,6.4,-1.6,28.7,42.7,49.5,64.5,-37.1,14.6,-13.0,-21.0,-14.8
"Current Prices","..Siganid (Samaral)",.,.,91.3,33.1,107.2,89.9,10.3,77.2,-34.6,8.6,-27.8,-6.4,27.6,-8.0,-19.5,-20.8,60.4,25.9,-33.4,-10.5,18.7,55.0
"Current Prices","..Anchovies (Dilis)",.,.,16.7,19.7,46.9,61.1,15.3,10.7,33.6,-26.3,-15.0,127.8,-12.6,-45.4,14.6,-30.2,-43.5,59.7,-63.8,-15.2,11.9,188.1
"Current Prices","..Parrot fish (Loro)",.,.,32.2,7.3,32.6,5.2,-35.7,5.0,69.2,12.2,-25.5,11.9,-33.6,-10.7,-33.6,-1.1,511.0,-30.7,-58.6,-28.6,-5.3,249.9
"Current Prices","..Bigeye tuna (Tambakol/Bariles)",.,.,107.1,-7.5,30.3,29.5,-4.6,1.4,-28.7,-30.6,14.3,3.1,59.5,21.0,-11.3,-21.4,-38.2,-38.7,122.6,-74.8,-89.0,1012.9
"Current Prices","..Goatfish (Saramulyete)",.,.,2.6,15.3,86.5,82.4,78.6,-27.1,53.4,-10.2,7.1,-39.7,-0.4,-15.1,-44.4,-7.7,50.9,42.5,-24.8,-31.3,-40.9,361.8
"Current Prices","..Cavalla (Talakitok)",.,.,-45.6,14.4,139.7,14.1,25.0,-18.0,-15.9,177.8,-3.3,-22.9,-35.1,5.7,24.8,-9.4,-4.5,7.1,19.5,47.6,12.5,30.0
