"Type of Valuation","Subsector","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018","2018-2019","2019-2020","2020-2021","2021-2022"
"Current Prices","CROPS",.,.,-3.6,5.4,16.1,1.9,12.4,20.5,17.0,-4.7,24.1,1.0,-2.2,24.0,-4.4,-0.9,9.5,10.8,-10.4,-4.0,16.6,1.2
"Current Prices","..Palay",.,.,4.8,-0.8,12.3,3.5,14.9,20.2,22.3,-4.3,8.2,12.3,4.6,21.2,-12.7,3.1,11.4,20.2,-15.8,-5.0,6.1,0.8
"Current Prices","..Corn",.,.,-12.9,56.3,27.1,39.4,22.6,5.1,2.8,-38.1,28.5,15.1,15.4,5.2,15.5,-8.1,2.7,25.6,-15.8,3.6,15.4,33.0
"Current Prices","..Coconut",.,.,-0.5,16.1,30.5,-14.9,21.1,43.4,2.7,9.4,98.3,-8.7,-9.3,29.6,-3.6,-4.1,9.1,-18.8,-14.6,-3.8,23.1,21.3
"Current Prices","..Banana",.,.,-4.7,13.3,20.5,-16.3,34.9,1.0,0.6,15.3,15.9,-10.7,-15.1,12.3,70.5,-19.2,-16.1,6.2,3.6,-31.1,53.3,-5.4
"Current Prices","..Cashew nut",.,.,25.8,30.3,43.5,-46.7,30.3,32.9,-12.8,7.3,44.0,-11.6,6.4,11.8,15.5,34.6,95.8,16.5,-33.8,-33.9,21.6,-43.6
"Current Prices","..Calamansi",.,.,-31.6,0.0,23.8,6.5,-27.5,17.5,70.9,-37.6,53.9,-20.7,-42.2,85.8,-24.2,-42.2,-8.8,10.4,59.8,-43.8,88.8,-9.4
"Current Prices","..Onion",.,.,99.2,65.5,84.6,156.5,2243.7,57.1,-26.0,-9.6,17.8,1.5,-3.6,-9.6,28.3,47.8,-0.9,13.9,-5.0,70.8,59.9,6.0
"Current Prices","..Mango",.,.,-5.2,30.3,1.3,23.6,-3.6,9.0,5.3,-14.6,16.8,33.7,-13.2,36.2,10.7,32.5,18.9,9.3,16.4,9.5,12.0,27.1
"Current Prices","..Sweet Potato",.,.,-1.6,0.5,2.6,31.3,7.7,0.5,24.8,-0.8,-13.8,31.7,27.8,10.2,7.0,8.5,2.8,13.6,16.5,-2.2,22.5,22.9
"Current Prices","..Cassava",.,.,-3.7,61.4,24.4,-23.0,-0.2,10.0,15.6,9.3,14.6,14.0,57.4,31.1,12.7,-1.7,35.8,-9.4,0.3,-0.7,44.4,9.8
"Current Prices","..Arrowroot",.,.,-5.2,-7.2,-13.1,65.6,-42.2,-7.6,0.1,-1.5,0.9,-0.4,1.2,6.4,-2.8,-1.5,117.9,1.8,-0.9,-6.1,-6.8,-0.7
"Current Prices","..Garlic",.,.,7.4,-1.5,13.2,19.1,0.4,-7.5,2.1,36.0,47.5,-40.7,-17.4,74.3,-18.0,-28.2,20.8,-44.1,-7.1,-6.8,-60.6,-17.1
"Current Prices","..Tomato",.,.,34.8,-6.3,43.6,28.9,-0.4,0.5,19.1,-7.7,5.6,22.8,20.6,21.7,3.0,28.7,48.8,7.2,3.2,36.9,3.8,11.5
"Current Prices","..Stringbeans",.,.,407.8,-7.7,3.5,-7.9,-0.4,4.5,1.4,2.7,2.3,3.4,11.8,9.0,8.7,6.6,99.6,7.8,-2.7,-10.5,-1.2,9.0
"Current Prices","..Ampalaya",.,.,107.1,18.9,2.7,11.6,-3.9,28.0,9.7,-5.9,28.1,2.3,43.2,21.7,12.9,16.7,43.9,7.7,-3.2,-7.7,12.8,7.1
"Current Prices","..Gabi",.,.,17.8,-6.4,24.6,-10.0,90.9,-21.1,-11.4,11.6,0.0,9.5,26.3,59.9,5.0,59.8,2.2,-1.7,40.1,5.5,-1.2,-9.1
"Current Prices","..Squash",.,.,190.2,3.8,3.5,16.7,-2.0,21.5,19.0,-0.1,17.9,8.5,5.2,2.6,9.0,9.5,52.5,8.0,-1.6,-6.6,10.8,26.6
"Current Prices","..Mongo",.,.,15.9,-1.7,15.3,29.3,15.1,5.6,22.7,32.8,28.1,-22.8,6.0,7.6,12.9,-2.0,6.9,6.6,-10.6,12.5,23.2,16.7
"Current Prices","..Coffee",.,.,18.0,-3.0,10.8,3.3,21.5,14.8,-13.7,2.2,20.1,-3.7,-3.1,7.6,0.5,-4.6,-33.7,-5.0,-8.2,-10.0,-4.7,-35.8
"Current Prices","..Abaca",.,.,8.0,37.7,89.3,28.6,2.0,33.2,-16.5,0.3,31.9,20.4,8.8,41.2,-17.8,17.2,19.8,13.6,-1.2,-15.2,-4.0,51.8
"Current Prices","..Rambutan",.,.,-0.2,2.0,-22.5,40.1,-10.7,66.2,-44.7,-4.8,54.3,9.6,-13.8,32.3,-16.9,5.7,3.3,-14.7,-33.5,16.4,21.3,99.9
"Current Prices","..Cacao",.,.,29.3,-15.0,2.7,-1.2,16.0,16.4,0.7,50.4,35.3,-12.8,-11.8,70.3,19.0,3.1,-18.3,2.6,27.7,2.2,32.0,-21.3
"Current Prices","..Other Crops",.,.,-9.0,11.8,7.7,5.7,1.8,18.8,5.0,14.0,2.3,-11.6,-2.2,23.1,12.0,3.5,6.6,11.2,4.1,8.9,20.6,-24.4
"Current Prices","LIVESTOCK",.,.,5.6,19.4,6.2,-1.3,6.8,16.0,12.2,10.7,1.9,7.4,7.2,4.9,4.8,3.1,12.7,-2.8,-10.1,4.1,57.0,10.3
"Current Prices","..Hog",.,.,6.4,22.8,4.9,0.9,5.1,22.1,12.6,11.5,0.3,8.4,6.7,4.9,5.0,2.3,15.2,-1.5,-13.3,9.9,64.5,10.8
"Current Prices","..Cattle",.,.,1.5,5.3,10.9,2.0,5.3,10.9,12.4,7.7,11.8,5.8,11.6,6.3,6.4,6.5,4.2,-9.3,2.6,-20.9,31.7,-3.8
"Current Prices","..Carabao",.,.,4.7,17.4,10.2,-27.3,32.9,-18.5,7.4,9.4,-2.9,-0.5,3.2,1.0,-5.5,1.4,12.3,-0.5,-9.3,3.0,41.3,36.2
"Current Prices","..Goat",.,.,17.0,35.5,-1.6,21.3,-8.4,8.7,12.6,8.4,2.6,9.8,2.6,4.1,10.6,8.4,2.7,-4.0,4.0,12.9,2.8,18.2
"Current Prices","POULTRY",.,.,5.0,8.2,6.6,1.1,7.6,12.7,16.0,2.6,7.4,12.4,0.6,8.2,8.1,-2.1,9.9,12.3,11.7,7.4,11.1,26.7
"Current Prices","..Chicken",.,.,5.7,8.5,11.2,2.2,7.7,16.7,17.2,3.4,7.1,13.3,-1.0,5.5,7.7,-2.8,1.6,10.9,7.1,2.7,15.5,29.9
"Current Prices","..Duck",.,.,4.5,-13.9,12.8,-19.2,-2.2,13.0,2.7,10.5,-2.9,6.6,1.1,9.5,16.7,-7.9,25.6,8.2,25.8,-3.4,38.4,-14.9
"Current Prices","..Chicken Eggs",.,.,3.9,9.9,-2.7,-0.4,6.9,4.4,11.6,-0.7,8.5,11.3,3.8,15.9,10.3,0.7,26.3,16.3,18.0,15.7,3.0,24.3
"Current Prices","..Duck Eggs",.,.,0.5,10.1,15.6,21.0,22.4,11.1,45.9,10.0,9.7,4.9,8.3,-0.4,-9.4,-12.1,18.8,-3.6,20.5,-0.1,30.1,31.4
"Current Prices","FISHERIES",.,.,21.2,12.0,4.7,61.3,-5.8,50.9,-22.2,0.6,-0.4,0.3,-9.5,-3.6,-5.3,-15.3,14.9,41.1,-4.2,-11.7,-4.8,21.0
"Current Prices","..Seaweed",.,.,25.9,32.8,16.5,12.9,-4.2,197.7,-37.1,23.2,-13.2,-8.5,4.2,-3.2,-22.0,-39.3,98.0,27.6,4.6,-39.2,-17.7,138.1
"Current Prices","..Grouper (Lapu-lapu)",.,.,8.7,28.7,7.1,17.9,22.6,737.6,-53.2,-75.6,22.5,-6.8,-35.8,-5.7,20.1,-23.3,14.1,621.1,-74.5,172.7,-70.3,-28.3
"Current Prices","..Frigate tuna (Tulingan)",.,.,14.3,17.8,-0.9,38.6,10.7,29.3,5.7,-10.8,-6.1,2.2,14.3,-1.9,-1.3,-3.9,8.6,13.6,-1.4,11.3,5.3,-32.9
"Current Prices","..Blue crab (Alimasag)",.,.,6.9,24.5,-16.4,5.8,35.4,32.4,0.6,-6.2,9.2,30.6,-5.0,39.6,-16.8,-33.8,21.1,126.0,-15.3,2.8,11.5,-58.6
"Current Prices","..Roundscad (Galunggong)",.,.,43.8,5.4,-5.4,16.0,-10.2,13.3,-1.7,13.2,5.4,-4.1,16.1,-1.5,-2.1,-9.7,-1.5,12.9,3.4,-15.8,17.2,48.2
"Current Prices","..Big-eyed scad (Matangbaka)",.,.,76.7,-16.6,1.9,28.4,6.6,51.1,2.0,17.0,-9.1,-11.8,-5.3,3.4,13.9,-7.3,-17.1,47.0,-5.2,1.7,11.9,-35.9
"Current Prices","..Squid (Pusit)",.,.,-3.4,54.5,10.6,13.1,21.6,-8.5,-28.9,52.0,19.0,-13.0,34.4,14.3,-17.5,-19.5,22.7,10.0,-1.2,-3.8,10.7,10.8
"Current Prices","..Indian mackerel (Alumahan)",.,.,89.8,-2.4,2.1,36.7,8.7,25.1,-4.1,3.0,2.6,4.9,-4.9,-3.1,24.4,-4.4,-8.0,2.7,6.1,3.6,-3.9,3.2
"Current Prices","..Slipmouth (Sapsap)",.,.,13.2,-5.7,-21.0,5.4,-11.7,26.2,5.2,3.2,4.7,31.0,-6.1,23.3,-22.3,-13.3,-7.2,45.4,10.0,-17.8,-6.6,-4.6
"Current Prices","..Cavalla (Talakitok)",.,.,16.5,35.5,14.6,31.1,28.9,58.7,-17.2,22.9,16.8,-0.2,-15.8,-17.9,13.5,-18.1,0.8,0.4,16.3,7.7,9.6,-30.3
