"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","CROPS",6798,6888,7314,7522,8607,8684,10748,12848,16068,17797,14614,18252,19563,20846,22728,20403,20491,21271,23893,21475,20431,23036,23116
"Current Prices","..Palay",2192,2511,2578,2716,3285,3661,4085,4708,6330,6548,5802,6619,7573,7924,9520,7225,6745,8150,8057,6978,6475,6671,6021
"Current Prices","..Corn",534,685,632,556,888,1016,1426,1809,2135,1994,1792,2586,2827,2949,3147,2974,2362,2600,2986,2999,2859,3322,3395
"Current Prices","..Potato",599,736,566,652,897,608,936,1722,2189,2703,2413,2316,2384,2971,2606,1892,3487,2758,2929,2962,3331,2598,3262
"Current Prices","..Cabbage",488,326,524,564,551,610,898,890,1043,1368,695,1564,1358,1414,1499,1954,1756,1600,2562,1662,1626,2852,1692
"Current Prices","..Carrots",433,292,285,475,417,431,476,832,1128,1493,753,1328,1225,1116,1487,1483,1362,1772,1723,1376,1131,1784,1933
"Current Prices","..Chinese Cabbage",192,134,198,217,213,240,247,256,347,491,286,441,444,603,597,631,540,479,933,660,575,746,679
"Current Prices","..Chayote",68,59,66,94,140,103,223,140,173,238,257,237,312,218,239,345,361,226,581,453,455,686,560
"Current Prices","..Bell Pepper",239,166,149,201,174,158,217,202,210,294,212,324,306,367,295,355,330,289,438,430,407,538,930
"Current Prices","..Sweet Peas",370,331,228,250,250,278,287,316,355,336,302,362,379,484,393,393,479,530,426,495,461,572,659
"Current Prices","..Banana",129,155,145,123,149,144,171,180,213,226,234,250,303,348,409,395,386,358,341,429,436,417,409
"Current Prices","..Coffee",155,147,115,145,131,130,163,249,244,241,231,267,273,273,272,294,204,131,173,136,168,175,197
"Current Prices","..Sweet Potato",147,188,196,219,208,202,199,160,190,208,216,272,272,277,297,315,311,327,282,268,273,201,187
"Current Prices","..Cauliflower",144,62,95,99,64,50,94,76,91,110,80,115,151,134,146,177,169,149,233,201,124,109,109
"Current Prices","..Habitchuelas",111,109,86,104,111,95,128,148,153,173,137,159,169,172,171,198,197,180,232,196,213,251,303
"Current Prices","..Cassava",12,13,18,22,25,18,30,20,16,18,18,17,23,122,127,146,201,158,181,158,162,86,88
"Current Prices","..Celery",94,90,91,83,94,67,103,72,91,94,47,45,77,41,57,77,64,76,109,103,72,117,103
"Current Prices","..Mango",79,49,57,51,67,59,73,72,89,84,91,87,75,79,76,73,83,78,107,97,62,122,97
"Current Prices","..Tobacco",28,32,33,25,33,49,45,48,52,64,64,58,66,60,78,74,101,86,100,124,126,96,107
"Current Prices","..Tomato",46,43,39,48,57,67,57,57,75,90,62,138,148,110,91,94,92,74,84,70,77,62,83
"Current Prices","..Broccoli",23,24,29,26,38,13,34,41,36,40,35,30,48,51,43,65,59,52,73,94,67,88,113
"Current Prices","..Strawberry",139,146,151,81,83,85,83,72,101,104,99,101,105,120,143,151,142,173,144,277,165,263,667
"Current Prices","..Roses",122,100,83,67,56,47,41,35,33,68,47,95,144,126,135,127,105,116,161,235,122,162,346
"Current Prices","..Other Crops",454,489,950,704,674,553,733,742,774,810,743,841,899,885,901,965,953,911,1040,1072,1045,1118,1174
