"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","CROPS",8009,7917,7801,8725,11142,11774,11788,14821,18493,15807,17694,19494,18742,19263,24329,20779,22736,24596,23520,20475,24646,24963,26083
"Current Prices","..Palay",2511,2597,2695,2951,3193,3779,4116,5078,5820,5919,5715,5996,7057,9079,10985,8434,8140,8622,9949,7117,8123,7231,8104
"Current Prices","..Corn",471,415,486,528,843,784,756,1193,1070,958,991,922,1048,1272,1502,1388,1595,1307,1731,1622,1732,1786,1738
"Current Prices","..Coconut",1367,855,1863,2193,3208,3321,2853,3818,5601,3866,5098,6174,4805,3930,5739,4473,5619,6682,3976,2628,3481,5394,5502
"Current Prices","..Banana",671,667,695,766,906,882,901,1010,1276,1321,1452,1514,1737,2107,2932,3258,3545,3591,3535,4463,6305,4674,4082
"Current Prices","..Sweet Potato",292,282,282,290,316,404,342,407,512,467,388,294,347,360,408,398,489,614,650,739,870,898,1160
"Current Prices","..Mango",197,217,183,201,238,256,276,286,346,268,310,282,312,386,503,432,479,622,588,656,693,727,804
"Current Prices","..Oil Palm (fresh fruit bunch)",..,..,455,586,973,780,801,1223,1700,1184,1642,2097,1367,555,642,580,700,662,610,515,638,967,1352
"Current Prices","..Abaca",152,70,63,84,123,210,228,241,289,233,222,228,287,269,285,376,536,569,596,614,655,631,557
"Current Prices","..Rubber",114,136,187,284,409,435,504,529,605,414,821,1067,835,388,265,249,272,411,399,430,386,505,486
"Current Prices","..Cassava",124,131,137,145,159,166,171,199,265,293,240,145,142,150,164,165,205,177,194,214,226,272,293
"Current Prices","..Eggplant",13,12,13,15,16,24,46,38,54,61,44,61,55,55,67,68,87,135,129,175,170,276,319
"Current Prices","..Gabi",26,35,37,43,50,104,96,99,102,101,106,86,97,117,140,172,191,200,153,164,193,209,210
"Current Prices","..Durian",28,38,29,26,40,20,29,45,43,50,47,58,90,61,98,112,130,133,118,114,113,118,107
"Current Prices","..Calamansi",35,39,26,27,30,38,46,35,44,62,49,76,68,59,64,63,81,71,86,108,103,157,198
"Current Prices","..Coffee",81,61,61,81,80,90,77,96,128,89,74,74,68,50,51,69,93,86,74,77,59,60,56
"Current Prices","..Squash",8,7,7,28,26,27,36,40,43,32,20,20,20,19,29,28,31,61,53,64,68,115,124
"Current Prices","..Ampalaya",3,3,3,7,8,14,15,18,23,21,22,20,22,26,23,26,34,51,53,63,64,82,85
"Current Prices","..Pineapple",26,27,19,33,35,44,40,46,55,55,62,47,49,40,34,32,38,59,60,60,79,85,89
"Current Prices","..Stringbeans",4,3,4,15,18,19,19,18,20,15,15,12,13,13,16,18,19,27,30,34,29,45,52
"Current Prices","..Jackfruit, ripe",36,85,51,26,86,47,82,76,92,81,68,32,23,28,42,57,51,60,65,72,74,78,95
"Current Prices","..Cacao",12,12,14,21,20,19,16,15,11,9,7,4,5,5,5,6,6,7,10,14,12,14,12
"Current Prices","..Mangosteen",1,1,1,1,2,2,2,0,0,0,0,0,1,2,2,7,8,2,2,3,4,5,6
"Current Prices","..Other Crops",1839,2225,489,372,367,310,335,310,394,309,302,285,295,292,333,370,385,447,458,529,567,631,651
"Current Prices","LIVESTOCK",2627,2737,2993,3092,3960,4099,4253,4511,4636,4595,4959,4358,4162,4099,4220,4233,4520,4694,4871,4835,4463,4947,5464
"Current Prices","..Hog",2385,2489,2730,2824,3656,3753,3857,4035,4122,4107,4437,3884,3707,3652,3780,3808,4055,4218,4411,4355,3995,4511,4999
"Current Prices","..Cattle",54,56,59,60,70,71,76,83,89,79,98,99,109,118,123,115,148,151,140,166,155,153,143
"Current Prices","..Carabao",119,117,122,117,142,159,186,246,285,270,285,263,238,220,213,204,202,210,195,204,219,181,223
"Current Prices","..Goat",69,75,81,91,91,116,135,146,141,138,139,112,108,108,104,107,115,115,126,110,94,101,99
"Current Prices","POULTRY",989,1129,1197,1181,1491,1452,1438,1577,1531,1392,1491,1470,1438,1648,2015,2020,2110,2174,2781,2648,2735,3147,4049
"Current Prices","..Chicken",704,811,873,874,1133,1122,1136,1206,1216,1110,1176,1161,1083,1214,1452,1395,1478,1542,1789,1642,1598,1919,2458
"Current Prices","..Duck",61,69,73,76,72,73,63,55,25,24,19,14,15,14,16,16,18,16,21,25,23,23,30
"Current Prices","..Chicken Eggs",168,197,189,167,214,187,182,253,256,222,253,255,291,361,471,543,559,557,910,925,1054,1145,1494
"Current Prices","..Duck Eggs",56,53,63,64,71,70,57,62,33,37,44,39,49,59,76,66,55,59,62,57,61,60,67
"Current Prices","FISHERIES",3086,3347,3539,3746,3974,4104,4198,5508,6383,5533,5567,5577,5393,5515,5906,6164,5954,6175,6538,6978,6643,7197,7971
"Current Prices","..Milkfish (Bangus)",.,.,141,208,245,205,214,240,251,185,162,159,184,204,264,285,329,361,510,630,524,623,547
"Current Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,68,109,103,178,207,439,503,648,503,355,442,445,480,445,437,498,498,535,498,550,921
"Current Prices","..Frigate tuna (Tulingan)",.,.,310,312,396,405,367,462,414,405,373,418,463,466,479,495,484,508,482,455,485,308,535
"Current Prices","..Skipjack (Gulyasan)",.,.,31,36,41,68,133,220,299,318,279,194,211,272,326,329,319,348,357,342,356,492,624
"Current Prices","..Big-eyed scad (Matangbaka)",.,.,416,461,518,508,516,487,542,513,433,360,262,254,212,218,204,257,249,206,232,278,331
"Current Prices","..Roundscad (Galunggong)",.,.,59,105,71,82,84,84,92,105,141,165,191,190,168,162,179,181,197,178,179,225,287
"Current Prices","..Cavalla (Talakitok)",.,.,19,24,19,27,25,48,77,50,50,82,82,101,134,160,149,155,170,206,166,306,133
"Current Prices","..Bali sardinella (Tamban)",.,.,50,58,69,94,107,118,182,130,176,186,154,126,119,144,132,138,166,159,161,147,168
