"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","CROPS",.,.,13629,13132,13847,16075,16374,18408,22188,25957,24726,30676,30968,30272,37545,35905,35579,38945,43133,38660,37131,43310,43817
"Current Prices","..Palay",.,.,6845,7175,7118,7994,8274,9509,11429,13979,13377,14480,16263,17008,20607,17989,18545,20653,24833,20918,19866,21075,21236
"Current Prices","..Corn",.,.,382,333,520,661,921,1129,1187,1220,755,970,1116,1288,1354,1564,1438,1477,1855,1562,1617,1866,2481
"Current Prices","..Coconut",.,.,1285,1278,1483,1935,1646,1993,2858,2936,3211,6369,5813,5273,6834,6591,6322,6898,5603,4783,4599,5663,6870
"Current Prices","..Banana",.,.,773,737,834,1005,842,1136,1148,1155,1332,1545,1379,1171,1315,2242,1813,1522,1615,1673,1152,1766,1671
"Current Prices","..Cashew nut",.,.,103,129,169,242,129,168,223,195,209,301,266,283,316,365,492,963,1121,743,491,597,337
"Current Prices","..Calamansi",.,.,2023,1384,1383,1713,1825,1323,1555,2658,1658,2552,2024,1169,2172,1645,950,866,957,1529,859,1622,1470
"Current Prices","..Onion",.,.,1,2,3,6,16,380,597,441,399,470,477,460,416,533,788,781,890,845,1443,2308,2445
"Current Prices","..Mango",.,.,116,110,143,145,179,173,188,198,169,198,264,229,312,346,458,545,595,693,759,851,1081
"Current Prices","..Sweet Potato",.,.,82,81,81,84,110,118,119,148,147,127,167,213,235,252,273,281,319,372,364,446,548
"Current Prices","..Cassava",.,.,28,27,44,55,42,42,46,53,58,67,76,120,157,177,174,236,214,215,213,308,338
"Current Prices","..Arrowroot",.,.,11,11,10,9,14,8,8,8,7,8,8,8,8,8,8,17,17,17,16,15,15
"Current Prices","..Garlic",.,.,104,112,110,125,149,149,138,141,192,283,168,138,241,198,142,172,96,89,83,33,27
"Current Prices","..Tomato",.,.,9,12,11,16,21,20,21,24,23,24,29,35,43,44,57,85,91,94,129,133,149
"Current Prices","..Stringbeans",.,.,5,26,24,25,23,23,24,24,25,25,26,29,32,35,37,74,80,78,70,69,75
"Current Prices","..Ampalaya",.,.,5,9,11,11,13,12,16,17,16,21,21,30,37,42,49,70,75,73,67,76,81
"Current Prices","..Gabi",.,.,11,12,12,15,13,25,20,17,19,19,21,27,43,45,72,74,73,102,107,106,96
"Current Prices","..Squash",.,.,5,14,14,15,17,17,20,24,24,29,31,33,33,36,40,61,66,65,60,67,85
"Current Prices","..Mongo",.,.,10,12,12,13,17,20,21,26,34,44,34,36,39,44,43,46,49,44,49,60,70
"Current Prices","..Coffee",.,.,7,8,8,9,9,11,13,11,11,14,13,13,14,14,13,9,8,8,7,7,4
"Current Prices","..Abaca",.,.,1,1,1,2,2,2,3,3,3,3,4,5,6,5,6,7,8,8,7,7,10
"Current Prices","..Rambutan",.,.,6,6,6,5,7,6,10,6,5,8,9,8,10,8,9,9,8,5,6,7,15
"Current Prices","..Cacao",.,.,2,2,2,2,2,2,3,3,4,5,5,4,7,8,9,7,7,9,9,13,10
"Current Prices","..Other Crops",.,.,1815,1651,1846,1989,2103,2141,2544,2670,3045,3116,2753,2692,3312,3712,3841,4093,4551,4737,5157,6217,4702
"Current Prices","LIVESTOCK",.,.,3876,4092,4888,5192,5123,5473,6350,7128,7892,8044,8642,9265,9720,10188,10508,11840,11503,10338,10759,16893,18631
"Current Prices","..Hog",.,.,2678,2851,3501,3674,3707,3896,4757,5358,5977,5995,6497,6931,7270,7632,7805,8989,8855,7682,8446,13890,15385
"Current Prices","..Cattle",.,.,716,727,766,849,866,912,1011,1137,1224,1368,1448,1615,1717,1827,1946,2028,1839,1887,1492,1965,1891
"Current Prices","..Carabao",.,.,398,417,490,540,392,521,425,457,499,485,482,498,503,475,481,540,538,488,503,710,967
"Current Prices","..Goat",.,.,83,97,132,130,157,144,156,176,191,196,215,221,229,254,275,283,271,282,319,327,387
"Current Prices","POULTRY",.,.,736,772,835,891,900,968,1092,1266,1299,1395,1568,1577,1706,1844,1805,1984,2229,2490,2676,2973,3767
"Current Prices","..Chicken",.,.,449,474,514,572,584,630,735,861,890,953,1081,1070,1128,1215,1181,1200,1331,1426,1464,1690,2195
"Current Prices","..Duck",.,.,26,27,23,26,21,21,23,24,26,26,27,28,30,35,33,41,44,56,54,75,63
"Current Prices","..Chicken Eggs",.,.,249,258,284,276,275,294,307,343,340,369,411,426,494,545,549,693,805,950,1100,1133,1409
"Current Prices","..Duck Eggs",.,.,13,13,14,16,20,24,27,39,43,47,49,53,53,48,42,50,48,58,58,76,100
"Current Prices","FISHERIES",.,.,6331,7673,8595,8998,14515,13678,20642,16050,16141,16070,16115,14583,14065,13313,11279,12964,18294,17533,15475,14731,17820
"Current Prices","..Seaweed",.,.,755,951,1263,1472,1662,1592,4739,2980,3670,3185,2914,3037,2940,2294,1393,2759,3521,3684,2239,1842,4387
"Current Prices","..Grouper (Lapu-lapu)",.,.,213,232,298,320,377,462,3872,1811,442,541,504,324,305,367,282,321,2316,591,1611,478,343
"Current Prices","..Frigate tuna (Tulingan)",.,.,274,313,369,366,507,561,726,767,684,642,656,750,736,726,699,758,862,850,946,996,668
"Current Prices","..Blue crab (Alimasag)",.,.,125,134,167,139,148,200,265,266,250,273,356,338,472,393,260,315,712,603,620,691,286
"Current Prices","..Roundscad (Galunggong)",.,.,322,463,488,461,535,481,545,535,606,639,612,711,700,685,619,610,688,712,599,703,1041
"Current Prices","..Big-eyed scad (Matangbaka)",.,.,171,302,252,257,329,351,531,542,634,576,508,481,497,566,525,436,640,607,617,691,443
"Current Prices","..Squid (Pusit)",.,.,189,182,282,312,353,429,392,279,424,504,439,590,674,556,448,550,604,597,574,636,705
"Current Prices","..Indian mackerel (Alumahan)",.,.,146,278,271,277,378,411,515,494,509,522,548,521,505,628,601,553,567,602,624,600,618
"Current Prices","..Slipmouth (Sapsap)",.,.,297,336,317,250,264,233,294,309,319,334,438,411,507,393,341,317,461,507,416,389,371
"Current Prices","..Cavalla (Talakitok)",.,.,122,142,192,220,289,372,591,489,601,702,701,590,485,550,451,454,456,530,571,626,436
"Current Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,425,448,520,708,1046,902,743,1195,718,706,586,501,500,472,464,458,450,347,329,399,347
"Current Prices","..Siganid (Samaral)",.,.,95,119,151,124,166,324,350,237,223,277,352,402,390,411,395,364,422,517,467,448,227
"Current Prices","..Bali sardinella (Tamban)",.,.,173,192,248,230,286,246,278,377,308,342,453,421,379,346,278,300,362,322,265,278,179
"Current Prices","..Threadfin bream (Bisugo)",.,.,552,181,200,239,334,495,496,420,474,540,448,446,394,483,360,348,359,387,401,394,502
"Current Prices","..Caesio (Dalagang-bukid)",.,.,83,91,92,113,169,208,298,283,303,349,405,414,366,303,310,335,353,424,390,487,422
"Current Prices","..Spanish mackerel (Tanigue)",.,.,53,67,76,81,107,184,225,203,247,294,228,206,102,159,193,228,327,433,379,392,284
