"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","CROPS",.,.,26515,28194,35693,35166,41350,48582,58596,58126,64030,76932,74084,78296,85366,75128,71030,78376,84237,77360,81892,82441,85053
"Current Prices","..Palay",.,.,9325,9297,11015,11424,12253,13813,17077,18399,18228,20105,21542,23220,26683,23861,22802,24943,26871,18767,20319,20681,21514
"Current Prices","..Corn",.,.,6036,6125,9202,7538,10275,11282,12440,12754,12054,14792,15147,15444,17617,14718,13608,14558,17598,14192,12730,16919,19567
"Current Prices","..Banana",.,.,2674,3545,4091,5048,5720,6806,8860,9797,12543,12635,12896,17090,17970,15972,15875,16326,19374,24396,28862,19126,17904
"Current Prices","..Pineapple",.,.,2881,2774,2972,2527,2000,2339,3096,3678,2236,2289,2776,3103,3958,3847,3441,3338,3769,4099,3616,4522,3914
"Current Prices","..Coconut",.,.,1147,1400,2176,1808,2410,3465,4914,3366,3975,8472,6126,5287,6850,6520,6344,7589,5826,4298,5329,7855,7815
"Current Prices","..Rubber",.,.,637,1082,2324,2537,4372,6061,6550,4768,8902,11681,8455,6826,4473,2385,2098,4136,3651,3977,3008,3930,3542
"Current Prices","..Coffee",.,.,407,529,556,795,814,992,1073,1018,994,1144,1246,1392,1379,1399,1301,1306,1158,1136,1153,1074,1400
"Current Prices","..Mango",.,.,694,877,899,916,840,941,1087,1105,1313,1129,1153,1346,1536,1509,1471,1908,1603,2034,2155,2507,2516
"Current Prices","..Sugarcane",.,.,826,943,547,505,738,760,1183,787,932,1507,1563,1246,1123,1352,924,1085,1067,996,1173,1484,1957
"Current Prices","..Papaya",.,.,94,81,120,170,208,241,227,279,400,513,454,518,680,641,534,488,435,514,553,629,561
"Current Prices","..Oil Palm (fresh fruit bunch)",.,.,102,133,230,189,195,324,462,341,468,723,629,496,581,529,507,671,673,532,605,1181,1631
"Current Prices","..Cassava",.,.,35,46,51,100,91,90,117,130,137,154,168,367,397,370,279,225,199,321,327,281,297
"Current Prices","..Eggplant",.,.,33,37,55,46,62,77,86,86,79,97,93,97,117,126,118,135,142,161,125,174,178
"Current Prices","..Calamansi",.,.,42,39,43,83,56,48,60,75,69,78,75,80,82,84,71,73,84,71,67,65,91
"Current Prices","..Durian",.,.,35,39,58,70,71,95,71,97,85,112,117,135,140,157,124,98,164,154,133,135,102
