"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","CROPS",.,.,12130,14201,17129,21129,22174,26099,29295,28751,35537,43473,39435,39251,39750,37010,37164,42828,41668,36592,36574,42024,45940
"Current Prices","..Palay",.,.,4415,4858,4977,5918,5584,6584,8011,8430,8279,9700,10502,11389,12872,12060,11189,13485,15441,12201,11142,10738,11353
"Current Prices","..Corn",.,.,1005,1260,1822,1966,1901,2148,2410,2329,2232,2754,2926,2957,3165,2767,3222,2897,3769,2222,1931,2525,2901
"Current Prices","..Coconut",.,.,2812,3357,4408,6057,5343,6778,7434,8144,8664,11063,11144,10477,10231,9752,9521,12289,9930,9067,9510,12964,15122
"Current Prices","..Rubber",.,.,1496,2587,3298,3890,5866,6836,7253,5487,11084,14625,9390,7963,5324,3791,3878,4707,3809,3833,3580,4566,4671
"Current Prices","..Mango",.,.,642,617,870,1024,1117,1231,1394,1339,1786,2024,1884,2203,2597,2949,3469,3700,2595,2175,2302,3121,3192
"Current Prices","..Banana",.,.,574,536,773,1182,1305,1362,1590,1760,1901,1877,2010,2337,2942,2777,2838,2800,2834,3145,4053,4060,4223
"Current Prices","..Cassava",.,.,94,110,110,108,98,102,110,114,127,123,170,297,427,448,537,548,469,645,743,795,879
"Current Prices","..Sweet Potato",.,.,47,52,52,66,52,77,74,75,79,84,91,215,233,297,329,314,385,404,407,385,531
"Current Prices","..Calamansi",.,.,28,26,29,50,55,47,75,75,56,91,107,123,147,130,127,129,218,170,190,233,293
"Current Prices","..Ampalaya",.,.,21,34,35,39,38,39,51,57,59,67,63,90,133,136,148,162,166,178,187,212,244
"Current Prices","..Tomato",.,.,13,16,17,20,25,30,33,31,30,32,30,56,103,120,139,123,141,161,170,170,197
"Current Prices","..Eggplant",.,.,13,13,14,15,17,18,22,21,21,31,28,53,75,71,82,97,98,105,131,153,168
"Current Prices","..Oil Palm (fresh fruit bunch)",.,.,..,..,..,..,..,..,..,..,..,..,..,..,0,0,11,79,72,59,71,145,227
"Current Prices","..Squash",.,.,12,35,34,38,44,41,51,47,41,58,51,56,68,55,62,62,68,67,61,101,106
"Current Prices","..Mangosteen",.,.,4,2,2,9,1,1,0,5,27,1,12,1,3,30,22,1,66,218,118,22,4
"Current Prices","..Lanzones",.,.,62,12,16,32,17,45,4,6,228,1,2,2,67,203,147,17,99,136,109,44,22
"Current Prices","..Papaya",.,.,46,42,43,40,42,42,41,44,51,56,60,49,57,63,61,69,70,78,91,80,98
"Current Prices","..Kangkong",.,.,9,15,36,52,35,33,35,33,27,34,38,39,70,79,61,45,60,66,51,57,71
"Current Prices","..Stringbeans",.,.,7,34,18,22,20,22,25,27,21,23,25,35,48,44,53,54,59,65,65,70,83
"Current Prices","..Abaca",.,.,2,2,3,5,4,8,8,7,8,25,27,22,29,32,35,39,33,38,42,43,51
"Current Prices","..Coffee",.,.,28,31,32,36,37,42,43,40,45,42,41,43,45,51,39,27,28,26,26,20,24
"Current Prices","..Cacao",.,.,8,10,9,9,9,8,8,7,9,10,8,7,11,12,13,12,13,20,30,42,49
"Current Prices","..Other Crops",.,.,792,553,530,551,564,606,624,675,763,753,825,839,1102,1142,1180,1172,1248,1512,1562,1478,1432
"Current Prices","LIVESTOCK",.,.,5380,5518,6629,6957,7045,7204,7750,8168,9424,9496,9049,9110,9398,9369,9260,9755,11269,10368,10099,12560,16557
"Current Prices","..Hog",.,.,4229,4370,5310,5537,5678,5669,6074,6560,7711,7512,7107,7176,7438,7396,7354,7830,8853,8151,7849,10351,13991
"Current Prices","..Cattle",.,.,765,761,878,953,934,1003,1085,1001,1079,1159,1132,1130,1152,1134,1015,981,1252,1124,1158,1105,1238
"Current Prices","..Carabao",.,.,199,186,219,229,182,277,322,314,330,496,484,479,473,485,518,560,722,664,678,725,911
"Current Prices","..Goat",.,.,188,201,222,238,251,254,271,293,304,330,327,325,336,354,373,383,443,429,415,378,417
"Current Prices","POULTRY",.,.,2034,2324,2683,2775,2837,2881,3202,3330,3500,3897,3713,3739,3895,4271,4644,5036,5451,6180,6223,7061,8729
"Current Prices","..Chicken",.,.,1417,1655,1997,2073,2048,2019,2184,2181,2226,2578,2497,2585,2630,2830,3055,3207,3601,3942,4057,4802,6130
"Current Prices","..Duck",.,.,67,76,67,71,69,57,51,50,39,28,23,24,28,31,32,34,34,42,43,57,59
"Current Prices","..Chicken Eggs",.,.,480,522,535,547,645,714,874,1008,1153,1217,1121,1039,1138,1299,1449,1669,1636,2004,1912,2008,2350
"Current Prices","..Duck Eggs",.,.,69,71,84,84,76,90,93,91,82,74,72,90,99,111,108,126,179,192,210,194,190
