Geolocation,Commodity,Period,Stocks,Volume,Area Harvested,Self-Sufficiency Ratio,Import-Dependency Ratio,SU Gross Supply,UT Consumable,Farmgate Price,Wholesale Price,Retail Price,CPI All Income,CPI Bottom 30,Net Returns,Inflation Rate,NCR RPI
philippines,Rice,2012,2227.093846153846,18032525.47,4690061.17,91.9,8.1,15465,11473,15.923333333333332,32.80083333333334,33.47666666666667,81.6326530625,82.98755186749999,19891.0,3.16,100.00000000000001
cordillera administrative region (car),Rice,2012,2227.093846153846,453461.0,120100.0,91.9,8.1,15465,11473,16.721666666666668,32.416666666666664,35.62833333333334,85.61643835749999,85.03401360500001,7274.0,3.16,100.00000000000001
region i (ilocos region),Rice,2012,2227.093846153846,1737695.0,403169.0,91.9,8.1,15465,11473,17.064999999999998,31.941666666666663,31.069999999999997,79.11392405,79.61783439333333,21639.0,3.16,100.00000000000001
region ii (cagayan valley),Rice,2012,2227.093846153846,2425536.47,582557.17,91.9,8.1,15465,11473,16.246666666666666,30.702499999999997,31.33583333333333,80.97165991749999,83.75209380416666,16638.0,3.16,100.00000000000001
region iii (central luzon),Rice,2012,2227.093846153846,3220607.0,675781.0,91.9,8.1,15465,11473,17.145,32.86666666666667,31.46916666666667,79.61783439583333,79.8084596975,30333.0,3.16,100.00000000000001
region iv-a (calabarzon),Rice,2012,2227.093846153846,389272.0,113010.0,91.9,8.1,15465,11473,14.383333333333333,32.294999999999995,31.0975,81.1688311675,81.23476848083334,8926.0,3.16,100.00000000000001
mimaropa region (mimaropa),Rice,2012,2227.093846153846,1030606.0,280748.0,91.9,8.1,15465,11473,15.63833333333333,31.855,32.11416666666667,80.45052292999999,81.30081300833335,15149.0,3.16,100.00000000000001
region v (bicol region),Rice,2012,2227.093846153846,1173307.0,334275.0,91.9,8.1,15465,11473,13.867500000000001,30.77333333333333,32.6125,80.12820512833332,84.17508417583335,15945.0,3.16,100.00000000000001
region vi (western visayas),Rice,2012,2227.093846153846,2292201.0,668810.0,91.9,8.1,15465,11473,15.016666666666667,31.23833333333333,33.425000000000004,82.78145695416666,83.05647840583333,16844.0,3.16,100.00000000000001
region vii (central visayas),Rice,2012,2227.093846153846,327120.0,105797.0,91.9,8.1,15465,11473,16.614166666666666,32.645833333333336,35.17416666666667,84.10428931916665,86.73026886333332,20021.0,3.16,100.00000000000001
