Crop,Geolocation,2013 Quarter1,2013 Quarter2,2013 Semester1,2013 Quarter3,2013 Quarter4,2013 Semester2,2013 Annual,2014 Quarter1,2014 Quarter2,2014 Semester1,2014 Quarter3,2014 Quarter4,2014 Semester2,2014 Annual,2015 Quarter1,2015 Quarter2,2015 Semester1,2015 Quarter3,2015 Quarter4,2015 Semester2,2015 Annual,2016 Quarter1,2016 Quarter2,2016 Semester1,2016 Quarter3,2016 Quarter4,2016 Semester2,2016 Annual,2017 Quarter1,2017 Quarter2,2017 Semester1,2017 Quarter3,2017 Quarter4,2017 Semester2,2017 Annual,2018 Quarter1,2018 Quarter2,2018 Semester1,2018 Quarter3,2018 Quarter4,2018 Semester2,2018 Annual,2019 Quarter1,2019 Quarter2,2019 Semester1,2019 Quarter3,2019 Quarter4,2019 Semester2,2019 Annual,2020 Quarter1,2020 Quarter2,2020 Semester1,2020 Quarter3,2020 Quarter4,2020 Semester2,2020 Annual,2021 Quarter1,2021 Quarter2,2021 Semester1,2021 Quarter3,2021 Quarter4,2021 Semester2,2021 Annual,2022 Quarter1,2022 Quarter2,2022 Semester1,2022 Quarter3,2022 Quarter4,2022 Semester2,2022 Annual,2023 Quarter1,2023 Quarter2,2023 Semester1,2023 Quarter3,2023 Quarter4,2023 Semester2,2023 Annual
Abaca (dried raw fiber),PHILIPPINES,15663.17,19399.84,35063.01,16712.69,13175.9,29888.6,64951.6,15297.42,18950.27,34247.69,17184.38,16620.91,33805.28,68052.98,15767.45,19356.2,35123.65,18126.55,17106.2,35232.76,70356.41,16175.98,19632.09,35808.07,18410.94,17620.74,36031.68,71839.75,15114.68,18844.35,33959.03,17960.35,16922.09,34882.44,68841.47,15500.32,18889.81,34390.13,19092.61,18033.22,37125.83,71515.96,15851.75,18901.64,34753.39,20050.97,17404.24,37455.21,72208.6,14966.92,18278.12,33245.04,20087.96,17619.45,37707.4,70952.44,12770.62,18203.63,30974.26,15854.79,15575.01,31429.8,62404.06,14559.78,17967.66,32527.44,19266.55,16028.18,35294.73,67822.17,15025.29,17637.3,32662.58,17940.32,16493.11,34433.43,67096.01
Abaca (dried raw fiber),..CORDILLERA ADMINISTRATIVE REGION (CAR),1.32,3.53,4.85,3.89,4.29,8.18,13.03,1.35,3.35,4.7,3.09,3.45,6.54,11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abaca (dried raw fiber),..REGION I (ILOCOS REGION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abaca (dried raw fiber),..REGION II (CAGAYAN VALLEY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abaca (dried raw fiber),..REGION III (CENTRAL LUZON),24.0,32.45,56.45,34.8,22.0,56.8,113.25,19.7,28.5,48.2,27.0,20.0,47.0,95.2,26.0,29.2,55.2,31.5,15.0,46.5,101.7,13.0,12.5,25.5,23.63,5.0,28.63,54.13,10.0,20.0,30.0,20.0,5.63,25.63,55.63,8.9,26.0,34.9,17.4,3.94,21.34,56.24,3.8,13.36,17.16,17.05,2.36,19.42,36.58,6.52,11.01,17.53,16.2,1.18,17.38,34.91,6.33,19.25,25.58,16.5,0.56,17.06,42.64,3.28,20.9,24.18,14.19,0.84,15.03,39.21,2.42,14.79,17.21,5.01,0.65,5.66,22.87
Abaca (dried raw fiber),..REGION IV-A (CALABARZON),0.8,4.47,5.27,5.05,4.75,9.8,15.07,0.5,0.48,0.98,0.5,0.83,1.33,2.31,,2.51,2.51,0.78,0.85,1.63,4.14,0.8,3.58,4.38,1.17,3.0,4.17,8.55,3.89,2.21,6.1,1.08,2.01,3.09,9.19,1.36,1.98,3.34,3.14,1.06,4.2,7.54,2.55,1.59,4.14,3.2,1.86,5.06,9.2,1.78,1.01,2.79,1.1,1.05,2.15,4.94,1.33,1.27,2.6,2.96,1.0,3.96,6.56,1.61,1.0,2.61,3.75,0.92,4.67,7.28,3.27,1.1,4.37,1.24,1.25,2.49,6.86
Abaca (dried raw fiber),..MIMAROPA REGION,27.18,28.83,56.01,34.0,30.97,64.97,120.98,34.87,47.64,82.51,25.02,41.74,66.76,149.26,37.35,37.92,75.27,22.38,15.2,37.58,112.85,28.96,26.42,55.38,24.42,26.13,50.55,105.93,25.27,29.35,54.62,31.92,30.04,61.96,116.58,28.74,34.92,63.66,32.17,25.91,58.08,121.75,29.97,32.86,62.83,34.19,24.24,58.43,121.26,13.5,26.13,39.63,34.54,27.62,62.16,101.79,13.5,26.8,40.3,36.81,30.33,67.14,107.44,12.25,25.78,38.03,38.02,40.46,78.48,116.51,9.54,33.64,43.18,36.9,40.4,77.3,120.48
Abaca (dried raw fiber),..REGION V (BICOL REGION),6509.23,7428.32,13937.55,5824.36,4316.05,10140.41,24077.96,6813.09,8086.07,14899.16,6906.42,7145.01,14051.43,28950.59,7266.09,8192.51,15458.6,6933.27,7169.2,14102.47,29561.07,7635.46,8003.13,15638.59,7043.98,7333.88,14377.86,30016.45,6481.56,6885.6,13367.16,6442.36,6386.71,12829.06,26196.22,6834.42,6788.47,13622.89,7803.52,7385.23,15188.75,28811.64,7162.24,6706.07,13868.31,8576.87,6494.07,15070.94,28939.24,6461.49,6433.42,12894.91,8707.59,6486.29,15193.88,28088.79,4102.35,5349.97,9452.32,3163.28,4222.98,7386.26,16838.58,5967.46,6098.56,12066.02,6756.74,5389.34,12146.08,24212.1,6689.05,5987.74,12676.79,6241.9,5283.39,11525.28,24202.07
Abaca (dried raw fiber),..REGION VI (WESTERN VISAYAS),318.86,451.84,770.7,562.02,408.57,970.59,1741.29,417.27,384.25,801.52,363.85,433.74,797.59,1599.11,398.51,407.27,805.78,581.76,571.27,1153.03,1958.81,625.3,722.63,1347.93,789.42,832.35,1621.77,2969.7,783.65,882.33,1665.98,873.72,801.98,1675.7,3341.68,785.36,910.9,1696.26,807.68,763.4,1571.08,3267.34,731.69,774.3,1505.99,632.31,845.98,1478.29,2984.28,524.25,580.72,1104.97,732.28,786.65,1518.93,2623.9,607.08,933.69,1540.77,1236.16,728.25,1964.41,3505.18,748.25,806.4,1554.65,1180.41,801.83,1982.24,3536.89,441.48,669.67,1111.15,614.59,515.55,1130.14,2241.29
Abaca (dried raw fiber),..REGION VII (CENTRAL VISAYAS),137.73,113.69,251.42,106.1,57.05,163.15,414.57,139.54,128.25,267.79,97.8,127.38,225.18,492.97,143.6,158.16,301.76,105.36,148.07,253.43,555.19,154.72,175.99,330.71,100.05,76.72,176.77,507.48,143.04,216.15,359.19,118.89,79.65,198.53,557.72,89.18,201.59,290.77,121.03,92.42,213.45,504.22,67.71,157.29,225.0,87.28,89.75,177.03,402.03,57.92,67.98,125.9,51.33,51.12,102.45,228.35,38.76,73.25,112.01,88.72,47.38,136.1,248.11,31.48,47.88,79.37,69.12,35.08,104.2,183.57,26.06,35.72,61.78,52.63,56.98,109.61,171.4
