"Gross Domestic Product, by Province and HUC"

"Geolocation","At Current Prices 2018","At Current Prices 2019","At Current Prices 2020","At Current Prices 2021","At Current Prices 2022"
"Cordillera Administrative Region (CAR)",308267122.30,322106087.87,295502541.76,323883881.43,365945435.59
"..Abra",20011832.16,20869587.94,21129218.18,23777806.98,27237633.57
"..Apayao",9951855.17,10255153.32,10737123.50,11658134.67,12583957.43
"..Benguet",69843052.33,72624760.22,72114196.68,80538413.02,87852622.32
"..Ifugao",23817885.70,24538495.11,24196373.12,25854624.33,28700721.62
"..Kalinga",24221520.80,24998012.38,24135032.47,26060666.41,30122867.20
"..Mountain Province",13486832.48,14070003.49,13670050.34,14977249.80,16969260.23
"..City of Baguio",146934143.66,154750075.41,129520547.47,141016986.23,162478373.22
"Region I (Ilocos Region)",587597250.75,630300658.38,597917299.52,644125310.16,729474685.09
"..Ilocos Norte",84319624.07,90997088.85,85976653.21,91717339.83,105321400.92
"..Ilocos Sur",78626396.18,86196267.45,80616298.51,89935199.79,102665566.44
"..La Union",104186641.89,113421113.40,106508365.55,114987502.60,129770016.53
"..Pangasinan",320464588.61,339686188.69,324815982.25,347485267.94,391717701.20
"Region II (Cagayan Valley)",385061270.61,399370781.19,367331248.18,400003437.85,455743088.03
"..Batanes",4190146.56,4628388.57,3879398.71,4290851.57,5071392.10
"..Cagayan",139710568.06,144235370.36,128764994.20,142493847.23,161877705.37
"..Isabela",168553854.03,176651708.01,168949481.99,177798078.94,199503095.17
"..Nueva Vizcaya",53059776.91,54219918.52,47026282.54,55043434.71,66527843.88
"..Quirino",19546925.04,19635395.73,18711090.73,20377225.41,22763051.51
"Region III (Central Luzon)",2062393875.35,2184815142.74,1864111181.94,2062335866.73,2367265678.79
"..Aurora",32375471.87,32816299.25,29441196.43,32119217.41,36128155.58
"..Bataan",255493392.06,273942043.24,214665572.49,244903268.36,283161347.98
"..Bulacan",573030038.85,618129555.11,515094661.40,551924610.30,636047115.71
"..Nueva Ecija",295632251.25,295920039.21,265600075.49,290895960.03,331532721.20
"..Pampanga",477288309.42,509236456.76,434095352.77,500916183.45,561981841.78
"..Tarlac",183934765.48,188722261.87,173676639.33,185284497.06,215525060.52
"..Zambales",75392037.09,81861803.27,75698801.20,84839123.41,102600960.43
"..City of Angeles",119220535.78,130388260.09,111407400.17,123082997.60,143339575.16
"..City of Olongapo",50027073.54,53798423.94,44431482.67,48370009.13,56948900.43
"Region IV-A (CALABARZON)",2706994745.30,2865792547.23,2565120461.21,2785990791.60,3140807481.02
"..Batangas",554347586.15,606137866.87,517530258.69,585927387.39,670914431.53
"..Cavite",683585187.07,715404260.67,607597485.92,688255788.98,780117544.64
"..Laguna",911292489.25,952692571.46,884909406.02,919551354.17,1023235023.22
"..Quezon",196730509.49,203942431.78,197110558.83,217445010.76,244604966.08
"..Rizal",316927627.32,341070253.81,315591800.27,329479692.06,370994286.00
"..City of Lucena",44111346.02,46545162.64,42380951.48,45331558.24,50941229.56
"MIMAROPA Region",370744807.97,375589553.05,342643478.40,382709950.18,453006891.78
"..Marinduque",20725097.10,21690262.02,20092273.83,22133317.38,24519007.18
"..Occidental Mindoro",46335979.55,45729520.79,44783747.22,50502080.21,56090212.65
"..Oriental Mindoro",98607409.75,100257661.02,90981859.52,101136836.63,115094386.63
"..Palawan",129845456.96,127606324.06,113152681.08,130966485.04,163741950.44
"..Romblon",28070676.66,28573554.61,26134458.55,28390073.73,32649622.64
"..City of Puerto Princesa",47160187.95,51732230.54,47498458.20,49581157.18,60911712.24
"Region V (Bicol Region)",522014834.68,560835429.22,516847515.78,564637176.22,645753789.23
"..Albay",133460943.37,147086799.64,132482832.72,143691451.37,162875333.07
"..Camarines Norte",53086647.11,56811645.65,53540259.81,61141209.45,68691911.92
"..Camarines Sur",179087083.65,186689221.63,170546432.04,184275361.78,211459145.73
"..Catanduanes",24681522.51,27479997.87,25521154.87,27986250.56,31166885.84
"..Masbate",68685017.79,73676943.11,71907302.59,79311685.37,89944137.65
"..Sorsogon",63013620.24,69090821.31,62849533.74,68231217.69,81616375.03
"Region VI (Western Visayas)",860107768.29,919163054.66,850797186.43,937010125.56,1133925246.48
"..Aklan",54821315.56,63584098.73,52014222.51,55731365.77,71978487.27
"..Antique",59837563.85,64120004.10,54873989.84,70665626.15,125505769.69
"..Capiz",64726247.84,67994875.88,64322077.91,70634981.44,81879615.23
"..Guimaras",13661104.72,14695631.75,14427880.16,16227521.29,18738223.00
"..Iloilo",185176723.84,193353861.95,186386303.10,196920411.86,228718249.59
"..Negros Occidental",221569182.50,232715011.60,225179830.96,250377444.86,287666425.26
"..City of Bacolod",126886672.19,137515561.62,123296432.68,134423056.34,154928127.06
"..City of Iloilo",133428957.78,145184009.04,130296449.28,142029717.84,164510349.38
"Region VII (Central Visayas)",1180945760.95,1270612310.88,1170115820.42,1237764942.48,1406272533.93
"..Bohol",154623326.38,165801636.71,156576251.49,165659983.37,189706966.88
"..Cebu",364930283.11,389363873.23,364054916.38,385435920.54,430773207.74
"..Negros Oriental",146231563.04,159051638.38,152643083.31,163041410.54,186828133.42
"..Siquijor",10738276.73,11635839.41,11249203.44,12043232.41,13626490.34
"..City of Cebu",258239870.40,280426506.52,255278377.30,271890896.73,305431193.59
"..City of Lapu-Lapu",147788795.42,155258176.22,133980959.25,137712195.12,163828732.18
"..City of Mandaue",98393645.88,109074640.42,96333029.26,101981303.77,116077809.78
"Region VIII (Eastern Visayas)",444384028.77,455533642.56,414265871.13,450146977.42,512903347.01
"..Biliran",16613866.18,17043850.06,15389194.87,16455983.22,18460193.05
"..Eastern Samar",31390805.89,32413902.46,30544079.37,33966511.01,38705710.45
"..Leyte",214924596.84,212685153.08,187515965.04,205956580.76,233649051.65
"..Northern Samar",40120098.16,41554064.50,41759321.87,43626382.85,49256444.89
"..Samar",52216759.73,55066887.22,53524668.31,57927172.36,65641228.89
"..Southern Leyte",40301485.06,42373053.97,40776854.89,43911045.80,48744856.60
"..City of Tacloban",48816416.92,54396731.27,44755786.77,48303301.42,58445861.47
"Region IX (Zamboanga Peninsula)",379428020.32,399109396.67,394821669.40,428106861.35,490297995.94
"..Zamboanga del Norte",104783326.13,106871428.44,109441263.34,116781398.64,134037707.13
"..Zamboanga del Sur",87572942.59,93280411.96,89716603.43,100479064.34,113971360.56
"..Zamboanga Sibugay",51493102.11,54909658.24,53335554.14,59454144.31,69274400.20
"..City of Isabela",10532512.93,11479967.24,11542336.67,11640953.93,13116486.12
"..City of Zamboanga",125046136.55,132567930.79,130785911.81,139751300.13,159898041.94
"Region X (Northern Mindanao)",821122014.51,885223985.43,860415356.71,948892065.05,1070688540.73
"..Bukidnon",213689371.21,229061817.10,237981949.06,269422084.65,298207301.01
"..Camiguin",10340735.66,11362519.57,10387391.59,11363189.21,13001912.04
"..Lanao del Norte",57145176.26,60842189.47,58661983.44,63799482.47,69132731.87
"..Misamis Occidental",107999593.75,116325788.95,111556378.15,119809392.75,134728418.85
"..Misamis Oriental",145811439.90,158308309.04,145264836.74,154834386.71,178801407.36
"..City of Cagayan de Oro",220999686.41,242304134.18,225479421.08,252633841.52,289764243.00
"..City of Iligan",65136011.32,67019227.12,71083396.65,77029687.74,87052526.59
"Region XI (Davao Region)",841429224.96,922613762.57,890607548.48,967140486.64,1095713673.37
"..Davao de Oro",82724623.32,88116698.20,93079565.43,99411859.54,110744522.58
"..Davao del Norte",151081411.82,163041487.99,168286197.20,184067581.11,201236374.49
"..Davao del Sur",96830163.12,104234355.79,99592061.29,108534921.89,122787994.41
"..Davao Occidental",32814729.78,34722309.23,35566998.11,38740714.47,43455568.79
"..Davao Oriental",46185091.97,49496466.21,49605268.98,54379595.51,63376774.64
"..City of Davao",431793204.95,483002445.15,444477457.48,482005814.13,554112438.46
"Region XII (SOCCSKSARGEN)",454304548.68,474892618.00,467334770.58,503888631.03,564216855.25
"..Cotabato",110818949.73,114487669.95,117031602.93,124478419.71,135221539.35
"..Sarangani",40442041.49,43985663.02,45122204.85,48529012.82,55521465.46
"..South Cotabato",123079814.24,129852216.92,125523475.98,136789404.33,153329506.08
"..Sultan Kudarat",64193176.85,64101542.71,64626492.05,70574615.09,78868400.70
"..City of General Santos",115770566.37,122465525.40,115030994.77,123517179.08,141275943.66
"Region XIII (Caraga)",290561794.19,302930146.37,292574561.99,331856215.30,376765343.55
"..Agusan del Norte",34787798.49,35999535.20,36770858.50,40760737.93,46481272.05
"..Agusan del Sur",64697983.23,66922317.17,68201655.05,73754123.20,84270855.22
"..Dinagat Islands",11794446.05,12021200.21,9937118.93,12306292.88,13740883.58
"..Surigao del Norte",73329360.88,78219550.26,71635079.73,82977029.65,91720968.74
"..Surigao del Sur",56755948.25,57931033.11,57919049.28,68264151.11,78232130.47
"..City of Butuan",49196257.30,51836510.42,48110800.51,53793880.53,62319233.49
"Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)",235393060.32,254779370.30,260347879.00,284617149.29,326771476.66
"..Basilan",19044439.48,20908358.92,22374389.39,23046664.55,27037596.14
"..Lanao del Sur",58534843.07,64601352.59,67912264.68,74140452.84,83867635.96
"..Maguindanao del Norte",65485521.98,70894223.58,69913942.32,77095546.77,89142509.79
"..Maguindanao del Sur",31143253.71,32829990.95,33027389.29,37920412.95,44253980.63
"..Sulu",38817318.24,41318673.72,43358870.45,46079625.90,52108471.18
"..Tawi-Tawi",22367683.82,24226770.55,23761022.87,26334446.28,30361282.97
