Indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01. Labor Productivity,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..A. GDP to Total Employment,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"....Levels (in pesos, constant)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"......Total (in pesos, constant)",254453.4,246915.3,248349.9,256160.3,264480.2,271547.9,280349.3,293259,301293.8,297197.6,310282.2,312314.6,330035,349570.1,369208.4,382366.6,391793,425843.7,443798.1,462176.2,445373.4,421477.7,425400.6,436893.9
"......Agriculture, Forestry and Fishing (in pesos, constant)",104511.5,101854.1,102969.1,106889,110461.7,111888.7,115192.1,121635.4,123231.1,122919.4,125277.2,126403.2,132049.1,139905.1,144634.1,147769.3,151132.6,169881.7,176292.6,191294.2,182535.2,166586.4,164607.3,161247.1
"......Industry (in pesos, constant)",501421.6,480359.3,502007.4,509594.6,514461.3,537702.9,559748,574154.3,614708.8,600628.2,622799.3,616959.8,637020.7,663367.4,695039.2,709044.4,679006.8,705909.4,711492.2,726384.4,709838.9,686024.1,693463.3,726736.5
"......Services (in pesos, constant)",287875.6,281792.5,278566.7,286835.8,297519.6,304718.7,314555.5,328339.2,334239.5,372962.4,338644.2,343036,361721.8,379660.5,399643.2,410822,418414.1,450611.2,468429,477862.6,474717,444275,445022.4,459377.3
....Growth Rates,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
......Total (in percent),..,-3,0.6,3.1,3.2,2.7,3.2,4.6,2.7,-1.4,4.4,0.7,5.7,5.9,5.6,3.6,2.5,8.7,4.2,4.1,-3.6,-5.4,0.9,2.7
"......Agriculture, Forestry and Fishing (in percent)",..,-2.5,1.1,3.8,3.3,1.3,3,5.6,1.3,-0.3,1.9,0.9,4.5,5.9,3.4,2.2,2.3,12.4,3.8,8.5,-4.6,-8.7,-1.2,-2
