"Gross National Income and Gross Domestic Product by Expenditure"

"Type of Expenditure","At Current Prices 2000 Q1","At Current Prices 2000 Q2","At Current Prices 2000 Q3","At Current Prices 2000 Q4","At Current Prices 2001 Q1","At Current Prices 2001 Q2","At Current Prices 2001 Q3","At Current Prices 2001 Q4","At Current Prices 2002 Q1","At Current Prices 2002 Q2","At Current Prices 2002 Q3","At Current Prices 2002 Q4","At Current Prices 2003 Q1","At Current Prices 2003 Q2","At Current Prices 2003 Q3","At Current Prices 2003 Q4","At Current Prices 2004 Q1","At Current Prices 2004 Q2","At Current Prices 2004 Q3","At Current Prices 2004 Q4","At Current Prices 2005 Q1","At Current Prices 2005 Q2","At Current Prices 2005 Q3","At Current Prices 2005 Q4","At Current Prices 2006 Q1","At Current Prices 2006 Q2","At Current Prices 2006 Q3","At Current Prices 2006 Q4","At Current Prices 2007 Q1","At Current Prices 2007 Q2","At Current Prices 2007 Q3","At Current Prices 2007 Q4","At Current Prices 2008 Q1","At Current Prices 2008 Q2","At Current Prices 2008 Q3","At Current Prices 2008 Q4","At Current Prices 2009 Q1","At Current Prices 2009 Q2","At Current Prices 2009 Q3","At Current Prices 2009 Q4","At Current Prices 2010 Q1","At Current Prices 2010 Q2","At Current Prices 2010 Q3","At Current Prices 2010 Q4","At Current Prices 2011 Q1","At Current Prices 2011 Q2","At Current Prices 2011 Q3","At Current Prices 2011 Q4","At Current Prices 2012 Q1","At Current Prices 2012 Q2","At Current Prices 2012 Q3","At Current Prices 2012 Q4","At Current Prices 2013 Q1","At Current Prices 2013 Q2","At Current Prices 2013 Q3","At Current Prices 2013 Q4","At Current Prices 2014 Q1","At Current Prices 2014 Q2","At Current Prices 2014 Q3","At Current Prices 2014 Q4","At Current Prices 2015 Q1","At Current Prices 2015 Q2","At Current Prices 2015 Q3","At Current Prices 2015 Q4","At Current Prices 2016 Q1","At Current Prices 2016 Q2","At Current Prices 2016 Q3","At Current Prices 2016 Q4","At Current Prices 2017 Q1","At Current Prices 2017 Q2","At Current Prices 2017 Q3","At Current Prices 2017 Q4","At Current Prices 2018 Q1","At Current Prices 2018 Q2","At Current Prices 2018 Q3","At Current Prices 2018 Q4","At Current Prices 2019 Q1","At Current Prices 2019 Q2","At Current Prices 2019 Q3","At Current Prices 2019 Q4","At Current Prices 2020 Q1","At Current Prices 2020 Q2","At Current Prices 2020 Q3","At Current Prices 2020 Q4","At Current Prices 2021 Q1","At Current Prices 2021 Q2","At Current Prices 2021 Q3","At Current Prices 2021 Q4","At Current Prices 2022 Q1","At Current Prices 2022 Q2","At Current Prices 2022 Q3","At Current Prices 2022 Q4","At Current Prices 2023 Q1","At Current Prices 2023 Q2","At Current Prices 2023 Q3","At Current Prices 2023 Q4"
"....Household final consumption expenditure",600429,652947,654886,743547,674223,711777,726832,821054,725177,781357,797033,876877,801177,845576,859685,961372,889324,941246,975651,1112155,1001726,1075814,1077433,1221087,1106500,1189444,1177253,1326777,1193910,1283459,1271515,1452307,1325318,1452134,1466475,1647678,1426912,1531354,1482901,1699717,1537553,1631454,1592490,1836208,1689009,1816501,1762602,2049375,1878447,1963276,1936819,2246467,2031658,2111436,2098485,2436145,2204907,2291325,2280899,2635906,2372797,2468974,2436184,2827778,2547013,2680857,2664733,3086483,2782053,2923649,2889159,3356002,3050982,3240042,3227592,3731469,3340847,3499709,3462628,3985148,3422615,3042128,3210325,3801008,3397750,3395240,3583127,4232430,3853345,3878011,4131183,4862506,4418198,4326017,4534502,5329613
"….Government final consumption expenditure",90432,107541,101030,110046,96420,115588,106211,114072,95652,118854,113794,118503,102139,120330,120511,125555,109222,125281,123412,128738,116921,145367,127055,135235,136192,159946,141229,156552,149629,180494,160002,174388,154818,189997,178814,185951,170036,220378,213454,220625,218123,258927,216029,220585,193759,291008,249213,251435,255368,336766,303401,298139,298078,380841,324213,300375,318521,400446,332400,343430,324078,413473,384928,399058,368652,489049,410195,435703,379718,538639,455432,500980,444837,623474,543284,588042,481517,668914,591359,691649,528976,829162,639282,742251,634088,817866,748261,823802,680159,947127,790600,895976,759460,918369,872654,914719
"....Gross capital formation",166151,129082,134397,150309,149172,210326,204708,198224,196365,218962,211646,263114,250364,222701,183345,264919,287709,286485,231115,298389,279083,264507,258960,296083,233514,236650,242002,336905,228144,270445,266927,395464,314637,388095,403136,421026,296000,334142,338229,494224,397214,465444,414559,644197,531329,436755,494388,641524,460525,500764,522959,679284,524310,553791,636098,773311,626063,639480,682287,815563,611588,683363,770421,910443,782499,929892,936656,1076319,973080,1064658,1023509,1170430,1064617,1273938,1260483,1360067,1178488,1246495,1272706,1455380,956211,518470,709963,944922,815357,1141002,952964,1194224,1142898,1569620,1344707,1380646,1325886,1550110,1269222,1526169
"…...Gross fixed capital formation",172883,171823,178842,192638,182009,182548,178241,194140,184484,206215,192604,214758,216457,220358,211563,230468,223419,258352,234499,271026,230416,294124,256963,294348,267534,331763,294446,332424,312521,369679,317427,358969,316029,398936,402399,418929,354330,410572,392002,405009,424987,543511,458090,491101,465441,481646,468909,508105,486238,549781,531392,636971,595491,635773,589835,683377,645117,696754,669982,743378,679548,792141,758532,869794,824958,978065,940193,1039368,941109,1097891,1047456,1159155,1060569,1305605,1259226,1357946,1165560,1324452,1367888,1442201,1133230,852921,831625,1006315,937542,1216295,998543,1172165,1104623,1478149,1208816,1351126,1285608,1595936,1348756,1513729
"….....Construction",87690,83691,89031,90419,84858,89603,88516,91484,86303,106822,92185,95708,103085,105032,103273,109098,104421,129080,117243,129668,110306,149499,121966,128682,124005,175049,143385,150683,159157,206213,160476,168693,161650,220304,221374,224054,196027,264071,214392,214494,222222,347689,264018,254564,248542,281843,254863,277444,260538,326959,326548,383661,372894,401615,344456,373138,367225,447448,406491,460258,392268,527219,452773,518961,455132,623837,548956,586602,514331,672066,599670,635763,604906,804245,732021,798614,657634,849130,872713,911051,666918,583729,488177,593149,509362,828664,629375,714382,612848,1034455,759833,828277,735100,1096011,882703,931146
"….....Durable equipment",59290,62825,67575,65614,69917,67124,64605,62399,69306,70862,72977,74770,81942,83915,78008,74494,84917,93454,82411,84261,82076,103789,96142,98858,95758,104969,105244,110516,99789,105976,108561,115674,105561,121483,126513,111265,96324,94352,119797,114703,135840,135945,136452,159331,149599,131653,151477,148347,152313,152319,141634,168878,150094,163269,180151,220195,209684,178697,198069,193881,214134,190805,233996,255096,283323,269223,307967,344344,328821,323519,349547,392075,339570,377011,407271,403168,377025,334158,370916,369866,330584,131332,220090,261922,288708,245455,242068,294976,344187,304193,317688,347609,395694,358406,329735,398222
"….....Breeding stocks and orchard development",20461,20831,16813,30666,22184,21285,18895,33291,23719,23295,20963,37032,25722,25612,23293,40090,27448,29084,26919,48374,31434,34571,30158,58597,40590,44815,37785,63350,46368,50094,39894,66126,41588,50058,46464,75585,54922,44743,48573,65912,58780,51819,47978,66927,57895,59672,52343,70981,60777,60989,53358,69963,59978,60522,55176,72936,55595,56830,51627,69463,58194,60351,55709,74650,64988,67874,64300,84767,73154,77088,74528,102012,90383,94412,92135,120830,101878,102919,91934,121388,105818,108462,94384,113282,108807,108797,92651,116969,112954,103995,94283,126015,118280,103671,97575,132158
"….....Intellectual property products",5441,4477,5423,5939,5050,4536,6225,6965,5155,5236,6480,7248,5709,5798,6990,6786,6633,6735,7926,8723,6600,6266,8698,8211,7182,6930,8032,7876,7207,7396,8496,8476,7230,7091,8049,8025,7057,7406,9240,9900,8146,8059,9643,10279,9404,8477,10225,11333,12611,9514,9852,14469,12525,10367,10052,17109,12614,13778,13796,19776,14952,13766,16055,21087,21515,17131,18970,23654,24803,25217,23712,29305,25710,29937,27799,35334,29022,38244,32325,39897,29910,29398,28975,37961,30665,33379,34450,45837,34633,35507,37012,49225,36533,37847,38743,52202
"…...Changes in inventories",-6800,-42918,-44738,-42390,-32926,27612,26126,3838,11866,12682,18651,47934,33473,1606,-28841,33964,64183,27868,-3791,26936,48358,-30188,1384,1020,-34304,-95510,-52653,4318,-84487,-99515,-50664,36185,-1992,-10963,135,1884,-58483,-76714,-54286,88960,-28046,-78553,-43922,152378,65708,-45132,25140,132844,-26090,-49239,-8769,41870,-71585,-82320,46028,89658,-19363,-57453,11844,71836,-68140,-108851,11380,40187,-42579,-48603,-3948,36864,31935,-33252,-24011,9857,2992,-32219,1111,1172,12689,-78425,-95646,12856,-177204,-334708,-121931,-61622,-122353,-75647,-45746,21706,38163,91164,135690,29008,40143,-46393,-79823,11932
"…...Valuables",68,176,293,61,89,166,341,245,15,65,391,422,435,737,623,487,108,265,407,426,309,571,613,716,284,397,210,163,110,281,165,310,600,121,601,212,153,285,514,255,273,486,391,718,180,241,339,575,377,222,337,442,404,339,235,275,309,179,461,349,180,73,509,462,120,430,410,87,36,19,65,1419,1056,552,145,949,240,468,464,323,184,257,269,229,169,354,166,353,112,306,201,511,135,567,289,509
"….Exports of goods and services",340182,354091,426877,481527,437967,397172,415770,405352,406393,418057,456775,459246,468700,468734,527198,531238,516904,532205,576366,601346,554058,588845,635777,661017,641771,696436,684153,679390,690958,671799,694341,679257,622690,678281,739996,644325,595200,619529,677851,642966,773314,769221,816692,730827,792700,762280,727152,670515,789290,771207,756647,720876,763378,810700,809385,771071,903606,905643,945597,857816,967214,948829,969929,907961,1010940,1002884,1023974,998463,1192114,1202642,1284166,1213949,1337126,1361794,1455659,1363993,1389374,1406478,1402117,1341770,1321643,904783,1116142,1181738,1205533,1177329,1282623,1333144,1460189,1405651,1665177,1722239,1560801,1520476,1736375,1664156
"…...Exports of goods",291811,310596,380427,421363,368797,321408,347010,342910,330559,336925,381076,364445,384071,379672,429689,433264,403684,420726,473141,490637,422090,430572,469851,489010,461662,497037,512514,492104,496256,478188,492808,478011,438196,480364,540241,471135,347680,406652,480445,477581,479076,481571,573958,517717,488277,493196,521469,452317,522955,522057,540751,474619,459664,472666,573967,512047,530910,543324,642848,570860,520667,497383,625469,557466,509726,490092,643842,611486,651724,606088,764136,736738,675882,671251,889931,844833,680099,662729,796981,801768,632110,428077,719294,772407,639323,586538,834724,857367,767848,676870,1025596,1101185,684070,683397,1002698,948564
"…...Exports of services",48371,43496,46450,60164,69170,75764,68761,62442,75834,81133,75699,94801,84629,89062,97509,97974,113220,111478,103225,110710,131968,158273,165927,172008,180109,199398,171639,187287,194702,193611,201533,201246,184494,197916,199755,173190,247520,212877,197406,165385,294238,287649,242734,213109,304423,269084,205682,218199,266335,249150,215896,246257,303714,338035,235418,259024,372696,362320,302749,286956,446547,451446,344461,350496,501214,512791,380133,386976,540390,596554,520029,477210,661244,690543,565728,519160,709275,743749,605137,540002,689533,476706,396848,409331,566210,590791,447899,475777,692341,728781,639581,621054,876730,837079,733677,715592
"....Imports of goods and services",348764,347437,399891,449824,431754,451889,453330,423496,414347,467046,511228,514627,529836,512738,534294,558866,570312,591748,611297,638289,590756,630600,652366,647966,622145,669304,659692,643156,611209,632923,655084,665577,634051,700599,772337,656183,584303,649962,658943,679887,765091,781763,766730,809801,863217,771064,789806,790797,849564,830059,835873,844150,830140,852552,965979,924012,1017405,912041,1070764,976851,1099682,992806,1205212,1155163,1298718,1276450,1369085,1367676,1606364,1537248,1609629,1640288,1796116,1929120,2005601,1931373,2004060,1927311,2023448,1941898,1766673,1149515,1506042,1495815,1638318,1784038,1931192,1970576,2203811,2433416,2711875,2352654,2433020,2423870,2633492,2417733
"…...Imports of goods",273370,283427,340648,354458,345841,368908,372052,328566,324399,377630,412353,404515,418776,427808,434840,428490,448108,475244,491277,502114,464998,521916,554074,526996,503240,561918,565008,511621,484629,528018,551381,527478,497246,565997,626629,476494,412817,510967,532035,527419,592465,626650,604221,636667,701608,631916,639887,620901,671574,675698,670664,656810,640137,679629,755666,697131,791269,709648,846663,718834,849818,754885,956015,850150,1009381,1007408,1094938,1054582,1292198,1244424,1297045,1268501,1455849,1604077,1663420,1510596,1628986,1584069,1660517,1471227,1397035,910116,1246217,1236653,1410543,1543443,1680074,1662749,1887165,2106405,2317216,1886314,2004045,1966285,2117697,1834576
"…...Imports of services",75394,64010,59243,95366,85913,82981,81278,94930,89948,89416,98874,110111,111061,84930,99454,130376,122205,116504,120019,136175,125758,108684,98291,120970,118905,107386,94685,131535,126580,104905,103702,138099,136805,134601,145708,179689,171486,138995,126908,152467,172627,155113,162510,173134,161609,139148,149920,169896,177991,154360,165209,187340,190002,172923,210312,226882,226136,202393,224101,258017,249864,237921,249197,305013,289337,269042,274147,313094,314166,292825,312584,371786,340267,325043,342180,420777,375074,343243,362930,470671,369638,239399,259825,259162,227774,240595,251119,307827,316646,327011,394659,466340,428975,457585,515795,583157
"….Statistical discrepancy",1968,8509,-3656,-6820,-92,7236,-3425,-3718,-2661,3807,-8323,7177,-1211,2780,-3891,2322,-9209,12726,4610,-8127,-6552,12861,-3405,-2904,967,13265,3853,-18084,368,9742,-977,-9132,12287,12269,-17634,-6922,-4245,19840,-17272,1677,-9499,9563,-3272,3208,7629,9360,-14491,-2498,5476,11073,-11032,-5516,-14563,-10232,12301,12493,223,-28129,3997,23910,28282,-27934,-25668,25320,27263,-35086,-21494,29317,24932,-38386,-24715,38169,-309,-1336,-31204,32849,39911,-28311,20530,-32130,-13632,-6655,35438,-15151,-40339,20591,-31687,51435,-3982,31111,30155,-57283,-15560,-1602,-16028,33190
"..Gross Domestic Product",850396,904732,913644,1028784,925936,990210,996766,1111487,1006579,1073992,1059697,1210291,1091333,1147383,1152553,1326540,1223639,1306195,1299857,1494213,1354481,1456794,1443454,1662553,1496799,1626437,1588797,1838384,1651799,1783015,1736724,2026706,1795699,2020177,1998449,2235875,1899600,2075281,2036219,2379322,2151614,2352847,2269768,2625222,2351209,2544840,2429057,2819554,2539542,2753027,2672921,3095098,2772721,2993985,2914503,3369383,3035915,3296724,3174416,3699773,3204277,3493900,3330583,3915398,3437650,3791145,3644979,4258608,3745533,4153954,4017922,4639242,4101138,4568792,4450213,5145048,4426077,4865973,4725892,5499920,4449141,4138373,4205108,5158953,4374072,4767989,4604095,5664458,4928798,5398104,5249946,6451429,5615765,5889500,5763234,7050113
"..Net primary income from the rest of the world",84769,80670,82513,100648,89282,105582,100655,89844,107927,96203,95441,115195,103857,113001,112991,114148,118541,129343,123474,125252,133224,138071,143853,162366,142377,161882,134542,163692,137937,174412,169004,165134,150498,194295,185843,223492,203153,257717,247449,260653,251674,276584,259585,266755,261528,272622,261826,298920,271344,314296,302399,332508,326674,335939,374729,379732,374474,377874,376321,393320,381946,388153,388056,435398,413901,412201,411496,442956,449005,455580,459839,462103,474989,467676,510534,493959,495253,483543,500751,474650,451626,369133,334382,205286,114448,169213,164629,242097,240265,296190,341439,416485,466835,594910,755246,853723
"Gross National Income",935164,985402,996157,1129433,1015217,1095793,1097421,1201331,1114506,1170195,1155138,1325486,1195189,1260384,1265545,1440687,1342180,1435538,1423331,1619465,1487705,1594865,1587307,1824919,1639177,1788318,1723339,2002076,1789736,1957427,1905728,2191840,1946197,2214473,2184292,2459368,2102753,2332997,2283668,2639975,2403288,2629431,2529353,2891978,2612737,2817463,2690883,3118474,2810886,3067323,2975321,3427606,3099395,3329924,3289232,3749115,3410389,3674598,3550737,4093093,3586223,3882053,3718638,4350796,3851551,4203346,4056474,4701563,4194538,4609535,4477761,5101345,4576127,5036468,4960747,5639007,4921330,5349516,5226643,5974571,4900767,4507506,4539489,5364239,4488520,4937202,4768724,5906556,5169062,5694293,5591385,6867914,6082600,6484410,6518479,7903835
