Type of Expenditure,2000 Q1,2000 Q2,2000 Q3,2000 Q4,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4
....Household final consumption expenditure,1317190,1351499,1342029,1344584,1373107,1373703,1400770,1419570,1419040,1461714,1486142,1483427,1509260,1533018,1552879,1568505,1605370,1599613,1647113,1674706,1684505,1692246,1713899,1726898,1745258,1775968,1784598,1796569,1816689,1856633,1874316,1894418,1911486,1911185,1953899,1954172,1947218,1992145,1981669,2003733,2022899,2038820,2042430,2102758,2112179,2144534,2183111,2224078,2259705,2297696,2334679,2363709,2383242,2423797,2484177,2503623,2534042,2569290,2615698,2639455,2685071,2738550,2783965,2817339,2875292,2942427,2991713,3008231,3044572,3119083,3158642,3196950,3219712,3315249,3331463,3368448,3419090,3511594,3525392,3556838,3432627,2999287,3206735,3253539,3284268,3228992,3420878,3503080,3608538,3509695,3684615,3755363,3830818,3710578,3865096,3972441
….Government final consumption expenditure,207415,203141,207290,211846,208620,205794,200719,203648,195169,199863,198319,195538,201818,196098,213894,212809,213219,197221,213337,219826,214404,220378,210491,220414,234338,240499,247872,248731,262547,262381,244179,270319,254814,255015,265048,270795,269752,282355,300723,311431,326946,301016,284008,292820,278477,318120,313248,322021,346207,349420,362924,363953,371976,380913,378011,352871,386822,389017,375644,386838,394070,398960,434434,440149,453100,455127,452873,453532,453318,485391,490103,506446,524354,544658,563736,563465,559444,582481,610950,648424,599940,713093,647069,675813,695886,690288,731639,729198,719735,768818,732475,755837,759898,720327,773440,745852
....Gross capital formation,296785,252782,299663,287816,300663,352715,378109,337197,378265,342623,358809,378786,386571,357729,329588,376567,388652,442357,371098,334834,337580,398223,363119,363782,347831,310349,311197,342479,346923,352931,363587,357906,436768,437340,462633,473091,384567,427815,417013,468152,477340,575976,561247,586260,594785,519786,542124,523382,526759,559988,577783,618563,677294,657632,703708,674915,722878,717984,735789,757435,770809,811632,838933,901147,935650,1003101,1002812,1069228,1093841,1085974,1102385,1163663,1153320,1236411,1293542,1264927,1239864,1255493,1289307,1370635,1100286,549076,815975,930193,971024,1027032,992535,1063171,1122395,1178990,1168449,1108860,1259669,1180267,1166016,1241055
…...Gross fixed capital formation,330283,307474,327485,316294,312203,303288,305480,301205,303492,325169,315749,323555,355749,342480,347179,343249,353435,367935,352699,373267,347952,377956,346668,355696,358090,379270,372651,393805,412069,426108,405734,426531,430056,444937,473343,467261,447638,449637,474918,475634,516799,581231,542489,556347,555161,530089,525660,525499,562000,566869,606944,655657,704561,654670,653145,671122,709907,709921,724272,750867,763414,801349,827595,898199,927664,997891,1011284,1042479,1045885,1075577,1108160,1170592,1163168,1256150,1275333,1278876,1233803,1257093,1345748,1363394,1210218,759231,854979,958984,1018767,1049313,1006883,1060368,1116537,1150274,1106049,1131793,1235548,1200137,1202692,1252856
….....Construction,210173,181714,209642,197788,190863,181683,189765,186860,185405,198425,188059,194480,222171,200372,211825,213967,212645,214742,217661,225557,205112,215729,200195,195116,203549,215980,218928,220815,249373,252711,240152,247570,262223,262884,296238,289670,284055,286670,290831,281680,317591,369829,337425,319116,316140,310841,302099,321576,321030,343022,379371,424469,449371,412173,406084,403662,442934,447534,453402,479736,476088,511082,508216,539403,553534,592746,604826,592717,610138,627034,652914,660351,708620,711844,744607,762751,754130,765849,847279,858826,741617,484765,481016,553418,594978,642653,613999,642567,660780,719183,680829,704310,750710,735068,770321,779367
….....Durable equipment,68902,73631,66703,62592,66688,67210,61742,59924,63457,71021,71472,71037,75201,82565,74990,69816,75970,89022,69914,82064,77865,97853,80634,94043,84943,92246,81405,102032,89309,97367,92116,106020,98170,112085,106261,102177,90173,90475,107640,119633,122592,135560,127551,156300,159803,137820,143534,128549,155245,143080,149032,150977,169013,162779,168528,182700,186350,174016,182030,183895,198819,197817,225469,261143,273712,305434,297417,341945,323811,332664,336978,391073,330653,415616,399160,384279,349002,351531,363260,365250,338535,142904,244766,277680,296804,275145,260137,287907,322880,299184,293374,295967,350196,331732,298968,338898
….....Breeding stocks and orchard development,46567,47609,47086,51818,50313,50389,50117,50246,50532,51490,51958,53635,53988,55020,55950,55385,59904,58983,60320,60190,60280,59644,60525,61361,64099,65538,66547,65965,68355,70784,68066,67775,64566,64903,66022,70575,68587,67228,70802,68406,71280,70331,71738,75135,73168,75333,73532,69054,78052,73962,71764,72150,78122,71835,70695,74523,71381,77298,77459,75890,76768,80717,79373,81418,82738,83955,90174,87670,88649,91034,93959,94311,97343,98292,100955,101305,99785,99663,99860,104511,97796,100308,97989,95423,93839,96385,95909,91910,95871,95212,93891,94114,96634,95103,94823,95461
….....Intellectual property products,4641,4519,4054,4095,4338,4006,3856,4176,4097,4232,4259,4403,4389,4523,4413,4081,4916,5188,4804,5457,4696,4730,5314,5177,5500,5506,5770,4994,5033,5246,5399,5165,5098,5066,4823,4839,4823,5264,5645,5915,5337,5510,5776,5795,6049,6095,6495,6320,7672,6804,6778,8061,8056,7884,7838,10237,9242,11073,11381,11346,11739,11732,14537,16235,17680,15756,18868,20148,23288,24845,24309,24858,26552,30398,30610,30540,30887,40050,35350,34808,32270,31254,31209,32464,33147,35129,36837,37984,37006,36695,37955,37402,38007,38235,38579,39131
…...Changes in inventories,-33772,-55396,-28932,-28692,-11859,48861,71492,35180,74724,17257,41883,54041,29658,13292,-19133,32187,34974,73790,17458,-39328,-11072,18968,15120,6630,-10797,-69563,-61800,-51601,-65339,-73682,-42444,-69143,5762,-7784,-11654,5457,-63282,-22221,-58573,-7781,-39797,-5817,18311,29177,39433,-10537,16161,-2652,-35590,-7099,-29485,-37510,-27670,2567,50280,3458,12608,7850,10965,6123,7193,10198,10723,2390,7853,4761,-8871,26660,47917,10378,-5840,-8332,-10902,-20298,18063,-14892,5818,-2081,-56854,6947,-110085,-210356,-39191,-28955,-47868,-22541,-14468,2546,5782,28509,62261,-23275,24031,-20246,-36871,-12122
…...Valuables,274,704,1110,215,319,566,1138,811,50,198,1177,1191,1164,1957,1542,1131,243,632,941,896,700,1300,1330,1455,538,642,346,275,193,505,297,519,950,187,944,372,211,399,668,298,338,562,447,737,192,234,304,534,349,218,323,417,403,396,283,335,363,213,552,446,203,86,615,558,133,449,398,90,38,19,65,1404,1054,560,146,943,243,481,413,293,153,201,187,164,125,260,121,256,76,207,139,342,89,375,195,320
