Type of Expenditure,At Current Prices 2000,At Current Prices 2001,At Current Prices 2002,At Current Prices 2003,At Current Prices 2004,At Current Prices 2005,At Current Prices 2006,At Current Prices 2007,At Current Prices 2008,At Current Prices 2009,At Current Prices 2010,At Current Prices 2011,At Current Prices 2012,At Current Prices 2013,At Current Prices 2014,At Current Prices 2015,At Current Prices 2016,At Current Prices 2017,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023
....Household Final Consumption Expenditure,2651809.0,2933886.0,3180445.0,3467809.0,3918376.0,4376060.0,4799974.0,5201191.0,5891606.0,6140884.0,6597705.0,7317487.0,8025008.0,8677723.0,9413037.0,10105734.0,10979086.0,11950864.0,13250084.0,14288333.0,13476075.0,14608547.0,16725045.0,18608329.0
....Government Final Consumption Expenditure,409049.0,432291.0,446804.0,468536.0,486654.0,524578.0,593919.0,664512.0,709580.0,824493.0,913664.0,985415.0,1193675.0,1303507.0,1394796.0,1521536.0,1703599.0,1874770.0,2199637.0,2433439.0,2739671.0,3024017.0,3313862.0,3465202.0
....Gross capital formation,579938.0,762429.0,890087.0,921328.0,1103699.0,1098634.0,1049071.0,1160980.0,1526893.0,1462595.0,1921414.0,2103996.0,2163532.0,2487510.0,2763393.0,2975815.0,3725366.0,4231677.0,4959105.0,5153069.0,3129566.0,4103547.0,5437870.0,5671387.0
......Gross fixed capital formation,716186.0,736938.0,798061.0,878847.0,987297.0,1075852.0,1226167.0,1358596.0,1536294.0,1561912.0,1917689.0,1924101.0,2204383.0,2504476.0,2755231.0,3100015.0,3782584.0,4245610.0,4983346.0,5300100.0,3824091.0,4324545.0,5142714.0,5744029.0
........Construction,350830.0,354461.0,381018.0,420488.0,480413.0,510452.0,593121.0,694539.0,827382.0,888983.0,1088492.0,1062693.0,1297705.0,1492104.0,1681422.0,1891222.0,2214527.0,2421830.0,2939786.0,3290529.0,2331973.0,2681783.0,3235413.0,3644960.0
........Durable equipment,255304.0,264046.0,287914.0,318359.0,345042.0,380865.0,416486.0,430001.0,464822.0,425177.0,567567.0,581077.0,615145.0,713709.0,780331.0,894030.0,1204858.0,1393963.0,1527020.0,1451965.0,943928.0,1071208.0,1313677.0,1482058.0
........Breeding Stocks and Orchard Development,88772.0,95655.0,105009.0,114718.0,131826.0,154760.0,186539.0,202482.0,213695.0,214150.0,225503.0,240891.0,245087.0,248612.0,233515.0,248904.0,281928.0,326782.0,397760.0,418119.0,421946.0,427223.0,437247.0,451684.0
........Intellectual Property Products,21280.0,22777.0,24120.0,25283.0,30016.0,29775.0,30020.0,31574.0,30395.0,33602.0,36127.0,39440.0,46446.0,50052.0,59964.0,65860.0,81271.0,103036.0,118780.0,139488.0,126244.0,144331.0,156377.0,165325.0
......Changes in Inventories,-136846.0,24650.0,91134.0,40201.0,115195.0,20573.0,-178149.0,-198482.0,-10935.0,-100524.0,1857.0,178559.0,-42229.0,-18218.0,6864.0,-125425.0,-58266.0,-15472.0,-26944.0,-148526.0,-695464.0,-222040.0,294025.0,-74141.0
......Valuables,598.0,841.0,892.0,2281.0,1207.0,2209.0,1053.0,865.0,1535.0,1206.0,1869.0,1336.0,1378.0,1252.0,1298.0,1225.0,1047.0,1538.0,2703.0,1495.0,939.0,1042.0,1131.0,1499.0
