"Gross National Income and Gross Domestic Product by Industry, Percent Share to GDP and GNI"

"Industry","At Current Prices 2000 Q1","At Current Prices 2000 Q2","At Current Prices 2000 Q3","At Current Prices 2000 Q4","At Current Prices 2001 Q1","At Current Prices 2001 Q2","At Current Prices 2001 Q3","At Current Prices 2001 Q4","At Current Prices 2002 Q1","At Current Prices 2002 Q2","At Current Prices 2002 Q3","At Current Prices 2002 Q4","At Current Prices 2003 Q1","At Current Prices 2003 Q2","At Current Prices 2003 Q3","At Current Prices 2003 Q4","At Current Prices 2004 Q1","At Current Prices 2004 Q2","At Current Prices 2004 Q3","At Current Prices 2004 Q4","At Current Prices 2005 Q1","At Current Prices 2005 Q2","At Current Prices 2005 Q3","At Current Prices 2005 Q4","At Current Prices 2006 Q1","At Current Prices 2006 Q2","At Current Prices 2006 Q3","At Current Prices 2006 Q4","At Current Prices 2007 Q1","At Current Prices 2007 Q2","At Current Prices 2007 Q3","At Current Prices 2007 Q4","At Current Prices 2008 Q1","At Current Prices 2008 Q2","At Current Prices 2008 Q3","At Current Prices 2008 Q4","At Current Prices 2009 Q1","At Current Prices 2009 Q2","At Current Prices 2009 Q3","At Current Prices 2009 Q4","At Current Prices 2010 Q1","At Current Prices 2010 Q2","At Current Prices 2010 Q3","At Current Prices 2010 Q4","At Current Prices 2011 Q1","At Current Prices 2011 Q2","At Current Prices 2011 Q3","At Current Prices 2011 Q4","At Current Prices 2012 Q1","At Current Prices 2012 Q2","At Current Prices 2012 Q3","At Current Prices 2012 Q4","At Current Prices 2013 Q1","At Current Prices 2013 Q2","At Current Prices 2013 Q3","At Current Prices 2013 Q4","At Current Prices 2014 Q1","At Current Prices 2014 Q2","At Current Prices 2014 Q3","At Current Prices 2014 Q4","At Current Prices 2015 Q1","At Current Prices 2015 Q2","At Current Prices 2015 Q3","At Current Prices 2015 Q4","At Current Prices 2016 Q1","At Current Prices 2016 Q2","At Current Prices 2016 Q3","At Current Prices 2016 Q4","At Current Prices 2017 Q1","At Current Prices 2017 Q2","At Current Prices 2017 Q3","At Current Prices 2017 Q4","At Current Prices 2018 Q1","At Current Prices 2018 Q2","At Current Prices 2018 Q3","At Current Prices 2018 Q4","At Current Prices 2019 Q1","At Current Prices 2019 Q2","At Current Prices 2019 Q3","At Current Prices 2019 Q4","At Current Prices 2020 Q1","At Current Prices 2020 Q2","At Current Prices 2020 Q3","At Current Prices 2020 Q4","At Current Prices 2021 Q1","At Current Prices 2021 Q2","At Current Prices 2021 Q3","At Current Prices 2021 Q4","At Current Prices 2022 Q1","At Current Prices 2022 Q2","At Current Prices 2022 Q3","At Current Prices 2022 Q4","At Current Prices 2023 Q1","At Current Prices 2023 Q2","At Current Prices 2023 Q3","At Current Prices 2023 Q4","At Constant 2018 Prices 2000 Q1","At Constant 2018 Prices 2000 Q2","At Constant 2018 Prices 2000 Q3","At Constant 2018 Prices 2000 Q4","At Constant 2018 Prices 2001 Q1","At Constant 2018 Prices 2001 Q2","At Constant 2018 Prices 2001 Q3","At Constant 2018 Prices 2001 Q4","At Constant 2018 Prices 2002 Q1","At Constant 2018 Prices 2002 Q2","At Constant 2018 Prices 2002 Q3","At Constant 2018 Prices 2002 Q4","At Constant 2018 Prices 2003 Q1","At Constant 2018 Prices 2003 Q2","At Constant 2018 Prices 2003 Q3","At Constant 2018 Prices 2003 Q4","At Constant 2018 Prices 2004 Q1","At Constant 2018 Prices 2004 Q2","At Constant 2018 Prices 2004 Q3","At Constant 2018 Prices 2004 Q4","At Constant 2018 Prices 2005 Q1","At Constant 2018 Prices 2005 Q2","At Constant 2018 Prices 2005 Q3","At Constant 2018 Prices 2005 Q4","At Constant 2018 Prices 2006 Q1","At Constant 2018 Prices 2006 Q2","At Constant 2018 Prices 2006 Q3","At Constant 2018 Prices 2006 Q4","At Constant 2018 Prices 2007 Q1","At Constant 2018 Prices 2007 Q2","At Constant 2018 Prices 2007 Q3","At Constant 2018 Prices 2007 Q4","At Constant 2018 Prices 2008 Q1","At Constant 2018 Prices 2008 Q2","At Constant 2018 Prices 2008 Q3","At Constant 2018 Prices 2008 Q4","At Constant 2018 Prices 2009 Q1","At Constant 2018 Prices 2009 Q2","At Constant 2018 Prices 2009 Q3","At Constant 2018 Prices 2009 Q4","At Constant 2018 Prices 2010 Q1","At Constant 2018 Prices 2010 Q2","At Constant 2018 Prices 2010 Q3","At Constant 2018 Prices 2010 Q4","At Constant 2018 Prices 2011 Q1","At Constant 2018 Prices 2011 Q2","At Constant 2018 Prices 2011 Q3","At Constant 2018 Prices 2011 Q4","At Constant 2018 Prices 2012 Q1","At Constant 2018 Prices 2012 Q2","At Constant 2018 Prices 2012 Q3","At Constant 2018 Prices 2012 Q4","At Constant 2018 Prices 2013 Q1","At Constant 2018 Prices 2013 Q2","At Constant 2018 Prices 2013 Q3","At Constant 2018 Prices 2013 Q4","At Constant 2018 Prices 2014 Q1","At Constant 2018 Prices 2014 Q2","At Constant 2018 Prices 2014 Q3","At Constant 2018 Prices 2014 Q4","At Constant 2018 Prices 2015 Q1","At Constant 2018 Prices 2015 Q2","At Constant 2018 Prices 2015 Q3","At Constant 2018 Prices 2015 Q4","At Constant 2018 Prices 2016 Q1","At Constant 2018 Prices 2016 Q2","At Constant 2018 Prices 2016 Q3","At Constant 2018 Prices 2016 Q4","At Constant 2018 Prices 2017 Q1","At Constant 2018 Prices 2017 Q2","At Constant 2018 Prices 2017 Q3","At Constant 2018 Prices 2017 Q4","At Constant 2018 Prices 2018 Q1","At Constant 2018 Prices 2018 Q2","At Constant 2018 Prices 2018 Q3","At Constant 2018 Prices 2018 Q4","At Constant 2018 Prices 2019 Q1","At Constant 2018 Prices 2019 Q2","At Constant 2018 Prices 2019 Q3","At Constant 2018 Prices 2019 Q4","At Constant 2018 Prices 2020 Q1","At Constant 2018 Prices 2020 Q2","At Constant 2018 Prices 2020 Q3","At Constant 2018 Prices 2020 Q4","At Constant 2018 Prices 2021 Q1","At Constant 2018 Prices 2021 Q2","At Constant 2018 Prices 2021 Q3","At Constant 2018 Prices 2021 Q4","At Constant 2018 Prices 2022 Q1","At Constant 2018 Prices 2022 Q2","At Constant 2018 Prices 2022 Q3","At Constant 2018 Prices 2022 Q4","At Constant 2018 Prices 2023 Q1","At Constant 2018 Prices 2023 Q2","At Constant 2018 Prices 2023 Q3","At Constant 2018 Prices 2023 Q4"
"..Agriculture, forestry, and fishing",14.8,13.8,12.4,14.7,13.3,12.7,12.2,14.8,13.8,12.4,12.4,14.9,13.6,12.2,12.1,14.4,14.3,13.2,13.5,14.9,13.9,12.4,12.9,14.7,14.1,12.5,12.8,14.0,13.7,12.7,13.0,14.9,14.9,14.5,13.7,14.9,15.6,13.9,13.5,15.2,14.5,12.4,12.9,15.0,15.1,13.4,13.2,14.7,13.7,12.3,12.5,13.9,12.8,11.3,11.8,13.8,13.0,11.4,11.3,13.4,11.9,10.0,10.2,11.8,10.7,9.2,9.9,11.0,10.7,9.4,9.5,11.1,10.5,8.9,8.9,10.3,9.5,8.1,8.3,9.3,9.9,10.2,9.8,10.7,11.1,9.5,9.4,10.2,10.1,8.9,9.2,9.9,10.1,8.5,8.9,10.0,15.9,14.7,13.4,16.7,15.8,14.9,13.6,16.9,16.0,14.4,13.5,17.2,16.2,14.1,13.4,17.1,16.0,13.7,13.7,16.6,15.2,13.4,13.7,16.8,15.5,13.8,13.8,15.8,15.1,13.5,13.6,15.9,15.2,13.3,13.5,15.7,15.2,13.3,13.2,15.1,14.1,11.8,12.4,15.1,14.2,12.4,12.5,14.3,13.5,11.7,12.2,14.1,13.1,11.0,11.6,13.8,12.6,10.7,10.7,13.4,12.2,10.1,10.1,12.6,10.9,9.2,9.7,11.7,10.8,9.2,9.4,11.2,10.4,8.6,8.8,10.7,9.9,8.2,8.6,10.1,9.9,10.0,9.8,10.8,10.2,9.0,9.0,10.1,9.4,8.4,8.5,9.4,9.1,8.0,8.1,9.0
"..Industry",35.3,34.2,36.7,33.9,35.8,34.8,36.2,33.1,35.2,35.3,35.4,33.5,35.7,34.4,35.3,33.1,34.7,33.2,33.4,33.3,34.1,33.6,33.9,33.7,33.7,32.9,34.0,33.3,33.8,33.2,33.0,32.2,32.3,32.0,33.6,33.1,31.2,31.0,31.2,32.6,32.8,32.8,31.2,32.5,33.1,31.0,29.7,31.6,33.0,30.9,29.5,32.1,33.0,30.4,28.5,31.2,32.1,30.7,29.2,32.1,31.7,30.4,27.9,31.7,31.2,29.9,28.2,31.7,30.9,29.7,28.4,31.4,31.1,30.2,28.8,31.9,31.0,29.6,28.4,32.1,29.6,27.7,25.0,30.6,28.4,30.0,25.5,31.1,30.1,30.6,25.5,30.4,29.5,29.4,24.9,28.9,31.7,31.6,33.4,31.3,31.2,31.2,32.8,30.6,31.3,31.7,32.3,30.5,31.3,31.8,32.5,30.1,30.9,31.0,30.7,30.4,30.8,31.4,30.7,30.3,30.4,30.5,30.4,30.0,30.0,30.7,29.6,29.2,29.5,30.5,30.7,30.1,28.9,29.7,28.8,29.9,29.8,31.1,29.0,30.1,30.5,29.5,27.7,29.7,30.2,29.7,28.0,30.4,31.3,30.0,27.7,29.4,30.7,30.4,28.2,30.4,30.7,30.5,28.1,30.5,31.1,30.6,28.6,30.7,30.8,30.6,28.8,30.9,31.0,30.9,29.0,31.3,30.7,30.3,28.9,31.5,30.2,28.5,26.9,30.7,30.1,30.9,27.4,31.2,30.6,30.5,26.9,30.5,29.9,29.8,26.8,29.8
"....Mining and quarrying",0.7,0.6,0.6,0.6,0.6,0.7,0.5,0.5,1.4,1.0,0.8,0.6,1.1,1.1,1.2,1.1,1.2,1.0,1.1,0.9,1.2,1.3,1.3,1.1,1.2,1.3,1.4,0.9,1.5,1.8,1.3,0.9,1.3,1.3,1.3,1.0,1.3,1.2,1.5,1.3,1.3,1.6,1.5,1.4,1.7,1.8,1.4,1.0,1.3,1.5,1.1,0.9,1.1,1.2,1.1,0.8,1.2,1.4,1.1,0.8,1.0,0.9,0.8,0.7,1.0,0.8,0.9,0.7,0.9,0.9,1.0,0.8,1.0,1.0,0.9,0.7,1.0,0.9,0.8,0.7,0.8,0.8,0.8,0.7,1.0,1.0,1.0,0.8,1.5,1.4,1.5,0.9,1.2,1.0,1.0,0.7,0.9,0.7,0.8,0.8,0.8,0.9,0.7,0.7,1.6,1.1,0.9,0.8,1.1,1.2,1.3,1.1,1.2,1.1,0.9,0.9,1.2,1.3,1.0,1.0,1.2,1.3,0.9,0.8,1.2,1.4,1.0,0.8,1.2,1.2,0.9,0.9,1.3,1.3,1.0,1.1,1.1,1.5,1.0,1.1,1.3,1.6,0.9,0.9,1.2,1.4,0.8,0.8,1.1,1.3,0.8,0.8,1.3,1.4,0.8,0.8,1.2,1.2,0.8,0.8,1.2,1.1,0.8,0.8,1.1,1.1,0.7,0.8,1.0,1.1,0.7,0.8,1.0,1.1,0.6,0.7,0.8,1.1,0.6,0.6,0.9,1.0,0.6,0.7,1.0,0.9,0.6,0.6,0.9,0.8,0.6,0.7
"....Manufacturing",25.0,24.4,26.6,25.0,25.9,24.6,26.3,24.6,24.8,24.4,26.2,25.2,25.8,24.0,25.3,24.4,25.1,22.8,23.7,24.4,24.5,22.6,24.4,25.4,24.2,21.7,24.2,25.1,23.6,21.2,23.5,24.2,23.0,21.5,23.8,24.6,21.5,19.5,21.4,24.2,22.9,19.7,20.9,24.0,23.1,20.0,20.2,23.4,23.3,19.6,19.6,22.8,22.1,18.3,18.7,22.4,21.6,18.7,19.0,22.7,21.4,18.0,17.8,22.3,20.7,17.5,17.6,22.2,20.5,17.6,17.9,21.8,20.1,17.3,17.5,21.3,19.9,16.6,16.3,21.1,18.5,15.0,15.3,21.0,18.5,16.2,14.7,20.6,19.1,15.2,14.1,20.0,18.3,14.3,13.5,18.4,22.1,22.0,23.5,22.4,22.3,21.8,23.2,22.5,22.2,21.9,23.1,22.6,22.6,22.1,22.7,21.6,22.2,21.3,21.4,21.9,22.3,21.7,21.7,22.4,21.8,20.9,21.2,22.1,21.2,20.2,20.3,21.3,21.0,20.7,20.7,21.4,19.7,19.0,18.9,21.3,20.6,19.0,18.5,21.0,21.1,19.3,17.9,20.7,21.1,19.2,17.6,20.2,20.9,18.9,17.1,19.7,20.7,19.3,17.4,20.1,20.7,18.9,17.0,20.0,20.8,18.6,17.0,20.0,20.5,18.8,17.5,20.4,20.5,18.9,17.2,19.8,20.4,18.4,16.4,19.6,19.8,17.4,16.6,20.3,20.7,19.0,16.6,20.2,21.0,18.1,16.0,19.6,20.2,17.5,15.4,18.7
"....Electricity, steam, water and waste management",3.7,3.8,3.8,3.3,4.0,4.3,4.2,3.3,4.2,4.3,3.6,3.2,4.0,4.2,3.6,3.1,3.9,4.0,3.6,3.3,4.1,4.2,3.6,3.1,3.8,4.1,3.7,3.1,3.7,4.1,3.6,2.9,3.7,3.8,3.2,2.7,3.4,4.0,3.2,2.6,3.7,4.2,3.3,2.7,3.4,3.9,3.2,2.7,3.7,4.1,3.3,2.7,3.5,4.1,3.1,2.7,3.4,3.9,3.0,2.6,3.4,3.9,2.9,2.6,3.3,3.7,2.8,2.5,3.2,3.7,2.8,2.5,3.3,3.6,2.8,2.6,3.3,3.8,2.8,2.6,3.5,4.4,3.2,2.7,3.5,4.3,3.1,2.6,3.7,4.4,3.0,2.6,3.9,4.7,3.0,2.5,3.2,3.3,3.4,3.1,3.4,3.4,3.6,2.8,3.2,3.5,3.5,2.8,3.2,3.6,3.6,2.9,3.3,3.5,3.6,2.9,3.3,3.5,3.5,2.8,3.1,3.4,3.5,2.7,3.1,3.3,3.6,2.7,3.2,3.4,3.7,2.7,3.2,3.2,3.5,2.7,3.2,3.3,3.6,2.8,3.1,3.2,3.6,2.8,3.2,3.2,3.4,2.8,3.0,3.1,3.6,2.7,2.9,3.0,3.5,2.8,2.9,3.0,3.6,2.7,3.0,3.1,3.6,2.7,2.9,3.0,3.5,2.7,3.0,3.0,3.5,2.7,2.9,3.1,3.6,2.7,3.1,3.4,4.0,3.0,3.2,3.4,3.9,2.9,3.1,3.3,3.8,2.8,3.2,3.3,3.8,2.8
"....Construction",5.9,5.3,5.6,5.0,5.2,5.2,5.1,4.7,4.8,5.6,4.8,4.4,4.9,5.1,5.1,4.5,4.6,5.4,4.9,4.6,4.4,5.6,4.5,4.1,4.5,5.7,4.7,4.2,5.0,6.1,4.6,4.1,4.4,5.3,5.3,4.8,5.0,6.3,5.1,4.4,5.0,7.3,5.4,4.4,4.9,5.2,4.8,4.5,4.7,5.6,5.6,5.7,6.3,6.7,5.6,5.3,5.9,6.7,6.1,5.9,5.9,7.5,6.4,6.2,6.2,7.8,6.8,6.3,6.2,7.5,6.7,6.3,6.7,8.4,7.6,7.3,6.8,8.3,8.5,7.8,6.9,7.5,5.8,6.3,5.4,8.6,6.6,7.1,5.9,9.6,6.8,7.0,6.0,9.5,7.4,7.2,5.4,5.4,5.7,5.0,4.8,5.1,5.3,4.7,4.3,5.2,4.8,4.4,4.4,4.9,4.9,4.5,4.1,5.1,4.7,4.6,3.9,4.9,4.5,4.2,4.3,5.0,4.8,4.3,4.5,5.8,4.6,4.4,4.1,5.3,5.4,5.1,4.7,6.2,5.3,4.8,4.8,7.3,6.0,5.2,5.0,5.5,5.4,5.3,4.8,5.9,6.1,6.6,6.3,6.7,6.2,6.2,5.8,6.7,6.5,6.7,5.8,7.3,6.7,7.0,6.0,7.7,7.2,7.2,6.3,7.6,7.0,7.0,6.4,7.9,7.6,8.0,6.5,7.7,8.3,8.5,6.5,6.6,5.7,6.8,5.2,7.5,6.3,7.4,5.5,8.2,6.5,7.4,5.7,8.2,7.0,7.6
"..Services",49.9,52.0,50.9,51.4,51.0,52.5,51.6,52.1,51.0,52.3,52.2,51.6,50.6,53.4,52.6,52.5,50.9,53.7,53.1,51.8,52.0,54.0,53.2,51.6,52.2,54.6,53.2,52.7,52.5,54.1,54.0,53.0,52.8,53.5,52.7,52.0,53.2,55.2,55.4,52.2,52.6,54.8,55.9,52.5,51.9,55.6,57.1,53.7,53.3,56.8,58.0,54.0,54.2,58.3,59.7,55.0,54.9,58.0,59.6,54.5,56.4,59.6,61.9,56.4,58.1,60.9,62.0,57.3,58.4,60.9,62.1,57.6,58.4,60.9,62.2,57.8,59.5,62.2,63.3,58.6,60.4,62.1,65.2,58.7,60.5,60.4,65.1,58.7,59.8,60.5,65.3,59.7,60.4,62.0,66.3,61.2,52.4,53.7,53.2,52.0,52.9,53.9,53.7,52.4,52.7,53.9,54.1,52.3,52.5,54.1,54.0,52.8,53.1,55.2,55.6,53.0,54.1,55.2,55.6,52.9,54.1,55.7,55.8,54.2,54.8,55.8,56.8,54.9,55.3,56.2,55.9,54.2,55.9,57.0,58.1,54.9,56.1,57.0,58.5,54.8,55.3,58.1,59.8,56.0,56.3,58.6,59.9,55.6,55.6,58.9,60.7,56.7,56.7,58.9,61.1,56.2,57.2,59.4,61.8,56.8,58.0,60.2,61.6,57.6,58.4,60.3,61.8,57.9,58.6,60.5,62.2,57.9,59.4,61.5,62.5,58.4,59.9,61.4,63.3,58.5,59.8,60.2,63.7,58.7,60.0,61.1,64.6,60.1,61.0,62.1,65.1,61.2
"....Wholesale and retail trade; repair of motor vehicles and motorcycles",14.4,15.5,15.8,16.4,14.7,15.6,16.1,16.4,14.5,15.4,16.0,16.1,14.3,15.6,15.9,16.3,14.4,15.4,16.0,16.3,14.7,15.6,16.3,16.7,15.0,15.9,16.6,17.1,15.3,15.8,17.1,17.5,15.0,16.1,16.8,17.5,14.6,16.0,16.9,17.4,15.2,16.2,17.9,17.4,15.1,16.2,18.3,17.5,15.3,16.3,18.8,17.4,15.3,16.7,19.1,17.7,15.4,16.7,19.1,17.0,15.6,17.0,19.7,17.3,15.8,17.4,19.7,17.6,16.0,17.3,19.6,17.8,16.0,17.4,19.5,17.9,16.2,17.9,20.0,17.9,16.3,18.2,21.3,18.3,16.1,16.9,21.0,18.1,15.8,17.0,20.9,18.4,15.9,17.4,21.0,18.7,16.7,17.8,18.4,19.1,17.1,18.1,18.9,19.1,17.0,18.1,18.9,18.9,16.8,18.1,18.5,19.1,16.9,18.0,18.8,19.2,16.8,18.1,18.8,19.3,16.8,17.9,19.0,19.6,17.1,18.0,19.5,19.9,16.4,17.8,18.8,19.3,15.9,17.4,18.8,19.7,16.7,17.4,19.3,19.1,16.1,17.1,19.6,19.1,16.1,17.2,20.1,18.8,15.7,17.1,19.9,19.0,15.9,17.0,20.0,18.3,15.9,17.0,20.1,18.2,15.9,17.2,19.9,18.3,16.0,16.9,19.8,18.4,15.8,16.9,19.6,18.4,16.0,17.4,20.0,18.5,16.3,18.0,21.2,19.3,16.4,16.9,21.1,19.2,16.2,17.2,21.3,19.5,16.3,17.4,21.1,19.4
"....Transportation and storage",3.5,3.7,3.5,3.7,4.0,4.1,3.8,3.7,3.9,4.1,3.9,3.7,4.0,4.1,3.9,3.7,3.9,4.5,4.0,3.6,3.9,4.5,3.9,3.6,3.9,4.2,3.9,3.5,3.8,4.0,3.8,3.4,3.8,3.8,3.5,3.2,3.8,3.8,3.5,3.0,3.5,3.6,3.5,3.0,3.5,3.7,3.6,3.1,3.7,3.8,3.5,3.0,3.5,3.8,3.6,3.1,3.7,4.0,3.6,3.2,4.0,4.2,3.7,3.3,4.0,4.3,3.8,3.3,4.1,4.3,3.7,3.3,4.1,4.3,3.8,3.3,4.2,4.4,3.9,3.2,3.7,2.3,3.3,2.9,3.3,2.7,3.4,3.1,3.6,3.2,4.2,3.7,4.1,3.8,4.5,3.8,3.8,4.1,3.8,3.6,3.8,4.0,3.7,3.6,3.8,4.0,3.8,3.6,3.8,3.9,3.8,3.6,3.7,4.0,3.7,3.4,3.6,3.7,3.4,3.2,3.4,3.6,3.5,3.2,3.4,3.5,3.4,3.2,3.5,3.5,3.2,3.1,3.6,3.5,3.1,3.0,3.2,3.3,3.1,2.9,3.4,3.5,3.2,3.0,3.5,3.6,3.1,2.9,3.4,3.6,3.2,3.2,3.6,3.9,3.4,3.3,4.0,4.0,3.4,3.3,4.0,4.1,3.5,3.4,4.1,4.2,3.4,3.4,4.2,4.2,3.6,3.3,4.2,4.2,3.6,3.3,3.8,2.1,2.9,2.9,3.2,2.4,3.1,3.2,3.7,2.8,3.6,3.5,4.0,3.2,3.8,3.7
"....Accommodation and food service activities",1.7,1.6,1.7,1.6,1.7,1.6,1.7,1.6,1.7,1.5,1.7,1.6,1.6,1.4,1.7,1.6,1.6,1.4,1.6,1.6,1.6,1.4,1.6,1.6,1.6,1.3,1.5,1.5,1.7,1.4,1.6,1.5,1.6,1.3,1.5,1.5,1.7,1.4,1.6,1.5,1.6,1.4,1.6,1.6,1.6,1.4,1.7,1.6,1.8,1.4,1.7,1.7,1.8,1.5,1.8,1.7,1.9,1.6,1.9,1.7,2.0,1.7,2.0,1.8,2.2,1.8,2.1,1.9,2.3,1.9,2.2,2.1,2.4,2.0,2.3,2.2,2.5,2.0,2.3,2.1,2.2,0.8,1.2,1.3,1.8,1.2,1.4,1.5,2.0,1.5,1.8,1.9,2.5,1.8,2.0,2.1,2.1,1.9,2.1,2.0,2.1,2.0,2.1,2.0,2.1,1.9,2.1,2.0,2.1,1.8,2.1,2.1,2.1,1.9,2.1,2.1,2.1,1.8,2.0,2.1,2.1,1.7,2.0,2.0,2.1,1.8,2.1,2.0,2.1,1.7,1.9,1.9,2.1,1.7,1.9,1.9,2.0,1.7,2.0,2.0,2.0,1.7,2.0,2.0,2.1,1.7,2.0,2.0,2.0,1.7,2.0,1.9,2.0,1.7,2.0,1.9,2.0,1.8,2.1,2.0,2.2,1.9,2.2,2.1,2.3,2.0,2.3,2.2,2.4,2.0,2.3,2.2,2.4,2.0,2.3,2.2,2.0,0.8,1.2,1.3,1.6,1.1,1.2,1.4,1.8,1.3,1.6,1.8,2.2,1.6,1.9,2.0
