"Gross National Income and Gross Domestic Product, by Expenditure Shares, Percent Share to GDP and GNI"

"Type of Expenditure","At Current Prices 2000","At Current Prices 2001","At Current Prices 2002","At Current Prices 2003","At Current Prices 2004","At Current Prices 2005","At Current Prices 2006","At Current Prices 2007","At Current Prices 2008","At Current Prices 2009","At Current Prices 2010","At Current Prices 2011","At Current Prices 2012","At Current Prices 2013","At Current Prices 2014","At Current Prices 2015","At Current Prices 2016","At Current Prices 2017","At Current Prices 2018","At Current Prices 2019","At Current Prices 2020","At Current Prices 2021","At Current Prices 2022","At Current Prices 2023","At Constant 2018 Prices 2000","At Constant 2018 Prices 2001","At Constant 2018 Prices 2002","At Constant 2018 Prices 2003","At Constant 2018 Prices 2004","At Constant 2018 Prices 2005","At Constant 2018 Prices 2006","At Constant 2018 Prices 2007","At Constant 2018 Prices 2008","At Constant 2018 Prices 2009","At Constant 2018 Prices 2010","At Constant 2018 Prices 2011","At Constant 2018 Prices 2012","At Constant 2018 Prices 2013","At Constant 2018 Prices 2014","At Constant 2018 Prices 2015","At Constant 2018 Prices 2016","At Constant 2018 Prices 2017","At Constant 2018 Prices 2018","At Constant 2018 Prices 2019","At Constant 2018 Prices 2020","At Constant 2018 Prices 2021","At Constant 2018 Prices 2022","At Constant 2018 Prices 2023"
"....Household Final Consumption Expenditure",71.7,72.9,73.1,73.5,73.6,74.0,73.3,72.3,73.2,73.2,70.2,72.1,72.6,72.0,71.3,72.5,72.6,72.2,72.5,73.2,75.1,75.3,75.9,76.5,76.7,77.3,78.4,78.6,78.1,77.7,76.9,75.7,75.3,76.1,73.5,74.7,74.6,73.9,73.5,73.6,73.6,72.9,72.5,72.4,73.6,72.6,73.1,73.1
"....Government Final Consumption Expenditure",11.1,10.7,10.3,9.9,9.1,8.9,9.1,9.2,8.8,9.8,9.7,9.7,10.8,10.8,10.6,10.9,11.3,11.3,12.0,12.5,15.3,15.6,15.0,14.2,11.9,11.4,10.6,10.5,10.0,9.8,10.5,10.5,10.2,11.1,10.8,10.6,11.4,11.2,10.9,11.1,11.3,11.3,12.0,12.4,15.1,15.3,15.0,14.3
"....Gross capital formation",15.7,18.9,20.5,19.5,20.7,18.6,16.0,16.1,19.0,17.4,20.4,20.7,19.6,20.6,20.9,21.3,24.6,25.6,27.2,26.4,17.4,21.1,24.7,23.3,16.2,19.0,19.5,18.5,18.4,16.8,14.3,14.5,17.7,16.4,19.9,18.7,18.4,20.4,20.8,22.2,25.0,25.9,27.2,26.5,19.2,21.9,23.1,23.2
"......Gross fixed capital formation",19.4,18.3,18.3,18.6,18.5,18.2,18.7,18.9,19.1,18.6,20.4,19.0,19.9,20.8,20.9,22.2,25.0,25.6,27.3,27.2,21.3,22.3,23.3,23.6,18.3,16.9,17.0,17.7,17.3,16.4,16.3,17.0,17.7,17.8,19.9,18.3,19.3,20.3,20.6,22.0,24.8,25.7,27.3,26.7,21.4,22.3,22.7,23.3
"........Construction",9.5,8.8,8.8,8.9,9.0,8.6,9.1,9.6,10.3,10.6,11.6,10.5,11.7,12.4,12.7,13.6,14.6,14.6,16.1,16.9,13.0,13.8,14.7,15.0,11.4,10.4,10.3,10.8,10.4,9.4,9.3,10.1,10.8,11.0,12.2,10.7,11.9,12.6,13.0,13.6,14.6,14.9,16.1,16.5,12.8,13.4,14.0,14.5
"........Durable equipment",6.9,6.6,6.6,6.7,6.5,6.4,6.4,6.0,5.8,5.1,6.0,5.7,5.6,5.9,5.9,6.4,8.0,8.4,8.4,7.4,5.3,5.5,6.0,6.1,3.9,3.5,3.7,3.9,3.8,4.0,3.9,3.9,4.1,3.9,4.8,4.9,4.8,5.2,5.2,5.9,7.6,8.1,8.4,7.3,5.7,6.0,6.1,6.3
"........Breeding Stocks and Orchard Development",2.4,2.4,2.4,2.4,2.5,2.6,2.8,2.8,2.7,2.6,2.4,2.4,2.2,2.1,1.8,1.8,1.9,2.0,2.2,2.1,2.4,2.2,2.0,1.9,2.8,2.8,2.8,2.8,2.9,2.8,2.8,2.8,2.6,2.6,2.6,2.5,2.4,2.2,2.1,2.1,2.1,2.1,2.2,2.1,2.2,2.0,1.9,1.8
"........Intellectual Property Products",0.6,0.6,0.6,0.5,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.7
"......Changes in Inventories",-3.7,0.6,2.1,0.9,2.2,0.3,-2.7,-2.8,-0.1,-1.2,0.0,1.8,-0.4,-0.2,0.1,-0.9,-0.4,-0.1,-0.1,-0.8,-3.9,-1.1,1.3,-0.3,-2.1,2.0,2.5,0.7,1.1,0.4,-2.0,-2.5,0.0,-1.4,0.0,0.3,-0.9,0.2,0.2,0.2,0.2,0.2,-0.1,-0.2,-2.2,-0.4,0.4,-0.1
"......Valuables",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"....Exports of Goods and services",43.3,41.2,40.0,42.3,41.8,41.2,41.2,38.0,33.4,30.2,32.9,29.1,27.5,26.2,27.4,27.2,26.7,29.6,30.2,28.4,25.2,25.8,28.4,26.7,25.3,24.1,24.3,25.3,25.3,27.1,28.3,27.3,25.1,23.6,26.4,25.2,24.7,23.6,24.8,25.7,26.2,28.7,30.2,29.2,27.1,27.7,28.5,27.4
"......Exports of Goods",38.0,34.3,32.5,34.5,33.6,30.6,30.0,27.0,24.0,20.4,21.8,19.3,18.6,16.7,17.3,15.8,14.9,16.7,16.9,15.1,14.2,15.0,16.2,13.6,20.8,18.2,17.5,18.1,17.5,16.9,17.5,16.8,16.0,14.2,15.8,14.6,15.3,13.7,14.6,14.2,14.4,15.9,16.9,16.1,16.2,17.2,16.8,14.7
