"Gross National Income and Gross Domestic Product, by Industry"

"Industry","At Current Prices 2000","At Current Prices 2001","At Current Prices 2002","At Current Prices 2003","At Current Prices 2004","At Current Prices 2005","At Current Prices 2006","At Current Prices 2007","At Current Prices 2008","At Current Prices 2009","At Current Prices 2010","At Current Prices 2011","At Current Prices 2012","At Current Prices 2013","At Current Prices 2014","At Current Prices 2015","At Current Prices 2016","At Current Prices 2017","At Current Prices 2018","At Current Prices 2019","At Current Prices 2020","At Current Prices 2021","At Current Prices 2022","At Current Prices 2023","At Constant 2018 Prices 2000","At Constant 2018 Prices 2001","At Constant 2018 Prices 2002","At Constant 2018 Prices 2003","At Constant 2018 Prices 2004","At Constant 2018 Prices 2005","At Constant 2018 Prices 2006","At Constant 2018 Prices 2007","At Constant 2018 Prices 2008","At Constant 2018 Prices 2009","At Constant 2018 Prices 2010","At Constant 2018 Prices 2011","At Constant 2018 Prices 2012","At Constant 2018 Prices 2013","At Constant 2018 Prices 2014","At Constant 2018 Prices 2015","At Constant 2018 Prices 2016","At Constant 2018 Prices 2017","At Constant 2018 Prices 2018","At Constant 2018 Prices 2019","At Constant 2018 Prices 2020","At Constant 2018 Prices 2021","At Constant 2018 Prices 2022","At Constant 2018 Prices 2023"
"....Agriculture, forestry, and fishing",515480,535358,585081,620437,744516,799871,875218,979430,1168573,1219985,1292318,1429965,1448473,1503122,1620700,1533369,1544279,1685956,1762616,1721539,1828424,1954487,2104090,2285159,1064005,1105117,1144991,1197371,1257109,1301069,1360678,1433747,1482352,1480207,1499801,1550555,1598312,1645192,1676006,1688344,1672085,1743134,1762616,1783855,1780391,1775210,1783735,1804907
"....Industry",1293231,1404419,1513274,1629558,1789827,2000851,2191939,2375483,2637671,2644874,3039741,3179203,3472969,3708624,4100383,4250451,4582981,4987948,5582525,5919281,5098232,5607689,6436935,6853152,2233332,2263213,2346383,2462871,2571406,2701285,2802099,2940675,3101574,3057652,3358023,3411809,3674110,3924519,4218872,4493390,4861342,5202582,5582525,5887869,5115316,5551622,5913748,6126102
"......Mining and quarrying",22911,22780,41337,52386,55475,71458,79480,98210,98568,110676,135402,151487,131767,126453,143880,119626,125898,148094,163322,161656,137060,185371,280249,232080,56452,54421,81125,91679,86933,99343,95543,109046,107284,122121,133399,133388,128011,130910,149511,148589,156807,160065,163322,168857,137493,144498,152183,155155
"......Manufacturing",934726,1018638,1093531,1171756,1278376,1436119,1560911,1666459,1873174,1823961,2060285,2201830,2359066,2462478,2717316,2778795,2964479,3228580,3488331,3614016,3169921,3424049,3795335,3943987,1572789,1615141,1675907,1744161,1816030,1933017,1987874,2045235,2151220,2058619,2214486,2297192,2427619,2538760,2732860,2874284,3070939,3317641,3488331,3620456,3266302,3556426,3729157,3779245
"......Electricity, steam, water and waste management",134500,160000,165369,175193,195623,220571,238503,255295,266702,275784,326133,335334,379747,401382,426063,443279,466222,505119,557030,607881,611051,650961,746104,844360,227752,236233,240081,260148,280210,284095,293444,310705,331050,327945,360982,365610,387840,409650,428437,458766,500472,523161,557030,591312,589213,615591,647222,684918
"......Construction",201094,203002,213037,230223,260354,272704,313045,355518,399227,434453,517922,490551,602390,718310,813123,908751,1026382,1106154,1373841,1535727,1180199,1347309,1615247,1832725,376339,357418,349270,366883,388234,384830,425237,475689,512019,548967,649157,615620,730640,845198,908065,1011751,1133124,1201714,1373841,1507244,1122308,1235106,1385186,1506784
"....Services",1888846,2084622,2252204,2467815,2789561,3116560,3483261,3843332,4243956,4525562,5067392,5535494,6139147,6838847,7485746,8160337,9005122,9882747,10920048,11877043,11024918,11848438,13487251,15180301,3688046,3830053,3974521,4185436,4532562,4771971,5078027,5468818,5686952,5881774,6326037,6652996,7144045,7684933,8201169,8809174,9529249,10230262,10920048,11711027,10642137,11213252,12248122,13120749
"......Wholesale and retail trade; repair of motor vehicles and motorcycles",576736,632064,676254,734069,828676,939418,1062061,1186384,1319542,1366112,1571248,1704663,1878583,2078127,2252324,2427160,2668596,2926502,3237304,3517653,3317371,3502794,3987550,4444025,1260150,1318539,1361602,1425298,1525888,1603594,1697235,1837414,1861553,1877191,2030314,2093913,2245453,2381082,2506535,2670294,2861060,3057552,3237304,3489299,3275537,3413864,3710785,3913420
"......Transportation and storage",133682,156759,169027,183739,211704,234218,252459,271068,288801,294043,316498,350098,385159,421600,472663,525721,580079,637191,697839,757661,551045,605204,807323,977399,267104,272322,284266,296270,308335,303941,316532,332279,342342,341026,349294,375907,405425,442870,498422,548048,604328,648153,697839,742347,515149,547807,679371,767603
"......Accommodation and food service activities",60116,65717,69478,74455,83185,89647,98380,111305,121362,129534,145237,161345,182830,202895,232308,262371,304557,346119,403289,431778,253013,285187,396144,511146,141725,148208,152229,158954,171224,173819,179606,195211,196691,197729,213466,226108,242024,254206,271023,297279,332612,371234,403289,425692,231811,248404,329124,405418
"......Information and communication",119503,145038,171667,203480,244262,278863,300317,325499,349672,362015,368943,380320,400014,415001,429321,455635,473142,490330,515925,562834,593039,640034,696022,733417,100928,122760,143507,173673,210347,241021,256346,288411,308093,317327,326583,342111,363733,386420,402219,436741,462876,483683,515925,557007,585185,638971,690072,719615
"......Financial and insurance activities",191405,215508,234808,260031,298287,352560,418982,468983,518049,560948,636283,692889,769804,892658,1005739,1087981,1193651,1326583,1498147,1681870,1823979,1963148,2224675,2565381,341020,357884,379994,407907,444300,489868,555549,618667,637228,680187,757901,806878,883974,1006839,1092038,1171994,1275687,1382521,1498147,1676448,1769952,1854248,1987008,2161095
"......Real estate and ownership of dwellings",267975,283782,299677,321119,345631,377710,407980,438331,486620,494633,540388,596654,671761,760384,831245,929576,995629,1076332,1189673,1255644,1081612,1139221,1246861,1370154,487874,482152,488546,505750,530337,558682,586053,627478,664607,655393,701533,754008,820210,897280,945984,1022316,1068415,1129083,1189673,1238469,1031275,1054235,1108167,1152506
"......Professional and business services",60198,67547,79857,101203,132837,163846,201681,239993,300932,360961,414196,482885,534130,618743,734746,840089,992234,1110458,1159265,1219757,1137558,1222489,1350881,1487291,145095,152779,162916,185819,236460,267003,305719,346143,408663,469401,519966,581517,617263,689095,789923,875745,1011910,1117257,1159265,1182159,1068769,1136507,1240353,1323643
"......Public administration and defense; compulsory social activities",184539,197481,202113,210315,228877,237294,264021,272168,287786,324492,371829,402173,453354,479516,492086,503201,562254,642127,767706,890688,950590,1027079,1119710,1188487,330372,337865,342312,355604,383920,388029,403505,410968,421177,448635,476856,488025,518184,534465,558605,567797,610575,666393,767706,871564,911188,959685,1003397,1024588
"......Education",176032,190166,208850,226841,243774,255093,271366,298698,319317,350213,365107,395753,428422,475428,500050,535578,591081,649366,731607,778868,719494,796472,880390,976644,355852,365907,377257,385564,404964,415194,433128,447032,472362,499506,506999,520351,528524,547291,557395,589602,627112,671837,731607,766089,687610,744159,796154,851619
"......Human health and social work activities",46022,52115,56420,60849,67770,76213,83751,92462,100412,111323,124020,137392,155558,183782,216743,242093,269554,289060,308268,329862,325260,385750,411577,460645,119269,128426,136310,143311,154636,166000,170605,176546,177245,183289,189570,198838,211468,221737,252506,270168,290083,309316,308268,323261,306903,351472,364223,391151
"......Other services",72636,78445,84052,91714,104560,111699,122262,138440,151464,171289,213643,231320,279531,310712,318523,350934,374345,388679,411025,450429,271957,281061,366118,465712,138659,143212,145583,147285,162153,164820,173748,188669,196991,212088,253555,265339,307787,323648,326518,359190,384590,393233,411025,438691,258758,263899,339470,410089
