"Gross Value Added In Agriculture, Forestry, and Fishing, Percent Share"

"Industry","At Current Prices 2000","At Current Prices 2001","At Current Prices 2002","At Current Prices 2003","At Current Prices 2004","At Current Prices 2005","At Current Prices 2006","At Current Prices 2007","At Current Prices 2008","At Current Prices 2009","At Current Prices 2010","At Current Prices 2011","At Current Prices 2012","At Current Prices 2013","At Current Prices 2014","At Current Prices 2015","At Current Prices 2016","At Current Prices 2017","At Current Prices 2018","At Current Prices 2019","At Current Prices 2020","At Current Prices 2021","At Current Prices 2022","At Current Prices 2023","At Constant 2018 Prices 2000","At Constant 2018 Prices 2001","At Constant 2018 Prices 2002","At Constant 2018 Prices 2003","At Constant 2018 Prices 2004","At Constant 2018 Prices 2005","At Constant 2018 Prices 2006","At Constant 2018 Prices 2007","At Constant 2018 Prices 2008","At Constant 2018 Prices 2009","At Constant 2018 Prices 2010","At Constant 2018 Prices 2011","At Constant 2018 Prices 2012","At Constant 2018 Prices 2013","At Constant 2018 Prices 2014","At Constant 2018 Prices 2015","At Constant 2018 Prices 2016","At Constant 2018 Prices 2017","At Constant 2018 Prices 2018","At Constant 2018 Prices 2019","At Constant 2018 Prices 2020","At Constant 2018 Prices 2021","At Constant 2018 Prices 2022","At Constant 2018 Prices 2023"
"..Palay",20.7,19.5,19.6,18.2,17.3,17.9,16.9,16.9,17.7,17.7,16.8,16.8,19.2,20.1,22.6,19.7,19.4,20.3,21.6,17.5,18.1,17.7,17.0,18.2,26.7,26.5,25.9,25.0,25.5,24.9,24.4,23.7,23.1,22.9,22.0,22.4,23.4,23.3,23.2,22.0,21.4,22.1,21.6,20.1,20.7,21.5,21.2,21.3
"..Corn",4.9,4.8,4.2,4.3,5.2,4.1,5.1,5.5,5.1,5.3,4.6,5.3,5.7,5.2,5.4,5.3,4.8,5.0,5.5,5.5,4.7,5.3,6.0,6.2,5.2,5.1,4.7,4.8,5.3,5.0,5.5,5.8,5.8,6.0,5.4,5.7,5.9,5.7,5.9,5.6,5.4,5.6,5.5,5.6,5.8,5.9,5.9,5.9
"..Coconut including copra",4.7,4.2,5.8,5.9,6.5,6.2,5.4,5.6,6.3,4.9,5.8,7.6,5.2,4.6,5.5,5.5,6.2,6.3,4.7,3.9,4.4,4.7,4.7,4.0,6.6,6.6,6.9,6.7,6.4,6.4,6.2,5.8,5.9,6.0,5.9,5.6,5.6,5.3,4.9,4.9,4.7,4.5,4.7,4.7,4.6,4.7,4.7,4.7
"..Sugarcane including muscovado sugar-making in the farm",2.6,2.8,3.0,2.9,2.2,2.2,2.3,2.1,2.0,1.6,2.1,2.7,2.0,1.9,1.8,2.0,2.1,1.8,1.6,1.6,1.5,1.3,1.8,1.8,2.3,2.2,2.2,2.3,2.3,2.0,2.1,1.8,1.9,1.8,1.4,2.2,1.9,1.7,1.7,1.6,1.6,1.9,1.6,1.4,1.7,1.9,1.5,1.4
"..Banana",3.9,4.2,4.5,4.4,4.4,5.0,5.1,5.3,5.8,6.5,7.2,6.3,6.5,6.8,7.0,7.8,8.3,7.6,7.8,9.0,10.3,9.1,6.6,6.6,8.1,7.9,7.8,7.5,7.4,7.9,8.1,8.2,9.3,9.6,9.3,9.0,8.8,8.0,8.0,8.1,8.0,7.8,7.8,7.6,7.5,7.6,7.5,7.4
"..Mango",3.1,2.7,2.5,2.3,2.1,2.0,2.1,1.7,1.7,1.4,1.4,1.3,1.7,1.7,1.6,1.8,2.0,2.1,1.9,1.9,1.9,1.9,1.8,1.9,3.6,3.6,3.8,3.8,3.5,3.4,3.0,3.2,2.7,2.4,2.5,2.3,2.2,2.3,2.4,2.5,2.2,2.0,1.9,1.9,1.9,1.9,1.9,2.0
"..Pineapple",2.0,1.8,1.6,1.7,1.2,1.1,0.9,1.0,0.9,0.9,0.8,1.0,1.2,1.1,1.2,1.3,1.5,1.5,1.6,1.8,1.6,1.4,1.4,1.5,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7
"..Coffee",0.9,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,1.2,1.0,1.0,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
"..Cassava",1.3,1.1,1.1,0.9,0.9,0.8,1.1,0.9,0.9,1.0,1.0,1.0,1.2,1.4,1.2,1.1,1.3,1.4,1.2,1.4,1.5,1.2,1.2,1.3,1.2,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.2,1.2,1.1,1.1,1.1,1.1,1.1
"..Rubber",0.4,0.4,0.6,0.8,1.0,1.1,1.4,1.7,1.4,1.0,1.8,2.0,1.4,1.1,0.7,0.5,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.4,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5
