"Geolocation","Both Sexes 2006","Both Sexes 2007","Both Sexes 2008","Both Sexes 2009","Both Sexes 2010","Both Sexes 2011","Both Sexes 2012","Both Sexes 2013","Both Sexes 2014","Both Sexes 2015","Both Sexes 2016","Boys 2006","Boys 2007","Boys 2008","Boys 2009","Boys 2010","Boys 2011","Boys 2012","Boys 2013","Boys 2014","Boys 2015","Boys 2016","Girls 2006","Girls 2007","Girls 2008","Girls 2009","Girls 2010","Girls 2011","Girls 2012","Girls 2013","Girls 2014","Girls 2015","Girls 2016"
"Philippines",76.07,75.52,75.55,76.87,95.92,97.10,95.13,93.80,92.57,91.05,96.15,75.28,74.76,75.03,76.43,94.47,95.82,94.16,93.00,91.76,90.20,96.17,76.90,76.32,76.11,77.34,97.47,98.47,96.16,94.65,93.42,91.96,96.12
"NCR",73.21,72.53,71.95,71.21,96.90,97.16,94.42,92.54,89.67,88.13,95.92,72.55,71.82,71.33,70.92,95.23,95.38,92.88,91.31,88.30,86.49,95.30,73.90,73.29,72.60,71.51,98.70,99.07,96.07,93.86,91.15,89.90,95.30
"CAR",72.68,71.20,71.21,75.31,97.64,99.58,97.30,95.51,94.53,92.18,97.24,72.06,70.72,70.99,74.82,96.73,98.58,96.51,95.09,93.81,91.36,97.94,73.34,71.69,71.45,75.84,98.61,100.65,98.16,95.97,95.29,93.05,97.94
"Region I",76.46,74.87,74.33,82.20,98.32,98.89,97.38,96.81,96.84,95.39,94.84,76.67,75.08,74.63,82.54,97.53,98.26,97.09,96.62,96.77,95.17,95.50,76.24,74.65,74.02,81.84,99.17,99.57,97.70,97.02,96.92,95.62,95.50
"Region II",73.98,71.69,70.19,75.74,95.34,96.07,96.02,96.49,96.32,96.31,100.26,73.67,71.35,70.05,75.50,94.31,94.97,95.20,95.91,95.53,95.49,100.68,74.31,72.05,70.32,75.99,96.45,97.25,96.91,97.12,97.18,97.19,100.68
"Region III",78.76,78.06,77.69,76.43,98.04,98.55,96.74,96.22,95.64,93.85,98.53,78.52,77.76,77.63,76.44,96.80,97.51,95.91,95.64,94.90,93.00,98.62,79.02,78.37,77.74,76.41,99.38,99.68,97.64,96.85,96.44,94.77,98.62
"Region IV-A",79.10,78.43,78.08,71.67,93.94,95.69,95.01,92.47,92.03,89.94,97.20,78.69,78.01,77.72,71.44,92.76,94.66,94.22,91.66,91.32,89.12,96.94,79.54,78.86,78.46,71.92,95.20,96.79,95.86,93.33,92.78,90.83,96.94
"Region IV-B",80.76,78.90,79.89,85.20,95.04,97.63,95.52,93.52,92.33,92.25,94.98,79.92,78.14,79.47,84.82,93.91,96.96,95.05,93.23,91.90,91.67,95.07,81.64,79.69,80.34,85.59,96.26,98.34,96.03,93.83,92.78,92.85,95.07
"Region V",81.19,80.57,80.01,89.06,97.19,98.55,96.79,95.50,94.02,91.09,95.77,80.22,79.77,79.47,88.58,96.43,98.11,96.53,95.25,93.57,90.75,96.38,82.21,81.42,80.59,89.58,98.00,99.02,97.08,95.76,94.49,91.45,96.38
"Region VI",71.68,69.96,69.11,75.34,93.38,95.56,95.43,95.83,95.79,95.43,99.09,71.14,69.54,68.96,76.17,91.99,94.59,94.80,95.34,95.48,95.18,99.72,72.25,70.40,69.26,74.49,94.88,96.60,96.11,96.36,96.12,95.70,99.72
"Region VII",73.43,72.65,73.51,76.09,95.48,97.38,97.43,97.36,96.75,96.02,101.55,72.84,72.16,73.38,76.07,94.24,96.13,96.51,96.64,95.97,95.26,101.69,74.06,73.15,73.65,76.11,96.80,98.72,98.42,98.12,97.59,96.84,101.69
"Region VIII",76.39,75.51,76.23,87.65,95.39,95.96,94.25,92.61,91.68,89.57,94.00,74.71,74.21,75.35,86.37,93.91,94.92,93.73,92.22,91.26,89.03,94.19,78.14,76.88,77.15,89.02,96.97,97.07,94.81,93.01,92.12,90.15,94.19
"Region IX",75.72,74.96,75.06,76.97,94.34,97.33,94.48,90.50,92.15,90.23,91.24,74.96,74.31,74.66,76.58,92.83,96.09,93.50,89.75,91.55,89.57,91.56,76.51,75.62,75.46,77.37,95.94,98.66,95.52,91.30,92.78,90.94,91.56
"Region X",74.48,73.99,74.45,74.03,92.73,93.91,92.44,91.00,90.25,89.68,96.57,73.52,73.05,73.86,73.31,91.57,92.96,92.10,90.56,89.83,89.22,97.58,75.49,74.98,75.06,74.79,93.97,94.91,92.80,91.46,90.70,90.16,97.58
"Region XI",70.67,69.78,70.44,75.11,99.37,99.54,97.06,97.85,96.09,96.65,100.06,69.53,68.83,69.79,74.57,99.18,98.80,96.30,97.30,95.25,95.74,99.92,71.86,70.78,71.11,75.67,99.56,100.32,97.88,98.43,96.98,97.62,99.92
"Region XII",72.15,72.99,73.96,75.65,88.65,90.09,88.13,87.16,88.22,87.72,93.30,70.71,71.73,72.96,74.35,86.84,88.49,86.80,85.93,87.04,86.72,93.07,73.65,74.29,75.00,77.01,90.58,91.79,89.54,88.47,89.48,88.78,93.07
"Caraga",75.77,74.80,73.85,79.95,96.95,94.97,93.94,94.32,94.54,94.29,97.85,75.87,74.83,74.39,80.37,96.59,94.29,93.22,93.81,94.01,93.79,99.00,75.66,74.76,73.28,79.52,97.33,95.68,94.69,94.85,95.11,94.83,99.00
"ARMM",84.83,91.94,95.45,76.16,103.25,105.70,93.00,87.73,75.64,69.64,77.29,80.87,87.46,91.16,72.01,96.71,99.97,88.33,83.54,72.09,66.31,73.86,88.81,96.42,99.74,80.33,109.95,111.52,97.75,91.98,79.24,73.02,73.86
