"Consumer Price Index for Bottom 30% Income Households by Commodity Group (2018=100): January 2012 - December 2017 (Backcasted Values)"

"Geolocation","Commodity Description","2012 Jan","2012 Feb","2012 Mar","2012 Apr","2012 May","2012 Jun","2012 Jul","2012 Aug","2012 Sep","2012 Oct","2012 Nov","2012 Dec","2013 Jan","2013 Feb","2013 Mar","2013 Apr","2013 May","2013 Jun","2013 Jul","2013 Aug","2013 Sep","2013 Oct","2013 Nov","2013 Dec","2014 Jan","2014 Feb","2014 Mar","2014 Apr","2014 May","2014 Jun","2014 Jul","2014 Aug","2014 Sep","2014 Oct","2014 Nov","2014 Dec","2015 Jan","2015 Feb","2015 Mar","2015 Apr","2015 May","2015 Jun","2015 Jul","2015 Aug","2015 Sep","2015 Oct","2015 Nov","2015 Dec","2016 Jan","2016 Feb","2016 Mar","2016 Apr","2016 May","2016 Jun","2016 Jul","2016 Aug","2016 Sep","2016 Oct","2016 Nov","2016 Dec","2017 Jan","2017 Feb","2017 Mar","2017 Apr","2017 May","2017 Jun","2017 Jul","2017 Aug","2017 Sep","2017 Oct","2017 Nov","2017 Dec"
"PHILIPPINES","01.1.1.12 - Rice",81.8638537929336,82.1124869752882,82.4295764243687,82.5728731219192,82.8288568680885,83.1008299371410,83.3652363950115,83.7051745117099,83.7184726377744,83.4448622673061,83.3746167003796,83.3337827747183,83.0507216614946,83.0886963536562,83.0797246026068,83.0893033148952,83.2753520171567,83.5507750995759,84.3080853739565,85.6506045205878,88.3835591124241,88.4680259453125,88.3312476237744,89.2221193476884,89.7104615943232,90.2718543570485,91.1969499041162,91.8421563386385,92.6156992057428,93.5943589506053,95.2950307847110,96.2485706750439,96.4490671278320,96.2073489141203,95.8471872035217,95.6958258362296,95.5039990967079,95.0573737188774,94.6727266153507,94.3254768926404,94.0556883600540,93.9245197363553,93.9589083611765,93.9305494346050,93.9893397661891,93.7980518304084,93.5885787349592,93.4571639842208,93.3848465167982,93.3978895739055,93.2648190557958,93.2637955349157,93.3687711124830,93.2576454805881,93.8261566063087,94.0182440007037,94.1700303141944,94.1167025343695,93.9156526997576,93.9459064927154,94.0365081804579,94.1124287099878,94.0321384717581,94.0461363654361,94.0278118310869,94.1305176977166,94.3345820465178,94.3985284302547,94.5063048138879,94.3902573149774,94.3808408253282,94.5217513751967
"PHILIPPINES","01.1.1.16 - Corn",81.9097718208349,81.5093393682020,81.2275561057572,82.5878072421791,82.8736674764315,83.7508475914203,83.6135265450206,83.6131621788519,83.2256896129562,83.5597251638391,85.1834622821596,85.2815511015325,85.3571137770351,85.1116745696659,84.8679656496689,85.0398982544288,86.0745402111956,86.0099266088834,86.5196503632032,85.9283713171157,85.8010337591197,85.5065720313610,87.7640752739822,90.0326040871329,91.0963656101393,91.2821573180674,92.3684635864672,93.7811814058538,94.7285690921056,95.5996172814431,96.0411083695066,95.8183776398612,95.7102536618450,95.0947694339903,94.6218241295195,94.1793844255987,94.1782365320447,93.2769260277162,92.3665749572685,93.5670805933645,93.5845584969482,94.4735341295507,96.2613715051814,95.5133282386269,94.3314636746883,92.7642049839642,91.5400053971098,90.3116783640794,89.6396717059505,89.4649880169948,90.5468412272730,91.0686653423751,91.8947977273424,92.7922304971251,93.2723479515263,92.7980423439328,91.4660741347822,90.2722500422226,89.6634216275340,89.1454938420326,89.0709358674492,88.9614773692996,89.8927567172768,90.1498392630071,90.1162353482397,91.7805484988792,91.8538775337697,92.9584951049428,93.6158947358760,94.6560908295592,94.7660054017516,95.8102295266518
"PHILIPPINES","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",86.5553602811951,86.6432337434095,86.9068541300527,87.5219683655536,87.6098418277680,87.8734622144113,88.1370826010545,88.3128295254833,88.4885764499121,88.5764499121265,88.8400702987698,89.1036906854130,89.5430579964851,89.8066783831283,89.9824253075571,90.2460456942004,90.4217926186292,90.9490333919156,91.1247803163445,91.3005272407733,91.5641476274165,91.6520210896309,91.7398945518454,92.0913884007030,92.4428822495606,92.7065026362039,92.9701230228471,93.1458699472759,93.2337434094903,93.4973637961336,93.6731107205624,93.7609841827768,93.9367311072056,94.1124780316344,94.2003514938489,94.2003514938489,94.4639718804921,94.5518453427065,94.6397188049209,94.8154657293497,94.8154657293497,94.9912126537786,94.9033391915641,94.8154657293497,94.9912126537786,95.1669595782074,95.2548330404218,95.3427065026362,95.5184534270650,95.6063268892794,95.6063268892794,95.6942003514939,95.7820738137083,95.7820738137083,95.9578207381371,95.9578207381371,96.0456942003515,96.0456942003515,96.2214411247803,96.2214411247803,96.3093145869947,96.3971880492091,96.5729349736380,96.5729349736380,96.8365553602812,96.9244288224956,97.0123022847100,97.1001757469244,97.4516695957821,97.6274165202109,97.8031634446397,97.9789103690685
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",73.8450074515648,73.6214605067064,74.0685543964233,74.1430700447094,74.1430700447094,73.9940387481371,74.0685543964233,74.5901639344262,75.2608047690015,75.2608047690015,75.6333830104322,75.5588673621461,76.3785394932936,75.7824143070045,75.2608047690015,76.1549925484352,76.0059612518629,75.7824143070045,76.5275707898659,76.9001490312966,77.0491803278689,77.8688524590164,78.3159463487332,79.5081967213115,79.9552906110283,80.3278688524590,80.4769001490313,81.2220566318927,81.5946348733234,81.2220566318927,81.3710879284650,82.6378539493294,83.9791356184799,84.9478390461997,85.4694485842027,85.9910581222057,87.3323397913562,86.6616989567809,86.8852459016393,88.3755588673621,87.1833084947839,85.8420268256334,85.8420268256334,86.2146050670641,87.3323397913562,88.0774962742176,88.3010432190760,88.3010432190760,89.0461997019374,89.6423248882265,90.2384500745156,91.2071535022355,91.4307004470939,91.9523099850969,92.2503725782414,92.9210134128167,94.7093889716841,95.9016393442623,97.5409836065574,97.1684053651267,96.8703427719821,95.9016393442623,96.3487332339792,96.0506706408346,95.9016393442623,95.3055141579732,95.0074515648286,95.3055141579732,95.9016393442623,97.2429210134128,97.7645305514158,98.0625931445604
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",72.9254571026723,69.9718706047820,67.8621659634318,68.0028129395218,67.0182841068917,67.7215189873418,69.0576652601969,71.5893108298172,73.5583684950774,72.8551336146273,72.2925457102672,70.8860759493671,70.1828410689170,70.7454289732771,69.6905766526020,69.4796061884670,70.1828410689170,71.5893108298172,71.8002812939522,71.3080168776371,72.6441631504923,74.2616033755274,75.3164556962025,77.2855133614628,78.4106891701829,79.5358649789030,75.9493670886076,74.8945147679325,74.4022503516175,76.7932489451477,79.8171589310830,79.8874824191280,78.9029535864979,78.4810126582279,78.5513361462729,77.8481012658228,79.6765119549930,77.9887482419128,76.0900140646976,76.5822784810127,77.0745428973277,77.2151898734177,78.8326300984529,81.0829817158931,80.5907172995781,80.4500703234881,85.0914205344585,84.9507735583685,86.4978902953587,83.6849507735584,81.8565400843882,82.0675105485232,84.7398030942335,87.7637130801688,88.1153305203938,86.0759493670886,86.5682137834037,87.6933895921238,92.2644163150492,92.8973277074543,94.1631504922644,93.4599156118144,89.7327707454290,88.4669479606189,87.8340365682138,88.8888888888889,88.2559774964838,88.7482419127989,91.0689170182841,94.0225035161744,95.8509142053446,95.8509142053446
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",80.4159905474046,79.3227614172830,78.8974295632581,79.5709196513380,82.1107080601762,83.4542757599785,87.5029893721173,88.8093165758412,89.1406436411884,88.7791589542409,87.5466696839362,85.4011165541978,83.5933855740894,83.0438641679540,81.8388270720018,81.6811553250397,82.1879864955424,82.5833760777912,82.7735371908731,82.7261722140700,82.6323709333637,82.8202642826909,83.2510010560284,84.1807920319000,84.2842808252315,84.0451183764695,84.4551742948719,84.8116563755564,86.2772574180737,88.7366927911398,89.9495407786622,90.3938131527365,90.3947996415781,89.9824882405286,89.6502194680763,88.9555485135515,88.6242303019202,88.0275332267295,87.7080453646336,88.6439026960802,91.9540488136291,93.3279378752564,93.7103860313066,93.6348354869144,93.6566884243057,93.5353612254525,93.9287622043264,94.5916070666235,95.4251886912880,95.8099288965560,96.2834078962817,96.4977198735624,96.8716655794809,97.1775989777572,97.3931340357773,97.4558368644932,97.3323270870014,97.2813653792166,97.2062642905725,97.0381637401695,96.8761809860898,96.4205561523846,95.5929552388243,94.7979598507892,94.6389673070535,94.1649593338029,94.0253609810291,93.8128429041980,93.7315500548350,93.3266119199855,92.8287695496499,92.6337916812480
"..National Capital Region (NCR)","01.1.1.12 - Rice",80.4218364138223,80.5217546231719,81.3549480636780,80.6485966132140,81.6259347279999,81.5246330963948,81.5891414192492,83.1803915724965,84.1534270875724,82.1831907976706,81.5130970312088,81.6752054162667,80.4256437019255,83.8023215032406,83.6573828039539,83.6827169226436,83.6343775787994,83.8064194417998,84.7582440035734,87.1252440051316,90.3207802976062,90.5374594020138,90.8742246895843,93.1228787756527,94.0232815174150,95.5633565539599,97.8850744057128,95.0335508141627,96.8977156114412,97.6253008133304,99.2528574918079,100.3352534156170,101.3824430520760,101.4142580045650,101.5420448537480,101.1921247005670,99.5278723784619,98.4257880804851,96.7800295023475,95.7830157176874,95.7305607698076,95.8846424668097,95.8634120353836,95.6906635643915,95.8116801093814,95.8155764969142,95.6672904782327,96.4563440180985,95.4854374031370,95.6380944984879,95.1020821698159,93.8884147876481,93.8884147876481,95.0973499429318,96.5203951280905,97.1755611347242,97.2157823163502,97.9495711088657,97.9712894779323,97.6302769394851,97.4283938429760,97.1026264641168,95.7190122561688,95.3295596669947,96.2499101367081,95.8876450340432,96.5099098160336,96.3711049570346,96.6503817067699,96.1143469961001,96.1462816041846,96.8518710974181
"..National Capital Region (NCR)","01.1.1.16 - Corn",58.3318589461239,58.3318589461239,58.3318589461239,59.7869321563367,60.6341899749416,60.6341899749416,60.6341899749416,60.6341899749416,60.6341899749416,60.6341899749416,60.6341899749416,60.6341899749416,60.6341899749416,59.1238608200372,58.6818132625042,59.5474897293397,61.1130748289357,61.1130748289357,61.5367037382381,62.6234039838401,64.6126179927385,65.0730841985020,65.8835047206459,66.5281574087148,67.4306711720113,66.5834133534064,62.6602412803012,62.1261004816155,60.8183764572470,60.8920510501692,61.1867494218579,63.9495466564391,63.1207074860647,66.7675998357119,72.6799859177156,75.7374815239854,73.8587794044702,70.8012837982004,71.9616586367245,65.5703877007267,65.2572706808075,64.6310366409691,66.2334590370262,71.4643551344998,73.2509640128623,74.1166404796978,88.3726742101367,89.8645847168105,83.1601967608935,83.5654070219654,85.1494107697919,89.4041185110470,78.1687430904168,81.7419608471418,86.3650415530077,79.7343281900128,79.4027925218631,87.3596485574569,94.7639451461345,102.7760571264200,98.2450696617068,93.6219889558409,91.3196579270232,86.3097856083160,84.6521072675673,87.9306266526037,89.1462574358194,90.0119339026548,91.2091460376400,96.6610659138802,104.4153168189380,99.4054445002308
"..National Capital Region (NCR)","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",79.8180314309347,80.4797353184450,80.6451612903226,80.8105872622002,80.8933002481389,82.7129859387924,83.8709677419355,84.0363937138131,84.5326716294458,84.7808105872622,84.8635235732010,85.0289495450786,85.1116625310174,85.5252274607113,85.6906534325889,85.9387923904053,85.9387923904053,85.9387923904053,86.0215053763441,86.0215053763441,86.1042183622829,86.1042183622829,86.1869313482217,86.4350703060380,87.4276261373036,88.4201819685691,88.7510339123242,88.9164598842018,89.1645988420182,89.4127377998346,89.5781637717121,89.5781637717121,89.7435897435897,89.9090157154673,90.0744416873449,90.1571546732837,90.2398676592225,90.4880066170389,90.5707196029777,90.5707196029777,90.6534325889164,90.7361455748552,90.7361455748552,90.7361455748552,90.7361455748552,90.7361455748552,90.8188585607940,90.8188585607940,91.6459884201820,91.8114143920596,91.7287014061208,92.3076923076923,92.7212572373863,92.8866832092639,93.0521091811414,93.1348221670802,93.1348221670802,91.7287014061208,93.3829611248966,93.6311000827130,93.7138130686518,94.2928039702233,95.3680727874276,95.3680727874276,95.8643507030604,96.0297766749380,96.1952026468156,96.3606286186931,96.6914805624483,96.9396195202647,97.0223325062035,97.1050454921423
"..National Capital Region (NCR)","01.1.6 - Fruits and nuts (ND)",62.4371859296483,60.3643216080402,60.8040201005025,61.2437185929648,61.3065326633166,61.7462311557789,61.3693467336684,62.5628140703518,64.5100502512563,65.2638190954774,65.7035175879397,66.4572864321608,66.0804020100503,64.8869346733668,65.1381909547739,65.8291457286432,66.1432160804020,66.2688442211055,67.0854271356784,67.0854271356784,68.1532663316583,68.5929648241206,69.4723618090452,68.0904522613065,65.7663316582915,65.3266331658292,66.0804020100503,66.3944723618091,66.2060301507538,65.3894472361809,67.5879396984925,72.1733668341709,74.3090452261307,74.5603015075377,75.5025125628141,74.9371859296483,73.9949748743719,73.4924623115578,74.4346733668342,75.8793969849246,73.8065326633166,72.4874371859297,72.9271356783920,74.9371859296483,77.0728643216081,78.5175879396985,79.3341708542714,78.9572864321608,78.8944723618091,78.3291457286432,80.2135678391960,83.4798994974875,82.1608040201005,82.7889447236181,81.9723618090452,84.1080402010050,91.1432160804020,90.0125628140704,94.7864321608040,95.2261306532663,93.2160804020101,92.1482412060302,90.0125628140704,88.1909547738694,87.5000000000000,86.7462311557789,85.8668341708543,87.1859296482412,91.3944723618091,93.4673366834171,94.5979899497488,96.2939698492463
