Region,Commodity,2018 Average (Jan-Dec),2019 Average (Jan-Dec),2020 Average (Jan-Dec),2021 Average (Jan-Dec),2022 Average (Jan-Dec),2023 Average (Jan-Dec)
PHILIPPINES,AGRICULTURE,100,94.4,95.1,103.4,121.9,133.6
PHILIPPINES,..CROPS,100,93.1,94,99.9,120.7,137
PHILIPPINES,….Cereals,100,84.9,82.8,87.2,94.8,105.1
PHILIPPINES,….Rootcrops,100,115,119.8,99.9,106.3,124.8
PHILIPPINES,….Beans and Legumes,100,94.8,95.4,92.8,96,104.3
PHILIPPINES,….Condiments,100,72.5,97.2,109,86.5,146
PHILIPPINES,….Fruit Vegetables,100,85.3,82.4,76.4,78.6,70.5
PHILIPPINES,….Leafy Vegetables,100,74.6,66.5,67,53.1,63.3
PHILIPPINES,….Fruits,100,102.1,105.7,101.7,98.2,102.1
PHILIPPINES,….Commercial Crops,100,97.4,98.6,108.2,145.7,168.8
PHILIPPINES,..LIVESTOCK AND POULTRY,100,94.5,99.1,124.4,138.8,137.2
PHILIPPINES,….Livestock,100,92.8,99.7,131.6,143.2,141.3
PHILIPPINES,….Poultry,100,99.5,98,111.5,131.1,129.7
PHILIPPINES,..FISHERY,100,102.4,96.4,98.9,107.3,108.3
PHILIPPINES,….Aquaculture,100,100.9,97.2,100,105.6,109.8
PHILIPPINES,….Commercial Fishery,100,107.7,98.3,107.5,117.9,120.7
PHILIPPINES,….Inland Municipal Fishery,100,97.5,94.8,91.6,97.6,79.1
PHILIPPINES,….Marine Municipal Fishery,100,101.6,94.7,93.9,104.2,104.5
..CORDILLERA ADMINISTRATIVE REGION (CAR),AGRICULTURE,100,85.5,64.4,57.6,67.4,74.7
..CORDILLERA ADMINISTRATIVE REGION (CAR),..CROPS,100,82.3,58.5,49.2,55.7,62.4
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Cereals,100,85.6,83.7,91.8,96.8,106.3
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Rootcrops,100,94.6,81,72.4,78.9,84.9
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Beans and Legumes,100,103.2,93.7,92.4,97,108.5
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Condiments,100,100.9,88,69.9,95,61.7
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Fruit Vegetables,100,67.2,55.6,56.3,46.7,63.7
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Leafy Vegetables,100,54.8,53.2,56.3,32.5,44.1
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Fruits,100,113.7,98.5,108.5,93.9,104.4
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Commercial Crops,100,106.2,108.8,104.4,110.9,113.2
..CORDILLERA ADMINISTRATIVE REGION (CAR),..LIVESTOCK AND POULTRY,100,100.3,107.4,155,239.5,226.7
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Livestock,100,97.8,102.4,148,157,147.9
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Poultry,100,118.4,129.6,147.3,151.4,147.1
..CORDILLERA ADMINISTRATIVE REGION (CAR),..FISHERY,100,101.9,115,110.4,115.4,125.3
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Aquaculture,100,100.6,107.7,103,108.1,123.1
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Commercial Fishery,0,0,0,0,0,0
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Inland Municipal Fishery,100,105.4,109.2,101.4,105.2,90.9
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Marine Municipal Fishery,0,0,0,0,0,0
..REGION I (ILOCOS REGION),AGRICULTURE,100,89.8,79.4,82.5,91.6,93.1
..REGION I (ILOCOS REGION),..CROPS,100,84,68.9,69.5,75.8,77.2
..REGION I (ILOCOS REGION),….Cereals,100,85.3,84.9,88.8,95.9,106.3
..REGION I (ILOCOS REGION),….Rootcrops,100,102.5,115.5,103,102.2,122
..REGION I (ILOCOS REGION),….Beans and Legumes,100,89.7,94.9,92.6,92.1,102.2
..REGION I (ILOCOS REGION),….Condiments,100,82.1,100.3,93.8,104.1,111.2
..REGION I (ILOCOS REGION),….Fruit Vegetables,100,71.3,71.6,59.1,57.9,49.6
..REGION I (ILOCOS REGION),….Leafy Vegetables,100,101.2,90.2,84.1,59.5,55.9
..REGION I (ILOCOS REGION),….Fruits,100,83.6,82,89.2,79.3,68.8
..REGION I (ILOCOS REGION),….Commercial Crops,100,93.8,89.9,86.1,89.7,102.7
..REGION I (ILOCOS REGION),..LIVESTOCK AND POULTRY,100,99.7,108.3,142,203.6,189.6
..REGION I (ILOCOS REGION),….Livestock,100,99,107.8,136.3,162.1,145.1
..REGION I (ILOCOS REGION),….Poultry,100,104.3,110.8,116.1,122.3,135.6
..REGION I (ILOCOS REGION),..FISHERY,100,102.6,102.9,104.1,112.4,119.8
..REGION I (ILOCOS REGION),….Aquaculture,100,101.8,99.8,108.6,107.6,118.5
..REGION I (ILOCOS REGION),….Commercial Fishery,100,102.8,100.2,103.2,107.6,103.9
..REGION I (ILOCOS REGION),….Inland Municipal Fishery,100,104.4,112.1,79.4,70.8,69.6
..REGION I (ILOCOS REGION),….Marine Municipal Fishery,100,106.4,109.8,111.2,110.8,96.8
..REGION II (CAGAYAN VALLEY),AGRICULTURE,100,88.8,76.1,85.3,92.3,99.5
..REGION II (CAGAYAN VALLEY),..CROPS,100,87.3,72.7,80.7,85.9,93.5
..REGION II (CAGAYAN VALLEY),….Cereals,100,84.9,85.7,91.4,98.1,109.9
..REGION II (CAGAYAN VALLEY),….Rootcrops,100,95.1,112,102.3,102.2,104.3
..REGION II (CAGAYAN VALLEY),….Beans and Legumes,100,91.2,96.1,84.9,72.9,76.6
..REGION II (CAGAYAN VALLEY),….Condiments,100,68.6,99.6,101.4,165.3,144
..REGION II (CAGAYAN VALLEY),….Fruit Vegetables,100,82.6,61.8,65.9,61.8,56.9
..REGION II (CAGAYAN VALLEY),….Leafy Vegetables,100,89.2,82.9,75.2,53,60.9
..REGION II (CAGAYAN VALLEY),….Fruits,100,131.3,112.2,101.9,92.4,85.3
..REGION II (CAGAYAN VALLEY),….Commercial Crops,100,100.7,106,99.8,99.4,102.3
..REGION II (CAGAYAN VALLEY),..LIVESTOCK AND POULTRY,100,97,96.3,132,193,170.9
..REGION II (CAGAYAN VALLEY),….Livestock,100,96.2,97.2,139.3,152,128.7
..REGION II (CAGAYAN VALLEY),….Poultry,100,101.8,106.4,115.8,115.2,116.7
..REGION II (CAGAYAN VALLEY),..FISHERY,100,102.4,106.7,103.4,112,130.6
..REGION II (CAGAYAN VALLEY),….Aquaculture,100,100.3,103.9,100.1,98.5,113.5
..REGION II (CAGAYAN VALLEY),….Commercial Fishery,100,104.2,105.8,111.9,120.2,152.3
..REGION II (CAGAYAN VALLEY),….Inland Municipal Fishery,100,100.3,101.3,98.6,103.4,107
..REGION II (CAGAYAN VALLEY),….Marine Municipal Fishery,100,102.9,104,108,124.9,154.3
..REGION III (CENTRAL LUZON),AGRICULTURE,100,88.6,79.1,93.5,101.8,113.1
..REGION III (CENTRAL LUZON),..CROPS,100,80.9,62.3,74.5,78.3,94.5
..REGION III (CENTRAL LUZON),….Cereals,100,78.7,80,84.7,86.3,102.7
..REGION III (CENTRAL LUZON),….Rootcrops,100,100.8,103.7,114.1,108.4,146.2
..REGION III (CENTRAL LUZON),….Beans and Legumes,100,92.6,105.4,96.2,113,116.3
..REGION III (CENTRAL LUZON),….Condiments,100,66.3,94.4,140,267,286.3
..REGION III (CENTRAL LUZON),….Fruit Vegetables,100,81.2,88.7,75.1,85.8,63.7
..REGION III (CENTRAL LUZON),….Leafy Vegetables,100,115.5,145.3,110.6,105.1,106.8
..REGION III (CENTRAL LUZON),….Fruits,100,77.9,69.1,78.3,70.9,72.9
..REGION III (CENTRAL LUZON),….Commercial Crops,100,96.7,111.3,121.2,128.5,117.5
..REGION III (CENTRAL LUZON),..LIVESTOCK AND POULTRY,100,92,95.1,125.4,147.4,139.9
..REGION III (CENTRAL LUZON),….Livestock,100,91.3,114.5,166.2,145.5,138.8
..REGION III (CENTRAL LUZON),….Poultry,100,92.9,91.2,111,132.7,125.6
..REGION III (CENTRAL LUZON),..FISHERY,100,102,103.2,109.8,107.4,120.3
..REGION III (CENTRAL LUZON),….Aquaculture,100,102.5,109.1,111.2,105.3,120.4
..REGION III (CENTRAL LUZON),….Commercial Fishery,100,88.4,73.1,77.3,76.7,84
..REGION III (CENTRAL LUZON),….Inland Municipal Fishery,100,97.3,93.4,82.3,83.2,81.5
..REGION III (CENTRAL LUZON),….Marine Municipal Fishery,100,99.1,88.8,93.7,87.4,89.1
..REGION IV-A (CALABARZON),AGRICULTURE,100,100.2,102.9,115,151.6,154.4
..REGION IV-A (CALABARZON),..CROPS,100,109.5,112,110.8,177.9,191.9
..REGION IV-A (CALABARZON),….Cereals,100,81.6,82.6,85.6,88,101.9
..REGION IV-A (CALABARZON),….Rootcrops,100,110.5,116.7,108.5,100.2,135
..REGION IV-A (CALABARZON),….Beans and Legumes,100,92.1,104.4,100.6,101.8,135.2
..REGION IV-A (CALABARZON),….Condiments,100,76.5,85.3,57.7,45.3,35.7
..REGION IV-A (CALABARZON),….Fruit Vegetables,100,92.3,96.4,85.8,86.4,77.1
..REGION IV-A (CALABARZON),….Leafy Vegetables,100,95.8,104.1,93.2,96.1,108.3
..REGION IV-A (CALABARZON),….Fruits,100,95.4,97.5,95.7,80,87.1
..REGION IV-A (CALABARZON),….Commercial Crops,100,119.6,117,137.5,193.6,210.7
..REGION IV-A (CALABARZON),..LIVESTOCK AND POULTRY,100,95.8,107.1,145.2,172.3,160.2
..REGION IV-A (CALABARZON),….Livestock,100,88.9,110.9,165.2,157.4,137.2
..REGION IV-A (CALABARZON),….Poultry,100,108.7,99.7,112.9,128.6,125.9
..REGION IV-A (CALABARZON),..FISHERY,100,95.9,76.9,74.1,74.9,79.3
..REGION IV-A (CALABARZON),….Aquaculture,100,91.6,85.1,78.4,75,84.5
..REGION IV-A (CALABARZON),….Commercial Fishery,100,102.9,99.4,107.6,120.6,115.6
..REGION IV-A (CALABARZON),….Inland Municipal Fishery,100,91.9,91.9,88.8,87.6,88.9
..REGION IV-A (CALABARZON),….Marine Municipal Fishery,100,105.7,103.8,108.4,111.7,107.8
..MIMAROPA,AGRICULTURE,100,87.2,68,67.8,75,78.3
..MIMAROPA,..CROPS,100,81.3,60.1,63.7,61.7,68.7
..MIMAROPA,….Cereals,100,87.7,85.8,86.6,87.8,96.3
..MIMAROPA,….Rootcrops,100,116.3,124,134.7,144.5,151.3
..MIMAROPA,….Beans and Legumes,100,100.4,103.6,109.4,121.1,129.2
..MIMAROPA,….Condiments,100,49.1,90.9,104.3,56.8,104.7
..MIMAROPA,….Fruit Vegetables,100,100.3,102.4,105.9,110.4,111.7
..MIMAROPA,….Leafy Vegetables,100,94.3,95.4,102.3,103,112
..MIMAROPA,….Fruits,100,103.6,106.9,120.1,109.7,100.9
..MIMAROPA,….Commercial Crops,100,66.9,58.8,60.4,64.5,64.9
..MIMAROPA,..LIVESTOCK AND POULTRY,100,93.1,95.4,137.3,188.7,168
..MIMAROPA,….Livestock,100,91.9,101.3,137.2,148.7,131.3
..MIMAROPA,….Poultry,100,104.6,109,119.2,137.3,129.7
..MIMAROPA,..FISHERY,100,102.7,79.7,47.7,65.5,60.3
..MIMAROPA,….Aquaculture,100,123.7,84.5,99,169.8,101.9
..MIMAROPA,….Commercial Fishery,100,92.5,78.5,75.2,89.8,86.9
..MIMAROPA,….Inland Municipal Fishery,100,117.4,130.5,125.5,119,105.4
..MIMAROPA,….Marine Municipal Fishery,100,94.4,83.2,58.3,62.2,66.2
..REGION V (BICOL REGION),AGRICULTURE,100,91.1,79.6,86.9,102.8,99.3
..REGION V (BICOL REGION),..CROPS,100,88.8,77.4,84,94.6,95.7
..REGION V (BICOL REGION),….Cereals,100,84.9,84.4,86,97.3,106.6
