Region,Commodity,2019 Average (Jan-Dec),2020 Average (Jan-Dec),2021 Average (Jan-Dec),2022 Average (Jan-Dec),2023 Average (Jan-Dec)
PHILIPPINES,AGRICULTURE,-5.6,0.7,8.7,17.9,9.6
PHILIPPINES,..CROPS,-6.9,1,6.3,20.8,13.5
PHILIPPINES,….Cereals,-15.1,-2.5,5.3,8.7,10.9
PHILIPPINES,….Rootcrops,15,4.2,-16.6,6.4,17.4
PHILIPPINES,….Beans and Legumes,-5.2,0.6,-2.7,3.4,8.6
PHILIPPINES,….Condiments,-27.5,34.1,12.1,-20.6,68.8
PHILIPPINES,….Fruit Vegetables,-14.7,-3.4,-7.3,2.9,-10.3
PHILIPPINES,….Leafy Vegetables,-25.4,-10.9,0.8,-20.7,19.2
PHILIPPINES,….Fruits,2.1,3.5,-3.8,-3.4,4
PHILIPPINES,….Commercial Crops,-2.6,1.2,9.7,34.7,15.9
PHILIPPINES,..LIVESTOCK AND POULTRY,-5.5,4.9,25.5,11.6,-1.2
PHILIPPINES,….Livestock,-7.2,7.4,32,8.8,-1.3
PHILIPPINES,….Poultry,-0.5,-1.5,13.8,17.6,-1.1
PHILIPPINES,..FISHERY,2.4,-5.9,2.6,8.5,0.9
PHILIPPINES,….Aquaculture,0.9,-3.7,2.9,5.6,4
PHILIPPINES,….Commercial Fishery,7.7,-8.7,9.4,9.7,2.4
PHILIPPINES,….Inland Municipal Fishery,-2.5,-2.8,-3.4,6.6,-19
PHILIPPINES,….Marine Municipal Fishery,1.6,-6.8,-0.8,11,0.3
..CORDILLERA ADMINISTRATIVE REGION (CAR),AGRICULTURE,-14.5,-24.7,-10.6,17,10.8
..CORDILLERA ADMINISTRATIVE REGION (CAR),..CROPS,-17.7,-28.9,-15.9,13.2,12
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Cereals,-14.4,-2.2,9.7,5.4,9.8
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Rootcrops,-5.4,-14.4,-10.6,9,7.6
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Beans and Legumes,3.2,-9.2,-1.4,5,11.9
..CORDILLERA ADMINISTRATIVE REGION (CAR),….Condiments,0.9,-12.8,-20.6,35.9,-35.1
