Geolocation,Commodity,Weights
PHILIPPINES,01.1.1.12 - Rice,8.86892629
PHILIPPINES,01.1.1.16 - Corn,0.48260926
PHILIPPINES,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",2.97109942
PHILIPPINES,01.1.6 - Fruits and nuts (ND),1.49371556
PHILIPPINES,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",2.79828971
PHILIPPINES,01.1.8.1 - Cane and beet sugar (ND),0.46449084
..National Capital Region (NCR),01.1.1.12 - Rice,1.04428555
..National Capital Region (NCR),01.1.1.16 - Corn,0.0108341
..National Capital Region (NCR),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.52997661
..National Capital Region (NCR),01.1.6 - Fruits and nuts (ND),0.27221149
..National Capital Region (NCR),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.45074732
..National Capital Region (NCR),01.1.8.1 - Cane and beet sugar (ND),0.04829936
..Areas Outside National Capital Region (NCR),01.1.1.12 - Rice,7.82464074
..Areas Outside National Capital Region (NCR),01.1.1.16 - Corn,0.47177516
..Areas Outside National Capital Region (NCR),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",2.44112281
..Areas Outside National Capital Region (NCR),01.1.6 - Fruits and nuts (ND),1.22150407
..Areas Outside National Capital Region (NCR),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",2.34754239
..Areas Outside National Capital Region (NCR),01.1.8.1 - Cane and beet sugar (ND),0.41619148
..Cordillera Administrative Region (CAR),01.1.1.12 - Rice,0.15520651
..Cordillera Administrative Region (CAR),01.1.1.16 - Corn,0.00268405
..Cordillera Administrative Region (CAR),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.04448497
..Cordillera Administrative Region (CAR),01.1.6 - Fruits and nuts (ND),0.02906192
..Cordillera Administrative Region (CAR),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.06086115
..Cordillera Administrative Region (CAR),01.1.8.1 - Cane and beet sugar (ND),0.00920588
....Abra,01.1.1.12 - Rice,0.02339265
....Abra,01.1.1.16 - Corn,0.00024566
....Abra,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00536756
....Abra,01.1.6 - Fruits and nuts (ND),0.00245998
....Abra,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00770579
....Abra,01.1.8.1 - Cane and beet sugar (ND),0.00107946
....Benguet,01.1.1.12 - Rice,0.03312363
....Benguet,01.1.1.16 - Corn,0.00073261
....Benguet,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01173617
....Benguet,01.1.6 - Fruits and nuts (ND),0.00862821
....Benguet,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01530426
....Benguet,01.1.8.1 - Cane and beet sugar (ND),0.00240984
....Ifugao,01.1.1.12 - Rice,0.02024693
....Ifugao,01.1.1.16 - Corn,0.0004036
....Ifugao,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00345715
....Ifugao,01.1.6 - Fruits and nuts (ND),0.00325461
....Ifugao,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00737364
....Ifugao,01.1.8.1 - Cane and beet sugar (ND),0.00080343
....Kalinga,01.1.1.12 - Rice,0.02709892
....Kalinga,01.1.1.16 - Corn,0.00022141
....Kalinga,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00537486
....Kalinga,01.1.6 - Fruits and nuts (ND),0.00249362
....Kalinga,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00746645
....Kalinga,01.1.8.1 - Cane and beet sugar (ND),0.00164689
....Mountain Province,01.1.1.12 - Rice,0.01345344
....Mountain Province,01.1.1.16 - Corn,0.00055919
....Mountain Province,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00424205
....Mountain Province,01.1.6 - Fruits and nuts (ND),0.00286883
....Mountain Province,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00528594
....Mountain Province,01.1.8.1 - Cane and beet sugar (ND),0.00079618
....Apayao,01.1.1.12 - Rice,0.0135488
....Apayao,01.1.1.16 - Corn,9.263e-05
....Apayao,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.00249198
....Apayao,01.1.6 - Fruits and nuts (ND),0.00127476
....Apayao,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.00381426
....Apayao,01.1.8.1 - Cane and beet sugar (ND),0.00081673
....City of Baguio,01.1.1.12 - Rice,0.02434214
....City of Baguio,01.1.1.16 - Corn,0.00042895
....City of Baguio,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.0118152
....City of Baguio,01.1.6 - Fruits and nuts (ND),0.00808191
....City of Baguio,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01391081
....City of Baguio,01.1.8.1 - Cane and beet sugar (ND),0.00165335
..Region I (Ilocos Region),01.1.1.12 - Rice,0.41505704
..Region I (Ilocos Region),01.1.1.16 - Corn,0.00465081
..Region I (Ilocos Region),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.12114946
..Region I (Ilocos Region),01.1.6 - Fruits and nuts (ND),0.06107642
..Region I (Ilocos Region),"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.12054035
..Region I (Ilocos Region),01.1.8.1 - Cane and beet sugar (ND),0.01929244
....Ilocos Norte,01.1.1.12 - Rice,0.04916543
....Ilocos Norte,01.1.1.16 - Corn,0.00031962
....Ilocos Norte,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01477552
....Ilocos Norte,01.1.6 - Fruits and nuts (ND),0.00662078
....Ilocos Norte,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01747208
....Ilocos Norte,01.1.8.1 - Cane and beet sugar (ND),0.00250327
....Ilocos Sur,01.1.1.12 - Rice,0.05631343
....Ilocos Sur,01.1.1.16 - Corn,0.0004146
....Ilocos Sur,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01345681
....Ilocos Sur,01.1.6 - Fruits and nuts (ND),0.00643973
....Ilocos Sur,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.01598592
....Ilocos Sur,01.1.8.1 - Cane and beet sugar (ND),0.00246067
....La Union,01.1.1.12 - Rice,0.0647305
....La Union,01.1.1.16 - Corn,0.00076976
....La Union,"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",0.01927099
....La Union,01.1.6 - Fruits and nuts (ND),0.01048744
....La Union,"01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.0182157
....La Union,01.1.8.1 - Cane and beet sugar (ND),0.00349982
....Pangasinan,01.1.1.12 - Rice,0.24484768
....Pangasinan,01.1.1.16 - Corn,0.00314683
