"Consumer Price Index for All Income Households by Commodity Group (2018=100): January 2018 - March 2024"

"Geolocation","Commodity Description","2018 Jan","2018 Feb","2018 Mar","2018 Apr","2018 May","2018 Jun","2018 Jul","2018 Aug","2018 Sep","2018 Oct","2018 Nov","2018 Dec","2018 Ave","2019 Jan","2019 Feb","2019 Mar","2019 Apr","2019 May","2019 Jun","2019 Jul","2019 Aug","2019 Sep","2019 Oct","2019 Nov","2019 Dec","2019 Ave","2020 Jan","2020 Feb","2020 Mar","2020 Apr","2020 May","2020 Jun","2020 Jul","2020 Aug","2020 Sep","2020 Oct","2020 Nov","2020 Dec","2020 Ave","2021 Jan","2021 Feb","2021 Mar","2021 Apr","2021 May","2021 Jun","2021 Jul","2021 Aug","2021 Sep","2021 Oct","2021 Nov","2021 Dec","2021 Ave","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2022 Ave","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"PHILIPPINES","01.1.5 - Oils and fats (ND)",98.3000000000000,98.6000000000000,98.9000000000000,99.2000000000000,99.3000000000000,99.5000000000000,100.0000000000000,100.5000000000000,101.1000000000000,101.5000000000000,101.5000000000000,101.6000000000000,100.0000000000000,101.6000000000000,101.6000000000000,101.6000000000000,101.4000000000000,101.3000000000000,101.3000000000000,101.6000000000000,101.7000000000000,101.7000000000000,101.9000000000000,101.9000000000000,102.0000000000000,101.6333333333330,102.3000000000000,102.7000000000000,103.1000000000000,103.4000000000000,103.7000000000000,104.0000000000000,104.4000000000000,104.6000000000000,104.6000000000000,104.7000000000000,104.8000000000000,105.1000000000000,103.9500000000000,105.8000000000000,106.7000000000000,108.4000000000000,108.7000000000000,109.2000000000000,109.7000000000000,110.2000000000000,110.5000000000000,111.1000000000000,111.5000000000000,112.5000000000000,113.5000000000000,109.8166666666670,114.8000000000000,116.2000000000000,118.3000000000000,121.4000000000000,124.0000000000000,126.7000000000000,130.5000000000000,132.2000000000000,133.4000000000000,134.2000000000000,134.8000000000000,135.3000000000000,126.8166666666670,136.0000000000000,136.3000000000000,135.7000000000000,135.6000000000000,134.5000000000000,133.8000000000000,133.1000000000000,132.2000000000000,131.7000000000000,130.9000000000000,130.6000000000000,130.4000000000000,133.4000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",98.2980546489235,98.5852593479061,98.8176455404925,99.1048894512304,99.2054025058194,99.3526989535468,99.9601906233850,100.5214427850410,101.1430242319530,101.5595213588600,101.6771262614690,101.7747442913740,100.0000000000000,101.6682517706860,101.5436266141660,101.4852336597870,101.2716500558010,100.9371773048420,101.0199738504930,101.4172232083120,101.4407028504420,101.3754442108590,101.5107627906450,101.5222494848420,101.6442796069670,101.4030479506530,101.9976485967830,102.4974419574520,103.0453705045750,103.3733765068530,103.7274739486920,104.0740691430620,104.4893353833520,104.6250857933290,104.6652528914280,104.7967468808470,104.9475793123210,105.3478278456560,103.9656007303630,106.2651408839430,107.4381304704190,109.6622911867190,110.0207999213420,110.4594297234450,111.0075836501030,111.5507131996580,111.8787359469740,112.4174224010050,112.9324110030600,114.1854257519510,115.5250334735910,111.1119264676840,117.0767307661660,118.7850468752680,121.4529583424900,125.5112719786200,128.6234435342360,131.9416584524460,136.9053894489540,138.4907942264200,139.7083444743790,140.4298628957160,140.9471795738640,141.4085485248450,131.7734357577840,142.2734368866510,142.2107963436320,141.5678672515450,141.3132713777540,140.1448419368320,139.3811232549400,138.5889826825120,137.6052390346840,136.8892174443460,136.0174808336300,135.6044269820180,135.4771993946980,138.9228236186040
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",96.7687599738686,97.8943344869754,98.6072630937265,98.9712540761046,99.6422543572706,99.5886505116928,100.4033636416780,100.8970296059040,101.2434266493930,101.6499645286600,102.0017642864230,102.3319347883030,100.0000000000000,102.8405491301170,103.2991855078620,104.0134998081720,104.4150369673650,104.5376851457420,104.5952316423220,105.0584976199690,105.2425689419430,105.6867440719900,106.4321812425870,106.6913066247790,106.8303151448020,104.9702334873040,107.0060917248190,107.3543729566530,107.4269305726900,107.6641155774240,108.1021449671570,108.2566126805410,108.5173380993700,108.7114685595060,108.7633248588740,108.8016118988370,109.0126294171580,109.0985412156700,108.2262652107250,109.2024398640990,109.3506917252450,109.4363274952040,109.5313694514330,110.1363386711680,111.1532098797470,111.1575835622970,111.4037588741180,111.4394849100920,111.6329821662910,111.6818077542820,111.5934435683460,110.6432864935270,111.9624470708440,112.2307990519470,112.4024650748980,112.3802558007420,113.2850956294040,114.2223985505770,114.7719308927450,116.5421264501010,118.0431766294630,119.1435907661400,120.3175128520050,121.2009502756310,115.5418957537080,122.8620531992170,124.7978081388730,125.8243679466510,126.0481891883790,125.7147923071110,125.4882669510210,125.4789363768430,125.1146515121480,125.2974713453140,125.1902299512900,125.2685056797250,124.8881237422270,125.1644496949000
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",98.5958611859759,98.9914016072662,99.4985332768832,99.6168560072067,99.6791962486152,99.8091149784139,100.1092421377780,100.2312247655000,100.6062141140720,100.8658129277940,100.8623228389910,101.1342199115050,100.0000000000000,101.1742655032550,101.1782448821950,101.4444190894570,101.5095751255630,101.6083247502720,101.6110772678190,101.7803662125250,101.8946907371950,101.9753650772940,102.0463936752410,102.0222648592970,102.0437345649380,101.6907268120880,102.2864782265890,102.3760885248880,102.4271674539670,102.4654253472260,102.5537657106080,102.6956876379650,102.8389275419810,102.9882294868940,103.0382539959790,103.0784408256020,103.0986710631730,103.1298593157660,102.7480829275530,103.2021898920520,103.3837958841470,103.1744886650720,103.3943737851270,103.8477253691910,104.2585953502510,104.7650033673330,105.1261778099870,105.4578212737700,105.7855219033930,106.0043443484760,106.1525646436680,104.5460501910390,106.7516898917130,106.8957588405620,107.1014278458100,107.4378756204970,108.3838388229240,109.1494590451560,109.5338175474050,111.4043835830680,112.5230445207590,113.5550358579930,114.3357608189730,114.7549865913360,110.1522565821830,114.9720600136340,115.6870345681870,115.3817669509620,115.2959045114930,114.3911785546490,113.9410735688890,113.5081302887860,112.8537520238280,112.6900112171220,112.4961400667800,112.2455879122830,112.0371703896720,113.7916508388570
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",102.3283860544000,103.2801811484100,101.9559278512910,101.3786622500100,101.7330835863180,101.8805399039580,100.6576011155380,99.0194272755261,96.9210210545867,96.6977814936256,97.3113865093016,96.8360017570357,100.0000000000000,93.3814814994751,93.1186298988659,92.0741925727384,90.8225056577276,92.0132410450672,91.8086706583110,91.5011626662515,90.7423023668202,90.5181849429808,91.8467487544427,93.0135296997614,92.5540034824021,91.9495544370703,92.4088575587291,93.6757574252427,93.9889844650034,95.5356955700728,96.6764867744300,96.6232460654025,93.9073128386750,94.0913967646403,92.7444145163690,90.6870935528085,91.4345002746184,92.4014165794718,93.6812635321219,92.1328060990040,94.8141886144962,94.8416492142319,95.1385820593683,96.4345836959617,98.7695018661427,101.9818007165550,101.1061564067720,101.6289871192200,102.3570001983210,102.6818440552300,102.4241668927730,98.6926055781729,102.4103141053710,102.5700280905660,103.9578186334540,104.8501294848590,106.0683575086160,107.4850828771760,110.1754619923790,112.8446045119490,116.5593946291760,118.0011028859020,119.2732890828490,118.5152607977290,110.2259037166690,116.8176647433520,117.1707183007060,116.6053229807730,115.2478216409670,113.4233480296270,111.7350071760360,112.3584675324700,112.9855765265670,113.5273719833100,112.4147076212550,113.1173199483310,111.4890098483240,113.9076946943100
"..National Capital Region (NCR)","01.1.5 - Oils and fats (ND)",98.8000000000000,99.3000000000000,99.6000000000000,99.7000000000000,99.8000000000000,99.8000000000000,99.9000000000000,100.2000000000000,100.4000000000000,100.8000000000000,100.8000000000000,100.9000000000000,100.0000000000000,100.9000000000000,100.7000000000000,100.3000000000000,99.4000000000000,98.4000000000000,98.3000000000000,98.3000000000000,98.3000000000000,98.2000000000000,98.2000000000000,98.2000000000000,98.2000000000000,98.9500000000000,98.3000000000000,98.9000000000000,99.7000000000000,99.6000000000000,99.7000000000000,99.8000000000000,99.9000000000000,99.9000000000000,100.1000000000000,100.5000000000000,100.7000000000000,101.1000000000000,99.8500000000000,101.9000000000000,102.4000000000000,102.9000000000000,103.0000000000000,103.4000000000000,104.0000000000000,104.6000000000000,104.9000000000000,105.2000000000000,105.8000000000000,106.3000000000000,107.0000000000000,104.2833333333330,108.4000000000000,109.0000000000000,110.7000000000000,113.6000000000000,117.2000000000000,120.5000000000000,124.0000000000000,126.9000000000000,128.9000000000000,130.3000000000000,130.8000000000000,131.0000000000000,120.9416666666670,130.9000000000000,131.7000000000000,131.5000000000000,131.5000000000000,130.6000000000000,129.7000000000000,128.7000000000000,127.8000000000000,127.3000000000000,126.7000000000000,125.5000000000000,124.7000000000000,128.8833333333330
"..National Capital Region (NCR)","01.1.5.1 - Vegetable oils (ND)",99.0621132657719,99.4073171073057,99.7743682783271,99.8215915099586,99.8324875288616,99.8134855120416,99.7645747349202,99.9511690586328,100.3401888670830,100.7822714760040,100.6911386256340,100.7592940354590,100.0000000000000,100.6934710709730,100.5941662064250,99.9857320055917,98.3764320131439,96.8603654250999,96.7922653069566,96.7726844065477,96.6016509924156,96.3500890462142,96.3269350060455,96.4171634296999,96.2114519881889,97.6652005747752,96.1507300408704,96.9362843581733,98.1404033204029,98.0247544275011,98.1005136924928,98.1916465428630,98.2324405974889,98.2849905306301,98.6467533602818,99.1165059359868,99.3833969004633,99.9887155371843,98.2664279370282,101.2158779562190,101.9507019183910,102.7276926621290,103.0027556407830,103.2570415917100,103.5051962731970,104.3595847426990,104.6159407632730,105.0256381296850,105.6803345639830,106.4574258448120,107.4630206134290,104.1051008916920,109.5822651143800,110.6921323039880,113.1706564848070,117.4851697203200,122.2671860621420,126.9843216530100,132.0803768936170,134.6744087305940,136.9322515198520,138.4236964526460,138.9748928320070,139.0895518830040,126.6964091375300,138.7519181744040,138.7699631092080,138.5282077218040,138.3954052338310,137.6481612914990,136.7851709164340,135.5285999217730,134.3200165568930,133.5488210554750,132.7672031515930,131.0307422986930,130.0497810846910,135.5103325430250
"..National Capital Region (NCR)","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",96.6996686476795,97.9145071507903,98.4711911848011,99.0054145881104,99.5803585042503,99.6794361946483,100.1026131959540,101.0644126352820,101.1649549475890,101.5169791762860,102.2125949549220,102.5878688196870,100.0000000000000,103.0442144689560,103.5030679908970,103.9047835139350,104.4070795298340,104.1918862777770,104.1648509799430,104.2560280772640,104.4175184264850,105.0130372793310,105.3384476641310,105.5127952782460,105.4791434412780,104.4360710773400,105.8009909791980,105.8925957602870,105.7005587252900,105.7436093390820,105.8415654595220,105.8848953206330,105.9699099547640,106.0312871149230,106.0312871149230,106.0798808584790,106.2037666304130,106.1752687141740,105.9463013309740,106.1752687141740,106.2179446238510,106.2677760449120,106.0704664939540,106.9130671616080,108.6201628011200,108.4843811727520,108.8052306924100,108.7183200532620,108.8618816853690,108.8599589565530,108.7551181334660,107.7291313777860,108.7201330172650,108.5821740503410,108.5115547014710,108.1292384808020,109.1831331540030,110.4898739008820,111.1102580425170,112.8300099912930,114.5732886482140,115.8745428086850,116.6747338528700,117.1392312829120,111.8181809942710,118.8248237527320,122.3073376701610,124.0910040613690,124.4019945146520,124.0751586861850,123.4681591399830,123.2645985570370,123.0234026295990,123.0673257686480,122.8103093039830,122.9576410831870,122.4396304518270,122.8942821349470
"..National Capital Region (NCR)","01.1.5.3 - Margarine and similar preparations (ND)",99.3335671694143,99.7220948115371,99.8192267220678,99.7220948115371,99.7868494185576,99.8516040255781,100.2725089712110,100.3048862747220,100.1106224536600,100.3048862747220,100.3696408817420,100.4020181852520,100.0000000000000,100.3696408817420,99.4954536869655,99.3983217764347,99.5925855974962,99.6249629010064,99.4954536869655,99.5278309904757,99.8192267220679,99.9811132396191,99.8839813290884,99.4954536869655,100.2725089712110,99.7463777891698,100.6610366133340,100.8876777379060,100.9848096484370,100.9848096484370,101.1143188624780,101.1790734694980,101.2762053800290,101.2438280765180,101.2762053800290,101.3085826835390,101.4380918975800,101.5352238081110,101.1574886004910,101.5676011116210,101.5352238081110,101.3085826835390,101.3085826835390,101.9885060572540,102.7979386450100,103.0893343766020,103.3483528046840,103.7692577503170,104.5139357310530,104.5139357310530,104.5463130345630,102.8572970347790,104.4815584275420,104.3520492135010,104.4491811240320,105.1291044977470,106.4889512451770,106.9098561908100,107.3955157434640,111.4750559857540,112.9967892507350,114.0976175700840,114.5185225157170,114.5832771227370,108.9064565739420,114.4537679086960,116.0402557806980,114.9394274613500,114.8422955508190,113.1262984647760,112.1873566629790,111.6045651997950,111.2807921646930,111.0541510401210,110.8598872190600,110.3742276664060,110.1475865418340,112.5758843051020
"..National Capital Region (NCR)","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
