"Geolocation","Commodity Description","2020 Dec"
"PHILIPPINES","0 - ALL ITEMS",108.8000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",109.3000000000000
"PHILIPPINES","01.1 - FOOD",109.9000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",107.1000000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",107.1398608610370
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",106.6171426146020
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",106.9430492570740
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",108.1345725950630
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",105.7865730648190
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",110.5094828696470
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",108.4000000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",107.9234707257400
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",115.4666457915590
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",107.7604771326000
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",113.3000000000000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",118.8476330330830
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",107.4419943464970
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",114.0228097739330
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",115.5853774060140
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",107.1000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",110.6067209149300
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",102.9275647961470
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",101.7322048144470
"PHILIPPINES","01.1.4.5 - Cheese (ND)",105.9539088164190
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",103.2201595196560
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",106.0035011436550
"PHILIPPINES","01.1.4.8 - Eggs (ND)",112.5761280917410
"PHILIPPINES","01.1.5 - Oils and fats (ND)",105.1000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",105.3478278456560
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",109.0985412156700
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",103.1298593157660
