"Geolocation","Commodity Description","2020 Nov"
"PHILIPPINES","0 - ALL ITEMS",108.2000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",108.1000000000000
"PHILIPPINES","01.1 - FOOD",108.5000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",107.0000000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",107.0530573623230
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",106.5346497328950
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",106.8509175661290
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",108.1392749153210
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",105.7668555091590
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",110.3200768636730
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",107.5000000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",106.7171473858290
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",112.6319698236990
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",107.0928017595860
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",111.5000000000000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",117.2456189277530
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",107.4299510141470
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",110.2824264126010
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",114.7748820826020
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",107.0000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",110.5594967130880
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",102.9107151972970
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",101.6554376624030
"PHILIPPINES","01.1.4.5 - Cheese (ND)",106.0676276023210
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",103.1097549084140
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",106.0858738436260
"PHILIPPINES","01.1.4.8 - Eggs (ND)",112.2719279481500
"PHILIPPINES","01.1.5 - Oils and fats (ND)",104.8000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",104.9475793123210
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",109.0126294171580
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",103.0986710631730
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",91.4345002746184
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",113.5000000000000
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",115.1271575378600
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",131.5324288217740
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",115.0157325552200
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",115.9075291965750
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",107.7232065206230
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",108.4510128458890
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",117.2000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",118.4807898515560
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",128.4648365175070
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",115.1012012219840
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",109.3106896493290
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",102.9000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",98.8153521091443
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",105.7368577362460
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",109.5106780573400
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",108.3326465078030
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",104.9637216181530
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",104.0327041564000
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",110.4000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",102.3270790267140
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",109.6930300650110
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",126.3736298472010
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",110.3369101853700
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",106.8000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",115.5000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",115.4838048691550
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",104.6000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",104.5984497776680
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",104.9000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",104.9707797145410
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",110.1000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",110.1316466569620
"PHILIPPINES","01.2.5 - Water (ND)",103.6000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",103.6098471589320
"PHILIPPINES","01.2.6 - Soft drinks (ND)",108.3000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",108.3466818009980
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",114.0000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",113.9797049138520
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",134.5000000000000
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",115.7000000000000
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",116.7000000000000
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",116.6103661548450
"PHILIPPINES","02.1.2 - Wine (ND)",110.6000000000000
"PHILIPPINES","02.1.2.1 - Wine from grapes (ND)",109.1351336147170
"PHILIPPINES","02.1.2.2 - Wine from other sources (ND)",110.9374024428880
"PHILIPPINES","02.1.3 - Beer (ND)",115.2000000000000
"PHILIPPINES","02.1.3.0 - Beer (ND)",115.1796658651950
"PHILIPPINES","02.3 - TOBACCO",147.5000000000000
"PHILIPPINES","02.3.0 - Tobacco (ND)",147.5000000000000
"PHILIPPINES","02.3.0.1 - Cigarettes (ND)",147.6720208156070
"PHILIPPINES","02.3.0.2 - Cigars (ND)",143.5373599150890
"PHILIPPINES","02.3.0.9 - Other tobacco products (ND)",127.8865275676720
"PHILIPPINES","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",122.4000000000000
"PHILIPPINES","02.4.0 - Other vegetable-based tobacco products (ND)",122.4000000000000
"PHILIPPINES","02.4.0.0 - Other vegetable-based tobacco products (ND)",122.4748614916370
"PHILIPPINES","02.900 - NON-FOOD",107.2000000000000
"PHILIPPINES","03 - CLOTHING AND FOOTWEAR",105.5000000000000
"PHILIPPINES","03.1 - CLOTHING",105.6000000000000
"PHILIPPINES","03.1.1 - Clothing materials (SD)",104.9000000000000
"PHILIPPINES","03.1.1.0 - Clothing materials (SD)",104.8587922933820
"PHILIPPINES","03.1.2 - Garments (SD)",105.4000000000000
"PHILIPPINES","03.1.2.1 - Garments for men or boys (SD)",105.4055503614760
"PHILIPPINES","03.1.2.2 - Garments for women or girls (SD)",105.3620515179210
"PHILIPPINES","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",105.9346585982030
"PHILIPPINES","03.1.2.4 - School uniforms (SD)",107.3895208687960
"PHILIPPINES","03.1.3 - Other articles of clothing and clothing accessories (SD)",106.8000000000000
"PHILIPPINES","03.1.3.1 - Other articles of clothing (SD)",106.2324723337090
"PHILIPPINES","03.1.3.2 - Clothing accessories (SD)",110.7178444674170
"PHILIPPINES","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",111.7000000000000
"PHILIPPINES","03.1.4.1 - Cleaning of clothing (S)",110.7392347312720
"PHILIPPINES","03.1.4.2 - Repair, tailoring and hire of clothing (S)",114.1946427225410
"PHILIPPINES","03.2 - FOOTWEAR",105.5000000000000
"PHILIPPINES","03.2.1 - Shoes and other footwear (SD)",105.5000000000000
"PHILIPPINES","03.2.1.1 - Footwear for men (SD)",105.6947285963330
"PHILIPPINES","03.2.1.2 - Footwear for women (SD)",104.6300336547550
"PHILIPPINES","03.2.1.3 - Footwear for infants and children (SD)",106.1746432090380
"PHILIPPINES","03.2.2 - Cleaning, repair, and hire of footwear (S)",109.6000000000000
"PHILIPPINES","03.2.2.0 - Cleaning, repair, and hire of footwear (S)",109.5931539077840
"PHILIPPINES","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",106.9000000000000
"PHILIPPINES","04.1 - ACTUAL RENTALS FOR HOUSING",106.5000000000000
"PHILIPPINES","04.1.1 - Actual rentals paid by tenants for main residence (S)",106.5000000000000
"PHILIPPINES","04.1.1.0 - Actual rentals paid by tenants for main residence (S)",106.5140440556370
"PHILIPPINES","04.3 - MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING",106.6000000000000
"PHILIPPINES","04.3.1 - Security equipment and materials for the maintenance and repair of the dwelling (ND)",105.2000000000000
"PHILIPPINES","04.3.1.1 - Materials for the maintenance and repair of the dwelling (ND)",105.2744126755240
"PHILIPPINES","04.3.2 - Services for the maintenance, repair and security of the dwelling (S)",111.3000000000000
"PHILIPPINES","04.3.2.0 - Services for the maintenance, repair and security of the dwelling (S)",111.2947174237900
"PHILIPPINES","04.4 - WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING",105.1000000000000
"PHILIPPINES","04.4.1 - Water supply (ND)",105.1000000000000
"PHILIPPINES","04.4.1.1 - Water supply through network systems (ND)",105.1295848604530
"PHILIPPINES","04.5 - ELECTRICITY, GAS AND OTHER FUELS",114.9000000000000
"PHILIPPINES","04.5.3 - Liquid fuels (ND)",79.6000000000000
"PHILIPPINES","04.5.3.0 - Liquid fuels (ND)",79.5709681443760
"PHILIPPINES","04.5.4 - Solid fuels (ND)",116.6000000000000
"PHILIPPINES","04.5.4.2 - Wood fuel, including pellets and briquettes (ND)",116.5218615270810
"PHILIPPINES","04.5.4.3 - Charcoal (ND)",116.7927937456330
"PHILIPPINES","05 - FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",107.0000000000000
"PHILIPPINES","05.1 - FURNITURE, FURNISHINGS, AND LOOSE CARPETS",104.3000000000000
"PHILIPPINES","05.1.1 - Furniture, furnishings and loose carpets (D)",104.3000000000000
"PHILIPPINES","05.1.1.1 - Household furniture (D)",104.0943994538960
"PHILIPPINES","05.1.1.3 - Lighting equipment (D)",107.3501051354940
"PHILIPPINES","05.1.1.4 - Furnishings, loose carpets and rugs (D)",104.7353277030370
"PHILIPPINES","05.2 - HOUSEHOLD TEXTILES",103.7000000000000
"PHILIPPINES","05.2.1 - Household textiles (SD)",103.7000000000000
"PHILIPPINES","05.2.1.1 - Furnishing fabrics and curtains (SD)",102.6155889371900
"PHILIPPINES","05.2.1.2 - Bed linen and bedding (SD)",104.0867760113290
"PHILIPPINES","05.2.1.3 - Table linen and bathroom linen (SD)",104.0010281439700
