"Geolocation","Commodity Description","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2022 Ave"
"....City of Lucena (Capital)","0 - ALL ITEMS",109.3000000000000,109.2000000000000,109.2000000000000,109.4000000000000,109.3000000000000,109.7000000000000,110.9000000000000,112.0000000000000,112.6000000000000,113.9000000000000,114.3000000000000,115.0000000000000,111.2333333333330
"....City of Lucena (Capital)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",111.0000000000000,110.5000000000000,110.0000000000000,110.6000000000000,110.3000000000000,110.8000000000000,110.9000000000000,112.2000000000000,113.0000000000000,114.4000000000000,116.7000000000000,117.8000000000000,112.3500000000000
"....City of Lucena (Capital)","01.1 - FOOD",113.2000000000000,112.5000000000000,111.9000000000000,112.7000000000000,112.3000000000000,112.7000000000000,112.8000000000000,114.4000000000000,115.3000000000000,116.9000000000000,119.8000000000000,121.2000000000000,114.6416666666670
"....City of Lucena (Capital)","01.1.1 - Cereals and cereal products (ND)",112.8000000000000,112.9000000000000,113.2000000000000,113.4000000000000,113.4000000000000,114.2000000000000,114.5000000000000,115.1000000000000,115.4000000000000,116.0000000000000,116.7000000000000,116.9000000000000,114.5416666666670
"....City of Lucena (Capital)","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",112.7615454909680,112.8657164929800,113.1759500178770,113.3668870227130,113.4245521750670,114.1503285763340,114.4832224715810,115.0661207610230,115.4204950552840,116.0139633367700,116.7163079964880,116.8753476586140,114.5267030879750
"....City of Lucena (Capital)","01.1.1.2 - Flour of cereals (ND)",106.6890845831140,108.4557804023460,110.1667209881790,110.1667209881790,110.1667209881790,111.3889555001270,111.9046524607820,111.9046524607820,111.9046524607820,111.9046524607820,116.9054575084120,116.9054575084120,111.5386256925060
"....City of Lucena (Capital)","01.1.1.3 - Bread and bakery products (ND)",113.7719790209510,113.7719790209510,114.1017365391540,114.1017365391540,114.1017365391540,114.5067271192300,114.5067271192300,115.0649476344530,115.0649476344530,115.4336521268840,115.4336521268840,115.4336521268840,114.6077894622820
"....City of Lucena (Capital)","01.1.1.4 - Breakfast cereals (ND)",116.0955945868130,116.0955945868130,116.0955945868130,116.0955945868130,116.0955945868130,116.0955945868130,116.0955945868130,116.7693636625400,116.7693636625400,116.7693636625400,116.7693636625400,116.7693636625400,116.3763317016990
"....City of Lucena (Capital)","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",112.3906067611290,112.6832453764690,113.0235283068840,113.9757649973460,114.3009288001030,115.3487767798130,116.2574388523540,116.5204015499020,118.0568069624550,120.0214452161520,123.0573773998490,123.9541744985330,116.6325412917490
"....City of Lucena (Capital)","01.1.1.9 - Other cereal and grain mill products (ND)",107.9661366288140,108.1395288905230,108.1395288905230,108.3256565481090,108.3256565481090,110.4246133543030,111.7952627426150,113.0668934637360,113.7577813102960,113.7577813102960,114.3833825813020,114.3833825813020,111.0388004041610
"....City of Lucena (Capital)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",105.6000000000000,105.6000000000000,105.9000000000000,106.3000000000000,106.5000000000000,107.0000000000000,108.8000000000000,110.0000000000000,110.2000000000000,111.1000000000000,111.2000000000000,111.2000000000000,108.2833333333330
"....City of Lucena (Capital)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Lucena (Capital)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",132.4218842818580,130.4745671289350,130.0885454435950,132.6484796847930,134.4237376476940,134.4237376476940,134.4237376476940,131.6691431432850,128.4567038719320,128.4567038719320,127.1922841662500,127.0086156892140,130.9740116854060
"....City of Lucena (Capital)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",103.3663030256600,103.4725793484230,103.8352404862750,104.0927164188770,104.1758929026200,104.7140755315010,106.6551163878700,108.2010776515140,108.6180328597320,109.6080662751160,109.8272876947490,109.8807723075330,106.3705967408230
"....City of Lucena (Capital)","01.1.3 - Fish and other seafood (ND)",128.5000000000000,121.0000000000000,119.4000000000000,119.0000000000000,114.0000000000000,116.9000000000000,114.0000000000000,117.2000000000000,118.8000000000000,119.3000000000000,121.7000000000000,122.7000000000000,119.3750000000000
"....City of Lucena (Capital)","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",117.5348284605720,124.7926102626940,120.6879983288720,121.3554743003700,123.2743461474070,125.2509399109530,122.6392526979830,125.1205724414780,126.4345613502180,127.5636206013980,129.7087493021340,128.6540666151020,124.4180850349320
"....City of Lucena (Capital)","01.1.3.3 - Fish preparations (ND)",110.3671531563360,110.3675441406680,110.4722620069390,111.5823970896820,113.0064845245840,113.4423122806850,113.7310542904120,117.2420167226880,117.2430274683020,118.3405881190610,118.9059334984510,118.9076059529920,114.4673649375670
"....City of Lucena (Capital)","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",148.1221434638670,126.4374025069120,125.0064829076950,122.9950549409950,109.2191963714610,114.3069787762730,109.0602278723940,112.4454710658760,115.4219091958660,115.1365863643580,119.0417355226190,121.8540077990690,119.9205997322820
"....City of Lucena (Capital)","01.1.3.6 - Other seafood preparations (ND)",112.2754491017960,112.2754491017960,112.2754491017960,112.2754491017960,112.2754491017960,112.2754491017960,112.2754491017960,112.2754491017960,112.2754491017960,112.2754491017960,112.2754491017960,112.2754491017960,112.2754491017970
