"Geolocation","Commodity Description","2022 Feb"
"PHILIPPINES","0 - ALL ITEMS",111.5000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",111.8000000000000
"PHILIPPINES","01.1 - FOOD",112.5000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",110.8000000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",110.8220196740570
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",108.6255158364440
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",110.5827742162080
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",110.3871840551410
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",109.8748848176590
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",114.2048089867360
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",113.9000000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",115.3078765881460
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",129.2037580701100
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",112.4423380711800
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",121.5000000000000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",131.7091558677400
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",110.1606327088260
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",123.5655569585980
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",119.4056650776350
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",108.6000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",113.2628317846940
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",104.0349887305400
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",103.1044476362340
"PHILIPPINES","01.1.4.5 - Cheese (ND)",107.0820573190680
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",105.9653247611610
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",107.6735892880960
"PHILIPPINES","01.1.4.8 - Eggs (ND)",114.4483056266390
"PHILIPPINES","01.1.5 - Oils and fats (ND)",116.2000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",118.7850468752680
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",112.2307990519470
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",106.8957588405620
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",102.5700280905660
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",117.9000000000000
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",124.8318706520530
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",115.5685882323680
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",140.5470441238080
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",120.5359276013820
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",114.7427647311210
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",112.3395765800840
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",115.6000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",117.0414249018780
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",125.1326430495800
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",111.6300516014790
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",115.6277424315230
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",107.8000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",106.5563824796100
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",109.1598402973890
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",113.8162031266700
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",110.7171356134000
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",106.8297663463560
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",106.7413174200530
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",112.2000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",104.1058467006360
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",114.5634474047730
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",120.6260753720990
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",113.0985448561940
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",108.6000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",119.2000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",119.1824012378960
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",105.6000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",105.6293042182410
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",107.9000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",107.8929408171650
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",113.0000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",112.9913058333950
"PHILIPPINES","01.2.5 - Water (ND)",105.2000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",105.2630564058120
"PHILIPPINES","01.2.6 - Soft drinks (ND)",110.2000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",110.1447606667110
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",117.2000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",117.1938004325360
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",145.9000000000000
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",122.6000000000000
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",123.7000000000000
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",123.7441534757560
"PHILIPPINES","02.1.2 - Wine (ND)",115.0000000000000
"PHILIPPINES","02.1.2.1 - Wine from grapes (ND)",111.7512294814720
"PHILIPPINES","02.1.2.2 - Wine from other sources (ND)",115.7649474276080
"PHILIPPINES","02.1.3 - Beer (ND)",122.1000000000000
"PHILIPPINES","02.1.3.0 - Beer (ND)",122.1034265529970
"PHILIPPINES","02.3 - TOBACCO",162.0000000000000
"PHILIPPINES","02.3.0 - Tobacco (ND)",162.0000000000000
