"Geolocation","Commodity Description","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2022 Ave"
"....Occidental Mindoro","0 - ALL ITEMS",119.6000000000000,119.7000000000000,119.8000000000000,119.9000000000000,120.6000000000000,121.0000000000000,122.3000000000000,123.3000000000000,125.9000000000000,126.9000000000000,127.6000000000000,128.0000000000000,122.8833333333330
"....Occidental Mindoro","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",116.2000000000000,116.0000000000000,116.3000000000000,116.3000000000000,117.1000000000000,118.1000000000000,120.1000000000000,122.6000000000000,124.0000000000000,126.4000000000000,128.3000000000000,129.6000000000000,120.9166666666670
"....Occidental Mindoro","01.1 - FOOD",114.9000000000000,114.6000000000000,115.0000000000000,114.9000000000000,115.6000000000000,116.5000000000000,118.4000000000000,121.3000000000000,122.4000000000000,124.6000000000000,126.2000000000000,127.7000000000000,119.3416666666670
"....Occidental Mindoro","01.1.1 - Cereals and cereal products (ND)",110.0000000000000,110.0000000000000,110.2000000000000,110.5000000000000,111.5000000000000,111.9000000000000,113.2000000000000,114.8000000000000,115.8000000000000,116.8000000000000,117.9000000000000,120.1000000000000,113.5583333333330
"....Occidental Mindoro","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",109.9731736532130,109.9731736532130,110.2187084784780,110.5108439019280,111.4898805200560,111.9008151574880,113.2243951669970,114.7681096043540,115.8279121130750,116.8204598390910,117.9375714257510,120.1129370889540,113.5631650502160
"....Occidental Mindoro","01.1.1.2 - Flour of cereals (ND)",107.9097401621810,107.9097401621810,108.6229949109420,108.6229949109420,109.0397158992190,109.0397158992190,110.0244952286260,110.7130573855310,110.7130573855310,110.7130573855310,111.2919775471960,114.0156297646270,109.8846813868100
"....Occidental Mindoro","01.1.1.3 - Bread and bakery products (ND)",108.4048158739130,108.4048158739130,108.6432331899410,108.7934451953100,110.2038853133090,110.5587641639920,112.3690804946850,114.0390124746300,113.9855439336330,115.4949712301530,116.3245691102280,118.5994260196740,112.1517969061150
"....Occidental Mindoro","01.1.1.4 - Breakfast cereals (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Occidental Mindoro","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",106.0540462743650,106.0540462743650,106.4143569401310,106.8842780467810,107.3847949275780,107.7346221259340,108.1011468575520,109.4558830933060,112.7760974588430,113.1218026447970,113.8997028706640,114.6083691239250,109.3740955531870
"....Occidental Mindoro","01.1.1.9 - Other cereal and grain mill products (ND)",124.5991756199410,124.5991756199410,124.5991756199410,125.2415919267270,125.2415919267270,126.0753975343920,127.0274455109910,128.4710805931370,130.5018452469120,130.5018452469120,133.6187084341210,137.9909667839750,128.2056666719760
