"Geolocation","Commodity Description","2023 Aug"
"PHILIPPINES","0 - ALL ITEMS",122.6000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",128.7000000000000
"PHILIPPINES","01.1 - FOOD",131.0000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",128.0000000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",127.9714157635190
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",123.6492977279860
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",128.4267017078980
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",120.5305784114890
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",126.1855762332910
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",130.4880730264520
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",124.6000000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",129.1776763426770
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",141.9346788452490
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",122.9495157886090
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",134.5000000000000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",148.6895399687210
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",128.0560981669300
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",128.6407669153290
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",138.6041506346490
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",123.3000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",137.3399133646090
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",113.6696983360180
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",115.7470137981030
"PHILIPPINES","01.1.4.5 - Cheese (ND)",121.7898642153170
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",123.1141683794240
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",117.9810334464550
"PHILIPPINES","01.1.4.8 - Eggs (ND)",135.4792618454390
"PHILIPPINES","01.1.5 - Oils and fats (ND)",132.2000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",137.6052390346840
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",125.1146515121480
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",112.8537520238280
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",112.9855765265670
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",132.9000000000000
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",140.8702892574640
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",134.4163262722180
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",139.9636007582910
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",134.7169318175070
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",127.8989995922590
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",127.9723581045040
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",153.6000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",152.3843500181520
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",145.3507359566910
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",161.6923253054280
