"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....Basilan","0 - ALL ITEMS",118.1000000000000,119.0000000000000,119.6000000000000,119.5000000000000,119.1000000000000,118.9000000000000,119.1000000000000,119.8000000000000,119.9000000000000,120.5000000000000,121.1000000000000,121.1000000000000,119.6416666666670
"....Basilan","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",122.9000000000000,123.6000000000000,123.5000000000000,123.5000000000000,123.1000000000000,122.8000000000000,123.1000000000000,123.2000000000000,123.6000000000000,124.1000000000000,124.9000000000000,124.9000000000000,123.6000000000000
"....Basilan","01.1 - FOOD",126.2000000000000,126.7000000000000,126.3000000000000,126.3000000000000,125.8000000000000,125.4000000000000,125.7000000000000,125.9000000000000,126.4000000000000,127.0000000000000,127.9000000000000,127.8000000000000,126.4500000000000
"....Basilan","01.1.1 - Cereals and cereal products (ND)",128.4000000000000,129.7000000000000,128.9000000000000,128.8000000000000,129.0000000000000,129.2000000000000,130.0000000000000,131.6000000000000,131.8000000000000,131.9000000000000,133.0000000000000,133.3000000000000,130.4666666666670
"....Basilan","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",128.3956060304970,129.7006001322440,128.8737239805410,128.7539057947250,128.9712438013850,129.1767015480870,130.0039332907060,131.6098479594550,131.8152975376860,131.8762803240380,133.0405130145380,133.2867745265500,130.4587023283710
"....Basilan","01.1.1.2 - Flour of cereals (ND)",126.1014041576900,126.1014041576900,126.1014041576900,126.1014041576900,126.1014041576900,126.1014041576900,126.1014041576900,126.1014041576900,126.1014041576900,126.1014041576900,126.1014041576900,126.1014041576900,126.1014041576900
"....Basilan","01.1.1.3 - Bread and bakery products (ND)",132.7546381256230,134.7582399451570,135.0497877426930,134.3082929373230,134.3818724972810,134.3818724972810,135.4092107664160,138.0672597400390,138.4823693627770,138.1156319068490,139.9171879932490,140.3278943871640,136.3295214918210
"....Basilan","01.1.1.4 - Breakfast cereals (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",123.6415715612980,124.2009891435680,124.4365578015830,125.1178936604960,125.7145951161630,126.6841675611450,127.2511018797450,127.5116635414630,127.3407395141200,127.6757891489760,129.1799528216540,129.4012752353850,126.5130247488000
"....Basilan","01.1.1.9 - Other cereal and grain mill products (ND)",124.1098260304980,125.1384234855330,120.2410401162070,120.7014532340710,120.9668170316020,120.9668170316020,121.9691338997210,123.2217141993640,123.4149030984910,124.2228793491620,124.0833809710270,124.0833809710270,122.7599807848590
"....Basilan","01.1.2 - Meat and other parts of slaughtered land animals (ND)",106.8000000000000,106.7000000000000,106.7000000000000,107.7000000000000,107.6000000000000,107.6000000000000,107.0000000000000,107.0000000000000,108.5000000000000,109.6000000000000,109.8000000000000,111.4000000000000,108.0333333333330
"....Basilan","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Basilan","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",106.8295014463250,106.6723453538730,106.6723453538730,107.7462453189640,107.5890892265120,107.5890892265120,106.9604648567020,106.9604648567020,108.5463984202270,109.6288610112040,109.8050758515960,111.3658358664930,108.0304763990820
"....Basilan","01.1.3 - Fish and other seafood (ND)",148.7000000000000,146.5000000000000,146.4000000000000,145.6000000000000,143.4000000000000,142.2000000000000,141.5000000000000,141.3000000000000,142.2000000000000,144.7000000000000,145.3000000000000,144.7000000000000,144.3750000000000
