"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....Bohol","0 - ALL ITEMS",118.6000000000000,119.0000000000000,119.2000000000000,119.4000000000000,119.3000000000000,119.6000000000000,120.3000000000000,121.4000000000000,121.7000000000000,122.6000000000000,123.5000000000000,124.1000000000000,120.7250000000000
"....Bohol","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",123.4000000000000,124.8000000000000,125.0000000000000,124.9000000000000,125.0000000000000,125.4000000000000,125.3000000000000,126.0000000000000,126.0000000000000,126.7000000000000,128.6000000000000,129.3000000000000,125.8666666666670
"....Bohol","01.1 - FOOD",125.7000000000000,127.2000000000000,127.3000000000000,127.1000000000000,127.0000000000000,127.4000000000000,127.2000000000000,128.0000000000000,128.0000000000000,128.8000000000000,131.0000000000000,131.9000000000000,128.0500000000000
"....Bohol","01.1.1 - Cereals and cereal products (ND)",119.0000000000000,119.2000000000000,119.4000000000000,120.2000000000000,120.7000000000000,121.0000000000000,122.5000000000000,122.6000000000000,122.7000000000000,122.8000000000000,124.0000000000000,125.1000000000000,121.6000000000000
"....Bohol","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",119.0359608373600,119.2016118311970,119.4012993255410,120.2219501849060,120.6723647909400,120.9630974322530,122.5014413858820,122.5982463713550,122.6613760465050,122.7959336961860,123.9546905870660,125.1091666987620,121.5930949323290
"....Bohol","01.1.1.2 - Flour of cereals (ND)",117.1961502543030,117.1961502543030,119.5217758884630,120.5805798818520,120.6452913565280,120.6452913565280,120.6452913565280,121.1391072035410,121.3688670085400,121.6010810252540,121.7192997654860,122.0801380406930,120.3615852826680
"....Bohol","01.1.1.3 - Bread and bakery products (ND)",117.8757173614380,118.0310152129600,118.0310152129600,118.0643399864770,118.1073210139310,118.1073210139310,118.1606919464000,118.1606919464000,118.1606919464000,118.1606919464000,119.7594778292440,121.3042185377580,118.4935994961910
"....Bohol","01.1.1.4 - Breakfast cereals (ND)",127.9608782028420,127.9608782028420,128.0220060109010,128.0831338189600,140.1456879425400,140.2985074626870,140.3901991747750,140.7977178951660,140.7977178951660,140.7977178951660,140.7977178951660,140.7977178951660,136.4041566909480
"....Bohol","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",121.7731273926310,121.9990755176840,122.5999852668100,125.7669520898620,126.8336776279760,127.6874481590460,129.4283576510260,129.6358569833540,129.6955189655150,130.2235548393980,130.8089234839730,131.3750784934120,127.3189630392240
"....Bohol","01.1.1.9 - Other cereal and grain mill products (ND)",118.7814385215140,118.9217599641600,118.9217599641600,118.9217599641600,119.0851816680300,119.8030851620720,129.5138026184550,129.7852730528060,130.1761958699350,130.1761958699350,130.5158619512850,131.1076482471850,124.6424969044750
"....Bohol","01.1.2 - Meat and other parts of slaughtered land animals (ND)",123.2000000000000,125.9000000000000,126.2000000000000,127.0000000000000,128.6000000000000,129.2000000000000,130.3000000000000,130.7000000000000,131.6000000000000,134.7000000000000,137.2000000000000,137.1000000000000,130.1416666666670
"....Bohol","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Bohol","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",104.1936779939700,102.8437676598930,99.6539634137494,105.5032815698330,112.5271916114730,111.5994605317620,112.8381764385100,116.9216052964620,132.8451912819710,138.2049114209270,135.5865187325070,128.6286657623430,116.7788676427830
"....Bohol","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",124.3575287009990,127.1991604081530,127.7379308072110,128.2261984927000,129.5153526211130,130.2718001970240,131.3462367442870,131.4951851377740,131.5105523610430,134.5348963004710,137.2652537767210,137.5528069076550,130.9177418712630
"....Bohol","01.1.3 - Fish and other seafood (ND)",117.4000000000000,118.7000000000000,122.7000000000000,123.9000000000000,121.2000000000000,120.8000000000000,120.1000000000000,122.2000000000000,123.3000000000000,122.3000000000000,121.4000000000000,120.9000000000000,121.2416666666670
"....Bohol","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",107.6063768409940,111.5071534664160,118.9546173445960,119.6976060755530,114.2868495428410,115.3499645885970,116.4495282726990,119.9840946895960,121.7615071878490,119.7814885740210,119.0790694276010,119.3911356954570,116.9874493088520
"....Bohol","01.1.3.3 - Fish preparations (ND)",122.6395033939810,122.6458794588840,122.6576275322410,122.6576275322410,122.6768962727900,122.6978926452430,122.7087996646690,122.7087996646690,122.7087996646690,122.7097192613020,122.8033484559100,122.8937338392720,122.7090522821560
"....Bohol","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",127.0311067034050,125.8470514035030,128.4276265381860,131.4285905545200,130.2509922347340,127.2368940775870,122.8919302322700,125.0939572091670,126.3581668743180,125.6409385639910,123.5396844743430,121.1454713528930,126.2410341849100
"....Bohol","01.1.3.6 - Other seafood preparations (ND)",131.7234983164230,131.7234983164230,132.1291605495210,134.5844845919590,135.1823026196820,134.0829938170800,134.0829938170800,134.0829938170800,134.4886560501790,136.1803205417770,136.1803205417770,136.7299749430780,134.2642664935050
"....Bohol","01.1.4 - Milk, other dairy products and eggs (ND)",127.8000000000000,129.2000000000000,129.6000000000000,129.7000000000000,130.0000000000000,130.0000000000000,126.4000000000000,126.8000000000000,127.3000000000000,133.1000000000000,137.4000000000000,141.3000000000000,130.7166666666670
"....Bohol","01.1.4.1 - Raw and whole milk (ND)",115.2700952036300,115.7351657203080,115.7564112763790,115.7564112763790,116.7538474733890,117.1290341925940,117.1513551140340,117.3031115613310,118.4635947095070,118.5519674146050,118.6213319400350,120.0212924095250,117.2094681909760
"....Bohol","01.1.4.3 - Other milk and cream (ND)",117.6268252103480,119.3822784563370,119.8617423013170,119.9464127320340,121.3407512690580,122.0469735599090,122.0592738548950,122.2700043095270,122.3337135611730,122.9787824932810,122.9787824932810,123.0041349173230,121.3191395965400
"....Bohol","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Bohol","01.1.4.5 - Cheese (ND)",114.3501218263950,114.8296582157730,115.0265333101190,116.9827624788170,119.9842273484630,119.9842273484630,119.9842273484630,119.9842273484630,119.9842273484630,119.9842273484630,120.0163961396080,120.0163961396080,118.4272693500910
"....Bohol","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Bohol","01.1.4.7 - Milk-based dessert and beverages (ND)",112.4859392575930,112.4859392575930,112.4859392575930,112.4859392575930,115.2980877390330,115.2980877390330,115.2980877390330,115.2980877390330,115.2980877390330,115.2980877390330,115.2980877390330,115.2980877390330,114.3607049118860
"....Bohol","01.1.4.8 - Eggs (ND)",143.7826091449280,144.8006969150760,144.9612706931340,144.9689746476450,143.5336163717580,142.5723160664860,133.5784415818090,134.2246906671350,135.2600843181440,149.0332681334760,160.0190589178270,169.6030492858070,145.5281730619350
