"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....Cavite","0 - ALL ITEMS",121.4000000000000,121.5000000000000,121.8000000000000,122.1000000000000,122.2000000000000,122.5000000000000,123.0000000000000,123.2000000000000,123.7000000000000,124.2000000000000,124.3000000000000,124.1000000000000,122.8333333333330
"....Cavite","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",124.5000000000000,124.3000000000000,124.5000000000000,125.0000000000000,124.6000000000000,125.3000000000000,126.3000000000000,127.2000000000000,127.9000000000000,129.0000000000000,128.5000000000000,127.7000000000000,126.2333333333330
"....Cavite","01.1 - FOOD",125.6000000000000,125.2000000000000,125.3000000000000,125.7000000000000,125.2000000000000,126.1000000000000,127.3000000000000,128.3000000000000,129.2000000000000,130.6000000000000,130.0000000000000,129.0000000000000,127.2916666666670
"....Cavite","01.1.1 - Cereals and cereal products (ND)",126.9000000000000,127.5000000000000,129.0000000000000,130.1000000000000,130.8000000000000,131.6000000000000,131.8000000000000,132.3000000000000,132.6000000000000,133.4000000000000,133.4000000000000,133.4000000000000,131.0666666666670
"....Cavite","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",126.9092482488800,127.5370730750250,129.0406415530490,130.0899283262280,130.8085623219930,131.6295118432720,131.7698431462290,132.2827218676990,132.6342292184110,133.3953674989400,133.3953674989400,133.3566940875240,131.0707657238490
"....Cavite","01.1.1.2 - Flour of cereals (ND)",100.0173805112650,100.0173805112650,99.4863451093682,99.7797734477052,100.2822953380030,100.2434552572770,100.5479811594800,101.0920925284310,100.8154526365040,102.4172376558200,102.4172376558200,102.4172376558200,100.7944891222300
"....Cavite","01.1.1.3 - Bread and bakery products (ND)",129.2128562812360,129.5890752313290,131.4468184961150,132.0468411059280,132.6728061070560,133.2930418241080,133.5036714080060,134.2819602554670,134.4988995529630,135.2854094909510,135.2854094909510,135.2686403026470,133.0321191288960
"....Cavite","01.1.1.4 - Breakfast cereals (ND)",113.2245565015680,117.3840841394950,118.3646571948230,119.9304109444610,120.6895642776180,122.8563144160060,122.8563144160060,122.8563144160060,121.6543216385060,120.5630387220920,120.5630387220920,120.5630387220920,120.1254711758970
"....Cavite","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",123.2974633286370,124.3933887636320,125.5709977377680,127.2743113494270,128.1071497973840,129.3710150030140,129.3432236909370,129.3432236909370,130.4991735446940,130.6201240191540,130.6201240191540,130.4722251579410,128.2427016752230
"....Cavite","01.1.1.9 - Other cereal and grain mill products (ND)",126.5293407930940,127.0591643470820,127.3094324861640,130.0814796636390,131.2212554586040,132.3073539127580,132.3073539127580,132.1571677110880,132.4593255921530,134.6068980773540,134.6068980773540,134.6068980773540,131.2710473424500
"....Cavite","01.1.2 - Meat and other parts of slaughtered land animals (ND)",120.3000000000000,120.3000000000000,120.2000000000000,121.1000000000000,121.0000000000000,121.2000000000000,121.1000000000000,121.5000000000000,122.1000000000000,121.8000000000000,121.2000000000000,121.7000000000000,121.1250000000000
"....Cavite","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",125.0642386325550,125.0642386325550,124.6452910289350,125.0642386325550,125.4831862361750,125.2653334822930,125.9021338397950,125.9021338397950,125.9021338397950,126.7400290470340,126.7400290470340,126.7400290470340,125.7094179421290
"....Cavite","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",118.0026081928990,121.5812980821680,117.1915118906200,124.2341505419530,122.6967851446470,121.2707982456500,121.0748979391110,121.1122555169060,120.8853076557590,122.0196929136620,116.7483662920380,119.1291513828010,120.4955686498510
"....Cavite","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",120.2905646552170,119.9676420329570,120.3291507530120,120.5524620650730,120.6564271319810,121.0224082093460,120.8353538918580,121.3847388909140,122.0030820589380,121.5745459728610,121.3565358316790,121.6952030349550,120.9723428773990
"....Cavite","01.1.3 - Fish and other seafood (ND)",117.3000000000000,118.7000000000000,118.8000000000000,122.1000000000000,119.4000000000000,120.2000000000000,121.9000000000000,124.8000000000000,126.8000000000000,126.3000000000000,125.7000000000000,126.5000000000000,122.3750000000000
