"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....City of Bacolod (Capital)","0 - ALL ITEMS",123.9000000000000,125.0000000000000,125.4000000000000,125.4000000000000,126.2000000000000,126.4000000000000,126.7000000000000,127.6000000000000,128.2000000000000,129.3000000000000,129.9000000000000,130.1000000000000,127.0083333333330
"....City of Bacolod (Capital)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",127.8000000000000,129.4000000000000,129.2000000000000,129.2000000000000,129.9000000000000,130.3000000000000,130.9000000000000,131.5000000000000,132.9000000000000,133.9000000000000,134.2000000000000,134.7000000000000,131.1583333333330
"....City of Bacolod (Capital)","01.1 - FOOD",128.6000000000000,130.2000000000000,130.0000000000000,130.0000000000000,130.8000000000000,131.2000000000000,131.6000000000000,132.3000000000000,133.9000000000000,134.8000000000000,134.8000000000000,135.3000000000000,131.9583333333330
"....City of Bacolod (Capital)","01.1.1 - Cereals and cereal products (ND)",121.2000000000000,122.3000000000000,123.2000000000000,123.2000000000000,124.8000000000000,125.5000000000000,126.3000000000000,126.6000000000000,127.2000000000000,128.3000000000000,127.9000000000000,127.9000000000000,125.3666666666670
"....City of Bacolod (Capital)","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",121.1593300458200,122.3443449636300,123.1896944647790,123.1896944647790,124.7701208456500,125.5246956271520,126.3398714132570,126.5864430007750,127.2068253484960,128.3311858207120,127.8703219230060,127.8759711370580,125.3657082545930
"....City of Bacolod (Capital)","01.1.1.2 - Flour of cereals (ND)",125.6703669645360,124.3962562759760,124.6172743767060,124.6172743767060,124.6172743767060,125.0581387526660,125.4974544103710,125.4974544103710,127.3116198290300,129.6879222296370,130.3608844515160,130.4414066073740,126.4811105884660
"....City of Bacolod (Capital)","01.1.1.3 - Bread and bakery products (ND)",116.5232177592450,118.4707259492340,119.1004686951900,119.1004686951900,119.5988741314880,120.3960333545700,121.6409493501590,121.9571284155150,122.1907668255660,122.0946855140560,120.6326036976970,120.6326036976970,120.1948771738010
"....City of Bacolod (Capital)","01.1.1.4 - Breakfast cereals (ND)",145.1025825547840,143.4875035849950,144.5515050836200,144.5515050836200,146.5387565724930,147.2342457981030,147.3166170387430,147.3166170387430,147.3166170387430,149.1448002860560,147.9362667332420,147.9362667332420,146.5361069621990
"....City of Bacolod (Capital)","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",120.1410670513410,119.9150260594200,120.0507628088850,120.0507628088850,122.1625197466060,123.2832297729310,123.5557057309840,123.8578266564750,125.1118187916710,125.2428911514790,125.2100405452120,125.2323487567960,122.8178333233900
"....City of Bacolod (Capital)","01.1.1.9 - Other cereal and grain mill products (ND)",134.8013665290850,135.5002826980710,137.9602408325970,137.9602408325970,143.0583040855730,143.2999580041520,143.2999580041520,143.2999580041520,144.6045971441510,151.0472178230250,153.7869024163160,153.7869024163160,143.5338273991820
"....City of Bacolod (Capital)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",117.2000000000000,118.0000000000000,118.1000000000000,118.1000000000000,118.7000000000000,118.8000000000000,118.7000000000000,118.6000000000000,119.9000000000000,120.8000000000000,121.2000000000000,120.0000000000000,119.0083333333330
"....City of Bacolod (Capital)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",116.7262333645450,118.5891376004740,118.5891376004740,118.5891376004740,118.5891376004740,118.5891376004740,118.5891376004740,118.5891376004740,122.6693318273320,123.9244233026340,123.9244233026340,124.2846147813490,120.1377491484850
"....City of Bacolod (Capital)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",150.9264986768820,153.8892714562630,152.2115145069890,152.2115145069890,157.0497944125030,154.4090332983030,149.9188845764520,148.2468968326370,150.9977789234530,153.8725478366650,157.0947945599960,156.8212437131810,153.1374811083600
"....City of Bacolod (Capital)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",114.7399990850260,115.2795769229160,115.4913025034690,115.4913025034690,115.8484309880490,116.0772168973700,116.3597415089980,116.3395971220380,117.4035352628560,118.1081847505640,118.3072068670860,116.9117694414510,116.3631553211080
"....City of Bacolod (Capital)","01.1.3 - Fish and other seafood (ND)",174.3000000000000,176.7000000000000,177.9000000000000,177.9000000000000,185.2000000000000,184.2000000000000,182.3000000000000,184.7000000000000,182.1000000000000,183.5000000000000,186.0000000000000,190.8000000000000,182.1333333333330
"....City of Bacolod (Capital)","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",131.1381270378270,136.2988687458670,137.6784173435450,137.6784173435450,139.9258397961120,141.0357121143020,140.5567971282720,139.7452017911150,140.0549171570550,143.5939450019270,143.7785398402580,145.4455705740740,139.7441961561580
"....City of Bacolod (Capital)","01.1.3.3 - Fish preparations (ND)",147.2024883935910,147.2024883935910,139.4159587808310,139.4159587808310,132.2474077087670,129.7754935459870,129.7754935459870,129.7754935459870,129.7754935459870,129.7754935459870,129.7754935459870,129.7754935459870,134.4927297399600
"....City of Bacolod (Capital)","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",221.0886312080420,221.0886312080420,223.3893347765510,223.3893347765510,237.7877318839740,234.9066706585450,231.4521607959190,237.2073742270530,231.4521607959190,230.8787121587230,236.0604769526620,244.6967516092260,231.1164975876010
"....City of Bacolod (Capital)","01.1.3.6 - Other seafood preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Bacolod (Capital)","01.1.4 - Milk, other dairy products and eggs (ND)",113.7000000000000,116.6000000000000,117.6000000000000,117.6000000000000,119.8000000000000,120.3000000000000,120.3000000000000,120.3000000000000,121.6000000000000,121.8000000000000,121.8000000000000,123.6000000000000,119.5833333333330
"....City of Bacolod (Capital)","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Bacolod (Capital)","01.1.4.3 - Other milk and cream (ND)",106.7886101308290,108.1010952940220,109.2638550102120,109.2638550102120,110.2486124518610,110.2556482936600,110.2645296543900,110.2779132567090,112.2984567821740,112.4405016979930,112.5277603534350,112.5269960813150,110.3548195014010
"....City of Bacolod (Capital)","01.1.4.4 - Non-animal milk (ND)",108.1021376128910,108.6089272951730,109.6614904814500,109.6614904814500,111.4937301020080,114.6124358391270,114.6124358391270,114.6124358391270,114.0276785134170,114.0276785134170,114.0276785134170,113.2869859008510,112.2279254109550
"....City of Bacolod (Capital)","01.1.4.5 - Cheese (ND)",118.9363241678730,118.9363241678730,119.5224312590450,119.5224312590450,120.3039073806080,120.8465991316930,120.8465991316930,120.8465991316930,123.2995658465990,123.9073806078150,124.1244573082490,124.3632416787270,121.2879884225760
"....City of Bacolod (Capital)","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Bacolod (Capital)","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Bacolod (Capital)","01.1.4.8 - Eggs (ND)",121.8759197513880,127.1867477198070,128.1123511930920,128.1123511930920,131.8659122750820,132.8855989701560,132.9330079095680,132.9750493416890,133.1942500478960,133.4058339900910,133.4058339900910,137.7395024441580,131.1410299021760
"....City of Bacolod (Capital)","01.1.5 - Oils and fats (ND)",127.6000000000000,131.9000000000000,132.0000000000000,132.0000000000000,132.3000000000000,132.4000000000000,132.4000000000000,132.4000000000000,133.9000000000000,138.5000000000000,142.0000000000000,142.0000000000000,134.1166666666670
"....City of Bacolod (Capital)","01.1.5.1 - Vegetable oils (ND)",129.2563718694600,134.3254959100710,134.3254959100710,134.3254959100710,134.5774036688450,134.5774036688450,134.5774036688450,134.5774036688450,136.3010407647260,141.7833492786000,145.8838747978340,145.8838747978340,136.6995511595040
"....City of Bacolod (Capital)","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",127.9510123366270,128.6960418907310,130.7119659637480,130.7119659637480,132.8208910648560,133.2614800331690,133.2614800331690,133.2614800331690,134.6067996502160,135.4933134442990,135.4933134442990,133.4136312061850,132.4736145886850
"....City of Bacolod (Capital)","01.1.5.3 - Margarine and similar preparations (ND)",112.7577789624310,112.7577789624310,112.7577789624310,112.7577789624310,112.7577789624310,112.7577789624310,112.7577789624310,112.7577789624310,112.7577789624310,112.7577789624310,113.3301534749310,114.3065570550770,112.9345416795260
"....City of Bacolod (Capital)","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Bacolod (Capital)","01.1.6 - Fruits and nuts (ND)",138.6000000000000,141.1000000000000,142.0000000000000,142.0000000000000,143.2000000000000,141.7000000000000,141.7000000000000,141.6000000000000,143.8000000000000,145.4000000000000,147.4000000000000,149.1000000000000,143.1333333333330
"....City of Bacolod (Capital)","01.1.6.2 - Citrus fruits, fresh (ND)",127.6118052180690,128.2489510968170,127.6328829544560,127.6328829544560,128.2447495830950,124.8063080422940,124.8063080422940,124.6727129386850,124.6727129386850,125.1454340745300,128.5427694296060,132.8033346849210,127.0684043298260
"....City of Bacolod (Capital)","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",168.3231043357750,168.3231043357750,165.8285488022170,165.8285488022170,163.3933874480300,158.4042763809150,158.4042763809150,158.4042763809150,165.2940011878840,172.7182736091860,180.1425460304890,182.6371015640470,167.3084537715300
"....City of Bacolod (Capital)","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Bacolod (Capital)","01.1.6.7 - Fruit, dried and dehydrated (ND)",163.4546862896980,167.0023237800160,167.0023237800160,167.0023237800160,167.0023237800160,167.0023237800160,167.0023237800160,167.0023237800160,167.0023237800160,172.6258714175060,174.2060418280400,174.2680092951200,168.3810999225410
"....City of Bacolod (Capital)","01.1.6.8 - Nuts, in shell or shelled (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Bacolod (Capital)","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",139.2024723331070,143.1923861125510,145.6048102746920,145.6048102746920,147.7845301013650,147.7845301013650,147.7845301013650,147.7845301013650,150.6475852692470,151.8532048195360,152.1255432026550,152.2625047449540,147.6359531197410
"....City of Bacolod (Capital)","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",171.8000000000000,170.8000000000000,160.3000000000000,160.3000000000000,152.4000000000000,154.2000000000000,157.7000000000000,166.0000000000000,173.1000000000000,172.1000000000000,167.8000000000000,167.8000000000000,164.5250000000000
"....City of Bacolod (Capital)","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",166.1208320190410,169.2471575728240,160.1077776991120,160.1077776991120,159.7370877520730,162.1216197261510,166.3079205894140,174.3913051949700,178.6370216760180,174.7462642371020,165.7257345963460,165.7291204866210,166.9149682707320
"....City of Bacolod (Capital)","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",175.4744446639760,192.6561417258330,182.6381194193800,182.6381194193800,160.0878958330200,169.8002939340660,156.7965030148980,155.2103353583290,158.0536834950890,165.6919986917400,161.4809865256490,165.3696971450300,168.8248516021990
"....City of Bacolod (Capital)","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",190.8923964541280,177.9048862152120,161.5974154190880,161.5974154190880,133.6725671361490,134.0914691416750,137.2524575733050,147.7506315994760,163.4794101952270,169.1853874630930,176.2553923143510,175.6828553649330,160.7801903579770
"....City of Bacolod (Capital)","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",137.2979584681180,139.4477375987690,144.3469581076930,144.3469581076930,149.0143794560630,149.0143794560630,149.0143794560630,149.0143794560630,149.0143794560630,149.0143794560630,149.0143794560630,149.0143794560630,146.4628873275650
"....City of Bacolod (Capital)","01.1.8 - Sugar, confectionery and desserts (ND)",136.4000000000000,136.9000000000000,136.7000000000000,136.7000000000000,137.0000000000000,136.9000000000000,137.4000000000000,137.1000000000000,140.5000000000000,141.4000000000000,140.7000000000000,140.2000000000000,138.1583333333330
"....City of Bacolod (Capital)","01.1.8.1 - Cane and beet sugar (ND)",180.8280044701340,179.2078351156160,178.6031370751070,178.6031370751070,177.6515365949950,174.9857267165710,176.6832767176410,175.7938347192300,183.9611138944940,180.8195703961590,173.6096622482480,171.7963086749320,177.7119286415200
"....City of Bacolod (Capital)","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",128.0483056367250,128.3582905239210,128.3582905239210,128.3582905239210,128.3582905239210,128.3582905239210,128.3582905239210,128.3582905239210,129.8132455906250,132.8563567450630,132.7243737800490,132.9999159020000,129.5791859434920
"....City of Bacolod (Capital)","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",121.5206325138090,122.5928733889310,122.5928733889310,122.5928733889310,125.9720567529510,129.4974547817610,129.4974547817610,129.4974547817610,129.4974547817610,134.3387847936750,139.1719917686560,139.1719917686560,128.8286580742990
"....City of Bacolod (Capital)","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Bacolod (Capital)","01.1.8.6 - Ice, ice cream and sorbet (ND)",112.0646573656600,113.1248540414700,113.1248540414700,113.1248540414700,113.1248540414700,113.1248540414700,113.1248540414700,113.1248540414700,113.1248540414700,113.4821139036390,114.9476389450920,114.9476389450920,113.3700734576030
"....City of Bacolod (Capital)","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",127.7092010956380,131.8777250942690,131.8777250942690,131.8777250942690,132.4891892557220,132.7759627281650,132.7759627281650,132.7759627281650,142.8451932909070,152.6232882337980,152.6232882337980,152.6232882337980,137.9062093175800
"....City of Bacolod (Capital)","01.1.9 - Ready-made food and other food products n.e.c. (ND)",132.9000000000000,135.1000000000000,135.2000000000000,135.2000000000000,135.0000000000000,135.3000000000000,135.3000000000000,135.2000000000000,136.1000000000000,137.9000000000000,138.5000000000000,138.8000000000000,135.8750000000000
"....City of Bacolod (Capital)","01.1.9.2 - Baby food (ND)",125.9534227702610,127.0850417927710,127.0850417927710,127.0850417927710,127.0850417927710,127.0850417927710,127.0850417927710,127.0850417927710,127.0850417927710,129.5965057139060,130.9144735137600,130.9144735137600,127.8382674878210
