"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....City of Baguio","0 - ALL ITEMS",113.5000000000000,113.4000000000000,113.4000000000000,113.7000000000000,113.7000000000000,113.7000000000000,113.9000000000000,114.2000000000000,115.8000000000000,116.2000000000000,116.7000000000000,116.4000000000000,114.5500000000000
"....City of Baguio","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",128.8000000000000,127.4000000000000,127.0000000000000,127.7000000000000,127.3000000000000,126.4000000000000,127.8000000000000,130.1000000000000,133.2000000000000,133.7000000000000,134.1000000000000,131.5000000000000,129.5833333333330
"....City of Baguio","01.1 - FOOD",132.3000000000000,130.5000000000000,129.9000000000000,130.7000000000000,130.2000000000000,129.1000000000000,130.8000000000000,133.4000000000000,137.1000000000000,137.6000000000000,138.0000000000000,134.9000000000000,132.8750000000000
"....City of Baguio","01.1.1 - Cereals and cereal products (ND)",112.1000000000000,112.9000000000000,114.2000000000000,115.1000000000000,115.5000000000000,115.8000000000000,116.1000000000000,117.0000000000000,117.0000000000000,116.7000000000000,117.0000000000000,117.3000000000000,115.5583333333330
"....City of Baguio","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",112.1385758156610,112.9245455854090,114.1817464977240,115.0740583631490,115.5410092542020,115.7926078611250,116.0687085322390,116.9790708395370,116.9570194958910,116.6559910180270,117.0066876410060,117.2523037613960,115.5476937221140
"....City of Baguio","01.1.1.2 - Flour of cereals (ND)",102.4356960108080,103.6420635460020,105.4074982115370,105.7435452258840,107.5078992803960,107.8928740662790,108.4093451364720,108.7183668551460,108.8019434123530,109.2711294375320,109.9215559533130,110.1507809964990,107.3252248443520
"....City of Baguio","01.1.1.3 - Bread and bakery products (ND)",117.6980634785830,118.2543653268720,119.1655574838810,119.6143789081430,119.8918746264120,120.1927999447610,120.6279970611440,121.9526724582570,121.9163453917350,121.3866226897930,121.7522944980340,122.0598984112080,120.3760725232350
"....City of Baguio","01.1.1.4 - Breakfast cereals (ND)",93.2653061224490,94.6712018140589,97.6417233560090,98.5034013605442,99.3877551020408,100.4308390022680,100.4308390022680,100.8163265306120,101.2018140589570,100.2040816326530,99.5011337868480,98.5034013605442,98.7131519274376
"....City of Baguio","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",101.2260347351920,102.3973521243880,104.0657270154390,105.3933497721650,105.6465237429590,105.8427719824340,105.8974352492120,106.2375388485480,106.2565978218310,106.5563095439170,106.8673991349980,106.9163478305270,105.2752823168010
"....City of Baguio","01.1.1.9 - Other cereal and grain mill products (ND)",111.1789623281680,112.2113653859310,113.8448218752880,117.2248385679360,118.5168780574990,118.0544616314720,117.6997938179410,117.5149435293410,117.2369536695730,117.2369536695730,117.9554958301380,118.8351713090430,116.4592199726580
"....City of Baguio","01.1.2 - Meat and other parts of slaughtered land animals (ND)",119.3000000000000,119.9000000000000,120.5000000000000,121.3000000000000,122.4000000000000,122.6000000000000,122.6000000000000,122.7000000000000,122.7000000000000,123.1000000000000,123.5000000000000,123.6000000000000,122.0166666666670
"....City of Baguio","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Baguio","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",88.1858067390345,91.2502336903990,93.3170512448240,93.3170512448240,95.9041531258826,93.1595339716231,91.4077509636000,91.6082274931285,90.0139617583065,90.4531008229880,90.8492806313420,90.3719555610360,91.6531756039157
"....City of Baguio","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",121.9352406862810,122.2527485554410,122.7721371707990,123.6640703242640,124.5791067287640,125.0447556079020,125.2434940647000,125.3418401272550,125.4743118495600,125.8420633830790,126.2870878120100,126.4273865802860,124.5720202408620
"....City of Baguio","01.1.3 - Fish and other seafood (ND)",143.2000000000000,145.7000000000000,144.9000000000000,148.9000000000000,150.3000000000000,148.2000000000000,146.4000000000000,146.6000000000000,147.9000000000000,147.7000000000000,149.4000000000000,148.8000000000000,147.3333333333330
"....City of Baguio","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",171.2404099416520,181.4336717311130,177.8995063303620,183.2285798568530,182.8066599074410,173.4584859555390,174.0349144221650,177.3712211279190,178.0602180178430,177.3364161737650,178.5304765753580,179.7140257200030,177.9262154800010
"....City of Baguio","01.1.3.3 - Fish preparations (ND)",116.5306883287090,118.6765923759590,118.7557980753190,119.6613069998550,121.6276262991230,121.5654112810160,121.4972635555950,121.4972635555950,121.4979249360660,120.8261339292490,120.9112933077480,120.9779456712410,120.3354373596230
"....City of Baguio","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",146.7814785156650,145.5825729544480,145.6182612987480,151.0720071875250,153.1158652621040,153.4594924627850,149.0093128727350,147.7448758939800,150.2716948735190,150.5822877794530,153.8553016664880,151.7445925423570,149.9031452758170
"....City of Baguio","01.1.3.6 - Other seafood preparations (ND)",140.2738614684480,139.8756748278860,140.8177188548280,142.5449844106450,143.1684359812070,143.8584454105960,143.9442926309770,143.9738572663450,144.6824004758210,144.6137692456290,143.9661347606260,143.9661347606260,142.9738091744700
