"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....City of Cebu (Capital)","0 - ALL ITEMS",108.1000000000000,108.8000000000000,109.0000000000000,109.1000000000000,109.0000000000000,109.2000000000000,109.4000000000000,110.8000000000000,111.5000000000000,112.3000000000000,113.0000000000000,113.2000000000000,110.2833333333330
"....City of Cebu (Capital)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",111.8000000000000,114.4000000000000,115.0000000000000,115.0000000000000,113.7000000000000,114.7000000000000,115.0000000000000,116.2000000000000,116.2000000000000,117.3000000000000,120.1000000000000,121.0000000000000,115.8666666666670
"....City of Cebu (Capital)","01.1 - FOOD",113.5000000000000,116.6000000000000,117.4000000000000,117.4000000000000,115.5000000000000,116.8000000000000,117.0000000000000,118.5000000000000,118.5000000000000,119.7000000000000,122.9000000000000,124.1000000000000,118.1583333333330
"....City of Cebu (Capital)","01.1.1 - Cereals and cereal products (ND)",111.1000000000000,113.2000000000000,113.7000000000000,114.2000000000000,115.5000000000000,116.0000000000000,117.0000000000000,117.6000000000000,117.9000000000000,118.5000000000000,118.9000000000000,118.9000000000000,116.0416666666670
"....City of Cebu (Capital)","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",111.1346494175660,113.2279836079290,113.6913725641710,114.1743454654200,115.4637064840410,116.0125604317400,116.9963661902640,117.5542577790320,117.8870856771530,118.5356639039830,118.9392995494960,118.9392995494960,116.0463825516910
"....City of Cebu (Capital)","01.1.1.2 - Flour of cereals (ND)",102.0259319286870,102.0259319286870,102.0259319286870,102.0259319286870,102.0259319286870,104.3760129659640,105.9562398703400,106.7260940032420,107.4959481361430,107.4959481361430,109.1166936790920,109.1166936790920,105.0344408427880
"....City of Cebu (Capital)","01.1.1.3 - Bread and bakery products (ND)",110.3738566050240,113.2240831981750,113.7051347901310,113.9422023510250,115.3390515694310,115.8765954647730,117.1144900835850,117.5986157504370,118.0306320394710,118.7971786550820,119.3315811930910,119.3315811930910,116.0554169077760
"....City of Cebu (Capital)","01.1.1.4 - Breakfast cereals (ND)",108.3555261976800,108.3555261976800,108.3555261976800,109.0066239087900,109.0066239087900,113.3270676657360,116.7704405421430,120.2356882131770,120.2588563518620,120.2773876496600,120.2773876496600,120.2773876496600,114.5420035110430
"....City of Cebu (Capital)","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",116.9461267858390,117.2225445002390,117.9565966554350,119.5764091358750,119.8659700399860,120.1246660328090,120.1246660328090,120.2904428191940,120.3656339229930,120.8090272107040,120.9469828323390,120.9469828323390,119.5980040667130
"....City of Cebu (Capital)","01.1.1.9 - Other cereal and grain mill products (ND)",106.9472237409620,108.1796982947640,108.1796982947640,108.1796982947640,110.9675689716990,111.2385552741880,111.8994318663940,113.0837663732920,113.2660624834020,113.7300115695310,113.7300115695310,113.7300115695310,111.0943115252350
"....City of Cebu (Capital)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",112.6000000000000,113.4000000000000,113.6000000000000,114.4000000000000,114.5000000000000,114.9000000000000,115.3000000000000,115.7000000000000,116.1000000000000,116.2000000000000,120.2000000000000,120.8000000000000,115.6416666666670
"....City of Cebu (Capital)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",108.0431416800060,108.0431416800060,110.6298430359630,111.4170999703840,113.5899291093870,113.5899291093870,113.5899291093870,113.5899291093870,113.5899291093870,113.5899291093870,113.5899291093870,113.5899291093870,112.2377216034550
