"Geolocation","Commodity Description","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2023 Ave"
"....Maguindanao","0 - ALL ITEMS",120.4000000000000,120.4000000000000,121.0000000000000,121.5000000000000,122.2000000000000,122.8000000000000,123.3000000000000,124.7000000000000,124.8000000000000,125.0000000000000,125.4000000000000,125.9000000000000,123.1166666666670
"....Maguindanao","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",126.3000000000000,126.3000000000000,127.2000000000000,127.4000000000000,128.8000000000000,129.1000000000000,129.1000000000000,129.2000000000000,129.4000000000000,129.2000000000000,129.5000000000000,130.7000000000000,128.5166666666670
"....Maguindanao","01.1 - FOOD",128.6000000000000,128.6000000000000,129.7000000000000,130.0000000000000,130.3000000000000,130.7000000000000,130.7000000000000,130.8000000000000,131.0000000000000,130.9000000000000,131.2000000000000,132.7000000000000,130.4333333333330
"....Maguindanao","01.1.1 - Cereals and cereal products (ND)",128.5000000000000,128.5000000000000,128.6000000000000,129.4000000000000,131.4000000000000,131.7000000000000,133.1000000000000,133.3000000000000,135.7000000000000,135.2000000000000,137.0000000000000,137.6000000000000,132.5000000000000
"....Maguindanao","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",128.5396349470270,128.5396349470270,128.6365946321250,129.4128549654380,131.3604293885090,131.7237635000360,133.1363867564610,133.2758090889990,135.7095202554350,135.1746000026080,136.9823334198480,137.5634987736160,132.5045883897610
"....Maguindanao","01.1.1.2 - Flour of cereals (ND)",105.5417380460980,105.5417380460980,105.5417380460980,105.5417380460980,107.2154359440960,108.8278637487240,112.7904264628780,112.7904264628780,112.0153843536140,112.5942790841410,113.2072057445550,115.2582465567850,109.7388517118390
"....Maguindanao","01.1.1.3 - Bread and bakery products (ND)",139.0428425680140,139.0428425680140,139.0428425680140,140.6863578515470,143.0654374474920,143.2722960083770,144.3581808390060,144.5606740425890,148.6636480069790,148.5559357770780,148.7055738760770,148.1903796413850,143.9322509328810
"....Maguindanao","01.1.1.4 - Breakfast cereals (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Maguindanao","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",109.4978578990680,109.4978578990680,109.9954646610030,109.9954646610030,111.4030073999910,112.4989825213360,113.5990771119930,113.6987053301990,113.7201378653810,113.4376522630520,113.5264358657720,114.8943244116890,112.1470806574630
"....Maguindanao","01.1.1.9 - Other cereal and grain mill products (ND)",126.8502096189710,126.8502096189710,126.8502096189710,126.8502096189710,128.4991966575800,128.4991966575800,130.3539108970610,130.4349954656950,132.1541510672640,130.6644628230570,136.3209522997610,137.9571125702690,130.1904014095130
