"Geolocation","Commodity Description","2023 Sep"
"PHILIPPINES","0 - ALL ITEMS",122.9000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",129.1000000000000
"PHILIPPINES","01.1 - FOOD",131.5000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",128.3000000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",128.3165610710330
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",124.0328298486930
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",128.7111430154670
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",120.6713935169960
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",126.6006171920050
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",131.0546229384390
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",124.9000000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",129.3800383020150
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",141.4140636486550
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",123.2428596742030
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",135.0000000000000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",149.2382147538530
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",128.4125342711160
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",129.0469073912250
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",138.9432345870400
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",123.8000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",137.5115039164410
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",113.9082141162480
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",116.2045053780840
"PHILIPPINES","01.1.4.5 - Cheese (ND)",121.8614498840150
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",123.1354345669650
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",118.1115224071700
"PHILIPPINES","01.1.4.8 - Eggs (ND)",136.5615312239290
"PHILIPPINES","01.1.5 - Oils and fats (ND)",131.7000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",136.8892174443460
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",125.2974713453140
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",112.6900112171220
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",113.5273719833100
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",133.7000000000000
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",139.8337105440850
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",135.5855868339890
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",143.7898439568370
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",135.6356791827710
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",130.4750645989300
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",128.2783683866510
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",155.4000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",150.6890403577800
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",152.1979345027420
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",172.1996849231090
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",135.9646920567830
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",147.9000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",179.1671330254140
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",125.9854659399130
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",133.9351933059280
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",124.8878583177400
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",118.1726972406060
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",124.5418381585800
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",126.7000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",118.2696888699050
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",131.4900832373270
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",129.3531749708520
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",129.3030258578380
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",118.4000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",131.0000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",131.0887334021870
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",114.2000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",114.2113821808520
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",118.9000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",118.9241536971960
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",126.2000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",126.2372869318110
