"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Batangas","0 - ALL ITEMS",127.6000000000000,128.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",128.0000000000000,127.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1 - FOOD",130.2000000000000,129.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.1 - Cereals and cereal products (ND)",121.4000000000000,121.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",121.3735148640410,121.3613241297800,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.1.2 - Flour of cereals (ND)",104.7269095632370,104.7269095632370,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.1.3 - Bread and bakery products (ND)",118.6750039126600,118.7650205667230,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.1.4 - Breakfast cereals (ND)",139.6969834842350,139.6969834842350,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",124.4467426407620,124.0836121404560,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.1.9 - Other cereal and grain mill products (ND)",130.9826409609100,130.9826409609100,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.2 - Meat and other parts of slaughtered land animals (ND)",115.9000000000000,116.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",128.7327848063940,128.7327848063940,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",120.7264545157350,122.4296805109890,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",115.2642151095310,115.3490835435190,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.3 - Fish and other seafood (ND)",158.9000000000000,159.0000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",190.0149751660790,189.3383314130650,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.3.3 - Fish preparations (ND)",125.2208624797390,125.2251121691630,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",178.0336318260190,178.5810524678180,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.3.6 - Other seafood preparations (ND)",145.8421442958750,145.8421442958750,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.4 - Milk, other dairy products and eggs (ND)",129.5000000000000,128.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.4.3 - Other milk and cream (ND)",123.3719507447220,123.3719507447220,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.4.5 - Cheese (ND)",126.2208845762000,125.6417032749230,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.4.7 - Milk-based dessert and beverages (ND)",117.5623098226220,117.5623098226220,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.4.8 - Eggs (ND)",138.8230253520150,137.4181617839430,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","01.1.5 - Oils and fats (ND)",141.0000000000000,140.9000000000000,..,..,..,..,..,..,..,..,..,..,..
