"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Cagayan","0 - ALL ITEMS",128.9000000000000,130.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",131.3000000000000,131.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1 - FOOD",133.5000000000000,133.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.1 - Cereals and cereal products (ND)",126.6000000000000,127.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",126.5754454056640,127.3247184028460,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.1.2 - Flour of cereals (ND)",116.5676996336810,116.6127459404790,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.1.3 - Bread and bakery products (ND)",124.8472123535590,125.2481469352600,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.1.4 - Breakfast cereals (ND)",120.6120531519840,121.1220974453040,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",125.0039157136570,125.2636202782660,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.1.9 - Other cereal and grain mill products (ND)",136.9356625092610,139.9461796837200,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.2 - Meat and other parts of slaughtered land animals (ND)",132.4000000000000,132.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",106.1874187088380,106.6622623201270,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",124.9228796290420,126.0486883579460,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",133.9330639721220,133.7681121101800,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.3 - Fish and other seafood (ND)",133.0000000000000,134.0000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",162.1399912790910,164.7089502430480,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.3.3 - Fish preparations (ND)",121.4052903123990,122.2466296286160,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",121.8891273260320,121.3915338152550,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.3.6 - Other seafood preparations (ND)",150.9446770463940,152.0289187748160,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.4 - Milk, other dairy products and eggs (ND)",131.0000000000000,136.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.4.3 - Other milk and cream (ND)",111.7982639021810,122.7199593833740,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.4.5 - Cheese (ND)",124.2419705845290,124.0223664536860,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.4.8 - Eggs (ND)",154.0836121485140,153.4828961716900,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.5 - Oils and fats (ND)",130.6000000000000,128.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.5.1 - Vegetable oils (ND)",134.2727178389500,133.6525339890820,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",118.3787317498370,133.1008934408370,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.5.3 - Margarine and similar preparations (ND)",115.9015302727880,107.2188955422490,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.6 - Fruits and nuts (ND)",116.3000000000000,119.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.6.2 - Citrus fruits, fresh (ND)",108.3070285098950,114.2292790535130,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",179.9784025916890,173.9791225053000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.6.5 - Other fruits, fresh (ND)",64.3499235350434,61.5449651245198,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.6.7 - Fruit, dried and dehydrated (ND)",113.7705774758300,113.4831460674160,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.6.8 - Nuts, in shell or shelled (ND)",114.2303022918810,115.0958760154420,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",142.7500487845260,151.0795458659570,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",133.0000000000000,128.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",126.2445931253130,122.5383258252130,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",88.8830925007634,89.9761649650244,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",161.1119500163630,150.7116320279790,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",151.3896061147530,156.7295879588880,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.8 - Sugar, confectionery and desserts (ND)",173.8000000000000,165.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.8.1 - Cane and beet sugar (ND)",211.7216486418740,196.9887278330940,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",122.7511847310990,129.5595843658970,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",173.7712777956040,157.2245517392250,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.8.6 - Ice, ice cream and sorbet (ND)",108.4459139764880,108.4459139764880,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",122.1544651397300,122.8277782714650,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.9 - Ready-made food and other food products n.e.c. (ND)",128.9000000000000,130.0000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.9.2 - Baby food (ND)",113.6164271614470,113.7998106840070,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.9.3 - Salt, condiments and sauces (ND)",135.5808313767880,135.4778177939770,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.9.4 - Spices, culinary herbs and seeds (ND)",140.0526854498460,148.1040771656670,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.1.9.9 - Other food products n.e.c. (ND)",123.6934839404050,119.8916056245170,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.2 - NON-ALCOHOLIC BEVERAGES",120.1000000000000,119.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.2.1 - Fruit and vegetable juices (ND)",142.0000000000000,143.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.2.1.0 - Fruit and vegetable juices (ND)",141.9717376877270,143.4419592932650,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.2.2 - Coffee and coffee substitutes (ND)",114.3000000000000,111.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.2.2.0 - Coffee and coffee substitutes (ND)",114.3151530543160,111.7837509617960,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.2.3 - Tea, maté and other plant products for infusion (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.2.4 - Cocoa drinks (ND)",133.9000000000000,132.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.2.4.0 - Cocoa drinks (ND)",133.9249843953920,132.2635192645970,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.2.5 - Water (ND)",115.2000000000000,115.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.2.5.0 - Water (ND)",115.1747315964630,115.9263863115570,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.2.6 - Soft drinks (ND)",112.6000000000000,112.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.2.6.0 - Soft drinks (ND)",112.5953443052240,112.5039964678840,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.2.9 - Other non-alcoholic beverages (ND)",137.3000000000000,138.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","01.2.9.0 - Other non-alcoholic beverages (ND)",137.2529750728550,138.2704715847810,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","02 - ALCOHOLIC BEVERAGES AND TOBACCO",156.9000000000000,157.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","02.1 - ALCOHOLIC BEVERAGES",127.1000000000000,127.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","02.1.1 - Spirits and liquors (ND)",126.1000000000000,126.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","02.1.1.0 - Spirits and liquors (ND)",126.1049557648880,126.8701818325110,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","02.1.2 - Wine (ND)",117.3000000000000,117.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","02.1.2.1 - Wine from grapes (ND)",117.2611451643270,117.6188782661450,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","02.1.2.2 - Wine from other sources (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Cagayan","02.1.3 - Beer (ND)",131.0000000000000,131.7000000000000,..,..,..,..,..,..,..,..,..,..,..
