"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Camarines Norte","0 - ALL ITEMS",133.2000000000000,133.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",126.4000000000000,127.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1 - FOOD",130.0000000000000,131.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.1 - Cereals and cereal products (ND)",130.0000000000000,130.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",130.0490647782370,130.4314138678770,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.1.2 - Flour of cereals (ND)",99.8768478005750,100.7835888307430,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.1.3 - Bread and bakery products (ND)",130.7446751223120,131.2594724151210,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.1.4 - Breakfast cereals (ND)",104.9387166546500,104.9387166546500,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",122.1843204923580,122.2204534476290,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.1.9 - Other cereal and grain mill products (ND)",152.6058292876770,152.6058292876770,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.2 - Meat and other parts of slaughtered land animals (ND)",124.0000000000000,124.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",154.8252671226550,151.9009955108890,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",121.0348112422210,121.6991003307530,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.3 - Fish and other seafood (ND)",139.9000000000000,138.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",160.1682687301180,159.8010767759450,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.3.3 - Fish preparations (ND)",126.3172839452820,126.3192298840610,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",128.5509825742060,122.9883452336990,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.3.6 - Other seafood preparations (ND)",108.0405040769820,105.1191745390740,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.4 - Milk, other dairy products and eggs (ND)",119.4000000000000,121.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.4.3 - Other milk and cream (ND)",108.3527553599080,111.1517467226500,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.4.5 - Cheese (ND)",122.2130323570850,122.5255385848580,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.4.8 - Eggs (ND)",137.0955946819970,137.6886263787640,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.5 - Oils and fats (ND)",123.9000000000000,125.0000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.5.1 - Vegetable oils (ND)",132.9749790448340,134.2327786550540,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",127.8217531981700,129.3139427539720,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.5.3 - Margarine and similar preparations (ND)",108.2067194521720,109.0092017975600,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.6 - Fruits and nuts (ND)",147.6000000000000,147.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.6.2 - Citrus fruits, fresh (ND)",165.7436283291900,162.1444946880690,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",154.2366159947120,163.0138797091870,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.6.5 - Other fruits, fresh (ND)",114.1678520625890,121.2802275960170,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.6.7 - Fruit, dried and dehydrated (ND)",111.1900657761740,111.1900657761740,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.6.8 - Nuts, in shell or shelled (ND)",127.3041253121490,128.8360610263200,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",124.5544424558000,128.0095773120030,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",130.8000000000000,133.2000000000000,..,..,..,..,..,..,..,..,..,..,..
