"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Camarines Sur","0 - ALL ITEMS",131.5000000000000,132.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",130.8000000000000,131.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1 - FOOD",131.3000000000000,131.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.1 - Cereals and cereal products (ND)",134.8000000000000,136.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",134.8486015504270,136.4553100600410,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.1.2 - Flour of cereals (ND)",133.2415329670170,133.3301791518720,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.1.3 - Bread and bakery products (ND)",136.1689874743160,138.4879766372450,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.1.4 - Breakfast cereals (ND)",129.1251803394690,129.1251803394690,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",130.8014381252990,130.8542280357300,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.1.9 - Other cereal and grain mill products (ND)",135.5971896955500,135.5971896955500,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.2 - Meat and other parts of slaughtered land animals (ND)",115.1000000000000,116.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",139.0826933409630,144.7215190851800,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",113.1962162978880,113.8596099914280,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.3 - Fish and other seafood (ND)",136.0000000000000,136.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",156.0931966557820,155.7704098242490,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.3.3 - Fish preparations (ND)",120.9335995037720,121.7579792460900,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",121.6599548229550,121.7534743051780,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.3.6 - Other seafood preparations (ND)",110.9499111617760,110.9499111617760,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.4 - Milk, other dairy products and eggs (ND)",128.6000000000000,127.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.4.1 - Raw and whole milk (ND)",135.5909837837860,136.8525438549930,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.4.3 - Other milk and cream (ND)",109.9456929013500,109.8837342694490,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.4.5 - Cheese (ND)",118.1143697067260,118.1143697067260,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.4.8 - Eggs (ND)",156.0033070208170,153.0659652374460,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.5 - Oils and fats (ND)",120.4000000000000,119.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.5.1 - Vegetable oils (ND)",125.8046300150870,124.2342785053940,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",115.7889074183660,116.6065952982950,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.5.3 - Margarine and similar preparations (ND)",111.8764393556400,111.1224702351980,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.6 - Fruits and nuts (ND)",125.8000000000000,124.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.6.2 - Citrus fruits, fresh (ND)",117.3968535571310,112.8881927567090,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",147.5489810370610,147.5489810370610,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.6.7 - Fruit, dried and dehydrated (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.6.8 - Nuts, in shell or shelled (ND)",127.0778147152140,125.4380322776830,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",122.4074537572920,123.1072007625790,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",142.1000000000000,146.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",152.4801746364650,161.7428323454090,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",179.5120811538020,179.8714219989970,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",107.9050965140310,100.8172405160540,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",139.6672842319370,139.7756238747310,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.8 - Sugar, confectionery and desserts (ND)",139.4000000000000,139.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.8.1 - Cane and beet sugar (ND)",154.4999670466080,154.1628300540850,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",119.5087435928220,119.5087435928220,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",123.5839083967300,123.5839083967300,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",107.1992568509060,107.1992568509060,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.8.6 - Ice, ice cream and sorbet (ND)",116.6951687938360,116.6951687938360,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",134.1662157708220,134.1662157708220,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.9 - Ready-made food and other food products n.e.c. (ND)",132.6000000000000,132.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.9.2 - Baby food (ND)",118.8971473847670,118.8971473847670,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.9.3 - Salt, condiments and sauces (ND)",143.0351646970740,143.1936732526730,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.9.4 - Spices, culinary herbs and seeds (ND)",137.7453152333700,136.9277513743250,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.1.9.9 - Other food products n.e.c. (ND)",133.9083723738000,134.6301678468310,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.2 - NON-ALCOHOLIC BEVERAGES",128.0000000000000,127.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.2.1 - Fruit and vegetable juices (ND)",150.6000000000000,150.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.2.1.0 - Fruit and vegetable juices (ND)",150.5738289448560,150.5738289448560,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.2.2 - Coffee and coffee substitutes (ND)",129.7000000000000,129.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.2.2.0 - Coffee and coffee substitutes (ND)",129.7302161108730,129.2175352183220,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.2.3 - Tea, maté and other plant products for infusion (ND)",116.1000000000000,116.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",116.1393233412060,116.1393233412060,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.2.4 - Cocoa drinks (ND)",127.5000000000000,126.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.2.4.0 - Cocoa drinks (ND)",127.4663846487040,126.7559065819560,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.2.5 - Water (ND)",110.4000000000000,110.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.2.5.0 - Water (ND)",110.4433867153510,110.4433867153510,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.2.6 - Soft drinks (ND)",120.3000000000000,120.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.2.6.0 - Soft drinks (ND)",120.3417963346100,120.3126355257330,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.2.9 - Other non-alcoholic beverages (ND)",135.6000000000000,135.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","01.2.9.0 - Other non-alcoholic beverages (ND)",135.5783584690510,135.1278693055700,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","02 - ALCOHOLIC BEVERAGES AND TOBACCO",199.4000000000000,200.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","02.1 - ALCOHOLIC BEVERAGES",144.2000000000000,143.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","02.1.1 - Spirits and liquors (ND)",146.9000000000000,146.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","02.1.1.0 - Spirits and liquors (ND)",146.8856034494450,146.0986607482800,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","02.1.2 - Wine (ND)",145.6000000000000,145.0000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","02.1.2.1 - Wine from grapes (ND)",145.6288007256100,145.0435078237130,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","02.1.2.2 - Wine from other sources (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","02.1.3 - Beer (ND)",134.5000000000000,134.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","02.1.3.0 - Beer (ND)",134.4552368085050,134.4552368085050,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","02.3 - TOBACCO",236.2000000000000,238.0000000000000,..,..,..,..,..,..,..,..,..,..,..
