"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Camiguin","0 - ALL ITEMS",128.5000000000000,129.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",139.1000000000000,139.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01.1 - FOOD",141.2000000000000,141.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01.1.1 - Cereals and cereal products (ND)",130.7000000000000,129.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",130.6649691524540,129.7401834825850,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01.1.1.2 - Flour of cereals (ND)",134.0687393216970,133.4927430931000,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01.1.1.3 - Bread and bakery products (ND)",136.6105261350320,134.6486565574280,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01.1.1.4 - Breakfast cereals (ND)",123.7075332348600,122.4766125061550,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",120.2361516467560,121.6877139337970,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01.1.1.9 - Other cereal and grain mill products (ND)",122.2832605998560,121.9873313925640,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01.1.2 - Meat and other parts of slaughtered land animals (ND)",121.6000000000000,122.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",144.2537980764000,144.2537980764000,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",120.0533140855930,120.6879019220810,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01.1.3 - Fish and other seafood (ND)",130.2000000000000,135.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",161.3038520633430,166.5395302868720,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01.1.3.3 - Fish preparations (ND)",127.9109072207140,128.7259819141860,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",105.0908949331900,119.9335039647820,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01.1.3.6 - Other seafood preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01.1.4 - Milk, other dairy products and eggs (ND)",161.2000000000000,162.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Camiguin","01.1.4.3 - Other milk and cream (ND)",167.2941268613720,168.0886513324060,..,..,..,..,..,..,..,..,..,..,..
