"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Catanduanes","0 - ALL ITEMS",133.3000000000000,133.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",132.2000000000000,131.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1 - FOOD",133.6000000000000,132.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.1 - Cereals and cereal products (ND)",127.8000000000000,127.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",127.8230812613090,127.2871934373710,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.1.2 - Flour of cereals (ND)",124.1787597596100,124.1709225326250,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.1.3 - Bread and bakery products (ND)",127.7578857173680,126.7247680864060,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.1.4 - Breakfast cereals (ND)",137.6981345378540,135.8377993754070,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",128.7489351399790,128.9889297358800,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.1.9 - Other cereal and grain mill products (ND)",123.5846647040130,126.7421812216890,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.2 - Meat and other parts of slaughtered land animals (ND)",123.8000000000000,124.0000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",125.7689390747450,119.4488918850600,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",123.7123944653120,124.2084055382200,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.3 - Fish and other seafood (ND)",133.3000000000000,132.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",139.8571149079900,138.7199285411490,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.3.3 - Fish preparations (ND)",123.9765823104180,123.9762800843590,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",143.6925227430720,140.8080230092000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.3.6 - Other seafood preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.4 - Milk, other dairy products and eggs (ND)",139.5000000000000,139.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.4.3 - Other milk and cream (ND)",118.1538381748920,118.6145560903830,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.4.5 - Cheese (ND)",131.6034430088590,132.2719186328600,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.4.8 - Eggs (ND)",184.0209119423840,182.2163965250820,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.5 - Oils and fats (ND)",120.8000000000000,120.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.5.1 - Vegetable oils (ND)",133.7457997928580,133.7457997928580,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",130.5082954665540,130.5082954665540,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.5.3 - Margarine and similar preparations (ND)",107.3144341051720,107.3144341051720,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.6 - Fruits and nuts (ND)",133.3000000000000,132.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.6.2 - Citrus fruits, fresh (ND)",138.7056104852150,131.8291617008410,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",105.4960164766480,99.6621095477865,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.6.7 - Fruit, dried and dehydrated (ND)",105.6163094363730,105.6163094363730,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.6.8 - Nuts, in shell or shelled (ND)",148.8274716397190,151.5582509358610,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",121.4932323764830,126.0760168792430,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",146.7000000000000,138.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",137.9345251178350,134.0231303505560,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",141.3149887036780,139.3848750878300,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",183.2767918548670,156.7782339575200,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",135.5034687437730,139.3135754962150,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.8 - Sugar, confectionery and desserts (ND)",154.9000000000000,152.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.8.1 - Cane and beet sugar (ND)",167.7118369697800,161.8089943717900,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",106.0335250405040,105.8254055429110,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",168.9182552792540,172.3603732309480,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",167.8888521435090,167.8888521435090,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.8.6 - Ice, ice cream and sorbet (ND)",122.5398221759580,125.0159304412700,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",131.8242343541940,132.4314247669770,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.9 - Ready-made food and other food products n.e.c. (ND)",128.6000000000000,128.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.9.2 - Baby food (ND)",120.9056281427010,121.0545901515780,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.9.3 - Salt, condiments and sauces (ND)",130.9770271237470,131.4525988290560,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.9.4 - Spices, culinary herbs and seeds (ND)",120.7281782483550,120.2584298627920,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.1.9.9 - Other food products n.e.c. (ND)",155.8215571555890,156.5405930257210,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.2 - NON-ALCOHOLIC BEVERAGES",125.0000000000000,125.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.2.1 - Fruit and vegetable juices (ND)",155.6000000000000,155.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.2.1.0 - Fruit and vegetable juices (ND)",155.5700384415320,155.6064127439520,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.2.2 - Coffee and coffee substitutes (ND)",114.7000000000000,116.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.2.2.0 - Coffee and coffee substitutes (ND)",114.7073698583290,116.8027460829200,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.2.3 - Tea, maté and other plant products for infusion (ND)",150.9000000000000,150.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",150.8533592100000,150.8533592100000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.2.4 - Cocoa drinks (ND)",142.3000000000000,139.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.2.4.0 - Cocoa drinks (ND)",142.2566659504370,139.5855138853640,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.2.5 - Water (ND)",113.6000000000000,112.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.2.5.0 - Water (ND)",113.6253983381480,112.7319295946630,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.2.6 - Soft drinks (ND)",134.5000000000000,134.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.2.6.0 - Soft drinks (ND)",134.5222529660990,134.9382730076830,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.2.9 - Other non-alcoholic beverages (ND)",156.3000000000000,156.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","01.2.9.0 - Other non-alcoholic beverages (ND)",156.2586203238060,156.2586203238060,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","02 - ALCOHOLIC BEVERAGES AND TOBACCO",203.6000000000000,203.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","02.1 - ALCOHOLIC BEVERAGES",136.2000000000000,137.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","02.1.1 - Spirits and liquors (ND)",139.7000000000000,140.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","02.1.1.0 - Spirits and liquors (ND)",139.7151074518680,140.8134943389900,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","02.1.2 - Wine (ND)",121.2000000000000,121.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","02.1.2.1 - Wine from grapes (ND)",121.2184058680950,121.2184058680950,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","02.1.2.2 - Wine from other sources (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","02.1.3 - Beer (ND)",126.0000000000000,126.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","02.1.3.0 - Beer (ND)",126.0330578512400,126.8277177368090,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","02.3 - TOBACCO",262.7000000000000,261.1000000000000,..,..,..,..,..,..,..,..,..,..,..
