"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....City of Cagayan de Oro (Capital)","0 - ALL ITEMS",120.0000000000000,120.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",125.8000000000000,125.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1 - FOOD",128.0000000000000,127.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.1 - Cereals and cereal products (ND)",125.0000000000000,125.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",124.9592982922280,125.5926253235440,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.1.2 - Flour of cereals (ND)",121.9695488933250,124.7555431982490,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.1.3 - Bread and bakery products (ND)",122.5857119569680,123.3174028367360,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.1.4 - Breakfast cereals (ND)",128.8461527914090,131.6976116540080,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",124.9785019948970,124.8195074085170,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.1.9 - Other cereal and grain mill products (ND)",142.6080263302100,143.5696557434890,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.2 - Meat and other parts of slaughtered land animals (ND)",103.6000000000000,103.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",125.9740495604910,126.6617568228790,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",102.1852852336940,102.4733463878500,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.3 - Fish and other seafood (ND)",142.3000000000000,144.0000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",179.7484424805860,176.6500702351730,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.3.3 - Fish preparations (ND)",111.5536131908640,115.1001547114060,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",148.6209418920960,151.7440393946920,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.3.6 - Other seafood preparations (ND)",159.6222390580230,159.8637431945470,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.4 - Milk, other dairy products and eggs (ND)",120.9000000000000,119.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.4.3 - Other milk and cream (ND)",108.9841604708880,109.1464772667060,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.4.5 - Cheese (ND)",110.5203319478810,111.8048626652700,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.4.8 - Eggs (ND)",140.4418153800440,136.3036246932950,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.5 - Oils and fats (ND)",114.0000000000000,116.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.5.1 - Vegetable oils (ND)",114.6086094872900,117.0186366752000,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",102.5794521355820,102.9596013059630,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.5.3 - Margarine and similar preparations (ND)",117.6122133069470,117.8688684369130,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.5.9 - Other animal oils and fats (ND)",102.7539454816600,102.7539454816600,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.6 - Fruits and nuts (ND)",108.2000000000000,108.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.6.2 - Citrus fruits, fresh (ND)",78.9644012944984,78.2362459546926,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.6.7 - Fruit, dried and dehydrated (ND)",111.8981581288760,112.5917424581890,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.6.8 - Nuts, in shell or shelled (ND)",99.8118910549629,99.8118910549629,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",121.7523574784090,122.7532743561630,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",193.5000000000000,182.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",182.6288943009270,172.9605280803080,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",181.5712453824350,166.3950376998870,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",235.0593069115370,216.6636171054630,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",146.6993505163940,147.5106110229240,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.8 - Sugar, confectionery and desserts (ND)",130.7000000000000,130.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.8.1 - Cane and beet sugar (ND)",156.4304518221410,156.3911140299450,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",108.1613274064450,108.7053286035280,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",120.9751759955370,119.1127860345630,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",117.1684345653630,114.1187607660620,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.8.6 - Ice, ice cream and sorbet (ND)",110.8276718697410,110.8276718697410,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",126.3298931085280,126.3298931085280,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.9 - Ready-made food and other food products n.e.c. (ND)",122.3000000000000,124.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.9.2 - Baby food (ND)",110.1308536603720,113.0646313858910,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.9.3 - Salt, condiments and sauces (ND)",124.5197019536010,127.4317174305950,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.9.4 - Spices, culinary herbs and seeds (ND)",140.4311130512330,140.4591323546870,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.1.9.9 - Other food products n.e.c. (ND)",128.3106771516660,127.7832768609020,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.2 - NON-ALCOHOLIC BEVERAGES",117.0000000000000,116.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.2.1 - Fruit and vegetable juices (ND)",122.2000000000000,123.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.2.1.0 - Fruit and vegetable juices (ND)",122.1554290366750,123.6051591839800,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.2.2 - Coffee and coffee substitutes (ND)",105.9000000000000,105.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....City of Cagayan de Oro (Capital)","01.2.2.0 - Coffee and coffee substitutes (ND)",105.8826211184220,105.8826211184220,..,..,..,..,..,..,..,..,..,..,..
