"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Ilocos Sur","0 - ALL ITEMS",121.8000000000000,121.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",130.2000000000000,129.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1 - FOOD",133.6000000000000,133.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.1 - Cereals and cereal products (ND)",129.2000000000000,129.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",129.1786610110150,129.4937011174300,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.1.2 - Flour of cereals (ND)",123.2709912165560,123.2709912165560,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.1.3 - Bread and bakery products (ND)",132.8570488610870,133.3406469121880,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.1.4 - Breakfast cereals (ND)",127.9534749591460,127.7227722772280,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",125.8206924357080,125.9820097342140,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.1.9 - Other cereal and grain mill products (ND)",121.8907658582210,121.8907658582210,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.2 - Meat and other parts of slaughtered land animals (ND)",125.4000000000000,125.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",147.2461242130380,147.2461242130380,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",135.8657073251070,137.9952638662520,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",124.5679854750590,124.9589607754820,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.3 - Fish and other seafood (ND)",151.0000000000000,152.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",150.2444877216820,149.7733838421700,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.3.3 - Fish preparations (ND)",136.4208868263250,136.4213658742220,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",173.8751818663720,177.1342705089410,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.3.6 - Other seafood preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.4 - Milk, other dairy products and eggs (ND)",136.4000000000000,135.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.4.3 - Other milk and cream (ND)",116.2756481390680,116.2756481390680,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.4.5 - Cheese (ND)",121.4930618258200,121.4930618258200,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.4.8 - Eggs (ND)",156.9205161303070,155.9414616256610,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.5 - Oils and fats (ND)",128.5000000000000,128.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.5.1 - Vegetable oils (ND)",132.7128568849050,132.8375921167170,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.5.3 - Margarine and similar preparations (ND)",115.1269348159450,115.1269348159450,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.6 - Fruits and nuts (ND)",117.8000000000000,117.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.6.2 - Citrus fruits, fresh (ND)",109.1752084366730,108.4717838708790,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",116.9727453503330,116.9727453503330,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.6.5 - Other fruits, fresh (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.6.7 - Fruit, dried and dehydrated (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.6.8 - Nuts, in shell or shelled (ND)",111.2708690117500,111.9632210856010,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",136.0922846986080,136.0884635207120,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",122.7000000000000,117.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",110.4957984656540,104.8337666738520,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",152.3112956132210,144.4589546142580,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",179.7397614599670,175.4898157781760,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.8 - Sugar, confectionery and desserts (ND)",150.3000000000000,150.0000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","01.1.8.1 - Cane and beet sugar (ND)",171.1696146861700,170.0185030705100,..,..,..,..,..,..,..,..,..,..,..
