"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Lanao del Norte","0 - ALL ITEMS",126.1000000000000,126.0000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",130.8000000000000,130.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1 - FOOD",132.8000000000000,132.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.1 - Cereals and cereal products (ND)",118.3000000000000,118.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",118.2969159179720,118.4093239184820,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.1.2 - Flour of cereals (ND)",142.2363078142020,142.7592354164600,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.1.3 - Bread and bakery products (ND)",117.0976160040700,117.0066492151890,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.1.4 - Breakfast cereals (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",116.6852139691510,117.1804388383620,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.1.9 - Other cereal and grain mill products (ND)",124.4335888014620,124.7881515359250,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.2 - Meat and other parts of slaughtered land animals (ND)",124.1000000000000,124.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",165.2515409641600,165.7669500869750,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",119.9412074194580,120.1896830104270,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.3 - Fish and other seafood (ND)",137.2000000000000,137.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",170.1220999959780,169.7646749265060,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.3.3 - Fish preparations (ND)",126.5417338126710,127.2287943365660,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",96.3200848994913,96.5582922787479,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.3.6 - Other seafood preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.4 - Milk, other dairy products and eggs (ND)",113.7000000000000,114.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.4.3 - Other milk and cream (ND)",105.2563139529660,105.6694126728760,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.4.5 - Cheese (ND)",101.5507564977680,102.3779891963120,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.4.8 - Eggs (ND)",122.3342859390990,123.1757201341090,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.5 - Oils and fats (ND)",126.9000000000000,126.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.5.1 - Vegetable oils (ND)",128.6760021531020,128.0608954187160,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",109.0160695746990,109.0715099350700,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.5.3 - Margarine and similar preparations (ND)",110.8564653970730,111.3800489470430,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.5.9 - Other animal oils and fats (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.6 - Fruits and nuts (ND)",120.3000000000000,121.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.6.2 - Citrus fruits, fresh (ND)",124.1239436740520,122.1571025451260,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",128.1969587255610,130.3403330919620,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.6.5 - Other fruits, fresh (ND)",100.4084072118740,101.6037453929670,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.6.7 - Fruit, dried and dehydrated (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.6.8 - Nuts, in shell or shelled (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",121.5993685476890,123.5202815937460,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",188.4000000000000,186.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",203.1150717751360,199.8618949362430,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",118.6828560196540,116.4854633564100,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",143.3356803505740,143.8249215412800,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",142.5269645608630,148.3821263482280,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.8 - Sugar, confectionery and desserts (ND)",158.7000000000000,158.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.8.1 - Cane and beet sugar (ND)",180.1392779974860,179.3774012059210,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",127.3198466758950,127.4498533266880,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.8.6 - Ice, ice cream and sorbet (ND)",121.1495702417090,121.0653619319580,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",116.4966063768760,117.0506554654270,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.9 - Ready-made food and other food products n.e.c. (ND)",134.6000000000000,134.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.9.2 - Baby food (ND)",116.8134472371570,117.0468578221130,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.9.3 - Salt, condiments and sauces (ND)",123.7158585593850,124.2974370210320,..,..,..,..,..,..,..,..,..,..,..
