"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Misamis Oriental","0 - ALL ITEMS",122.8000000000000,123.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",129.1000000000000,128.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1 - FOOD",132.0000000000000,131.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.1 - Cereals and cereal products (ND)",126.7000000000000,126.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",126.6576891864560,126.6808385351480,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.1.2 - Flour of cereals (ND)",103.4263943484150,103.4263943484150,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.1.3 - Bread and bakery products (ND)",128.9387022036320,128.2529261403610,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.1.4 - Breakfast cereals (ND)",102.7637573412400,102.7637573412400,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",123.8973952240320,125.6184801589460,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.1.9 - Other cereal and grain mill products (ND)",121.8895135442310,121.8895135442310,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.2 - Meat and other parts of slaughtered land animals (ND)",113.7000000000000,112.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",138.6084570006900,138.6084570006900,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",111.9401848566620,110.4464132609700,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.3 - Fish and other seafood (ND)",141.7000000000000,140.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",134.3454005210050,136.2709969859980,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.3.3 - Fish preparations (ND)",137.1499232815320,137.5450041650350,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",153.1175133111440,148.2749180205400,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.3.6 - Other seafood preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.4 - Milk, other dairy products and eggs (ND)",123.4000000000000,123.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.4.3 - Other milk and cream (ND)",110.8853938085120,110.8463516928740,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.4.5 - Cheese (ND)",125.5649315743560,125.5649315743560,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.4.6 - Yoghurt and similar products (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.4.7 - Milk-based dessert and beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.4.8 - Eggs (ND)",138.1922709603480,137.7416923197260,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.5 - Oils and fats (ND)",118.6000000000000,118.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.5.1 - Vegetable oils (ND)",118.5807435979020,118.7939150607980,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",105.3168081961010,105.3168081961010,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.5.3 - Margarine and similar preparations (ND)",121.1420223231130,121.1420223231130,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.5.9 - Other animal oils and fats (ND)",102.9645822470750,102.9645822470750,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.6 - Fruits and nuts (ND)",132.5000000000000,129.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.6.2 - Citrus fruits, fresh (ND)",151.1829409387220,142.6479448845930,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",60.6458315230509,61.6937806742296,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.6.5 - Other fruits, fresh (ND)",160.1470845736300,160.2171248467870,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.6.7 - Fruit, dried and dehydrated (ND)",116.9356726995680,116.9356726995680,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.6.8 - Nuts, in shell or shelled (ND)",132.6958557454310,132.6958557454310,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",118.0481532995280,118.0481532995280,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",168.1000000000000,162.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",145.9103602032220,141.4785782495980,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",177.1445615482980,181.2272504603870,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",246.0505153543360,233.9388121391840,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",135.4100864592320,135.4100864592320,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.8 - Sugar, confectionery and desserts (ND)",152.1000000000000,150.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.8.1 - Cane and beet sugar (ND)",172.7104784629580,169.7641139388690,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",115.3840757628900,115.3840757628900,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",134.4155763175040,135.8682853945680,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",132.2080379332920,130.6649894642240,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.8.6 - Ice, ice cream and sorbet (ND)",117.6679385823070,117.6679385823070,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",126.1512412612010,126.6872572510270,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.9 - Ready-made food and other food products n.e.c. (ND)",137.7000000000000,137.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.9.2 - Baby food (ND)",117.9429059650560,117.9429059650560,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.9.3 - Salt, condiments and sauces (ND)",122.7459484495450,122.9022890068290,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.9.4 - Spices, culinary herbs and seeds (ND)",198.0336543096020,198.6749538015140,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.1.9.9 - Other food products n.e.c. (ND)",127.5363975748820,127.8408344492680,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.2 - NON-ALCOHOLIC BEVERAGES",117.9000000000000,119.6000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.2.1 - Fruit and vegetable juices (ND)",119.2000000000000,119.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.2.1.0 - Fruit and vegetable juices (ND)",119.1707453364950,119.1707453364950,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.2.2 - Coffee and coffee substitutes (ND)",118.1000000000000,121.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.2.2.0 - Coffee and coffee substitutes (ND)",118.0830640969040,121.4648754906890,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.2.3 - Tea, maté and other plant products for infusion (ND)",130.2000000000000,130.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",130.1722882794330,130.1722882794330,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.2.4 - Cocoa drinks (ND)",124.3000000000000,126.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.2.4.0 - Cocoa drinks (ND)",124.3443007268990,126.2030629933430,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.2.5 - Water (ND)",108.2000000000000,108.2000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.2.5.0 - Water (ND)",108.2471131772550,108.2090783486920,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.2.6 - Soft drinks (ND)",119.1000000000000,119.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.2.6.0 - Soft drinks (ND)",119.0520794304980,119.0520794304980,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.2.9 - Other non-alcoholic beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","01.2.9.0 - Other non-alcoholic beverages (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","02 - ALCOHOLIC BEVERAGES AND TOBACCO",136.7000000000000,140.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","02.1 - ALCOHOLIC BEVERAGES",129.9000000000000,131.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","02.1.1 - Spirits and liquors (ND)",139.8000000000000,142.5000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","02.1.1.0 - Spirits and liquors (ND)",139.8161406905330,142.5423065499130,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","02.1.2 - Wine (ND)",139.2000000000000,139.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","02.1.2.1 - Wine from grapes (ND)",110.1645982141980,111.7577513752090,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","02.1.2.2 - Wine from other sources (ND)",141.5175289053850,141.5175289053850,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","02.1.3 - Beer (ND)",120.1000000000000,120.1000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","02.1.3.0 - Beer (ND)",120.0560321744750,120.0560321744750,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","02.3 - TOBACCO",146.3000000000000,153.8000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Misamis Oriental","02.3.0 - Tobacco (ND)",146.3000000000000,153.8000000000000,..,..,..,..,..,..,..,..,..,..,..
