"Geolocation","Commodity Description","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec","2024 Ave"
"....Mountain Province","0 - ALL ITEMS",127.3000000000000,127.7000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",128.9000000000000,128.9000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","01.1 - FOOD",129.5000000000000,129.4000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","01.1.1 - Cereals and cereal products (ND)",134.6000000000000,136.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",134.5655923359030,136.2797805558240,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","01.1.1.2 - Flour of cereals (ND)",141.1339711078460,140.9916468493910,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","01.1.1.3 - Bread and bakery products (ND)",135.4479192193240,138.1904057240800,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","01.1.1.4 - Breakfast cereals (ND)",119.9734498213960,120.8135650384400,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",129.7448547763860,130.4105946588520,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","01.1.1.9 - Other cereal and grain mill products (ND)",133.9489746366690,135.1573205688450,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","01.1.2 - Meat and other parts of slaughtered land animals (ND)",112.0000000000000,111.0000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",125.7323904998370,126.7560308474140,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",110.9332060754110,109.8210040258340,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","01.1.3 - Fish and other seafood (ND)",136.1000000000000,136.3000000000000,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",146.3476750419520,146.3476750419520,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","01.1.3.3 - Fish preparations (ND)",115.0315139746110,115.4932942248370,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",154.8033410590260,154.8033410590260,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","01.1.3.6 - Other seafood preparations (ND)",116.7490509872460,116.7490509872460,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","01.1.4 - Milk, other dairy products and eggs (ND)",123.7000000000000,124.2000000000000,..,..,..,..,..,..,..,..,..,..,..
